city,distance
Nanning,6.025373
Chongzuo,4.292521
Hechi,3.787825
Shanghai,3.486795
Kunming,3.427770
Beihai,3.146937
Guangzhou,3.146937
Hulunbuir,3.111477
Guilin,3.104485
Fangchenggang,2.619483
Jinhua,2.619483
Wenshan,2.619483
Changde,2.384452
Changsha,2.384452
Foshan,2.384452
Liuzhou,2.384452
Luoyang,2.384452
Nanchang,2.384452
Qianxinan,2.384452
Qinzhou,2.384452
Qujing,2.384452
Shamen,2.384452
Yulin,2.384452
Zhanjiang,2.384452
Chengdou,2.188125
Chongqing,2.188125
Dali,2.188125
Dalian,2.188125
Hangzhou,2.188125
Hohhot,2.188125
Jilin,2.188125
Lingshui,2.188125
Baotou,2.188125
Nanjing,2.188125
Putian,2.188125
Taiyuan,2.188125
Weicu,2.188125
Wuhan,2.188125
Xinyu,2.188125
Zhaoqing,2.188125
Zunyi,2.188125
Shenzhen,2.005873
Suzhou,1.958186
Guigang,1.953365
Hezhou,1.917905
Wuzhou,1.904226
Lijiang,1.890627
Laibin,1.852990
Guiyang,1.806285
Haikou,1.773377
Hong Kong,1.750870
Xi'an,1.750870
Jiaxing,1.743453
Wuxi,1.716030
Fuzhou,1.706755
Zhuhai,1.701749
Tianjin,1.699941
Honghe,1.671391
Changzhou,1.664122
Ningbo,1.663246
Taipei,1.662443
Haixi,1.656082
Zhengzhou,1.650424
Sanya,1.637284
Xishuangbanna,1.621904
Changchun,1.613508
Baoshan,1.611477
Dongguan,1.611126
Yuxi,1.610862
Huizhou,1.594796
Qiannan,1.590659
Zhoushan,1.588155
Diqing,1.576432
Nantong,1.574797
Anshun,1.546010
Huzhou,1.541241
Zhongshan,1.540726
Harbin,1.540711
Qingdao,1.529698
Hefei,1.527252
Xiangxi,1.527252
Shaoxing,1.518057
Macau,1.512482
Quanzhou,1.512482
Jiangmen,1.511911
Yangzhou,1.499026
Jiujiang,1.489187
Lhasa,1.484574
Langfang,1.480195
Nanping,1.477581
Qiandongnan,1.477581
Shenyang,1.477581
Shijiazhuang,1.477581
Urumqi,1.477581
Xining,1.477581
Qingyuan,1.471921
Zhangjiajie,1.460142
Zhenjiang,1.457764
Huaihua,1.456283
Lanzhou,1.456283
Maoming,1.456283
Yongzhou,1.456283
Zhuzhou,1.456283
Tongren,1.452833
Baoding,1.449917
Jinan,1.448736
Qinhuangdao,1.445399
Huangshan,1.445124
Jinzhong,1.444255
Dehong,1.442216
Wenzhou,1.439170
Yichun,1.438060
Pu'er,1.436447
Shaoguan,1.434253
Jingdezhen,1.431038
Shizuishan,1.431038
Ordos,1.430822
Taizhou,1.416371
Quzhou,1.408504
Jiaozuo,1.408010
Tangshan,1.406029
Shangrao,1.403242
Xiangtan,1.400223
Jieyang,1.399755
Hengyang,1.399755
Mianyang,1.399755
Ningde,1.399755
Pingxiang,1.399755
Ganzhou,1.399755
Dezhou,1.399755
Xinyang,1.399755
Yantai,1.399755
Zhangzhou,1.393734
Taizhou,1.392353
Yanbian,1.390104
Lishui,1.389429
Shantou,1.389001
Yangjiang,1.381798
Liupanshui,1.379216
Leshan,1.375839
Yancheng,1.374818
Ngawa,1.373260
Sanmenxia,1.369979
Zhangjiakou,1.369546
Yiyang,1.366732
Yueyang,1.364097
Chengde,1.358427
Meishan,1.357917
Nanchong,1.357917
Enshi,1.357917
Ulanqab,1.357917
Xiangyang,1.357917
Kaohsiung,1.357917
Xuzhou,1.357917
Yichang,1.357917
Yilan,1.357917
Yunlin,1.357917
Wanning,1.354250
Yingtan,1.352086
Kaifeng,1.352039
Taoyuan,1.350390
Meizhou,1.347708
Zhaotong,1.347708
Xinzhou,1.346837
Panzhihua,1.334950
Jian,1.333947
Lianyungang,1.331181
Qionghai,1.322607
Lincang,1.320568
Longyan,1.317723
Wuhu,1.315333
Liangshanzhou,1.315328
Heyuan,1.313224
Xuancheng,1.308569
Wuhai,1.307912
Cangzhou,1.298902
Datong,1.296231
Fuzhou,1.295693
Yingkou,1.294221
Bangbu,1.293583
Baoji,1.291905
Handan,1.291905
Neijiang,1.291905
New Taipei,1.291905
Huludao,1.291905
Guangyuan,1.291905
Suining,1.291905
Suizhou,1.291905
Tai'an,1.291905
Taichung,1.291905
Hulunbuir,1.291905
Huai'an,1.291905
Weinan,1.291905
Xianyang,1.291905
Xingtai,1.291905
Liaocheng,1.291905
Anqing,1.291905
Ya'an,1.291905
Yan'an,1.291905
Dandong,1.291905
Chuzhou,1.291905
Hengshui,1.291905
Laiwu,1.291905
Yinchuan,1.291905
Binzhou,1.291905
Garze,1.291905
Zhoukou,1.291905
Zibo,1.291905
Shanwei,1.289868
Loudi,1.288655
Deyang,1.286839
Bayannur,1.281709
Xianning,1.281037
Baishan,1.278302
Chenzhou,1.277153
Chizhou,1.276681
Luzhou,1.273745
Yibin,1.269039
Xilingol,1.265077
Nujiang,1.260349
Xinxiang,1.259426
Jiyuan,1.257577
Weihai,1.256622
Pingdingshan,1.255692
Chaozhou,1.250589
Jingzhou,1.248877
Huanggang,1.243210
Lvliang,1.241601
Songyuan,1.239902
Yunfu,1.238677
Wenchang,1.237694
Xiaogan,1.236854
Huangshi,1.235326
Jining,1.234021
Yangquan,1.232271
Shangqiu,1.232149
Haibei,1.229067
Nanyang,1.229067
Weifang,1.226947
Linfen,1.226936
Ma'anshan,1.223750
Anshan,1.223554
Shaoyang,1.223508
Tonghua,1.222812
Chifeng,1.220719
Mudanjiang,1.216349
Liaoyuan,1.216349
Linyi,1.212024
Shiyan,1.209044
Jinzhou,1.207084
Zaozhuang,1.206157
Baoting,1.196623
Wuzhishan,1.196623
Qiongzhong,1.196623
Dingan,1.196623
Rizhao,1.196578
Guang'an,1.194913
Danzhou,1.189882
Jiuquan,1.187354
Ezhou,1.185906
Dongying,1.185273
Changzhi,1.182278
Anyang,1.181871
Jingmen,1.179827
Panjin,1.179703
Yuncheng,1.179230
Nagqu,1.178597
Qiqihar,1.177161
Dazhou,1.177037
Bijie,1.176934
Tongliao,1.174738
Chiayi,1.174738
Shuozhou,1.174738
Lu'an,1.174482
Jincheng,1.173007
Hinggan,1.172046
Sanming,1.171211
Fushun,1.167841
Alxa,1.167543
Tongling,1.166296
Xiuqian,1.165977
Daqing,1.165249
Kinmen,1.161695
Ziyang,1.160652
Xuchang,1.157700
Zigong,1.153166
Baicheng,1.149876
Nantou,1.149036
Pingdong,1.147852
Luohe,1.145671
Siping,1.144945
Suihua,1.139047
Hanzhong,1.138929
Yulin,1.138929
Puyang,1.138920
Fuyang,1.136801
Tieling,1.134079
Huaibei,1.134020
Huainan,1.131138
Xiuzhou,1.128147
Hualien,1.128147
Benxi,1.121461
Heze,1.120348
Hsinchu,1.120348
Tainan,1.120348
Nyingchi,1.119025
Changjiang,1.116912
Dongfang,1.116912
Liaoyang,1.115552
Chaoyang,1.113491
Jiamusi,1.103562
Zhumadian,1.092116
Ili(Yili),1.091157
Keelung,1.090055
Zhongwei,1.089202
Alty,1.088472
Bozhou,1.087610
Jiayuguan,1.083136
Ankang,1.076258
Tianshui,1.075028
Changhua,1.075028
Fuxin,1.075018
Shannan,1.074174
Ngari,1.073241
Gannan,1.071303
Penghu,1.068883
Sansha,1.068883
Kashgar,1.066591
Turpan,1.065292
Keramay,1.064638
Chengmai,1.061181
Hebi,1.058806
Changji,1.058098
Daxinganling,1.055693
Bazhong,1.055661
Taidong,1.055220
Kumul(Hami),1.051798
Baiyin,1.049015
Shangluo,1.049015
Hegang,1.049015
Dingxi,1.049015
Qamdo,1.049015
Bayingolin,1.049015
Yichun,1.047978
Zhangye,1.036315
Ledong,1.025525
Shuangyashan,1.021407
Jixi,1.020991
Wuzhong,1.015225
Tongchuan,1.008480
Miaoli,1.006789
Heihe,1.005831
Wuwei,1.004276
Hotan,0.982122
Aksu,0.977587
Haidong,0.977587
Bortala,0.977587
Jinchang,0.975194
Huangnan,0.969151
Qingyang,0.967368
Linxia,0.960345
Qitaihe,0.954701
Pingliang,0.954701
Tacheng,0.949860
Golog,0.947120
Longnan,0.945764
Guyuan,0.935051
Yushuzhou,0.927706
Kezilsu,0.848265
