city,distance
Beijing,5.468837
Shijiazhuang,4.159282
Cangzhou,3.828723
Tianjin,3.628769
Dezhou,3.212343
Langfang,3.172804
Xingtai,3.109717
Liaocheng,3.041162
Jinan,2.965687
Shanghai,2.938645
Baoding,2.910496
Handan,2.818043
Jiujiang,2.818043
Hangzhou,2.709300
Heze,2.709300
Qinhuangdao,2.623207
Shamen,2.623207
Taiyuan,2.623207
Xuzhou,2.623207
Zhengzhou,2.623207
Kaifeng,2.574256
Shenzhen,2.519970
Tangshan,2.519970
Jining,2.458647
Tai'an,2.458647
Hefei,2.387538
Shangqiu,2.387538
Shenyang,2.387538
Chuzhou,2.301714
Jinzhong,2.301714
Nanchang,2.301714
Puyang,2.301714
Chengde,2.190723
Fuyang,2.190723
Guangzhou,2.190723
Hong Kong,2.190723
Huanggang,2.190723
Jian,2.190723
Anyang,2.190723
Nantong,2.190723
Suzhou,2.190723
Wuhan,2.190723
Wuxi,2.190723
Xi'an,2.190723
Xinxiang,2.190723
Yan'an,2.190723
Yangquan,2.190723
Dalian,2.023886
Datong,2.023886
Fuzhou,2.023886
Ganzhou,2.023886
Changsha,2.023886
Harbin,2.023886
Hebi,2.023886
Hohhot,2.023886
Jiaozuo,2.023886
Luoyang,2.023886
Nanjing,2.023886
Nanning,2.023886
Nanyang,2.023886
Pingdingshan,2.023886
Qingdao,2.023886
Rizhao,2.023886
Sanmenxia,2.023886
Shaoxing,2.023886
Ankang,2.023886
Weihai,2.023886
Wuhu,2.023886
Chifeng,2.023886
Xinyang,2.023886
Xinzhou,2.023886
Xiuzhou,2.023886
Yangzhou,2.023886
Yantai,2.023886
Yuncheng,2.023886
Zaozhuang,2.023886
Zhangjiajie,2.023886
Zhoukou,2.023886
Chengdou,1.942625
Chongqing,1.783577
Zhangjiakou,1.757787
Sanya,1.737646
Changchun,1.730555
Kunming,1.728228
Taipei,1.715769
Urumqi,1.647304
Guiyang,1.631552
Lanzhou,1.630923
Ningbo,1.629817
Guilin,1.617338
Lijiang,1.600908
Jiaxing,1.595574
Taoyuan,1.592053
Yinchuan,1.589864
Haikou,1.575646
Huludao,1.574770
Zhuhai,1.573668
Baotou,1.565970
