city,distance
Changsha,5.562907
Guangzhou,3.985080
Zhuzhou,3.663709
Shanghai,3.606937
Chenzhou,3.547243
Wuhan,3.407116
Shenzhen,3.219822
Shaoguan,3.169424
Guilin,3.073024
Beijing,2.995979
Xiangtan,2.852106
Yongzhou,2.831710
Yueyang,2.788804
Dongguan,2.637284
Hangzhou,2.575681
Nanchang,2.575681
Shaoyang,2.505383
Zhengzhou,2.465881
Changde,2.422577
Foshan,2.422577
Jinhua,2.422577
Hong Kong,2.374440
Huaihua,2.374440
Xianning,2.374440
Huizhou,2.319918
Kunming,2.319918
Liuzhou,2.319918
Loudi,2.319918
Qingyuan,2.319918
Shamen,2.319918
Xiangxi,2.319918
Yiyang,2.319918
Zhangjiajie,2.319918
Shaoxing,2.256504
Yichun,2.256504
Zhuhai,2.256504
Dezhou,2.179690
Jinan,2.179690
Nanjing,2.179690
Nanning,2.179690
Pingxiang,2.179690
Xinyu,2.179690
Yingtan,2.179690
Haikou,2.079901
Jiaxing,2.079901
Luohe,2.079901
Macau,2.079901
Sanya,2.079901
Shangrao,2.079901
Tianjin,2.079901
Xi'an,2.079901
Xiangyang,2.079901
Yichang,2.079901
Zhongshan,2.079901
Suzhou,1.995514
Changzhou,1.928935
Fuzhou,1.928935
Guigang,1.928935
Guiyang,1.928935
Hefei,1.928935
Beihai,1.928935
Huangshan,1.928935
Jingdezhen,1.928935
Jingzhou,1.928935
Keelung,1.928935
Laibin,1.928935
Lhasa,1.928935
Lianyungang,1.928935
Luoyang,1.928935
Ningbo,1.928935
Qinhuangdao,1.928935
Quanzhou,1.928935
Quzhou,1.928935
Shangqiu,1.928935
Shijiazhuang,1.928935
Tacheng,1.928935
Taipei,1.928935
Dali,1.928935
Tongren,1.928935
Wuxi,1.928935
Xishuangbanna,1.928935
Yantai,1.928935
Yulin,1.928935
Zhumadian,1.928935
Chongqing,1.859189
Chengdou,1.846961
Jiangmen,1.681856
Qingdao,1.626339
Zhoushan,1.612621
Zhaoqing,1.610974
Nantong,1.598850
Xining,1.572681
Huzhou,1.564272
Jiujiang,1.561596
Taiyuan,1.561107
Huanggang,1.560402
Lijiang,1.557587
Hulunbuir,1.555424
Xiaogan,1.550403
Huangshi,1.548002
Shenyang,1.542663
Urumqi,1.538698
Harbin,1.534628
Shantou,1.531139
Yangzhou,1.520803
Wenzhou,1.512465
Lanzhou,1.507610
Zibo,1.507610
Shiyan,1.506952
Langfang,1.503213
Yangjiang,1.502588
Zhanjiang,1.480959
Zhenjiang,1.478351
Kaifeng,1.476212
Baoding,1.471997
Dalian,1.471673
Ezhou,1.471177
Hohhot,1.468138
Jingmen,1.461832
Heyuan,1.439571
Taizhou,1.435797
Enshi,1.434042
Handan,1.431022
New Taipei,1.426724
Xinyang,1.425454
Qiannan,1.412689
Shanwei,1.411552
Taizhou,1.411123
Tangshan,1.409873
Jieyang,1.405549
Ganzhou,1.403134
Taoyuan,1.402438
Yancheng,1.402438
Xinxiang,1.401816
Maoming,1.397073
Jiaozuo,1.394363
Jian,1.391753
Qiandongnan,1.391278
Cangzhou,1.390867
Zhangjiakou,1.389229
Suizhou,1.386479
Meizhou,1.386396
Changchun,1.380901
Weicu,1.378906
Chengde,1.377790
Wuzhou,1.372936
Zhangzhou,1.371435
Tai'an,1.367927
Linyi,1.365361
Nanyang,1.365361
Xuchang,1.365361
Chaozhou,1.364647
Xuzhou,1.363212
Lu'an,1.359547
Qionghai,1.352448
Yunfu,1.350476
Fuzhou,1.350163
Nanping,1.349937
Xianyang,1.349937
Yinchuan,1.349937
Anqing,1.349937
Nyingchi,1.343572
Chongzuo,1.343117
Datong,1.332138
Wuhu,1.332138
Xingtai,1.332138
Lishui,1.332003
Pingdingshan,1.325415
Xuancheng,1.325134
Anyang,1.321604
Weihai,1.319904
Baoshan,1.316026
Yuxi,1.315616
Sanmenxia,1.313695
Hebi,1.313695
Yuncheng,1.313695
Ili(Yili),1.311998
Hechi,1.311419
Deyang,1.310983
Mianyang,1.310983
Ngawa,1.310983
Anshun,1.310983
