city,distance
Guangzhou,5.273014
Shenzhen,4.744383
Huizhou,4.102679
Meizhou,3.738313
Ganzhou,3.374885
Dongguan,3.242330
Shanghai,3.242330
Hong Kong,3.026345
Beijing,2.809410
Nanchang,2.809410
Jian,2.716946
Foshan,2.664469
Jieyang,2.606354
Shantou,2.606354
Shaoguan,2.606354
Zhongshan,2.606354
Zhuhai,2.606354
Chaozhou,2.464942
Hangzhou,2.464942
Longyan,2.464942
Shamen,2.464942
Sanming,2.373569
Chengdou,2.255718
Kunming,2.255718
Macau,2.255718
Qingyuan,2.255718
Xi'an,2.255718
Yingtan,2.255718
Yunfu,2.255718
Changsha,2.079233
Fuyang,2.079233
Fuzhou,2.079233
Haikou,2.079233
Hefei,2.079233
Huaibei,2.079233
Jiangmen,2.079233
Lanzhou,2.079233
Maoming,2.079233
Nanjing,2.079233
Ningbo,2.079233
Pingxiang,2.079233
Putian,2.079233
Quzhou,2.079233
Shangrao,2.079233
Suining,2.079233
Tianjin,2.079233
Tongling,2.079233
Xiangyang,2.079233
Yangjiang,2.079233
Zhangzhou,2.079233
Zhanjiang,2.079233
Zhaoqing,2.079233
Suzhou,1.878638
Wuhan,1.847161
Huzhou,1.814686
Dali,1.737978
Nanning,1.721046
Chongqing,1.704992
Ili(Yili),1.686226
Jiaxing,1.680113
Sanya,1.677173
Guilin,1.656625
Wuxi,1.654631
Jiujiang,1.644547
Taipei,1.637975
Fuzhou,1.631143
Shanwei,1.614004
Qingdao,1.606750
Changzhou,1.606319
Zhengzhou,1.595697
Yangzhou,1.585084
Guiyang,1.583248
Tai'an,1.580500
Jinan,1.557982
Dalian,1.550613
Zhuzhou,1.542879
Shenyang,1.542663
Shenyang,1.536403
Zhoushan,1.535426
Chenzhou,1.527028
Hezhou,1.524367
Nantong,1.522936
Hengyang,1.521659
Wuzhou,1.499082
Lijiang,1.492573
Nanping,1.491182
Yichun,1.490955
Taiyuan,1.486916
Changchun,1.483411
Harbin,1.481026
Wenzhou,1.481026
Shijiazhuang,1.474880
Taoyuan,1.474880
Quanzhou,1.471060
Shaoxing,1.469809
Urumqi,1.456079
Langfang,1.454741
Jinhua,1.453491
Liuzhou,1.430841
Ulanqab,1.426996
Baoding,1.425486
Jingdezhen,1.419140
Xiangxi,1.418082
Zhenjiang,1.413216
Mudanjiang,1.412492
Yulin,1.410977
Xianyang,1.407195
Beihai,1.406043
Leshan,1.402259
Xuzhou,1.401675
Huangshan,1.401333
Ngawa,1.399580
Hohhot,1.397331
Anqing,1.391544
Chizhou,1.388297
Yueyang,1.387966
Hualien,1.386065
Xinyu,1.381508
Zhangjiajie,1.377830
Yichang,1.375158
Taizhou,1.374280
Weinan,1.372915
Shiyan,1.372320
Baoji,1.370315
Tangshan,1.367149
Taizhou,1.366767
Lhasa,1.363833
Yantai,1.363833
Yinchuan,1.357739
Xining,1.356021
Weicu,1.355968
Qionghai,1.352166
New Taipei,1.351311
Zhangjiakou,1.347728
Bozhou,1.342588
Xiuzhou,1.342552
Nanchong,1.341941
Luoyang,1.341206
Ningde,1.341206
Bazhong,1.341206
Shangqiu,1.341206
Diqing,1.340947
Bayannur,1.339841
Huanggang,1.339658
Xiangtan,1.337273
Chengde,1.336959
Yancheng,1.335126
Xianning,1.333476
Kaohsiung,1.318265
Wanning,1.316855
Jingzhou,1.313444
Anshan,1.313444
Wuhu,1.313131
Huai'an,1.312278
Liaocheng,1.310176
Qiandongnan,1.310176
Chifeng,1.310176
Xinyang,1.310176
Deyang,1.309924
Huaihua,1.307501
Chongzuo,1.307501
Guigang,1.302502
Xishuangbanna,1.301842
Jining,1.301458
Jiuquan,1.300230
Yan'an,1.299496
Taidong,1.298719
Baoshan,1.295116
Yuxi,1.294719
Lianyungang,1.293934
Sansha,1.293842
Yiyang,1.291744
Yongzhou,1.291744
Mianyang,1.291130
Huainan,1.289973
Weihai,1.285924
Baotou,1.279761
Changde,1.279761
Cangzhou,1.279261
Taichung,1.278840
Baise,1.273205
Weifang,1.273205
Huangshi,1.273205
Zibo,1.273205
Nanyang,1.273189
Xuancheng,1.272560
Ordos,1.271773
Datong,1.271773
Bangbu,1.270537
Nyingchi,1.266200
Xiaogan,1.265263
Honghe,1.261993
Qujing,1.261719
Jinzhong,1.258672
Garze,1.257671
Tianshui,1.253639
Pingdong,1.250528
Qinzhou,1.250528
Handan,1.250528
Fangchenggang,1.250528
Linyi,1.250528
Ya'an,1.249876
Dongying,1.248619
Jiamusi,1.248619
Hengshui,1.248619
Lishui,1.248619
Lu'an,1.248619
Hinggan,1.248619
Loudi,1.247005
Suizhou,1.246588
Wenchang,1.245856
Sanmenxia,1.240699
Bayingolin,1.240699
Meishan,1.240699
Hulunbuir,1.240699
Huludao,1.237462
Hanzhong,1.236872
Kaifeng,1.231867
Luzhou,1.231867
Zhumadian,1.231867
Gannan,1.229947
Dezhou,1.222038
Tainan,1.220964
Yanbian,1.220964
Anyang,1.220964
Linfen,1.220964
Jiayuguan,1.219220
Suihua,1.218581
Ankang,1.218455
Hsinchu,1.213692
Shaoyang,1.213692
Jilin,1.213692
Heze,1.213692
Dandong,1.213692
Chuzhou,1.211896
Xinzhou,1.208672
Panjin,1.208615
Luohe,1.208615
Changzhi,1.208615
Nantou,1.208615
Xingtai,1.208615
Benxi,1.208615
Wuwei,1.208379
Jingmen,1.201516
Neijiang,1.200634
Liaoyang,1.199285
Ezhou,1.199285
Yibin,1.199285
Yuncheng,1.199285
Dingxi,1.198957
Keelung,1.198569
Zunyi,1.198396
Linxia,1.196803
Liangshanzhou,1.195509
Yulin,1.195447
Ziyang,1.194481
Xuchang,1.194328
Anshun,1.194328
Qiqihar,1.194328
Ma'anshan,1.194328
Danzhou,1.194193
Zhangye,1.192332
Jinzhou,1.190103
Shangluo,1.189829
Dehong,1.183487
