city,distance
Jinan,4.500835
Beijing,4.275315
Jining,4.086269
Shangqiu,3.825344
Shanghai,3.436593
Qingdao,3.185307
Zhengzhou,3.155803
Liaocheng,3.060217
Xuzhou,3.060217
Tai'an,3.025539
Tianjin,2.989155
Hengshui,2.867090
Puyang,2.867090
Weifang,2.867090
Xi'an,2.867090
Bozhou,2.716296
Kaifeng,2.655924
Shenzhen,2.655924
Suzhou,2.655924
Xingtai,2.655924
Fuyang,2.587895
Nanchang,2.587895
Nanjing,2.587895
Rizhao,2.587895
Shenyang,2.587895
Wuhan,2.587895
Xinxiang,2.587895
Wuhu,2.509233
Chengdou,2.414610
Dongying,2.414610
Guangzhou,2.414610
Hangzhou,2.414610
Harbin,2.414610
Huanggang,2.414610
Linyi,2.414610
Luoyang,2.414610
Ningbo,2.414610
Shamen,2.414610
Shijiazhuang,2.414610
Binzhou,2.414610
Xiuqian,2.414610
Yantai,2.414610
Chongqing,2.292753
Dezhou,2.292753
Guilin,2.292753
Huangshan,2.292753
Jiujiang,2.292753
Taiyuan,2.292753
Zhoukou,2.292753
Zibo,2.292753
Fushun,2.110659
Hong Kong,2.110659
Huainan,2.110659
Jian,2.110659
Jiaozuo,2.110659
Jilin,2.110659
Jingzhou,2.110659
Jiuquan,2.110659
Laiwu,2.110659
Langfang,2.110659
Anyang,2.110659
Linfen,2.110659
Ma'anshan,2.110659
Changzhou,2.110659
Bangbu,2.110659
Taizhou,2.110659
Xuancheng,2.110659
Yongzhou,2.110659
Zaozhuang,2.110659
Chuzhou,2.110659
Zhoushan,2.110659
Zhumadian,2.110659
Jiaxing,1.730811
Baoding,1.725716
Qinhuangdao,1.719321
Wuxi,1.703781
Cangzhou,1.684432
Xiuzhou,1.673703
Hefei,1.671880
Dalian,1.659741
Tangshan,1.640948
Lianyungang,1.640890
Weihai,1.626893
Xianyang,1.623110
Zhangjiakou,1.613050
Changsha,1.603589
Handan,1.600451
Chengde,1.597648
Sanya,1.596072
Changchun,1.590088
Kunming,1.588123
Weinan,1.577673
Taipei,1.577596
Baoji,1.574241
Nantong,1.564475
Hohhot,1.561945
Huzhou,1.531352
Urumqi,1.519528
Foshan,1.517021
Fuzhou,1.510129
Shaoxing,1.508463
Guiyang,1.506115
Dongguan,1.504670
Sanmenxia,1.502661
Xinyang,1.502661
Zhenjiang,1.502661
Yangzhou,1.489670
Jinzhong,1.489108
Datong,1.482348
Pingdingshan,1.482181
Yan'an,1.481489
Lijiang,1.479964
Huai'an,1.477448
Xuchang,1.476875
Dazhou,1.473780
Hebi,1.473780
Jiayuguan,1.473469
Taoyuan,1.472393
Shangrao,1.471310
Yinchuan,1.470521
Jinhua,1.469594
Nanning,1.469489
Leshan,1.462068
Ngawa,1.459156
Haikou,1.458349
Huludao,1.457599
Zhuhai,1.456655
Huaibei,1.454152
Baotou,1.450056
Anshan,1.448114
Lhasa,1.446019
Yancheng,1.442780
Hulunbuir,1.441009
Xining,1.441009
Wenzhou,1.430544
Daqing,1.428800
Ezhou,1.423024
Nanping,1.422243
Jingdezhen,1.419140
Xinzhou,1.417818
Luohe,1.416757
Yichang,1.414036
Nanyang,1.413333
Macau,1.410508
Chifeng,1.410508
Yichun,1.408723
Xianning,1.408412
Yingtan,1.404847
Zhangzhou,1.403984
Huizhou,1.403640
Quanzhou,1.403362
Mudanjiang,1.401257
Hanzhong,1.400641
Jinzhou,1.398517
Liaoyang,1.394675
Ordos,1.393264
Benxi,1.389089
Taizhou,1.384278
Dandong,1.380351
Yuncheng,1.379672
Tianshui,1.379070
Wuwei,1.379070
Lu'an,1.378968
Liuzhou,1.378413
Ankang,1.377070
Tieling,1.374362
Yingkou,1.371567
Xilingol,1.362605
Deyang,1.361969
Zhangjiajie,1.361409
Xiangyang,1.360332
Yanbian,1.358430
Jingdezhen,1.357450
Tongling,1.356063
Suihua,1.355902
Xiaogan,1.355188
Fuzhou,1.353512
Huangshi,1.353354
Qiqihar,1.352674
Yulin,1.347754
Hengyang,1.346615
Chizhou,1.345442
Panjin,1.344893
Dali,1.343698
Ganzhou,1.343041
Jincheng,1.342159
Mianyang,1.341664
Zhongshan,1.341524
Shangluo,1.340617
Ningde,1.328963
Longyan,1.326881
Xinyu,1.325707
Diqing,1.322176
Shiyan,1.321873
Zhangye,1.320829
Jiangmen,1.319626
Ulanqab,1.319315
Anqing,1.317566
Jiyuan,1.316646
Songyuan,1.315480
Shantou,1.311037
Xiangxi,1.311037
Ya'an,1.311037
Ili(Yili),1.311037
Meizhou,1.311037
Pingxiang,1.309199
Garze,1.305571
Kaohsiung,1.301743
Hezhou,1.301004
Yangquan,1.300371
Tongchuan,1.299998
Qingyuan,1.289058
Jingmen,1.287027
Beihai,1.286373
Yueyang,1.286275
Xishuangbanna,1.283983
Jiamusi,1.282743
New Taipei,1.276459
Zhaoqing,1.275588
Heihe,1.274847
Lvliang,1.274606
Maoming,1.270333
Changzhi,1.270201
Chaoyang,1.269275
Zhuzhou,1.268070
Daxinganling,1.267767
Yichun,1.267767
Nanchong,1.266997
Haixi,1.265948
Tongliao,1.265483
Enshi,1.265437
Fuxin,1.263465
Shuozhou,1.262542
Siping,1.260909
Meishan,1.260410
Shaoguan,1.260076
Quzhou,1.254069
Baishan,1.251469
Changde,1.249828
Lishui,1.248382
Neijiang,1.244213
Bayannur,1.242797
Taichung,1.242797
Hinggan,1.239081
Liangshanzhou,1.238710
Zhongwei,1.237810
Jieyang,1.236522
Baoshan,1.233892
Shaoyang,1.233637
Qiannan,1.231366
Pingliang,1.231366
Suining,1.229555
Suizhou,1.228256
Yibin,1.226982
Guang'an,1.225451
Guangyuan,1.224993
Heyuan,1.224332
Qiandongnan,1.224069
Zhanjiang,1.224069
Ziyang,1.221422
Kumul(Hami),1.217338
Pingdong,1.216366
Zunyi,1.216366
Jixi,1.215866
Gannan,1.214745
Zigong,1.213134
Xiangtan,1.207962
Yangjiang,1.206669
Keramay,1.206184
Qingyang,1.204724
Dehong,1.204371
Shanwei,1.200819
Wuhai,1.200632
Qionghai,1.200632
Nantou,1.200632
Tonghua,1.198703
Hualien,1.198703
Turpan,1.198456
Anshun,1.196731
Loudi,1.194715
Putian,1.192559
Liaoyuan,1.192029
Luzhou,1.191566
Sanming,1.186712
Wanning,1.186159
Nyingchi,1.186159
Bayingolin,1.180867
Qitaihe,1.179281
Chiayi,1.179145
Chenzhou,1.178912
Tainan,1.176675
Alxa,1.171512
Taidong,1.168809
Kinmen,1.168807
Jinchang,1.166218
Huaihua,1.166016
Hegang,1.164934
Yiyang,1.163129
Weicu,1.163129
Keelung,1.160138
Wuzhou,1.158271
Alty,1.157037
Honghe,1.153816
Dingxi,1.147527
Baicheng,1.146968
Panzhihua,1.141150
Hsinchu,1.139493
Changji,1.135478
Qinzhou,1.135478
Shizuishan,1.135478
Fangchenggang,1.134427
Haibei,1.133868
Chaozhou,1.131251
Yilan,1.131251
Yunfu,1.130628
Shuangyashan,1.130628
Wuzhong,1.130628
Qujing,1.126785
Tongren,1.122638
Guyuan,1.119256
Hechi,1.118899
Qianxinan,1.117007
Wenchang,1.117007
Chongzuo,1.117007
Yulin,1.114530
Nagqu,1.114238
Kashgar,1.111612
Baiyin,1.111612
Shannan,1.111612
Bijie,1.111612
Qamdo,1.105805
Bazhong,1.105697
Yunlin,1.104775
Laibin,1.101467
Baise,1.099683
Yuxi,1.099514
Guigang,1.092643
Miaoli,1.091621
Huangnan,1.085062
Longnan,1.081099
Hotan,1.076594
Changhua,1.076594
Aksu,1.073044
Pu'er,1.066981
Sansha,1.064455
Haidong,1.064455
Liupanshui,1.064268
Penghu,1.064118
Linxia,1.055831
Baoting,1.055831
Danzhou,1.055101
Zhaotong,1.042497
Bortala,1.042497
Wenshan,1.025796
Dongfang,1.025796
Yushuzhou,1.025796
Lincang,1.025796
Chengmai,1.025796
Golog,1.025796
Dingan,1.003146
Nujiang,1.003146
