city,distance
Wuzhou,4.867559
Shanghai,4.426636
Guilin,4.368124
Guangzhou,4.259555
Nanning,3.987717
Beijing,3.341853
Zhaoqing,3.042508
Foshan,2.979597
Liuzhou,2.957344
Shenzhen,2.910577
Yongzhou,2.745927
Yulin,2.713549
Hong Kong,2.642576
Chifeng,2.560607
Taipei,2.560607
Zhuhai,2.513943
Hangzhou,2.403572
Qingyuan,2.403572
Chengdou,2.335569
Guigang,2.253376
Suzhou,2.253376
Zhongshan,2.253376
Changsha,2.146890
Dongguan,2.146890
Jinhua,2.146890
Jiuquan,2.146890
Lhasa,2.146890
Xuzhou,2.146890
Yichun,2.146890
Zhanjiang,2.146890
Chaozhou,1.986418
Chongzuo,1.986418
Fangchenggang,1.986418
Hechi,1.986418
Jiangmen,1.986418
Jingdezhen,1.986418
Kumul(Hami),1.986418
Kunming,1.986418
Meishan,1.986418
New Taipei,1.986418
Qiandongnan,1.986418
Qingdao,1.986418
Qinzhou,1.986418
Qujing,1.986418
Sansha,1.986418
Shamen,1.986418
Shangrao,1.986418
Taichung,1.986418
Tangshan,1.986418
Tianjin,1.986418
Wuhan,1.986418
Xianyang,1.986418
Xishuangbanna,1.986418
Yangjiang,1.986418
Yingtan,1.986418
Zhangzhou,1.986418
Zunyi,1.986418
Jiaxing,1.950522
Nanjing,1.917301
Wuxi,1.916262
Beihai,1.887508
Changzhou,1.851762
Ningbo,1.850677
Yunfu,1.774605
Baise,1.761156
Zhoushan,1.758179
Nantong,1.741823
Huzhou,1.700863
Sanya,1.696413
Shaoxing,1.672673
Huizhou,1.663521
Xi'an,1.659292
Chongqing,1.655329
Yangzhou,1.649596
Jieyang,1.630661
Chengde,1.628534
Shaoguan,1.628071
Macau,1.619410
Taoyuan,1.610659
Laibin,1.601349
Zhenjiang,1.599767
Dalian,1.591950
Fuzhou,1.590165
Langfang,1.585550
Huangshan,1.584557
Hefei,1.582565
Hengyang,1.579796
Wenzhou,1.577401
Shantou,1.570009
Guiyang,1.566348
Shenyang,1.553068
Baoding,1.550859
Taizhou,1.550054
Jinan,1.549508
Xilingol,1.548691
Shijiazhuang,1.547046
Qinhuangdao,1.545692
Haikou,1.544170
Zhengzhou,1.542073
Changchun,1.536389
Zhuzhou,1.536389
Harbin,1.536289
Taizhou,1.521335
Dongguan,1.504670
Yancheng,1.500425
Taiyuan,1.496814
Jiayuguan,1.491036
Lijiang,1.484187
Heyuan,1.473879
Lanzhou,1.463818
Yantai,1.460872
Zhangjiakou,1.459262
Urumqi,1.458158
Maoming,1.452421
Mianyang,1.452421
Quanzhou,1.452421
Haixi,1.452137
Lianyungang,1.448600
Nyingchi,1.445810
Zhangjiajie,1.445012
Shanwei,1.444523
Hohhot,1.442517
Leshan,1.432709
Ngawa,1.429913
Wuhu,1.429853
Chenzhou,1.428595
Shaoyang,1.426531
Xuancheng,1.421863
Meizhou,1.418189
Keelung,1.415643
Xiangtan,1.404445
Hsinchu,1.398580
Kaohsiung,1.395427
Nagqu,1.394471
Turpan,1.388504
Tongliao,1.387032
Huai'an,1.384979
Nanping,1.384865
Chizhou,1.384294
Shannan,1.382850
Yueyang,1.380951
Cangzhou,1.379330
Ganzhou,1.378353
Yilan,1.371145
Xiangxi,1.367264
Yinchuan,1.366582
Quzhou,1.365517
Jiujiang,1.364981
Luoyang,1.364037
Hualien,1.363088
Weihai,1.360742
Tai'an,1.359434
Lishui,1.358777
Bangbu,1.357209
Xinyu,1.355473
Xining,1.353714
Huaihua,1.351797
Datong,1.351461
Yichang,1.346707
Chuzhou,1.346550
Hulunbuir,1.345940
Pingxiang,1.343476
Nantou,1.339323
Deyang,1.336458
Zhangye,1.334927
Jining,1.334280
Qiannan,1.331966
Huludao,1.330859
Dali,1.327635
Baotou,1.324569
Ma'anshan,1.322281
Changhua,1.321274
Jian,1.321105
Jinzhong,1.320685
Longyan,1.313485
Dezhou,1.313036
Pu'er,1.312976
Nanyang,1.312737
Anqing,1.312504
Pingdong,1.312012
Tainan,1.311575
Diqing,1.308821
Linyi,1.308601
Ningde,1.301764
Zaozhuang,1.301764
Weifang,1.298464
Xinzhou,1.297617
Honghe,1.296202
Anshun,1.296202
Rizhao,1.290613
Tongren,1.286365
Jinzhou,1.286365
Handan,1.282808
Garze,1.282111
Zibo,1.281329
Xiangyang,1.279361
Ordos,1.277019
Yanbian,1.276951
Shizuishan,1.276163
Jilin,1.275454
Ya'an,1.274010
Chiayi,1.272051
Hengshui,1.268099
Lu'an,1.264946
Baoji,1.258362
Kaifeng,1.258362
Xianning,1.257797
Changde,1.257034
Dandong,1.256746
Hinggan,1.255932
Tongling,1.255455
Qamdo,1.255145
Xiuqian,1.255085
Xingtai,1.253857
Weicu,1.253790
Anyang,1.252708
Fuzhou,1.252708
Heze,1.252708
Loudi,1.252708
Dongying,1.251883
Xinyang,1.251226
Fuyang,1.250944
Guang'an,1.250944
Liaocheng,1.250944
Zigong,1.250944
Xiuzhou,1.250529
Nanchong,1.244890
Wanning,1.242998
Qiqihar,1.242837
Taidong,1.242250
Jiaozuo,1.241368
Xinxiang,1.240997
Yibin,1.240723
Chaoyang,1.240511
Miaoli,1.237404
Liupanshui,1.235964
Fushun,1.232453
Shangqiu,1.230889
Daqing,1.229567
Anshan,1.228725
Panjin,1.225721
Yunlin,1.224118
Suihua,1.223937
Baoshan,1.222908
Neijiang,1.222888
Yiyang,1.220601
Huaibei,1.218134
Ulanqab,1.217689
Enshi,1.217689
Liangshanzhou,1.217571
Yingkou,1.215597
Huainan,1.214810
Yan'an,1.210087
Sanming,1.209586
Suining,1.208725
Putian,1.207166
Ngari,1.205256
Qionghai,1.204679
Huangshi,1.204035
Huanggang,1.204035
Wuwei,1.203722
Shiyan,1.202768
Luzhou,1.202656
Yuxi,1.201245
Ziyang,1.200864
Binzhou,1.200860
Yangquan,1.198545
Ili(Yili),1.194708
Tianshui,1.194708
Bijie,1.194708
Xiaogan,1.194708
Bayannur,1.194708
Xuchang,1.194708
Ezhou,1.194708
Changji,1.194128
Mudanjiang,1.192553
Yuncheng,1.192553
Jingzhou,1.180462
Jinchang,1.177195
Alxa,1.177195
Guangyuan,1.176802
Changzhi,1.175920
Weinan,1.172356
Jiyuan,1.168413
Tieling,1.168413
Zhumadian,1.167001
Shuozhou,1.166335
Alty,1.165735
Bozhou,1.164746
Benxi,1.164620
Suizhou,1.164339
Laiwu,1.164339
Qianxinan,1.164339
Zhoukou,1.164339
Jiamusi,1.161081
Linfen,1.157211
Puyang,1.155476
Baishan,1.153013
Dazhou,1.152861
Yulin,1.152525
Siping,1.150497
Lvliang,1.148418
Luohe,1.146112
Zhongwei,1.145197
Dongfang,1.144416
Penghu,1.143295
Kashgar,1.140673
Sanmenxia,1.135157
Kinmen,1.133487
Liaoyang,1.133257
Jingmen,1.133257
Fuxin,1.129527
Wenshan,1.126591
Gannan,1.125426
Panzhihua,1.123186
Pingdingshan,1.121099
Yichun,1.119411
Keramay,1.118074
Ankang,1.117910
Wenchang,1.117910
Dehong,1.116516
Bayingolin,1.115841
Haibei,1.114025
Wuhai,1.113302
Tonghua,1.111643
Hebi,1.111643
Daxinganling,1.108213
Danzhou,1.098728
Ledong,1.098143
Jincheng,1.096872
Hanzhong,1.096872
Bazhong,1.088823
Lincang,1.083235
Baiyin,1.077557
Songyuan,1.072934
Heihe,1.072783
Dingan,1.072783
Lingshui,1.072540
Jixi,1.070034
Aksu,1.069862
Baicheng,1.067010
Shangluo,1.059186
Baoting,1.057978
Tongchuan,1.052061
Wuzhong,1.049521
Zhaotong,1.048565
Liaoyuan,1.044591
Hotan,1.044591
Qingyang,1.044098
Haidong,1.039462
Bortala,1.039462
Dingxi,1.035568
Shuangyashan,1.031297
Nujiang,1.031158
Changjiang,1.031158
Huangnan,1.031158
Tacheng,1.031158
Wuzhishan,1.029125
Hegang,1.013610
Pingliang,1.011998
Golog,1.005084
Qitaihe,0.997449
Guyuan,0.996728
Linxia,0.996728
Longnan,0.996728
Chengmai,0.974614
Yushuzhou,0.961366
Kezilsu,0.894466
Qiongzhong,0.858775
