city,distance
Hulunbuir,5.279242
Beijing,4.659250
Hohhot,3.989867
Tongliao,3.429887
Baicheng,3.389160
Shanghai,3.302217
Daxinganling,3.206200
Changchun,3.153880
Harbin,3.153880
Shenyang,2.972364
Chifeng,2.900224
Jilin,2.819295
Xilingol,2.819295
Dalian,2.726190
Baoding,2.472548
Heihe,2.472548
Huludao,2.472548
Jiamusi,2.472548
Nanjing,2.472548
Ordos,2.472548
Qiqihar,2.472548
Shijiazhuang,2.472548
Tianjin,2.472548
Zhengzhou,2.472548
Zhenjiang,2.472548
Chengde,2.262086
Datong,2.262086
Fuxin,2.262086
Fuzhou,2.262086
Ganzhou,2.262086
Guangzhou,2.262086
Hong Kong,2.262086
Qinhuangdao,2.262086
Sanya,2.262086
Songyuan,2.262086
Taizhou,2.262086
Urumqi,2.262086
Wuhan,2.262086
Wuxi,2.262086
Zhuhai,2.262086
Baotou,1.964805
Suzhou,1.898588
Hangzhou,1.843321
Langfang,1.831208
Ulanqab,1.830802
Chengdou,1.829692
Xi'an,1.785961
Qingdao,1.785803
Jinan,1.783301
Shenzhen,1.766085
Shamen,1.751272
Daqing,1.738477
Taiyuan,1.713863
Jiaxing,1.696051
Tangshan,1.694543
Chongqing,1.687924
Zhangjiakou,1.664808
Changsha,1.654733
Bayannur,1.647830
Kunming,1.638270
Taipei,1.627070
Nanyang,1.626203
Mudanjiang,1.621877
Changzhou,1.620882
Yanbian,1.620596
Ningbo,1.620051
Hefei,1.591208
Fushun,1.575456
Nanchang,1.571729
Yantai,1.571105
Siping,1.563804
Cangzhou,1.561569
Suihua,1.561424
Anshan,1.561106
Yinchuan,1.560566
Yangzhou,1.555182
Guiyang,1.551143
Lanzhou,1.550575
Zhoushan,1.548726
Wuhai,1.542134
Jinzhou,1.538821
Guilin,1.538290
Tai'an,1.536118
Nantong,1.536021
Dandong,1.528870
Lijiang,1.523420
Taoyuan,1.515399
Hegang,1.514935
Luoyang,1.514909
Nanning,1.512322
Macau,1.511037
Alxa,1.507105
Dongguan,1.504670
Huzhou,1.504079
Shuangyashan,1.502252
Haikou,1.500526
Liaoyang,1.499181
Baishan,1.494162
Benxi,1.492729
Lhasa,1.487476
Tieling,1.487022
Jinzhong,1.486824
Xuzhou,1.483519
Xining,1.482176
Dongying,1.480084
Kaifeng,1.478599
Tonghua,1.478497
Dezhou,1.477137
Yingkou,1.472513
Weihai,1.467984
Jining,1.464710
Wenzhou,1.463865
Weifang,1.458721
Xinzhou,1.457652
Foshan,1.455369
Ngawa,1.453014
Yichun,1.445687
Jinhua,1.444458
Panjin,1.441812
Handan,1.438990
Zibo,1.437129
Zhongshan,1.431345
Yulin,1.429338
Shuozhou,1.427650
Hengshui,1.420508
Turpan,1.420460
Jiujiang,1.415815
Huangshan,1.412404
Jiaozuo,1.408225
Keramay,1.408225
Liangshanzhou,1.408225
Huizhou,1.408225
Sanming,1.408225
Dehong,1.408225
Changzhi,1.408225
Yan'an,1.408225
Yiyang,1.408225
Changji,1.407698
Xinxiang,1.403968
Xingtai,1.402661
Yichang,1.401843
Zaozhuang,1.398095
Zhangjiajie,1.398095
Chaoyang,1.397605
Jian,1.392003
Quanzhou,1.389698
Liaoyuan,1.389238
Alty,1.388156
Linyi,1.387970
Anyang,1.385187
Taizhou,1.384925
Dali,1.379423
Ngari,1.378588
Jixi,1.378581
Ningde,1.374825
Baoji,1.371810
Bangbu,1.365352
Huai'an,1.360843
Hezhou,1.360780
Wanning,1.360333
Ili(Yili),1.360209
Diqing,1.356751
Dongguan,1.356155
Lianyungang,1.350646
Qitaihe,1.346961
Nanping,1.346823
Yancheng,1.345171
Xiangyang,1.342196
Lingshui,1.342096
Hanzhong,1.342096
Beihai,1.342096
Binzhou,1.336669
Kaohsiung,1.335244
Shangrao,1.333801
Yangquan,1.333801
Liaocheng,1.330111
Putian,1.329487
Mianyang,1.324731
Liuzhou,1.323941
Wuhu,1.323145
Bayingolin,1.319246
Jiuquan,1.319078
Qionghai,1.318065
Heyuan,1.312322
Pingdingshan,1.311913
Shizuishan,1.310601
Xiangxi,1.310463
Xinyang,1.310463
Rizhao,1.309563
New Taipei,1.308655
Xuchang,1.307754
Xianning,1.306037
Kashgar,1.301570
Shangqiu,1.299382
Chuzhou,1.299132
Yuncheng,1.299132
Xianyang,1.297121
Jingdezhen,1.296101
Longyan,1.295495
Leshan,1.290850
Heze,1.289767
Wuzhong,1.284314
Zhangye,1.284314
Xuancheng,1.281683
Puyang,1.280679
Changde,1.280679
Meizhou,1.280679
Yueyang,1.279485
Anqing,1.274565
Jiangmen,1.274556
Taichung,1.273298
Jingzhou,1.272626
Lvliang,1.272014
Zhongwei,1.268063
Huanggang,1.266741
Linfen,1.266711
Jieyang,1.266711
Sanmenxia,1.265606
Ma'anshan,1.265478
Weinan,1.265341
Baoshan,1.263952
Zhangzhou,1.262543
Luohe,1.261114
Xiaogan,1.260144
Huangshi,1.258558
Xishuangbanna,1.258194
Zhuzhou,1.258194
Yibin,1.256701
Fuyang,1.253646
Garze,1.253646
Zhanjiang,1.253646
Qiandongnan,1.253646
Yichun,1.252083
Chizhou,1.251077
Jiayuguan,1.249005
Deyang,1.248879
Kumul(Hami),1.247025
Pingdong,1.245567
Zunyi,1.245567
Qingyuan,1.244269
Gannan,1.243868
Nanchong,1.242138
Quzhou,1.240377
Aksu,1.237054
Xiangtan,1.236756
Jiyuan,1.234370
Zhumadian,1.232795
Zhaoqing,1.231715
Shiyan,1.231288
Xiuzhou,1.231054
Ya'an,1.231054
Bozhou,1.231054
Lishui,1.230197
Zhoukou,1.229178
Nantou,1.229074
Shantou,1.229074
Hebi,1.227053
Hualien,1.227053
Anshun,1.224987
Pingxiang,1.224987
Shaoguan,1.224778
Loudi,1.222874
Yingtan,1.219258
Yongzhou,1.213911
Nyingchi,1.213911
Jincheng,1.209081
Guangyuan,1.209081
Luzhou,1.209081
Ezhou,1.207300
Huainan,1.206566
Chiayi,1.206566
Hengyang,1.203980
Tainan,1.203980
Laiwu,1.203980
Sansha,1.202958
Shanwei,1.202315
Tacheng,1.201507
Jingmen,1.201000
Taidong,1.195746
Hotan,1.194222
Guang'an,1.192939
Meishan,1.192939
Baiyin,1.192939
Pu'er,1.192939
Tianshui,1.192939
