city,distance
Beijing,5.171533
Shanghai,4.624882
Baotou,3.871144
Ordos,3.801464
Ulanqab,3.383251
Xilingol,2.998921
Hulunbuir,2.975955
Bayannur,2.807223
Tianjin,2.788874
Shijiazhuang,2.743748
Zhangjiakou,2.723291
Shenyang,2.694822
Chengdou,2.672475
Guangzhou,2.641178
Jinan,2.616434
Xi'an,2.590451
Chifeng,2.581487
Yinchuan,2.563063
Datong,2.553587
Taiyuan,2.553587
Hangzhou,2.543925
Hinggan,2.524001
Harbin,2.513719
Wuhai,2.513719
Wuhan,2.513719
Zhengzhou,2.470164
Changchun,2.458595
Alxa,2.421960
Urumqi,2.409030
Nanjing,2.395696
Shenzhen,2.395696
Hong Kong,2.367683
Dongying,2.352928
Qingdao,2.337612
Changsha,2.321682
Tongliao,2.321682
Suzhou,2.272200
Chongqing,2.250401
Guiyang,2.208805
Lanzhou,2.208805
Kunming,2.161549
Sanya,2.161549
Yulin,2.161549
Xinzhou,2.135151
Haikou,2.106394
Luoyang,2.106394
Ngari,2.106394
Shuozhou,2.106394
Tangshan,2.106394
Dalian,2.074715
Qinhuangdao,2.074715
Weihai,2.074715
Yantai,2.074715
Hefei,2.039308
Jinzhong,2.039308
Shamen,2.039308
Yan'an,2.039308
Ningbo,1.998961
Wuxi,1.998961
Jiaxing,1.988073
Jinzhou,1.951700
Chengde,1.951700
Shizuishan,1.951700
Yangzhou,1.951700
Zhoushan,1.951700
Langfang,1.905390
Huludao,1.893972
Huzhou,1.893972
Jilin,1.893972
Jining,1.893972
Jiuquan,1.893972
Bangbu,1.893972
Lhasa,1.893972
Nanchang,1.893972
Nanning,1.893972
Nantong,1.893972
Cangzhou,1.893972
Wuzhong,1.893972
Xuzhou,1.893972
Zhangye,1.893972
Zhuhai,1.893972
Zibo,1.893972
Changzhou,1.885573
Baoding,1.855511
Jiaozuo,1.818174
Dezhou,1.818174
Jiayuguan,1.818174
Jinhua,1.818174
Lijiang,1.818174
Tai'an,1.818174
Taipei,1.818174
Baicheng,1.818174
Weinan,1.818174
Wenzhou,1.818174
Xingtai,1.818174
Xining,1.818174
Dongguan,1.818174
Shaoxing,1.785571
Hengshui,1.701748
Huai'an,1.701748
Huizhou,1.701748
Jincheng,1.701748
Foshan,1.701748
Anyang,1.701748
Jiujiang,1.701748
Jixi,1.701748
Kashgar,1.701748
Leshan,1.701748
Liaocheng,1.701748
Linyi,1.701748
Lishui,1.701748
Ma'anshan,1.701748
Macau,1.701748
Meishan,1.701748
Mudanjiang,1.701748
Fuzhou,1.701748
Panjin,1.701748
Pu'er,1.701748
Qionghai,1.701748
Qiqihar,1.701748
Daxinganling,1.701748
Shangrao,1.701748
Shaoguan,1.701748
Baiyin,1.701748
Baise,1.701748
Siping,1.701748
Haixi,1.701748
Handan,1.701748
Taoyuan,1.701748
Tianshui,1.701748
Changzhi,1.701748
Wanning,1.701748
Weifang,1.701748
Baoshan,1.701748
Xianyang,1.701748
Anshan,1.701748
Xishuangbanna,1.701748
Yanbian,1.701748
Yancheng,1.701748
Yibin,1.701748
Yichang,1.701748
Yueyang,1.701748
Yuxi,1.701748
Zhangjiajie,1.701748
Guang'an,1.701748
Zhenjiang,1.701748
Zhongwei,1.701748
Zhumadian,1.701748
Guilin,1.701748
Huangshan,1.609250
Taizhou,1.573675
Ngawa,1.549506
Taizhou,1.544082
Baoji,1.487046
Dongying,1.480084
Kaifeng,1.477746
Turpan,1.477035
Lianyungang,1.469209
Changji,1.463240
Daqing,1.462931
Wuhu,1.449929
Dandong,1.449618
Alty,1.442138
Xuancheng,1.441714
Zaozhuang,1.440925
Deyang,1.440361
Xinxiang,1.428704
Liaoyang,1.425150
Quanzhou,1.424385
Anshun,1.421528
Dali,1.421100
Benxi,1.419318
Mianyang,1.417670
Changde,1.417255
Jinchang,1.414774
Ili(Yili),1.411998
Zhongshan,1.408661
Nagqu,1.407815
Tieling,1.403946
Nanping,1.403689
Chizhou,1.403102
Yingkou,1.401030
Diqing,1.397050
Binzhou,1.389469
Suihua,1.386601
Xianning,1.386151
Qiandongnan,1.385742
