city,distance
Kunming,6.472954
Yuxi,4.056444
Shanghai,3.447346
Wenshan,3.422227
Beijing,3.342838
Qujing,2.876294
Guangzhou,2.767686
Pu'er,2.767686
Xishuangbanna,2.705035
Changzhou,2.634500
Chengdou,2.634500
Dali,2.634500
Fangchenggang,2.634500
Nanning,2.634500
Lijiang,2.553111
Chongqing,2.553024
Beihai,2.455134
Xi'an,2.455134
Dalian,2.329259
Fuzhou,2.329259
Hangzhou,2.329259
Qingdao,2.329259
Sanya,2.329259
Shenzhen,2.329259
Wuhan,2.329259
Weicu,2.228900
Changsha,2.141558
Baoshan,2.141558
Diqing,2.141558
Haikou,2.141558
Hong Kong,2.141558
Huizhou,2.141558
Nanjing,2.141558
Ningbo,2.141558
Qinzhou,2.141558
Taizhou,2.141558
Tianjin,2.141558
Tongren,2.141558
Wuxi,2.141558
Zhengzhou,2.141558
Suzhou,1.945682
Guiyang,1.897317
Dehong,1.798135
Shamen,1.766693
Wenzhou,1.735676
Jiaxing,1.733534
Changde,1.698986
Hefei,1.689245
Lhasa,1.653563
Meizhou,1.653563
Zhaotong,1.653563
Foshan,1.649202
Baise,1.644084
Jinan,1.641018
Panzhihua,1.634399
Guilin,1.627521
Yinchuan,1.625859
Lincang,1.612893
Liangshanzhou,1.605083
Huaihua,1.596896
Liupanshui,1.592647
Langfang,1.585772
Zhoushan,1.579921
Taipei,1.569591
Nantong,1.566700
Harbin,1.564559
Nanchang,1.553995
Baoding,1.551071
Lanzhou,1.548435
Qianxinan,1.548435
Taiyuan,1.548435
Shijiazhuang,1.547257
Qinhuangdao,1.545903
Urumqi,1.542671
Leshan,1.539893
Yibin,1.536684
Ngawa,1.536663
Huzhou,1.533484
Shenyang,1.530455
Anshun,1.523960
Nujiang,1.523960
Zhuhai,1.523960
Shaoxing,1.510532
Jinhua,1.510065
Liuzhou,1.506835
Dongguan,1.505509
Chongzuo,1.503003
Yangzhou,1.491687
Xianyang,1.482304
Tangshan,1.482250
Xiangxi,1.466847
Bangbu,1.463060
Zhangjiakou,1.459449
Macau,1.458034
Qiandongnan,1.458034
Zhenjiang,1.450823
Hohhot,1.447117
Xining,1.447117
Zunyi,1.447117
Chengde,1.446830
Weinan,1.444317
Zhongshan,1.443860
Baoji,1.441440
Changchun,1.440627
Huangshan,1.438302
Quanzhou,1.435237
Deyang,1.429257
Yantai,1.422186
Yichang,1.422186
Jiangmen,1.418524
Jining,1.407673
Loudi,1.407673
Luoyang,1.407673
Mianyang,1.406912
Ningde,1.399351
Ordos,1.391284
Anyang,1.391284
Taizhou,1.386020
Wanning,1.384341
Qingyuan,1.383264
Putian,1.382389
Dandong,1.382389
Cangzhou,1.379497
Guigang,1.378263
Qionghai,1.378250
Weifang,1.375882
Jingdezhen,1.372386
Shantou,1.372386
Taoyuan,1.372386
Hengyang,1.372386
Yinchuan,1.372386
Yulin,1.372386
Zhuzhou,1.372386
Yancheng,1.368643
Zhaoqing,1.367766
Garze,1.367276
Yan'an,1.363288
Hezhou,1.360514
Tai'an,1.359597
Ya'an,1.358067
Wuzhou,1.353617
Kaifeng,1.353501
Datong,1.351622
Shaoguan,1.349946
Linyi,1.349943
Luzhou,1.349943
Nanchong,1.349943
Neijiang,1.349943
Xiangyang,1.349943
Yingtan,1.349943
Yulin,1.349943
Hanzhong,1.349943
Zhanjiang,1.349943
Hechi,1.348428
Nanping,1.347372
Yingkou,1.342328
Shangrao,1.335762
Dezhou,1.331785
Huludao,1.331015
Weihai,1.330897
Xianning,1.328151
Laibin,1.327524
Lianyungang,1.325390
Baotou,1.324723
Zhangjiajie,1.322386
Longyan,1.322071
Kaohsiung,1.322071
Ganzhou,1.322071
Nyingchi,1.322071
Hulunbuir,1.322071
Qiannan,1.322071
Taichung,1.322071
Chifeng,1.322071
Yichun,1.322071
Zigong,1.322071
Jinzhong,1.320839
Meishan,1.317825
