city,distance
Urumqi,5.848052
Kashgar,4.394942
Bayingolin,4.078296
Shanghai,4.007282
Beijing,3.586722
Aksu,3.234300
Chongqing,3.078787
Yinchuan,2.883385
Haikou,2.601163
Harbin,2.601163
Jiayuguan,2.601163
Jinhua,2.601163
Kezilsu,2.601163
Mianyang,2.601163
Sanya,2.601163
Suzhou,2.601163
Xi'an,2.601163
Turpan,2.309872
Changji,2.276312
Alty,2.225648
Ili(Yili),2.154669
Keramay,2.033184
Chengdou,2.030942
Hangzhou,2.027974
Tianjin,1.912280
Kumul(Hami),1.883822
Shijiazhuang,1.865444
Jiaxing,1.864546
Lanzhou,1.850097
Guangzhou,1.845520
Nanjing,1.834166
Wuxi,1.833215
Hong Kong,1.829145
Shamen,1.807336
Jiuquan,1.803647
Tacheng,1.781847
Changzhou,1.774098
Ningbo,1.773102
Zhengzhou,1.765871
Wuhan,1.762525
Bortala,1.748575
Taiyuan,1.725681
Ngari,1.719008
Changsha,1.690345
Zhoushan,1.688018
Nantong,1.672935
Shenzhen,1.656336
Hohhot,1.646870
Langfang,1.638627
Zhongwei,1.636711
Huzhou,1.635116
Haixi,1.634157
Kunming,1.634157
Xining,1.634157
Shenyang,1.627441
Shizuishan,1.625763
Qingdao,1.622130
Lhasa,1.614571
Jinan,1.613177
Shaoxing,1.609046
Baoding,1.601602
Zhangye,1.596818
Qinhuangdao,1.596092
Yangzhou,1.587681
Taipei,1.581087
Dalian,1.571159
Deyang,1.562637
Guiyang,1.559160
Qionghai,1.555087
Zhenjiang,1.541470
Luoyang,1.539492
Wuzhong,1.535020
Xianyang,1.534310
Tangshan,1.528330
Huangshan,1.527343
Hefei,1.525492
Wenzhou,1.520694
Zhangjiakou,1.504101
Changchun,1.499581
Taizhou,1.495262
Weinan,1.493646
Lijiang,1.492487
Daqing,1.492124
Macau,1.491116
Chengde,1.490701
Baoji,1.490570
Alxa,1.486680
Ngawa,1.484974
Gannan,1.483456
Guilin,1.483456
Fuzhou,1.482519
Wanning,1.476041
Wuhai,1.472755
Taizhou,1.468520
Nanchang,1.465972
Jinchang,1.465266
Nanning,1.465266
Mudanjiang,1.462110
Yancheng,1.449027
Guangyuan,1.446870
Shangqiu,1.444319
Dongguan,1.444319
Baotou,1.444319
Xishuangbanna,1.444319
Zhuhai,1.444319
Yantai,1.427197
Yantai,1.422186
Taoyuan,1.421916
Tai'an,1.419484
Guang'an,1.419100
Yichang,1.417498
Xuzhou,1.416704
Wenchang,1.416115
Huizhou,1.412852
Luzhou,1.412852
Qingyang,1.412852
Wuwei,1.412852
Suihua,1.412799
Shangrao,1.412222
Yan'an,1.407154
Quzhou,1.403190
Zunyi,1.400880
Lianyungang,1.400634
Yulin,1.397736
Zhangjiajie,1.397280
Dazhou,1.393957
Datong,1.389833
Haibei,1.388698
Linyi,1.388698
Ordos,1.388698
Hulunbuir,1.388698
Foshan,1.388698
Zhongshan,1.388698
Diqing,1.385397
Zibo,1.385397
Lishui,1.384258
Wuhu,1.383101
Guyuan,1.377627
Xuancheng,1.375624
Qiqihar,1.373637
Suining,1.372055
Huludao,1.368054
Quanzhou,1.359839
Jinzhong,1.357306
Nanchong,1.356354
Danzhou,1.349742
Dezhou,1.349228
Nanyang,1.347509
Jinzhou,1.347509
Ganzhou,1.347509
Yanbian,1.347509
Yibin,1.347509
Yueyang,1.347509
Yuncheng,1.347509
Zhaoqing,1.347509
Dongying,1.347509
Neijiang,1.346202
Zhanjiang,1.342295
Weihai,1.341588
Huai'an,1.341070
Nanping,1.340963
Chizhou,1.340428
Jining,1.338853
Hanzhong,1.334015
Weifang,1.333846
Jiamusi,1.333551
Xinzhou,1.332953
Xiangxi,1.328501
Leshan,1.327368
Chifeng,1.326490
Zigong,1.326223
Heihe,1.325019
Jiujiang,1.322312
Enshi,1.320317
Lingshui,1.317781
Daxinganling,1.317373
Yichun,1.317373
Handan,1.317330
Bangbu,1.315017
Ankang,1.312616
Beihai,1.311596
Chengmai,1.310798
Jilin,1.309577
Chuzhou,1.305008
Yingtan,1.303969
Kaohsiung,1.302618
Hengshui,1.301824
Dingan,1.295140
Dandong,1.289862
Xingtai,1.286819
Xilingol,1.284037
Jingdezhen,1.283112
Tongren,1.283030
Zaozhuang,1.282975
Haidong,1.282480
Jieyang,1.282480
Panjin,1.282480
Pingdingshan,1.282480
Jincheng,1.282480
Rizhao,1.282480
Sanmenxia,1.282480
Jiaozuo,1.282480
Keelung,1.282480
Taichung,1.282480
Tianshui,1.282480
Benxi,1.282480
Jingzhou,1.282480
Xiuqian,1.282480
Meizhou,1.282480
Kaifeng,1.282480
Yunfu,1.282480
Yushuzhou,1.282480
Jian,1.282480
Dingxi,1.282480
Zhoukou,1.282480
Hinggan,1.282480
Zhumadian,1.282480
Zhuzhou,1.282480
Ma'anshan,1.282200
Shangluo,1.279455
Dali,1.277741
Xinxiang,1.273277
Anqing,1.273005
Anyang,1.272097
Liuzhou,1.270366
Fushun,1.264285
Ningde,1.262899
Jixi,1.261420
Anshan,1.260363
Ledong,1.256822
Pingliang,1.255619
New Taipei,1.254591
Yingkou,1.246553
Ulanqab,1.245525
Tongchuan,1.242406
Xiangyang,1.238413
Baoting,1.233816
Binzhou,1.231061
Yangquan,1.228628
Shantou,1.228217
Lu'an,1.228217
Liangshanzhou,1.227016
Garze,1.227016
Siping,1.226056
Liaocheng,1.225495
Nagqu,1.223531
Qitaihe,1.222087
Tongling,1.219267
Huaihua,1.217465
Songyuan,1.215799
Ziyang,1.214050
Nyingchi,1.210503
Longyan,1.209363
Xinyang,1.208797
Baiyin,1.207250
Hegang,1.206687
Yichun,1.202110
Changzhi,1.201660
Chaoyang,1.200831
Nantou,1.200416
Shaoguan,1.199125
Pingdong,1.199125
Wuzhishan,1.198471
Tongliao,1.197436
Dehong,1.196139
Zhangzhou,1.195134
Shuozhou,1.194803
Baoshan,1.194748
Tieling,1.193837
Changjiang,1.193102
Dongfang,1.193102
Hezhou,1.192837
Heze,1.191167
Xiangtan,1.190335
Qiandongnan,1.190335
Bayannur,1.189849
Fuyang,1.187069
Shiyan,1.185690
Huaibei,1.184037
Puyang,1.183411
Changde,1.183411
Huainan,1.180896
Meishan,1.180866
Ya'an,1.177656
Hualien,1.177637
Xiuzhou,1.177637
Xinyu,1.176522
Lvliang,1.176008
Sanming,1.175960
Putian,1.173672
Baishan,1.172631
Linfen,1.171474
Tainan,1.168903
Jiangmen,1.168903
Xuchang,1.166686
Luohe,1.166686
Bazhong,1.164212
Panzhihua,1.164212
Pingxiang,1.163198
Yunlin,1.157780
Shuangyashan,1.156439
Fuxin,1.156207
Shannan,1.153337
Qingyuan,1.151231
Huanggang,1.150427
Chiayi,1.148144
Fuzhou,1.146556
Yuxi,1.143347
Hengyang,1.143284
Bozhou,1.140912
Liaoyang,1.140912
Huangshi,1.138998
Hebi,1.137475
Tonghua,1.137475
Anshun,1.135699
Loudi,1.135049
Chongzuo,1.134387
Xiaogan,1.133884
Weicu,1.132586
Jingmen,1.127344
Linxia,1.127344
Yilan,1.126644
Yongzhou,1.126173
Xianning,1.122368
Hsinchu,1.120217
Laiwu,1.117621
Longnan,1.115351
Bijie,1.115279
Penghu,1.113207
Sansha,1.113207
Taidong,1.110522
Qiongzhong,1.109514
Chaozhou,1.106832
Yiyang,1.105394
Wenshan,1.103102
Zhaotong,1.103102
Qujing,1.103102
Qiannan,1.103102
Honghe,1.096979
Kinmen,1.093789
Suizhou,1.092061
Baicheng,1.090787
Chenzhou,1.087163
Ezhou,1.083609
Shaoyang,1.083609
Qinzhou,1.080390
Qamdo,1.070426
Wuzhou,1.070426
Qianxinan,1.070360
Fangchenggang,1.067315
Heyuan,1.060081
Jiyuan,1.058761
Baise,1.057491
Liaoyuan,1.053493
Pu'er,1.051992
Maoming,1.051483
Shanwei,1.051483
Yangjiang,1.049074
Miaoli,1.046018
Guigang,1.041539
Hechi,1.035909
Huangnan,1.034649
Changhua,1.026947
Lincang,1.019417
Yulin,1.014531
Liupanshui,1.006132
Golog,0.981757
Laibin,0.960990
Nujiang,0.959906
