city,distance
Yanbian,5.363334
Changchun,4.766442
Jilin,4.059560
Beijing,3.935449
Shanghai,3.909347
Shenyang,3.356662
Harbin,3.028470
Tonghua,2.811241
Dalian,2.666116
Fushun,2.666116
Fangchenggang,2.619483
Hangzhou,2.466351
Yichang,2.466351
Liaoyuan,2.374876
Hong Kong,2.256898
Langfang,2.256898
Nanjing,2.256898
Qinhuangdao,2.256898
Anshan,2.256898
Siping,2.256898
Tangshan,2.256898
Tianjin,2.256898
Yingkou,2.256898
Suzhou,2.084734
Binzhou,2.080236
Chongqing,2.080236
Dandong,2.080236
Huludao,2.080236
Jinan,2.080236
Jingzhou,2.080236
Jinzhou,2.080236
Nantong,2.080236
Panjin,2.080236
Qingdao,2.080236
Sanya,2.080236
Shamen,2.080236
Shijiazhuang,2.080236
Taipei,2.080236
Wenzhou,2.080236
Wuhan,2.080236
Xining,2.080236
Yangzhou,2.080236
Baoding,2.080236
Jiaxing,1.843063
Wuxi,1.812443
Yantai,1.789761
Songyuan,1.757182
Changzhou,1.754637
Ningbo,1.753664
Guangzhou,1.732872
Chengdou,1.706444
Zhoushan,1.670391
Xi'an,1.668345
Shenzhen,1.660359
Tieling,1.658209
Zhengzhou,1.630172
Daqing,1.623529
Huzhou,1.618571
Taiyuan,1.605263
Shaoxing,1.593022
Liaoyang,1.591056
Benxi,1.583791
Zhangjiakou,1.562150
Changsha,1.553275
Jinhua,1.549736
Chengde,1.547700
Kunming,1.538761
Hohhot,1.533691
Hulunbuir,1.531629
Yichun,1.531629
Suihua,1.530056
Shuangyashan,1.529061
Zhenjiang,1.526757
Baicheng,1.524286
Huangshan,1.512898
Hefei,1.511081
New Taipei,1.507840
Qiqihar,1.484228
Bangbu,1.481676
Heihe,1.481676
Jixi,1.481676
Nanchang,1.481676
Urumqi,1.481676
Taizhou,1.481414
Macau,1.477345
Cangzhou,1.470901
Fuzhou,1.468905
Ngawa,1.468450
Guilin,1.465798
Guiyang,1.461647
Lanzhou,1.461142
Taizhou,1.455161
Tai'an,1.448298
Datong,1.439252
Jiamusi,1.437538
Lijiang,1.437005
Yancheng,1.436018
Taoyuan,1.429866
Yinchuan,1.428100
Nanning,1.427127
Tongliao,1.422996
Fuxin,1.422527
Daxinganling,1.418756
Haikou,1.416618
Enshi,1.415108
Zhuhai,1.415019
Hinggan,1.412596
Baotou,1.408792
Chaoyang,1.405444
Lhasa,1.404981
Jinzhong,1.404399
Xuzhou,1.404267
Foshan,1.403430
Ili(Yili),1.403430
Linyi,1.403430
Shangrao,1.403430
Shizuishan,1.403430
Guangyuan,1.403430
Ulanqab,1.403430
Weihai,1.403430
Chiayi,1.403430
Yuncheng,1.403430
Zhuzhou,1.403430
Luoyang,1.398837
Dezhou,1.395753
Nyingchi,1.388830
Lianyungang,1.388477
Zhangjiajie,1.385180
Jining,1.384653
Zibo,1.383950
Weifang,1.379299
Jingmen,1.378534
Xinzhou,1.378343
Chifeng,1.371434
Wuhu,1.371245
Xuancheng,1.363895
Haixi,1.363340
Ma'anshan,1.362848
Handan,1.361645
Ordos,1.355126
Dongying,1.350492
Quanzhou,1.348376
Hengshui,1.345085
Baoji,1.341300
Jiujiang,1.340877
Xiuzhou,1.339854
Huai'an,1.329921
Nanping,1.329816
Chizhou,1.329289
Xingtai,1.329072
Haibei,1.328959
Xilingol,1.326105
Zaozhuang,1.324972
Dongguan,1.324105
Hegang,1.319855
Shiyan,1.319500
Jiaozuo,1.315048
Xinxiang,1.314632
Anyang,1.313373
Quzhou,1.311965
Xiangyang,1.310553
Qitaihe,1.308851
Dali,1.308190
Lishui,1.305742
Kaifeng,1.305503
Taichung,1.301471
Beihai,1.300930
Chuzhou,1.294447
Yingtan,1.293425
Anqing,1.293199
Wanning,1.292392
Kaohsiung,1.292096
Diqing,1.287783
Zhangzhou,1.283980
Yan'an,1.279997
Jingdezhen,1.272902
Jian,1.270916
Xuchang,1.267447
Yangquan,1.267089
Liaocheng,1.263758
Liuzhou,1.260357
Xiangxi,1.259748
Mianyang,1.258900
Qamdo,1.257406
Rizhao,1.257406
Jiayuguan,1.257406
Ankang,1.257406
Wuzhou,1.257406
Xianyang,1.257406
Zhongwei,1.257406
Zhoukou,1.257406
Jieyang,1.257406
Keelung,1.255374
Qionghai,1.254181
Jiuquan,1.253794
Ningde,1.253007
Xinyang,1.246008
Zhongshan,1.243546
Xianning,1.243286
Hsinchu,1.241938
Liangshanzhou,1.240710
Heze,1.240710
Weinan,1.240710
Baise,1.240710
Changzhi,1.238426
Xiaogan,1.235348
Shuozhou,1.231145
Fuzhou,1.228575
Leshan,1.228264
Ganzhou,1.223258
Yilan,1.220256
Jiangmen,1.219563
Huanggang,1.219470
Longyan,1.219191
Puyang,1.219052
Changde,1.219052
Meizhou,1.219052
Shantou,1.218858
Lu'an,1.218858
Yueyang,1.217970
Yulin,1.215768
Hualien,1.213871
Bayannur,1.212362
Lvliang,1.211198
Tongling,1.210044
Huizhou,1.210020
Xiuqian,1.209701
Linfen,1.206389
Nagqu,1.204107
Baoshan,1.203886
Shangqiu,1.202608
Luohe,1.201312
Jiyuan,1.200600
Sanmenxia,1.200600
Garze,1.200600
Suining,1.200600
Xishuangbanna,1.200600
Loudi,1.200600
Qiannan,1.200600
Huangshi,1.200184
Yibin,1.197307
Nanyang,1.194534
Fuyang,1.194534
Qiandongnan,1.194534
Zhanjiang,1.194534
Haidong,1.194182
Yichun,1.193144
Huangnan,1.192860
Nantou,1.191475
Deyang,1.190204
Pingdong,1.190202
Shaoguan,1.190202
Yiyang,1.188082
Zunyi,1.187196
Zhangye,1.185936
Gannan,1.185652
Nanchong,1.184081
Hezhou,1.184008
Pingdingshan,1.180850
Xiangtan,1.179189
Sanming,1.177937
Keramay,1.177495
Dehong,1.175767
Huaibei,1.175337
Bozhou,1.174004
Ya'an,1.174004
Tainan,1.172850
Huainan,1.172242
Wuhai,1.172203
Hebi,1.170364
Lingshui,1.169423
Pingxiang,1.168485
Anshun,1.168485
Xinyu,1.167932
Qingyuan,1.166439
Putian,1.165123
Guang'an,1.162002
Yongzhou,1.158403
Zhaoqing,1.156233
Luzhou,1.154004
Hanzhong,1.154004
Jincheng,1.154004
Ezhou,1.153483
Laiwu,1.150782
Yunlin,1.149461
Hengyang,1.149357
Dazhou,1.145090
Alxa,1.144430
Tianshui,1.144021
Taidong,1.141850
Huaihua,1.139185
Bayingolin,1.136429
Weicu,1.136429
Turpan,1.136429
Zhumadian,1.136429
Alty,1.130613
Honghe,1.127536
Kumul(Hami),1.127536
Miaoli,1.113182
Neijiang,1.112666
Chongzuo,1.111317
Qinzhou,1.110018
Changji,1.110018
Yushuzhou,1.108843
Meishan,1.105978
Chaozhou,1.105978
Penghu,1.105514
Sansha,1.105514
Kashgar,1.103061
Baoting,1.102821
Qujing,1.101709
Wuzhong,1.101709
Changhua,1.100908
Suizhou,1.100761
Zigong,1.098983
Qianxinan,1.092360
Wenchang,1.092360
Bijie,1.087199
Shannan,1.087199
Baiyin,1.087199
Kinmen,1.086361
Panzhihua,1.081645
Chenzhou,1.079824
Shaoyang,1.076318
Heyuan,1.075625
Yuxi,1.075625
Wuzhishan,1.074497
Tongren,1.069157
Jinchang,1.069048
Guigang,1.069048
Yangjiang,1.061790
Shangluo,1.061790
Ziyang,1.061790
Fangchenggang,1.060241
Ledong,1.058041
Hotan,1.053680
Maoming,1.053680
Dingxi,1.049194
Yulin,1.047582
Pingliang,1.047582
Bazhong,1.044470
Pu'er,1.044470
Golog,1.040062
Wuwei,1.034355
Qingyang,1.033783
Longnan,1.033783
Shanwei,1.033783
Linxia,1.033783
Hechi,1.033783
Dongfang,1.028936
Dingan,1.028936
Aksu,1.020997
Tongchuan,1.020997
Zhaotong,1.020997
Bortala,1.020997
Guyuan,1.020997
Ngari,1.016785
Lincang,1.012961
Wenshan,1.004973
Chengmai,1.004973
Danzhou,0.997186
Tacheng,0.983645
Nujiang,0.983223
Yunfu,0.983223
Liupanshui,0.967199
Laibin,0.955251
Changjiang,0.891184
Qiongzhong,0.877439
Kezilsu,0.871173
