city,distance
Taipei,5.715431
Taoyuan,4.618969
Taichung,3.931500
New Taipei,3.902897
Miaoli,3.567801
Shanghai,3.048472
Kaohsiung,2.988195
Nantou,2.932171
Tainan,2.892114
Changhua,2.728072
Chiayi,2.728072
Keelung,2.686158
Yilan,2.671456
Hong Kong,2.608266
Yunlin,2.555224
Beijing,2.536202
Pingdong,2.474096
Hualien,2.427441
Shenzhen,2.202981
Guangzhou,2.155971
Suzhou,2.101097
Xi'an,2.101097
Shamen,2.034343
Tianjin,2.034343
Chengdou,1.947152
Chongqing,1.947152
Guilin,1.947152
Harbin,1.947152
Hefei,1.947152
Kinmen,1.947152
Nanjing,1.947152
Taidong,1.947152
Changsha,1.814226
Jiaxing,1.814226
Jinan,1.814226
Penghu,1.814226
Wuhan,1.814226
Wuxi,1.814226
Ya'an,1.814226
Baoji,1.814226
Hangzhou,1.749504
Macau,1.567141
Changzhou,1.557258
Ningbo,1.556491
Shijiazhuang,1.507598
Huai'an,1.502578
Dongguan,1.491671
Zhoushan,1.490539
Qingdao,1.486388
Nantong,1.478767
Fuzhou,1.477553
Dalian,1.468127
Ningde,1.458016
Huzhou,1.449139
Sanya,1.445908
Kunming,1.435220
Shaoxing,1.428625
Nanning,1.422169
Tai'an,1.419484
Chaozhou,1.417511
Yangzhou,1.411758
Foshan,1.410697
Zhengzhou,1.405439
Jinhua,1.393714
Shenyang,1.391268
Wenzhou,1.379001
Wuhu,1.379001
Xiuqian,1.379001
Langfang,1.377883
Zhenjiang,1.375102
Zhuhai,1.372370
Huangshan,1.363849
Nanchang,1.352717
Baoding,1.351609
Qinhuangdao,1.347682
Xianyang,1.345429
Garze,1.342077
Lanzhou,1.341375
Taizhou,1.338210
Quanzhou,1.332129
Zhongshan,1.328205
Kaifeng,1.322056
Changchun,1.322056
Taizhou,1.316750
Weinan,1.314059
Hezhou,1.310974
Huizhou,1.310974
Taiyuan,1.310974
Yancheng,1.301057
Tangshan,1.299050
Datong,1.298633
Dongying,1.298633
Yan'an,1.298633
Xuzhou,1.296745
Tai'an,1.292570
Weifang,1.292570
Yuncheng,1.292570
Lijiang,1.288830
Haikou,1.284672
Zhangjiakou,1.281504
Sansha,1.281239
Liuzhou,1.276690
Leshan,1.276507
Ngawa,1.274287
Guiyang,1.272927
Chengde,1.271764
Shangrao,1.271308
Yantai,1.271212
Urumqi,1.268781
Zhangzhou,1.266348
Lianyungang,1.261910
Zhangjiajie,1.259186
Daqing,1.251074
Baotou,1.249344
Laiwu,1.249344
Zibo,1.249344
Hohhot,1.249037
Xuancheng,1.241572
Jiangmen,1.238431
Jilin,1.237032
Luoyang,1.237032
Mudanjiang,1.229906
Mianyang,1.225434
Neijiang,1.225434
Chuzhou,1.225434
Qinzhou,1.225434
Deyang,1.225434
Xining,1.225434
Yichang,1.225434
Chizhou,1.225434
Cangzhou,1.219445
Linyi,1.218169
Weihai,1.218169
Zhaoqing,1.218169
Lhasa,1.215001
Nanping,1.213268
Qingyuan,1.211471
Dezhou,1.210890
Anqing,1.204838
Longyan,1.203282
Yinchuan,1.199213
Quzhou,1.198392
Jiujiang,1.197979
Suihua,1.194826
Lu'an,1.193827
Dali,1.193247
Ordos,1.193247
Panjin,1.193247
Pingdingshan,1.193247
Shanwei,1.193247
Chifeng,1.193247
Bortala,1.193247
Ulanqab,1.193247
Yichun,1.193247
Lishui,1.193198
Bangbu,1.191989
Beihai,1.189178
Hanzhong,1.188898
Shaoguan,1.185838
Zhuzhou,1.183906
Yingtan,1.182904
Xiangtan,1.182050
Huludao,1.181406
Jining,1.174266
Jinzhong,1.173381
Ankang,1.171872
Tianshui,1.170536
Hulunbuir,1.170484
Xiangxi,1.169563
Huainan,1.167650
Qiqihar,1.166695
Jingdezhen,1.165715
Ma'anshan,1.164962
Putian,1.164777
Jiuquan,1.164777
Rizhao,1.164777
Shiyan,1.164777
Yiyang,1.164777
Zigong,1.164777
Jian,1.164049
Xiangyang,1.159896
Yueyang,1.156201
Xinzhou,1.155137
Diqing,1.154502
Yulin,1.150574
Changde,1.150473
Zaozhuang,1.149008
Hengyang,1.148340
Shangluo,1.145369
Handan,1.143386
Xianning,1.143112
Jingmen,1.141972
Baishan,1.141972
Anshun,1.141972
Sanming,1.141972
Ili(Yili),1.141972
Tongling,1.141972
Wuhai,1.141972
Chenzhou,1.141972
Wuzhou,1.141972
Xiuzhou,1.141972
Yanbian,1.141972
Yichun,1.141972
Daxinganling,1.141972
Huanggang,1.141972
Yulin,1.141972
Jieyang,1.141972
Fuyang,1.139295
Yangjiang,1.138420
Jinzhou,1.138165
Jiamusi,1.137650
Sanmenxia,1.135369
Hengshui,1.131686
Heihe,1.131435
Zhanjiang,1.125961
Nanchong,1.125248
Dandong,1.122636
Xingtai,1.120330
Meishan,1.120049
Benxi,1.119353
Liangshanzhou,1.119353
Guang'an,1.119270
Heyuan,1.118336
Xilingol,1.118221
Jingzhou,1.117435
Tongchuan,1.115588
Xishuangbanna,1.113082
Ganzhou,1.111019
Jiaozuo,1.110348
Xinxiang,1.110052
