city,distance
Shanghai,5.191414
Nanjing,4.943770
Beijing,3.540780
Wuxi,3.339989
Yangzhou,3.320873
Suzhou,3.286445
Xuzhou,3.077708
Taizhou,3.044875
Xiuqian,3.038134
Yancheng,3.038134
Lianyungang,3.031332
Changzhou,2.959580
Taipei,2.835687
Zhenjiang,2.768508
Nantong,2.715432
Linyi,2.669089
Hangzhou,2.604961
Qingdao,2.576915
Guangzhou,2.498909
Rizhao,2.463695
Zhongshan,2.463695
Tianjin,2.445004
Chuzhou,2.360938
Hefei,2.360938
Ningbo,2.360938
Jinan,2.336963
Jiaxing,2.311448
Shamen,2.311448
Tai'an,2.284130
Chongqing,2.222631
Huangshan,2.222631
Jining,2.222631
Shenzhen,2.187389
Xi'an,2.187389
Zhengzhou,2.148069
Jinhua,2.103350
Sanya,2.103350
Weihai,2.103350
Wuhan,2.103350
Xiuzhou,2.103350
Bangbu,2.051089
Zibo,2.051089
Hong Kong,2.041719
Huainan,1.987427
Ma'anshan,1.987427
Shangqiu,1.987427
Shaoxing,1.987427
Shijiazhuang,1.987427
Chengdou,1.987427
Dalian,1.904128
Dezhou,1.904128
Harbin,1.904128
Huzhou,1.904128
Kunming,1.904128
Lijiang,1.904128
Nanchang,1.904128
Shangrao,1.904128
Changchun,1.904128
Tongling,1.904128
Weifang,1.904128
Yantai,1.904128
Zaozhuang,1.904128
Zhuhai,1.904128
New Taipei,1.868691
Zhoushan,1.867446
Dongying,1.776819
Fuyang,1.776819
Guiyang,1.776819
Haikou,1.776819
Hohhot,1.776819
Chiayi,1.776819
Jieyang,1.776819
Binzhou,1.776819
Jinzhou,1.776819
Laiwu,1.776819
Liuzhou,1.776819
Macau,1.776819
Nanning,1.776819
Qinzhou,1.776819
Bozhou,1.776819
Shenyang,1.776819
Suining,1.776819
Cangzhou,1.776819
Taizhou,1.776819
Urumqi,1.776819
Wenzhou,1.776819
Wuhu,1.776819
Xishuangbanna,1.776819
Anqing,1.776819
Zhangjiajie,1.776819
Changsha,1.776819
Dongguan,1.776819
Taoyuan,1.715326
Langfang,1.628971
Fuzhou,1.619150
Guilin,1.615376
Baoding,1.592376
Qinhuangdao,1.586929
Foshan,1.549869
Taiyuan,1.535452
Lanzhou,1.523876
Tangshan,1.519927
Taichung,1.518277
Zhangjiakou,1.495961
Keelung,1.495867
Xuancheng,1.492486
Chizhou,1.489366
Chengde,1.482705
Hsinchu,1.476828
Quanzhou,1.473923
Lhasa,1.454255
Nanping,1.451774
Yilan,1.446271
Ngawa,1.445365
Hualien,1.437310
Yinchuan,1.431694
Quzhou,1.430525
Jiujiang,1.429937
Luoyang,1.428901
Jiangmen,1.426221
Huaibei,1.423227
Lishui,1.423130
Xining,1.417577
Beihai,1.417415
Lu'an,1.417040
Yichang,1.409896
Yingtan,1.408511
Nantou,1.399805
Jingdezhen,1.384207
Datong,1.382881
Jian,1.381859
Pingdong,1.380636
Xianyang,1.380297
Tainan,1.380152
Dali,1.377023
Kaifeng,1.375203
Xiangxi,1.368666
Zhangzhou,1.368471
Diqing,1.368426
Huludao,1.361317
Ningde,1.360713
Mianyang,1.359421
Baotou,1.354736
Jinzhong,1.350674
Weinan,1.347300
Hulunbuir,1.346836
Baoji,1.344796
Jiuquan,1.336830
Yanbian,1.333624
Jilin,1.330870
Xinzhou,1.326556
Shantou,1.320536
Chifeng,1.320155
Huanggang,1.317204
Zhuzhou,1.316060
Qingyuan,1.312698
Xiangyang,1.311394
Handan,1.311082
Ganzhou,1.307758
Xinyang,1.306615
Heze,1.305720
Ordos,1.305265
Huizhou,1.304080
Taidong,1.303599
Wanning,1.301276
Longyan,1.298766
Zhaoqing,1.298733
Miaoli,1.298265
Garze,1.297869
Leshan,1.297869
Hengshui,1.295722
Xinxiang,1.293058
Yichun,1.290405
Shaoguan,1.286965
Jiaozuo,1.286715
Zhanjiang,1.286465
Huangshi,1.286256
Dandong,1.283872
Changhua,1.281600
Xingtai,1.280857
Hezhou,1.279726
Xilingol,1.278101
Yan'an,1.276524
Panjin,1.276461
Suihua,1.275907
Haixi,1.275350
Baoshan,1.274789
Nyingchi,1.271833
Qiqihar,1.269359
Zhangzhou,1.266348
Anyang,1.266270
Changde,1.265991
Qionghai,1.262546
Liaocheng,1.261571
Xinyu,1.260966
Sanming,1.260320
Linfen,1.259263
Fushun,1.258529
Putian,1.257692
Anshan,1.255651
Daqing,1.255519
Nanyang,1.255000
Shiyan,1.252920
Xianning,1.251506
Sanmenxia,1.250160
Pingxiang,1.245673
Mudanjiang,1.241838
Yuncheng,1.241838
Yingkou,1.240957
Ulanqab,1.239938
Yunlin,1.239462
Fangchenggang,1.235566
Qiandongnan,1.234526
Xiaogan,1.230669
Liangshanzhou,1.230002
Anshun,1.229198
