city,distance
Shanghai,5.300940
Xuzhou,4.301344
Hefei,4.191607
Xiuzhou,3.789267
Nanjing,3.332397
Beijing,3.300118
Bangbu,3.266667
Bozhou,3.195735
Fuyang,2.822537
Jinan,2.822537
Chuzhou,2.757407
Huainan,2.757407
Suzhou,2.757407
Hangzhou,2.599624
Huangshan,2.599624
Wuhan,2.599624
Wuxi,2.599624
Hong Kong,2.498199
Qingdao,2.498199
Rizhao,2.498199
Shijiazhuang,2.498199
Wuhu,2.498199
Zhenjiang,2.498199
Jiaxing,2.367986
Jining,2.367986
Lianyungang,2.367986
Sanya,2.367986
Shamen,2.367986
Shangqiu,2.367986
Taiyuan,2.367986
Tianjin,2.367986
Zhengzhou,2.367986
Changzhou,2.174251
Chizhou,2.174251
Foshan,2.174251
Guangzhou,2.174251
Heyuan,2.174251
Lijiang,2.174251
Linyi,2.174251
Lu'an,2.174251
Cangzhou,2.174251
Tongling,2.174251
Weifang,2.174251
Xinyang,2.174251
Xuancheng,2.174251
Zaozhuang,2.174251
Zhanjiang,2.174251
Ningbo,1.987742
Zhoushan,1.881429
Chengdou,1.865489
Nantong,1.862711
Shenzhen,1.828603
Huzhou,1.815945
Anqing,1.801838
Shaoxing,1.783847
Xi'an,1.768637
Yangzhou,1.757625
Taipei,1.749547
Chongqing,1.742988
Jinhua,1.729745
Xiuqian,1.713908
Kunming,1.692451
Dalian,1.692330
Wenzhou,1.675899
Changsha,1.672647
Huai'an,1.667352
Tai'an,1.661603
Shenyang,1.648458
Taizhou,1.645063
Macau,1.640047
Yancheng,1.629751
Fuzhou,1.629652
Harbin,1.629567
Guilin,1.625829
Taizhou,1.612753
Nanchang,1.609680
Kaifeng,1.595746
Langfang,1.576093
Changchun,1.573397
Taoyuan,1.556720
Zhuhai,1.553796
Guiyang,1.547500
Dezhou,1.547497
Shangrao,1.545108
Yantai,1.544966
Baoding,1.541811
Urumqi,1.541377
Qinhuangdao,1.536703
Haikou,1.536283
Lanzhou,1.533175
Nanning,1.529845
Zhangjiajie,1.527239
Jinzhong,1.520483
Zibo,1.514065
Ma'anshan,1.505600
Diqing,1.488289
Heze,1.484056
Luohe,1.484056
Quanzhou,1.482620
Luoyang,1.481457
Tangshan,1.473791
Zhoukou,1.465851
Huanggang,1.462983
Hohhot,1.462969
Lhasa,1.462721
Nanping,1.460211
Lhasa,1.454255
Ngawa,1.453728
Dongguan,1.453329
Zhangjiakou,1.451248
Dali,1.446690
Chengde,1.438769
Quzhou,1.438717
Jiujiang,1.438122
Jilin,1.434309
Weihai,1.433417
Lishui,1.431236
Xining,1.425620
Beihai,1.425456
Huizhou,1.421117
Yichang,1.417852
Yingtan,1.416452
Kaohsiung,1.414858
