city,distance
Changsha,4.535781
Xiangxi,4.277597
Loudi,3.670808
Shanghai,3.570035
Kunming,3.354131
Qiandongnan,3.335442
Tongren,3.316377
Wuhan,3.296914
Guiyang,3.235894
Beijing,3.214582
Zhangjiajie,3.214582
Chongqing,3.170299
Guangzhou,3.047760
Shenzhen,2.963498
Zhuzhou,2.963498
Chengdou,2.901174
Changde,2.755170
Dali,2.755170
Shaoyang,2.712425
Hangzhou,2.666185
Liuzhou,2.666185
Xiangtan,2.666185
Guilin,2.559606
Hengyang,2.559606
Jinhua,2.559606
Yueyang,2.559606
Hong Kong,2.496363
Nanning,2.496363
Chenzhou,2.423088
Jiaxing,2.423088
Shamen,2.423088
Xianning,2.423088
Yingtan,2.423088
Liupanshui,2.334736
Pingxiang,2.334736
Qujing,2.334736
Tianjin,2.334736
Lijiang,2.220617
Nanjing,2.220617
Sanya,2.220617
Shaoguan,2.220617
Anshun,2.220617
Yiyang,2.220617
Yongzhou,2.220617
Dezhou,2.049373
Diqing,2.049373
Fuzhou,2.049373
Jingmen,2.049373
Nanchang,2.049373
Nanchong,2.049373
Chaozhou,2.049373
Nanyang,2.049373
Ningbo,2.049373
Pu'er,2.049373
Qiannan,2.049373
Qingdao,2.049373
Quzhou,2.049373
Sanming,2.049373
Ankang,2.049373
Baoding,2.049373
Suizhou,2.049373
Tangshan,2.049373
Weicu,2.049373
Weihai,2.049373
Xinxiang,2.049373
Xinyu,2.049373
Xuancheng,2.049373
Xuzhou,2.049373
Yichang,2.049373
Yichun,2.049373
Zhanjiang,2.049373
Zibo,2.049373
Zigong,2.049373
Suzhou,1.984167
Foshan,1.744741
Wuxi,1.735950
Zunyi,1.702541
Changzhou,1.682849
Xi'an,1.643169
Leshan,1.627326
Ngawa,1.623719
Xishuangbanna,1.605228
Zhoushan,1.605203
Dongguan,1.598670
Baoshan,1.595014
Yuxi,1.594412
Zhengzhou,1.593178
Nantong,1.591557
Zhuhai,1.565438
Huzhou,1.557290
Langfang,1.556316
Hefei,1.546680
Shangrao,1.546609
Jingzhou,1.545545
Honghe,1.545071
Huanggang,1.536875
Xiangyang,1.533709
Shaoxing,1.533625
Xiaogan,1.527174
Jinan,1.525356
Huangshi,1.524845
Shijiazhuang,1.519202
Qinhuangdao,1.517896
Zhongshan,1.516565
Yangzhou,1.514204
Haikou,1.510114
Taipei,1.508205
Deyang,1.504272
Shenyang,1.500461
Qianxinan,1.497107
Jiangmen,1.488638
Huizhou,1.485099
Laibin,1.481650
Mianyang,1.479540
Zhenjiang,1.472114
Beihai,1.471428
Dalian,1.471269
Taiyuan,1.470734
Anyang,1.466230
Xining,1.464717
Lhasa,1.461230
Huangshan,1.459225
Chongzuo,1.457006
Wenzhou,1.453154
Harbin,1.452253
Baoji,1.452041
Ezhou,1.450245
Qingyuan,1.449854
Urumqi,1.448001
Yantai,1.446931
Shantou,1.443567
Chengde,1.438769
Bijie,1.438504
Guang'an,1.438235
Garze,1.435769
Jiujiang,1.435403
Zhangjiakou,1.434462
Zhaoqing,1.432836
Macau,1.431531
Taizhou,1.429914
Dehong,1.429015
Ya'an,1.425619
Quanzhou,1.424746
Chengde,1.422269
Lanzhou,1.420437
Changchun,1.416275
Hechi,1.415326
Enshi,1.414146
Dazhou,1.412416
Qinzhou,1.408843
Zhangzhou,1.406846
Xinyang,1.405795
Taizhou,1.405439
Weifang,1.394354
Hohhot,1.393905
Baise,1.393492
Suining,1.389935
Yancheng,1.387574
Fangchenggang,1.385309
Meishan,1.381339
Hezhou,1.380660
Wenshan,1.377361
Jieyang,1.376170
Luzhou,1.374727
Lishui,1.372400
Neijiang,1.363410
Taoyuan,1.362695
Fuzhou,1.358555
Cangzhou,1.357152
Nanping,1.356380
Liangshanzhou,1.355318
Handan,1.352250
Pingdingshan,1.348324
Yangjiang,1.346453
Wanning,1.345226
Yibin,1.344517
Lianyungang,1.343137
Lu'an,1.341652
Guigang,1.339486
Hanzhong,1.339176
Tai'an,1.337887
Meizhou,1.336174
Zhaotong,1.336174
Ziyang,1.334650
Wuhu,1.334165
Yunfu,1.334165
Jian,1.334165
Yulin,1.330573
Datong,1.330164
Longyan,1.329437
Luoyang,1.326698
Panzhihua,1.323633
Yinchuan,1.320633
Jiaozuo,1.318811
Wuzhou,1.316195
Huludao,1.310201
Lincang,1.309492
Kaifeng,1.309461
Hebi,1.309461
Xianyang,1.309461
Zhumadian,1.309461
Jingdezhen,1.309231
Luohe,1.305713
Guangyuan,1.304993
Baotou,1.304104
Qionghai,1.303877
Jinzhong,1.300339
Hulunbuir,1.296782
Maoming,1.296018
Heyuan,1.295630
Ganzhou,1.295204
Linyi,1.293471
Xuchang,1.293471
Ningde,1.293243
Huai'an,1.288267
Chizhou,1.287674
Jining,1.283393
Anqing,1.279620
Xinzhou,1.277971
Ulanqab,1.273326
Shanwei,1.272890
Chifeng,1.272029
Nujiang,1.271983
Bangbu,1.264206
Xingtai,1.263616
Ordos,1.257987
Jinzhou,1.257231
Jilin,1.256468
Chuzhou,1.254953
Fuyang,1.254405
Putian,1.253048
Kaohsiung,1.252743
Binzhou,1.250733
Hengshui,1.249330
Sanmenxia,1.247970
Shangqiu,1.247970
Tongchuan,1.247970
Qiqihar,1.247970
Weinan,1.247970
Haibei,1.247970
Zhoukou,1.247970
Yan'an,1.244565
Hualien,1.244196
Dandong,1.238309
Zaozhuang,1.235454
Ma'anshan,1.233847
Dongying,1.233587
Xilingol,1.232940
Nyingchi,1.225834
Changzhi,1.220836
Kumul(Hami),1.220836
Tongliao,1.220836
Yanbian,1.220836
Jiuquan,1.220836
Xiuzhou,1.216803
Fushun,1.214717
Lingshui,1.212513
Daqing,1.211913
Anshan,1.211095
New Taipei,1.208261
Panjin,1.208176
Rizhao,1.206229
Yingkou,1.198339
Bazhong,1.197677
Shangluo,1.197610
Chiayi,1.197480
Haixi,1.192673
Xiuqian,1.191994
Jiayuguan,1.188888
Sansha,1.188888
Bozhou,1.188888
Jinchang,1.188888
Lvliang,1.188888
Taichung,1.186952
Yangquan,1.181764
Jincheng,1.181184
Liaocheng,1.178866
Yulin,1.178509
Bayannur,1.176253
Tongling,1.175463
Mudanjiang,1.175255
Taidong,1.173359
Kinmen,1.170790
Laiwu,1.159513
Nantou,1.157933
Pingdong,1.156731
Chaoyang,1.156025
Huaibei,1.155181
Yuncheng,1.154467
Shuozhou,1.150438
Benxi,1.148770
Suihua,1.147790
Heze,1.147066
Jiamusi,1.145327
Qamdo,1.142958
Baoting,1.141063
Puyang,1.139872
Huainan,1.139759
Bayingolin,1.137979
Daxinganling,1.137979
Ili(Yili),1.137979
Jiyuan,1.137979
Miaoli,1.137979
Yichun,1.137979
Yilan,1.137979
Wenchang,1.137979
Hsinchu,1.137979
Keelung,1.137979
