city,distance
Hefei,5.480647
Shanghai,4.596743
Bangbu,4.053562
Fuyang,3.492548
Lu'an,3.350784
Nanjing,3.350784
Beijing,3.331544
Wuhu,2.879036
Anqing,2.843464
Bozhou,2.722562
Hangzhou,2.722562
Suzhou,2.625057
Wuxi,2.625057
Huaibei,2.568631
Chuzhou,2.504946
Jinan,2.504946
Lianyungang,2.504946
Shenzhen,2.504946
Xuancheng,2.504946
Shangqiu,2.431174
Huai'an,2.342243
Huangshan,2.342243
Wuhan,2.342243
Xuzhou,2.342243
Hong Kong,2.227406
Huzhou,2.227406
Jinhua,2.227406
Ma'anshan,2.227406
Sanya,2.227406
Shamen,2.227406
Shijiazhuang,2.227406
Tai'an,2.227406
Tongling,2.227406
Xi'an,2.227406
Xiuzhou,2.227406
Zhenjiang,2.227406
Zhuhai,2.227406
Chengdou,2.055155
Chongqing,2.055155
Dalian,2.055155
Diqing,2.055155
Guangzhou,2.055155
Guilin,2.055155
Heze,2.055155
Baoding,2.055155
Huangshi,2.055155
Jieyang,2.055155
Nanchang,2.055155
Nantong,2.055155
Ningbo,2.055155
Qingdao,2.055155
Baotou,2.055155
Taizhou,2.055155
Weifang,2.055155
Changsha,2.055155
Zaozhuang,2.055155
Zhengzhou,2.055155
Jiaxing,1.982855
Chizhou,1.952945
Changzhou,1.880879
Tianjin,1.837253
Zhoushan,1.784407
Shaoxing,1.696394
Yangzhou,1.672663
Taipei,1.665346
Huanggang,1.656544
Kunming,1.651847
Lanzhou,1.651847
Xinyang,1.602729
Wenzhou,1.598480
Jining,1.592977
Fuzhou,1.592778
Langfang,1.583226
Guiyang,1.575066
Shenyang,1.573497
Lijiang,1.570490
Macau,1.565832
Jiujiang,1.559362
Harbin,1.556276
Qinhuangdao,1.543483
Taizhou,1.540933
Kaifeng,1.529803
Yancheng,1.520376
Rizhao,1.514405
Taiyuan,1.511421
Changchun,1.504966
Luoyang,1.502891
Taoyuan,1.489700
Zhangjiakou,1.486939
Laibin,1.481650
Tangshan,1.480026
Shangrao,1.479064
Yantai,1.478934
Urumqi,1.475644
Haikou,1.470975
Nanning,1.465071
Ganzhou,1.462895
Zhangjiajie,1.462682
Cangzhou,1.459115
Dongguan,1.454988
Dali,1.448879
Xining,1.445628
Chengde,1.444710
Zhoukou,1.442016
Shantou,1.440282
Hohhot,1.436777
Dezhou,1.430636
Jingdezhen,1.430088
Xinxiang,1.430088
Quanzhou,1.421705
Foshan,1.419584
Zibo,1.417651
Zhongshan,1.417382
Liaocheng,1.417259
Weinan,1.417259
Lhasa,1.413711
Baoji,1.413711
Datong,1.413711
Yichang,1.412439
Nanyang,1.408150
Shiyan,1.408150
Nanping,1.401086
Xianyang,1.396125
Xiangyang,1.395585
Yueyang,1.395585
