city,distance
Taipei,5.183991
Taidong,4.803741
Yilan,3.784090
New Taipei,3.755884
Pingdong,3.751804
Shanghai,3.523282
Kaohsiung,3.503278
Taoyuan,3.467347
Beijing,2.855013
Nantou,2.772353
Taichung,2.759573
Chiayi,2.661159
Keelung,2.661159
Chaozhou,2.612905
Tainan,2.595776
Fuzhou,2.499977
Hong Kong,2.478270
Hsinchu,2.431459
Suzhou,2.159140
Tianjin,2.159140
Guangzhou,2.104106
Shenyang,2.104106
Changhua,2.037164
Kinmen,2.037164
Wuxi,2.037164
Yunlin,2.037164
Chengdou,1.949736
Dalian,1.949736
Hangzhou,1.949736
Hefei,1.949736
Miaoli,1.949736
Nanjing,1.949736
Shenzhen,1.949736
Xi'an,1.949736
Changsha,1.816469
Changzhou,1.816469
Foshan,1.816469
Changchun,1.816469
Jinan,1.816469
Lanzhou,1.816469
Macau,1.816469
Pu'er,1.816469
Shijiazhuang,1.816469
Tangshan,1.816469
Zhengzhou,1.816469
Jiaxing,1.752528
Shantou,1.702156
Shamen,1.701892
Ningbo,1.671503
Jieyang,1.609227
Zhoushan,1.595682
Nantong,1.582197
Huzhou,1.548328
Sanya,1.544640
Qingdao,1.536679
Shaoxing,1.524933
Wuhan,1.516864
Yangzhou,1.505729
Chongqing,1.494974
Sansha,1.491578
Jinhua,1.485221
Quanzhou,1.475983
Langfang,1.466874
Zhenjiang,1.464103
Huai'an,1.463145
Ningde,1.459216
Kunming,1.457642
Huangshan,1.451353
Zhangzhou,1.450485
Penghu,1.447789
Wenzhou,1.445347
Baoding,1.437133
Qinhuangdao,1.432695
Harbin,1.424137
Taizhou,1.422354
Liaocheng,1.417259
Putian,1.408245
Guilin,1.407952
Nanping,1.402784
Taizhou,1.398135
Nanchang,1.395825
Taiyuan,1.390605
Meizhou,1.390270
Nanning,1.386793
Shanwei,1.383068
Dongguan,1.382364
Yancheng,1.380455
Lijiang,1.366698
Jiaozuo,1.359520
Zhangjiakou,1.358135
Xishuangbanna,1.354948
Zhuhai,1.353609
Xuzhou,1.351088
Huizhou,1.348988
Guiyang,1.348829
Chengde,1.347200
Shangrao,1.347011
Yantai,1.346903
Wuhu,1.345715
Xiuqian,1.345715
Urumqi,1.344175
Haikou,1.340299
Lianyungang,1.336465
Sanming,1.334823
Zhangjiajie,1.333410
Xiangyang,1.329641
Hohhot,1.321724
Xuancheng,1.313675
Fushun,1.292715
Kaifeng,1.291432
Cangzhou,1.288633
Jilin,1.287445
Lhasa,1.283964
Anshan,1.283038
Chizhou,1.281540
Hezhou,1.280855
Leshan,1.277617
Ngawa,1.277030
Tai'an,1.271252
Dongying,1.269072
Datong,1.269072
Yan'an,1.269072
Yinchuan,1.266346
Jinzhong,1.266285
Quzhou,1.265431
Jiujiang,1.264971
Heyuan,1.264160
Luoyang,1.264160
Weihai,1.261330
Lishui,1.259641
Bangbu,1.258293
Xining,1.255289
Beihai,1.255162
Weinan,1.253213
Baoji,1.251046
Yichang,1.249261
Chuzhou,1.249126
Yingtan,1.248174
Longyan,1.248139
Huludao,1.246230
Jinzhou,1.243951
Liaoyang,1.240911
Baotou,1.240712
Zhongshan,1.239870
Jining,1.238560
Benxi,1.236487
Hulunbuir,1.234083
Dezhou,1.230588
Dandong,1.229559
Jingdezhen,1.229051
Ma'anshan,1.228214
Jian,1.227200
Tieling,1.224804
Dali,1.223384
Yingkou,1.222584
Laiwu,1.221961
Zibo,1.221961
Jiangmen,1.221141
Anqing,1.219775
Weifang,1.217780
Liuzhou,1.217352
Xinzhou,1.217035
Xiangxi,1.216784
Diqing,1.216593
Linyi,1.216403
Chifeng,1.211645
Zaozhuang,1.210494
