city,distance
Wuhan,5.817557
Shanghai,3.639723
Jiujiang,3.546160
Ezhou,3.465202
Beijing,3.306034
Hefei,3.215078
Lu'an,3.215078
Hangzhou,3.143719
Huangshi,3.031840
Nanjing,3.014430
Shenzhen,2.959544
Anqing,2.899983
Fuyang,2.878899
Nanchang,2.878899
Yichang,2.707339
Guangzhou,2.678169
Ningbo,2.678169
Xinyang,2.579764
Zhengzhou,2.542252
Suzhou,2.457032
Chengdou,2.407530
Xiaogan,2.407530
Jingdezhen,2.351496
Jingzhou,2.351496
Liaocheng,2.351496
Ngawa,2.351496
Tianjin,2.351496
Wuxi,2.351496
Huangshan,2.286368
Shangrao,2.286368
Wuhu,2.286368
Heze,2.207543
Shamen,2.207543
Shiyan,2.207543
Xiangxi,2.207543
Yueyang,2.207543
Zhoushan,2.207543
Dongguan,2.105247
Foshan,2.105247
Ganzhou,2.105247
Hengshui,2.105247
Jiaxing,2.105247
Langfang,2.105247
Qingdao,2.105247
Shaoguan,2.105247
Tai'an,2.105247
Tongling,2.105247
Bozhou,2.105247
Xi'an,2.105247
Xiangyang,2.105247
Xianning,2.105247
Xuzhou,2.105247
Yantai,2.105247
Zhenjiang,2.105247
Zhongshan,2.105247
Changsha,2.081551
Dezhou,1.950715
Fuzhou,1.950715
Fuzhou,1.950715
Anyang,1.950715
Hong Kong,1.950715
Huizhou,1.950715
Jian,1.950715
Jinan,1.950715
Jingmen,1.950715
Kunming,1.950715
Chenzhou,1.950715
Lianyungang,1.950715
Nanyang,1.950715
Puyang,1.950715
Quzhou,1.950715
Sanya,1.950715
Shangqiu,1.950715
Shaoxing,1.950715
Taipei,1.950715
Chongqing,1.950715
Weihai,1.950715
Changde,1.950715
Chuzhou,1.950715
Xingtai,1.950715
Yancheng,1.950715
Yichun,1.950715
Yinchuan,1.950715
Yulin,1.950715
Zaozhuang,1.950715
Zhoukou,1.950715
Changzhou,1.950715
Enshi,1.736956
Zhuhai,1.679738
Suizhou,1.667663
Nanning,1.661316
Shenyang,1.630394
Guilin,1.628852
Shijiazhuang,1.625727
Dalian,1.610921
Nantong,1.605260
Jinhua,1.600287
Wenzhou,1.598448
Haikou,1.598448
Guiyang,1.594707
Lanzhou,1.588935
Huainan,1.588014
Zhangjiajie,1.582199
Hengyang,1.574624
Huzhou,1.570406
Chizhou,1.561536
Luoyang,1.556555
Zhuzhou,1.549212
Urumqi,1.544119
Baoding,1.543100
Qinhuangdao,1.537985
Lijiang,1.536152
Harbin,1.533401
Bangbu,1.528852
Zhumadian,1.527748
Taiyuan,1.512615
Kaifeng,1.503246
Fangchenggang,1.499293
Changchun,1.499293
Quanzhou,1.492147
Hohhot,1.492147
Macau,1.488436
Yingtan,1.486410
Xining,1.484628
Huaihua,1.480715
Tangshan,1.474970
Liuzhou,1.472548
Leshan,1.459469
Jining,1.459327
Luohe,1.459327
Zhangjiakou,1.452390
Xuancheng,1.450518
Ankang,1.449751
Xinxiang,1.449751
Taizhou,1.440964
Taizhou,1.440560
Chengde,1.439892
New Taipei,1.438604
Taoyuan,1.433978
Weifang,1.433978
Xiangtan,1.420541
Jiaozuo,1.418458
Xuchang,1.416062
Huai'an,1.410411
Handan,1.409494
Dali,1.402567
Baoji,1.402567
Xinyu,1.398102
Loudi,1.395238
Dazhou,1.395238
Jiangmen,1.394633
Ma'anshan,1.393706
Pingdingshan,1.387450
Gannan,1.385079
Pingxiang,1.379754
Liupanshui,1.379135
Qingyuan,1.379135
Yongzhou,1.379135
Zhangzhou,1.379135
Cangzhou,1.373189
Xianyang,1.370209
Lhasa,1.360563
Zhanjiang,1.360563
Deyang,1.359714
Huaibei,1.358255
Jinzhong,1.350057
Yiyang,1.350057
Xiuzhou,1.348696
Linyi,1.346614
Datong,1.345566
Zhaoqing,1.345540
Mianyang,1.339475
Nanping,1.338503
Binzhou,1.338503
