city,distance
Xining,6.831357
Beijing,3.938154
Gannan,3.578572
Lanzhou,3.255503
Shanghai,3.255503
Haibei,3.037819
Dalian,2.726190
Guangzhou,2.726190
Haidong,2.726190
Jiuquan,2.726190
Lhasa,2.726190
Wuhan,2.726190
Xi'an,2.726190
Haixi,2.505251
Ngawa,2.214192
Chengdou,2.049570
Nagqu,2.015480
Tianjin,2.007807
Zhangye,1.965082
Yinchuan,1.961097
Changsha,1.892528
Suzhou,1.883053
Tianshui,1.852610
Nanjing,1.846315
Zhuzhou,1.846315
Baoji,1.833185
Hangzhou,1.815773
Zhengzhou,1.811947
Urumqi,1.796570
Jiayuguan,1.788456
Linxia,1.770758
Yushuzhou,1.762083
Chongqing,1.742451
Shenzhen,1.720717
Hong Kong,1.719603
Langfang,1.708272
Jinan,1.696291
Nyingchi,1.687262
Jiaxing,1.683643
Qingdao,1.668693
Garze,1.668282
Kunming,1.668282
Baoding,1.668071
Shijiazhuang,1.663661
Qinhuangdao,1.662095
Wuxi,1.658055
Shenyang,1.641213
Shamen,1.638505
Bangbu,1.635235
Zhongwei,1.635235
Foshan,1.634378
Dingxi,1.616079
Luoyang,1.616079
Changzhou,1.609546
Ningbo,1.608726
Taiyuan,1.605713
Shannan,1.602137
Golog,1.594514
Hefei,1.594514
Nanning,1.594514
Xianyang,1.594514
Xuzhou,1.594514
Tangshan,1.588742
Harbin,1.583710
Mianyang,1.569741
Zhangjiakou,1.562576
Chengde,1.548118
Sanya,1.546639
Huangshan,1.545031
Changchun,1.541019
Ngari,1.540449
Ordos,1.540449
Sanmenxia,1.540449
Baiyin,1.540449
Zhoushan,1.538374
Weinan,1.534045
Wuwei,1.529566
Taipei,1.529284
Nantong,1.525836
Hohhot,1.514572
Taiyuan,1.512615
Guiyang,1.504260
Jiangmen,1.504260
Lijiang,1.504260
Datong,1.504260
Shangqiu,1.504260
Beihai,1.504260
Turpan,1.504260
Yulin,1.504260
Huzhou,1.494313
Dongguan,1.493146
Nanchang,1.480295
Yantai,1.479741
Zhuhai,1.476012
Shaoxing,1.472510
Cangzhou,1.471279
Yingkou,1.465276
Jieyang,1.456048
Jinzhou,1.456048
Pingliang,1.456048
Tai'an,1.456048
Taoyuan,1.456048
Fuzhou,1.456048
Xinxiang,1.456048
Xiuzhou,1.456048
Yangzhou,1.456048
Zigong,1.456048
Yichang,1.454348
Guilin,1.450596
Xianning,1.448399
Yan'an,1.442953
Longnan,1.442515
Jinhua,1.435449
Qamdo,1.433192
Zhongshan,1.432485
Haikou,1.416968
Zhenjiang,1.415713
Jinchang,1.413201
Baotou,1.409138
Jingzhou,1.407421
Jinzhong,1.404744
Hulunbuir,1.400593
Huanggang,1.400228
Kumul(Hami),1.399598
Wenzhou,1.398169
Xiangyang,1.397599
Dezhou,1.396093
Xiaogan,1.392171
Huangshi,1.390235
Weihai,1.387915
Jining,1.384988
Daqing,1.380416
Anshun,1.380416
Jincheng,1.380416
Guangyuan,1.380416
Kashgar,1.380416
Jiamusi,1.380416
Laibin,1.380416
Ankang,1.380416
Baishan,1.380416
Linfen,1.380416
Lvliang,1.380416
Macau,1.380416
Jiaozuo,1.380416
Binzhou,1.380416
Anyang,1.380416
Panjin,1.380416
Puyang,1.380416
Enshi,1.380416
Shangluo,1.380416
Shantou,1.380416
Hebi,1.380416
Taizhou,1.380416
Diqing,1.380416
Alty,1.380416
Alxa,1.380416
Wuhai,1.380416
Wuzhong,1.380416
Xiangxi,1.380416
Yancheng,1.380416
Yueyang,1.380416
Ili(Yili),1.380416
Yuncheng,1.380416
Zaozhuang,1.380416
Bayannur,1.380416
Zhanjiang,1.380416
Zhaoqing,1.380416
Dali,1.380416
Zibo,1.380416
Weifang,1.379631
Xinzhou,1.378675
Anshan,1.375343
Qingyuan,1.372821
Chifeng,1.371762
Hanzhong,1.366147
Huizhou,1.363398
Handan,1.361969
Shiyan,1.357036
Taizhou,1.353942
Jilin,1.353683
Dandong,1.353329
Hengshui,1.345401
Jiujiang,1.341191
Shaoguan,1.339998
Xingtai,1.329381
Bortala,1.328244
Ezhou,1.327956
Dongying,1.327162
Xilingol,1.326412
Zhangjiajie,1.325278
Jingmen,1.320337
Leshan,1.319741
Qiqihar,1.317000
Linyi,1.316178
Shizuishan,1.307287
Shangrao,1.305943
Kaifeng,1.305800
Fushun,1.305346
Quanzhou,1.302576
Lianyungang,1.296027
Qingyang,1.295015
Yanbian,1.293810
Huai'an,1.291760
Xinyang,1.290589
Ulanqab,1.285357
Wuhu,1.281001
Yangjiang,1.279763
Nanping,1.279120
Xuancheng,1.274584
Tongchuan,1.270230
Kaohsiung,1.268672
Yangquan,1.267369
Xishuangbanna,1.265802
Liaocheng,1.264036
Mudanjiang,1.259886
Suizhou,1.258558
Liuzhou,1.258463
