city,distance
Shanghai,6.189108
Hangzhou,4.344631
Shangrao,3.498122
Hefei,3.216220
Nanjing,3.201699
Jiaxing,3.062399
Xuancheng,3.051442
Beijing,3.047014
Suzhou,2.857446
Chizhou,2.776644
Wuhu,2.616716
Wuxi,2.607789
Jingdezhen,2.570434
Huzhou,2.513979
Chengdou,2.456044
Tongling,2.449822
Ningbo,2.396577
Wuhan,2.382159
Chongqing,2.374759
Guangzhou,2.367223
Changzhou,2.318795
Quzhou,2.318795
Shamen,2.301233
Jiujiang,2.273277
Nanchang,2.253405
Ma'anshan,2.232388
Anqing,2.232388
Jinhua,2.210055
Shaoxing,2.198331
Shenzhen,2.198331
Hong Kong,2.179923
Jinan,2.160531
Yangzhou,2.132709
Tianjin,2.117844
Xi'an,2.085822
Zhoushan,2.050039
Nantong,2.030377
Changsha,2.030377
Sanya,2.009269
Taipei,1.986440
Zhengzhou,1.986440
Huai'an,1.961526
Quanzhou,1.961526
Gannan,1.934026
Bangbu,1.934026
Taizhou,1.934026
Xuzhou,1.934026
Zhenjiang,1.934026
Jian,1.903223
Kunming,1.903223
Qingdao,1.903223
Weihai,1.903223
Fuyang,1.868034
Fuzhou,1.868034
Chuzhou,1.868034
Ngawa,1.868034
Wenzhou,1.868034
Huaibei,1.826698
Huanggang,1.826698
Lanzhou,1.826698
Lianyungang,1.826698
Pingxiang,1.826698
Dalian,1.826698
Yantai,1.826698
Zhuzhou,1.826698
Guiyang,1.776031
Haikou,1.776031
Harbin,1.776031
Huainan,1.776031
Leshan,1.776031
Lijiang,1.776031
Linyi,1.776031
Lu'an,1.776031
Nanping,1.776031
Shenyang,1.776031
Taizhou,1.776031
Xiuzhou,1.776031
Yinchuan,1.776031
Yingtan,1.776031
Macau,1.716246
Guilin,1.709213
Heze,1.709213
Huizhou,1.709213
Jiayuguan,1.709213
Lishui,1.709213
Luoyang,1.709213
Nanning,1.709213
Ordos,1.709213
Qinhuangdao,1.709213
Shijiazhuang,1.709213
Tacheng,1.709213
Xiangyang,1.709213
Xining,1.709213
Xinyang,1.709213
Zhuhai,1.709213
Dongguan,1.709213
Yancheng,1.660724
Changchun,1.643397
Taoyuan,1.625211
Urumqi,1.608496
Hengyang,1.605927
Dehong,1.605927
Huangshi,1.605927
Datong,1.605927
Jieyang,1.605927
Bozhou,1.605927
Dali,1.605927
Langfang,1.605927
Dezhou,1.605927
Lhasa,1.605927
Dongying,1.605927
Nanyang,1.605927
Daxinganling,1.605927
Pingdong,1.605927
Putian,1.605927
Diqing,1.605927
Qionghai,1.605927
Sanming,1.605927
Shangqiu,1.605927
Shantou,1.605927
Fuzhou,1.605927
Tai'an,1.605927
Chengde,1.605927
Taiyuan,1.605927
Weifang,1.605927
Weinan,1.605927
Xiuqian,1.605927
Ganzhou,1.605927
Yichang,1.605927
Yichun,1.605927
Yulin,1.605927
Zhangjiajie,1.605927
Zhangzhou,1.605927
Zhumadian,1.605927
Hohhot,1.523299
Foshan,1.498179
Baoding,1.484211
Kaohsiung,1.471209
Jining,1.459562
New Taipei,1.457941
Liuzhou,1.430200
Xiangxi,1.429415
Tangshan,1.421074
Ningde,1.420743
Zaozhuang,1.420743
Mianyang,1.419334
Zhenjiang,1.415713
Rizhao,1.407470
Baotou,1.404323
Zhangjiakou,1.400103
Jiuquan,1.394726
Zibo,1.391590
Yanbian,1.391237
Xinyu,1.385263
Taichung,1.381294
Deyang,1.375054
Zhongshan,1.372958
Kaifeng,1.369201
Baoji,1.369201
Hulunbuir,1.363557
Jinzhou,1.359025
Longyan,1.353345
Garze,1.352371
Jilin,1.349899
Anshan,1.349186
Xianning,1.345184
Nantou,1.342151
Shaoguan,1.340536
Zhanjiang,1.339993
Xianyang,1.339149
Jinzhong,1.335551
Hezhou,1.332683
Wanning,1.331516
Panjin,1.329143
Suihua,1.328542
Haixi,1.327938
Baoshan,1.327331
Cangzhou,1.326357
Xishuangbanna,1.325488
Xinzhou,1.321066
Changde,1.317795
Hualien,1.313738
Handan,1.312351
Jingzhou,1.309767
Ya'an,1.309036
Jiangmen,1.305345
Shiyan,1.303638
Tainan,1.302879
Daqing,1.300569
Jiaozuo,1.298209
Liaocheng,1.298209
Xiaogan,1.296550
Mudanjiang,1.291645
Yuncheng,1.291645
Yunlin,1.289075
Dandong,1.288204
Qiandongnan,1.283737
Huludao,1.281478
Qingyuan,1.280961
Nanchong,1.278313
Chiayi,1.277141
Xinxiang,1.276163
Yibin,1.272156
Changzhi,1.272156
Meishan,1.271607
Xiangtan,1.271130
Qiqihar,1.262518
Zhaoqing,1.262240
Alty,1.260245
Weicu,1.257919
Anshun,1.255537
Nyingchi,1.255537
Neijiang,1.255124
Yilan,1.250594
Liangshanzhou,1.249524
Ezhou,1.249323
Guang'an,1.248495
Chifeng,1.246717
Yueyang,1.246717
Linxia,1.246347
Baishan,1.245389
Anyang,1.242679
Hsinchu,1.242679
Chongzuo,1.241295
Yan'an,1.241252
Suining,1.240209
Luzhou,1.235551
Zunyi,1.234371
Meizhou,1.234201
Sansha,1.234059
Yingkou,1.234059
Penghu,1.234059
Jingmen,1.234024
Ziyang,1.231935
Kashgar,1.231004
Tianshui,1.231004
Ili(Yili),1.229439
Keelung,1.229439
Dazhou,1.228993
Shuozhou,1.227848
