city,distance
Lanzhou,6.353554
Beijing,3.774518
Shanghai,3.638585
Zhongwei,3.484978
Xi'an,3.200401
Yinchuan,3.200401
Jiuquan,3.080955
Xining,3.080955
Tianshui,2.939517
Dalian,2.760880
Fangchenggang,2.619483
Chuzhou,2.501050
Garze,2.501050
Hangzhou,2.501050
Hohhot,2.501050
Kunming,2.501050
Lhasa,2.501050
Linxia,2.501050
Nanjing,2.501050
Pingliang,2.501050
Qingdao,2.501050
Qingyang,2.501050
Qinhuangdao,2.501050
Sanmenxia,2.501050
Suzhou,2.501050
Tianjin,2.501050
Wuzhong,2.501050
Yangquan,2.501050
Gannan,2.042948
Jiayuguan,2.013522
Chengdou,1.997577
Wuwei,1.984125
Dingxi,1.958848
Zhangye,1.941227
Baoji,1.908886
Urumqi,1.899511
Haixi,1.879614
Ngawa,1.879614
Wuhan,1.869016
Guangzhou,1.857924
Hefei,1.846282
Zhengzhou,1.821066
Jinchang,1.792650
Jiaxing,1.780595
Wuxi,1.752000
Hong Kong,1.748283
Taiyuan,1.741422
Shamen,1.728348
Xianyang,1.724803
Shizuishan,1.721935
Nagqu,1.721058
Changzhou,1.697928
Ningbo,1.697016
Changsha,1.692232
Shenzhen,1.685909
Haibei,1.676927
Langfang,1.676740
Weinan,1.673584
Jinan,1.650617
Longnan,1.650617
Shenyang,1.642659
Baoding,1.637993
Shijiazhuang,1.637772
Ya'an,1.628772
Zhoushan,1.618916
Xuzhou,1.616379
Luoyang,1.615187
Nantong,1.605038
Nyingchi,1.598220
Haidong,1.596334
Zigong,1.596334
Sanya,1.585338
Bangbu,1.585338
Alxa,1.576528
Taipei,1.573554
Guyuan,1.572822
Huzhou,1.570194
Lijiang,1.569804
Yan'an,1.565749
Tangshan,1.561433
Jinhua,1.560846
Harbin,1.556573
Guiyang,1.547035
Hanzhong,1.547035
Mianyang,1.547035
Shaoxing,1.546139
Zhangjiakou,1.536152
Dali,1.526412
Yangzhou,1.526401
Chengde,1.522177
Shannan,1.521639
Baotou,1.519402
Changchun,1.515313
Kumul(Hami),1.515058
Guilin,1.515058
Xiangyang,1.515058
Ordos,1.508549
Guangyuan,1.496089
Jinzhong,1.494235
Zhenjiang,1.483640
Yingkou,1.475238
Nanchang,1.474259
Nanning,1.474259
Fuzhou,1.474259
Weifang,1.474259
Xilingol,1.474259
Yulin,1.474259
Zhongshan,1.474259
Huangshan,1.470549
Huangnan,1.465886
Wenzhou,1.464384
Turpan,1.459437
Yantai,1.456023
Ankang,1.449581
Bayannur,1.448392
Haikou,1.448392
Cangzhou,1.447829
Qamdo,1.442858
Yuncheng,1.442322
Weicu,1.440933
Taizhou,1.440786
Ulanqab,1.438009
Macau,1.436936
Huludao,1.436733
Wuhai,1.435325
Tai'an,1.425925
Datong,1.417155
Kashgar,1.416354
Lvliang,1.416354
Shangqiu,1.416354
Shangrao,1.416354
Dazhou,1.416354
Xinyang,1.416354
Dongguan,1.416354
Yushuzhou,1.416354
Zhuhai,1.416354
Zhuzhou,1.416354
Zunyi,1.416354
Taizhou,1.415941
Shangluo,1.409244
Taoyuan,1.408054
Yancheng,1.397810
Diqing,1.395283
Weihai,1.385264
Anshan,1.384117
Xishuangbanna,1.379964
Hulunbuir,1.379326
Dezhou,1.374961
Linyi,1.373533
Ma'anshan,1.373533
Ili(Yili),1.373533
Alty,1.373533
Qiqihar,1.373533
Quanzhou,1.373533
Shaoguan,1.373533
Shuozhou,1.373533
Xiangxi,1.373533
Kaifeng,1.373533
Yingtan,1.373533
Yunfu,1.373533
Fushun,1.373533
Zhanjiang,1.373533
Dongying,1.373533
Baoshan,1.372409
Yuxi,1.371962
Tongchuan,1.364429
Jining,1.364188
Dandong,1.361823
Xinzhou,1.358064
Lianyungang,1.352725
Chifeng,1.351355
Zhangjiajie,1.349596
Handan,1.341851
Zibo,1.340232
Wuhu,1.336363
Rizhao,1.336085
Honghe,1.335271
Qujing,1.334964
Jinzhou,1.334666
Jilin,1.333807
Xuancheng,1.329382
Panjin,1.328264
Hengshui,1.325765
Jiujiang,1.321677
Foshan,1.316993
Panzhihua,1.316993
Yueyang,1.316993
Jiaozuo,1.316993
Xingtai,1.310207
Yichang,1.309493
Ngari,1.309343
Zaozhuang,1.306222
Nanchong,1.306032
Bayingolin,1.306032
Nantou,1.306032
Neijiang,1.306032
Ningde,1.306032
Luzhou,1.306032
Puyang,1.306032
Qiandongnan,1.306032
Qianxinan,1.306032
Beihai,1.306032
Tacheng,1.306032
Tongliao,1.306032
Wanning,1.306032
Deyang,1.306032
Lishui,1.306032
Changji,1.306032
Anqing,1.306032
Ganzhou,1.306032
Anyang,1.306032
Xinxiang,1.306032
Linfen,1.306032
Aksu,1.306032
Xiuqian,1.306032
Xuchang,1.306032
Yanbian,1.306032
Keramay,1.306032
Yibin,1.306032
Heyuan,1.306032
Huizhou,1.306032
Leshan,1.306032
Liangshanzhou,1.306032
Zhaotong,1.306032
Hualien,1.306032
Jingzhou,1.306032
Fuxin,1.306032
Huai'an,1.297085
Nanping,1.296985
Chizhou,1.296484
Xiuzhou,1.288011
Daqing,1.283707
Guang'an,1.282543
Quzhou,1.280000
Changzhi,1.265812
Shiyan,1.263616
Kaohsiung,1.261080
Hinggan,1.256236
Benxi,1.254886
Binzhou,1.252449
Dehong,1.247700
Liaoyang,1.247492
Liaocheng,1.246689
Suining,1.243993
Pu'er,1.243380
Jingdezhen,1.242789
Mudanjiang,1.242651
Golog,1.241710
Liuzhou,1.241267
Jian,1.240896
Tongling,1.238599
Nanyang,1.236159
Chaoyang,1.230766
Bijie,1.229605
Pingdingshan,1.229605
New Taipei,1.227821
Lu'an,1.217127
Tieling,1.216980
Hezhou,1.212946
Heze,1.211180
Jieyang,1.210901
Jiamusi,1.209240
Wenshan,1.208140
Huangshi,1.204708
Zhumadian,1.204708
Changde,1.203162
Meizhou,1.203162
Enshi,1.201313
Luohe,1.201101
Siping,1.197764
Taichung,1.196645
Baishan,1.192020
Shantou,1.191221
Zhangzhou,1.187141
Jiangmen,1.186282
Hotan,1.185231
Xiangtan,1.184257
Fuyang,1.179272
Yichun,1.177888
Huaibei,1.177388
Longyan,1.173478
Pingdong,1.172120
Tongren,1.170365
Jiyuan,1.170164
Zhoukou,1.170164
Huanggang,1.169083
Xianning,1.164624
Huainan,1.163825
Bozhou,1.159259
Qionghai,1.157504
Jincheng,1.155717
Tonghua,1.155711
Hebi,1.155711
Lincang,1.155605
Suihua,1.154784
Pingxiang,1.153878
Anshun,1.153878
Xiaogan,1.152003
Daxinganling,1.152003
Loudi,1.152003
Huaihua,1.147370
Yichun,1.146602
Laiwu,1.145401
Liupanshui,1.145175
Yongzhou,1.144045
Xinyu,1.142532
Sanming,1.142001
Zhaoqing,1.141928
Putian,1.139843
Chiayi,1.137519
Meishan,1.136552
Tainan,1.135346
Hengyang,1.135221
Suizhou,1.134628
Bortala,1.134628
Taidong,1.127897
Yunlin,1.124849
Yiyang,1.122607
Chenzhou,1.120813
Keelung,1.119821
Qingyuan,1.118666
Baise,1.115953
Fuzhou,1.114251
Songyuan,1.113929
Ziyang,1.112695
Jixi,1.110804
Qiannan,1.110536
Nujiang,1.109228
Laibin,1.107898
Baicheng,1.107546
Sansha,1.107269
Hsinchu,1.100574
Qinzhou,1.096828
Yilan,1.095437
Bazhong,1.095265
Chaozhou,1.092883
Heihe,1.092883
Chongzuo,1.088295
Ezhou,1.085463
Penghu,1.082729
Jingmen,1.080368
Wenchang,1.079583
Shuangyashan,1.069116
Liaoyuan,1.069116
Kinmen,1.064352
Shaoyang,1.056808
Wuzhou,1.056808
Guigang,1.056808
Kezilsu,1.055578
Hegang,1.049715
Yangjiang,1.049715
Fangchenggang,1.041787
Miaoli,1.041787
Maoming,1.041787
Changhua,1.041787
Qitaihe,1.032783
Yulin,1.026693
Hechi,1.022333
Shanwei,1.022333
Baoting,1.022333
Lingshui,1.019064
Danzhou,0.999608
Chengmai,0.994149
Dongfang,0.994149
Dingan,0.972860
Wuzhishan,0.925297
Ledong,0.913068
Changjiang,0.876319
