city,distance
Shenzhen,5.326370
Guangzhou,5.157658
Dongguan,3.873969
Shanghai,3.449677
Hong Kong,3.120689
Heyuan,3.076441
Beijing,2.994057
Chongqing,2.917408
Shantou,2.849167
Foshan,2.772723
Shanwei,2.660748
Shamen,2.635361
Zhuhai,2.608692
Zhongshan,2.580566
Meizhou,2.519038
Ganzhou,2.448291
Nanning,2.408229
Jiangmen,2.364002
Changzhou,2.339966
Nanchang,2.314385
Wuhan,2.314385
Changsha,2.286998
Chaozhou,2.286998
Jieyang,2.286998
Macau,2.286998
Guilin,2.257469
Hangzhou,2.257469
Taipei,2.225347
Nanjing,2.190019
Chengdou,2.150605
Qingyuan,2.150605
Xi'an,2.150605
Yulin,2.150605
Zhengzhou,2.150605
Fuzhou,2.105781
Hengyang,2.105781
Anqing,2.105781
Jian,2.105781
Jiaxing,2.105781
Kunming,2.105781
Quanzhou,2.105781
Sanya,2.105781
Wuzhou,2.105781
Qingdao,2.053401
Shaoguan,2.053401
Taoyuan,2.053401
Wuxi,2.053401
Yueyang,2.053401
Zhanjiang,2.053401
Hefei,1.989598
Bayannur,1.989598
Sanming,1.989598
Shangrao,1.989598
Suzhou,1.989598
Tianjin,1.989598
Wenzhou,1.989598
Zhaoqing,1.989598
Guigang,1.906121
Haikou,1.906121
Dalian,1.906121
Huangshan,1.906121
Jinhua,1.906121
Jining,1.906121
Jiujiang,1.906121
Longyan,1.906121
Nanping,1.906121
Ningbo,1.906121
Xinyu,1.906121
Zhangzhou,1.906121
Zhuzhou,1.906121
Fuyang,1.778555
Beihai,1.778555
Garze,1.778555
Harbin,1.778555
Dali,1.778555
Hohhot,1.778555
Honghe,1.778555
Huanggang,1.778555
Hulunbuir,1.778555
Jinan,1.778555
Lanzhou,1.778555
Leshan,1.778555
Lijiang,1.778555
Lishui,1.778555
Liuzhou,1.778555
Luoyang,1.778555
Meishan,1.778555
Baoji,1.778555
Bayingolin,1.778555
Putian,1.778555
Changde,1.778555
Qionghai,1.778555
Changchun,1.778555
Sanmenxia,1.778555
Shenyang,1.778555
Taichung,1.778555
Taizhou,1.778555
Urumqi,1.778555
Wanning,1.778555
Chenzhou,1.778555
Xiangtan,1.778555
Xiangxi,1.778555
Xishuangbanna,1.778555
Yangjiang,1.778555
Yangzhou,1.778555
Yantai,1.778555
Yingtan,1.778555
New Taipei,1.582645
Zhoushan,1.580410
Guiyang,1.572686
Nantong,1.567181
Huzhou,1.533945
Maoming,1.518066
Hezhou,1.515220
Shaoxing,1.510979
Langfang,1.502729
Shijiazhuang,1.481471
Taiyuan,1.477597
Ulanqab,1.475487
Baoding,1.471532
Jingdezhen,1.467089
Qinhuangdao,1.466880
Yunfu,1.463207
Zhenjiang,1.451235
Yichun,1.432842
Ngawa,1.430124
Chongzuo,1.426535
Ili(Yili),1.418073
Taizhou,1.410207
Tangshan,1.409448
Lhasa,1.405092
Zhangjiakou,1.388816
Guang'an,1.383817
Yichang,1.382294
Qinzhou,1.380334
Baotou,1.379209
Chengde,1.377383
Zhangjiajie,1.369824
Yancheng,1.369010
Zunyi,1.366487
Baise,1.365595
Xianyang,1.365559
Dazhou,1.359899
Kaohsiung,1.359541
Ningde,1.359541
Fangchenggang,1.357735
Kaifeng,1.357109
Jingzhou,1.354414
Anshan,1.354414
Xuzhou,1.354414
Xiangyang,1.349965
Yinchuan,1.349965
Suining,1.339045
Huaihua,1.337513
Diqing,1.333363
Weinan,1.333254
Pingxiang,1.329730
Hualien,1.327965
Xianning,1.325976
Lianyungang,1.325735
Luzhou,1.324926
Mianyang,1.324670
Xining,1.324670
Nanchong,1.324087
Tai'an,1.321848
Cangzhou,1.316223
Neijiang,1.314410
Ordos,1.310147
Datong,1.310147
Wuhu,1.310016
Wuhai,1.309387
Keelung,1.306799
Huai'an,1.305014
Xuancheng,1.303306
Bangbu,1.302088
Weicu,1.300312
Suihua,1.298128
Chizhou,1.297945
Zigong,1.295358
Sansha,1.294417
Xinxiang,1.293977
Hsinchu,1.292246
Enshi,1.289723
Ya'an,1.288026
Jiaozuo,1.287624
Hechi,1.286556
Yibin,1.284986
Yiyang,1.284705
Yongzhou,1.284705
Qiandongnan,1.283877
Loudi,1.283877
Huangshi,1.283877
Weihai,1.278948
Xiaogan,1.276209
Quzhou,1.275983
Weifang,1.274726
Fuzhou,1.274722
Deyang,1.273770
Huludao,1.272015
Yilan,1.268789
Jilin,1.268282
Laibin,1.267513
Zibo,1.266366
Yan'an,1.263909
Jinzhong,1.262718
Baoshan,1.261776
Nyingchi,1.259436
Dezhou,1.255724
Tongren,1.254120
Nanyang,1.251988
Zaozhuang,1.251625
Tainan,1.248877
Dandong,1.248592
Shaoyang,1.248592
Hengshui,1.248592
Xinyang,1.248592
Heze,1.248592
Taidong,1.247576
Shiyan,1.246622
Handan,1.243930
Pingdong,1.243930
Linyi,1.243930
Yuxi,1.243883
Xinzhou,1.241614
Nantou,1.241493
Huaibei,1.240699
Tongling,1.240699
Chuzhou,1.239748
Chifeng,1.236005
Liaoyang,1.233350
Benxi,1.233350
Ezhou,1.233350
Huainan,1.233350
Yuncheng,1.233350
Jiuquan,1.233350
Changhua,1.225969
Zhumadian,1.225464
Anyang,1.225329
Wenchang,1.224984
Jinzhou,1.222028
Ma'anshan,1.219146
Pu'er,1.218822
Kinmen,1.218201
Jingmen,1.215584
Pingdingshan,1.215377
Kashgar,1.215194
Dongying,1.215194
Tianshui,1.215194
Xingtai,1.215194
Bijie,1.215194
Panzhihua,1.215194
Linfen,1.214673
Liaocheng,1.214673
Yanbian,1.214673
Qujing,1.213394
Turpan,1.213325
Xuchang,1.211807
Bozhou,1.210451
Lu'an,1.209649
Ankang,1.206167
Shangqiu,1.204615
Hanzhong,1.204589
Hinggan,1.204386
Aksu,1.204377
Changji,1.204001
Mudanjiang,1.202451
Luohe,1.202451
Changzhi,1.202451
Panjin,1.202451
Liangshanzhou,1.200550
Xilingol,1.199066
Rizhao,1.196716
Tongliao,1.192562
Daqing,1.192562
Alty,1.192562
Zhoukou,1.192562
Qiqihar,1.191369
Yingkou,1.190081
Anshun,1.188308
Ziyang,1.188133
Alxa,1.185791
Chiayi,1.183478
Fushun,1.181824
Lingshui,1.177453
Haixi,1.172178
Jinchang,1.172035
Suizhou,1.171445
Wenshan,1.170327
Qamdo,1.168920
Yulin,1.165264
Qiannan,1.162058
Xiuqian,1.162058
Chaoyang,1.162058
Binzhou,1.162058
Shangluo,1.159925
Miaoli,1.153431
Yangquan,1.150609
Danzhou,1.150399
Shizuishan,1.150399
Tieling,1.150399
Zhangye,1.150399
Bazhong,1.142761
Yunlin,1.141878
Yichun,1.141582
Haidong,1.141582
Jiayuguan,1.141582
Dehong,1.140868
Puyang,1.140781
Keramay,1.132379
Tongchuan,1.129392
Hotan,1.129179
Guangyuan,1.127923
Haibei,1.126498
Xiuzhou,1.124233
Siping,1.123993
Liupanshui,1.121988
Wuwei,1.121988
Heihe,1.121988
Dongfang,1.121988
Dingan,1.121988
Qianxinan,1.121988
Tonghua,1.121988
Shuozhou,1.120892
Gannan,1.118129
Jiamusi,1.116039
Kumul(Hami),1.113374
Songyuan,1.113374
Shuangyashan,1.113374
Zhaotong,1.113374
Qingyang,1.113374
Baoting,1.109960
Chengmai,1.107326
Lvliang,1.104334
Jiyuan,1.101789
Zhongwei,1.101355
Baishan,1.101355
Daxinganling,1.101074
Dingxi,1.092459
Linxia,1.090670
Hebi,1.089904
Fuxin,1.086855
Wuzhishan,1.081272
Baiyin,1.077470
Nujiang,1.076538
Shannan,1.076538
Changjiang,1.076538
Huangnan,1.076538
Tacheng,1.076538
Laiwu,1.076538
Ledong,1.068559
Jincheng,1.067378
Penghu,1.065369
Lincang,1.063379
Hegang,1.050164
Nagqu,1.049008
Bortala,1.038258
Pingliang,1.034665
Jixi,1.031663
Baicheng,1.028851
Ngari,1.026437
Wuzhong,1.012581
Liaoyuan,1.012250
Qitaihe,1.003932
Guyuan,0.990442
Longnan,0.989417
Kezilsu,0.975760
Qiongzhong,0.960174
Golog,0.944360
Yushuzhou,0.944252
