city,distance
Beijing,5.449394
Qinhuangdao,4.609129
Shenyang,4.133582
Jinzhou,4.074860
Tangshan,3.210162
Tianjin,3.180724
Dalian,2.989838
Shanghai,2.963829
Panjin,2.848642
Changchun,2.816366
Harbin,2.782316
Anshan,2.572855
Chaoyang,2.489016
Langfang,2.489016
Yingkou,2.423309
Fuxin,2.386333
Jilin,2.386333
Nanjing,2.345755
Siping,2.345755
Tieling,2.345755
Yantai,2.345755
Fushun,2.300594
Dandong,2.249375
Chifeng,2.189709
Liaoyang,2.189709
Qingdao,2.189709
Shijiazhuang,2.189709
Xi'an,2.189709
Chengde,2.117303
Hohhot,2.117303
Tongliao,2.117303
Benxi,2.023020
Datong,2.023020
Guilin,2.023020
Hinggan,2.023020
Jiaxing,2.023020
Baoding,2.023020
Liangshanzhou,2.023020
Qiqihar,2.023020
Weifang,2.023020
Yanbian,2.023020
Zibo,2.023020
Guangzhou,1.974401
Hong Kong,1.956525
Hangzhou,1.955497
Chengdou,1.940166
Wuhan,1.893003
Jinan,1.888083
Daqing,1.879914
Daxinganling,1.879914
Dongying,1.879914
Garze,1.879914
Baishan,1.879914
Hefei,1.879914
Hulunbuir,1.879914
Jiujiang,1.879914
Bangbu,1.879914
Lianyungang,1.879914
Liaocheng,1.879914
Liaoyuan,1.879914
Luoyang,1.879914
Nanning,1.879914
Sanmenxia,1.879914
Sanya,1.879914
Shamen,1.879914
Shenzhen,1.879914
Songyuan,1.879914
Tai'an,1.879914
Taipei,1.879914
Taiyuan,1.879914
Tonghua,1.879914
Urumqi,1.879914
Cangzhou,1.879914
Chongqing,1.879914
Wuxi,1.879914
Xinyang,1.879914
Xuchang,1.879914
Yulin,1.879914
Zhangjiakou,1.879914
Zhengzhou,1.879914
Suzhou,1.791759
Changsha,1.744570
Kunming,1.726282
Nanchang,1.652560
Guiyang,1.629817
Lanzhou,1.629190
Ningbo,1.628086
Fuzhou,1.621315
Lijiang,1.599238
Taoyuan,1.590401
Yinchuan,1.588217
Haikou,1.574028
Zhuhai,1.572054
Baotou,1.564372
Lhasa,1.559674
Jinzhong,1.558957
Changzhou,1.556788
Xuzhou,1.555324
Yangzhou,1.555079
Xining,1.553848
Dezhou,1.548310
Weihai,1.538258
Jining,1.534663
Xinzhou,1.526916
Ngawa,1.521828
Macau,1.518441
Mudanjiang,1.517652
Handan,1.506451
Wenzhou,1.506113
Ordos,1.498475
Nantong,1.488135
Hengshui,1.486208
Zhenjiang,1.478637
Ma'anshan,1.472007
Baoding,1.471532
Zhoushan,1.470012
Xingtai,1.466683
Yichang,1.465789
Suihua,1.464592
Xilingol,1.463071
Zhangjiajie,1.461691
Jinhua,1.458418
Linyi,1.450628
Huangshan,1.450126
Jiaozuo,1.449623
Xinxiang,1.449117
Anyang,1.447588
Shaoxing,1.447588
Foshan,1.442364
Dali,1.441294
Kaifeng,1.438033
Quanzhou,1.434124
Baoji,1.432985
Huzhou,1.429729
Huai'an,1.421023
Diqing,1.416562
Dongguan,1.415912
Ulanqab,1.413278
Yan'an,1.407146
Nanping,1.405743
Taizhou,1.402163
Xiangyang,1.400703
New Taipei,1.399727
Binzhou,1.394684
Kaohsiung,1.393133
Shangrao,1.391562
Yangquan,1.391562
Mianyang,1.381692
Xianyang,1.381221
Liuzhou,1.380833
Wuhu,1.379967
Jiamusi,1.379602
Jian,1.379095
Yancheng,1.378217
Jiuquan,1.375544
Beihai,1.375544
Heihe,1.370472
Xuancheng,1.368248
Xiangxi,1.366178
Rizhao,1.365200
Zhongshan,1.363219
Yichun,1.362294
Changzhi,1.357068
Taizhou,1.357068
Chuzhou,1.353867
Yuncheng,1.353867
Jingdezhen,1.350577
Shuozhou,1.348330
Weinan,1.348180
Leshan,1.344875
Heze,1.343700
Nanyang,1.343525
Shangqiu,1.343525
Ya'an,1.340363
Ganzhou,1.338877
Meizhou,1.333839
Puyang,1.333839
Changde,1.333839
Yueyang,1.332544
Anqing,1.327209
Bayannur,1.325834
Taichung,1.325834
Lvliang,1.324443
Ili(Yili),1.323033
Huizhou,1.323033
Jingzhou,1.321606
Zhongwei,1.320160
Linfen,1.318694
Jieyang,1.318694
Baoshan,1.315704
Zhangzhou,1.314178
Luohe,1.312630
Xishuangbanna,1.309467
Zhuzhou,1.309467
Yibin,1.307850
Panzhihua,1.305858
Qiandongnan,1.304541
Fuyang,1.304541
Zhanjiang,1.304541
Yichun,1.302848
Jixi,1.302547
Deyang,1.299380
Pingdong,1.295795
Zunyi,1.295795
Gannan,1.293956
Huanggang,1.292085
Nanchong,1.292085
Quzhou,1.290179
Pingdingshan,1.288239
Xiangtan,1.286262
Keramay,1.284247
Dehong,1.282191
Hezhou,1.282191
Bozhou,1.280095
Xiuzhou,1.280095
Ningde,1.280095
Shuangyashan,1.278872
Huangshi,1.278872
Qionghai,1.277955
Shantou,1.277955
Shiyan,1.277955
