city,distance
Urumqi,5.762696
Bayingolin,3.868124
Beijing,3.832869
Keramay,3.784397
Shanghai,3.640864
Alty,3.626944
Ganzhou,3.554724
Bortala,3.428326
Changji,2.857816
Turpan,2.857816
Tacheng,2.822763
Kashgar,2.657636
Aksu,2.488867
Chengdou,2.416025
Nanjing,2.416025
Xi'an,2.328179
Hangzhou,2.214684
Jinan,2.214684
Lanzhou,2.214684
Tai'an,2.214684
Zhengzhou,2.214684
Zhuhai,2.214684
Changchun,2.044319
Changsha,2.044319
Chongqing,2.044319
Guangzhou,2.044319
Guilin,2.044319
Harbin,2.044319
Jiayuguan,2.044319
Jiuquan,2.044319
Luoyang,2.044319
Ngawa,2.044319
Qinhuangdao,2.044319
Sanya,2.044319
Shangqiu,2.044319
Shenzhen,2.044319
Shijiazhuang,2.044319
Suzhou,2.044319
Taipei,2.044319
Taiyuan,2.044319
Tianjin,2.044319
Tianshui,2.044319
Xiangtan,2.044319
Xining,2.044319
Yanbian,2.044319
Nanchang,1.923054
Yinchuan,1.880648
Kumul(Hami),1.874876
Jian,1.793288
Jiaxing,1.781141
Hotan,1.758008
Wuhan,1.754692
Wuxi,1.752528
Hong Kong,1.748809
Shamen,1.743609
Changzhou,1.698424
Ningbo,1.697511
Langfang,1.688157
Heyuan,1.663190
Qingdao,1.649494
Baoding,1.648887
Hohhot,1.640029
Longyan,1.636255
Haixi,1.627421
Kunming,1.627421
Shenyang,1.622638
Zhoushan,1.619367
Kezilsu,1.619212
Nantong,1.605481
Dalian,1.588552
Huizhou,1.582058
Tangshan,1.571329
Huzhou,1.570619
Shaoxing,1.546550
Dongguan,1.546428
Zhangjiakou,1.545729
Jiujiang,1.536106
Haikou,1.533512
Chengde,1.531580
Yangzhou,1.526802
Shaoguan,1.525041
Yichun,1.525041
Guiyang,1.521441
Shangrao,1.513101
Jinhua,1.505720
Lhasa,1.493907
Zhongshan,1.493609
Macau,1.489737
New Taipei,1.488879
Zhenjiang,1.484019
Hefei,1.482080
Gannan,1.477903
Shuangyashan,1.471317
Huangshan,1.470921
Wenzhou,1.464753
Yantai,1.464624
Leshan,1.462587
Jinchang,1.459848
Nanning,1.459848
Taizhou,1.459848
Cangzhou,1.456334
Fuyang,1.452168
Quzhou,1.452168
Liuzhou,1.448007
Taizhou,1.441143
Fuzhou,1.440553
Baotou,1.439055
Baoji,1.439055
Xishuangbanna,1.439055
Zhangye,1.439055
Xianyang,1.435058
Jingdezhen,1.431592
Yingtan,1.431592
Jining,1.425338
Datong,1.425302
Lijiang,1.423098
Taoyuan,1.416096
Mudanjiang,1.414399
Wuzhong,1.414399
Zhongwei,1.414399
Fuzhou,1.407188
Zhangzhou,1.407188
Huludao,1.402406
Yancheng,1.398146
Jilin,1.397870
Jinzhong,1.391113
Xuzhou,1.388220
Hulunbuir,1.387043
Baishan,1.386990
Luzhou,1.386749
Qingyang,1.386749
Wuwei,1.386749
Linyi,1.383831
Ordos,1.383831
Foshan,1.383831
Yichang,1.383831
Haibei,1.383831
Dezhou,1.382629
Kaifeng,1.382348
Quanzhou,1.376928
Weihai,1.374607
Dongying,1.371442
Changzhi,1.371442
Wuhu,1.371442
Ngari,1.368980
Weifang,1.366481
Xinzhou,1.365543
Liangshanzhou,1.364376
Hengyang,1.364376
Deyang,1.362419
Chifeng,1.358761
Lianyungang,1.353040
Zhangjiajie,1.349909
Handan,1.349152
Zibo,1.347517
Diqing,1.342925
Mianyang,1.342925
Nanyang,1.342925
Jinzhou,1.342925
Yibin,1.342925
Yueyang,1.342925
Yuncheng,1.342925
Zhaoqing,1.342925
Liaocheng,1.336424
Huanggang,1.336424
Pingxiang,1.336424
Qiandongnan,1.336424
Anqing,1.336424
Xinyang,1.336424
Beihai,1.336424
Zhuzhou,1.336424
Hengshui,1.332893
