city,distance
Shanghai,5.611110
Nanchang,4.551558
Beijing,3.929261
Ganzhou,3.505984
Shenzhen,3.465382
Hangzhou,2.970759
Yichun,2.970759
Jiujiang,2.827720
Guangzhou,2.804444
Jiaxing,2.701097
Jinhua,2.608841
Xinyu,2.608841
Dongguan,2.536747
Heyuan,2.496257
Shamen,2.496257
Shangrao,2.496257
Suzhou,2.486954
Wuhan,2.451889
Xi'an,2.451889
Changsha,2.402592
Chengdou,2.402592
Chongqing,2.402592
Huangshan,2.402592
Tianjin,2.402592
Hong Kong,2.346786
Huizhou,2.346786
Nanjing,2.346786
Yingtan,2.346786
Fuyang,2.281915
Fuzhou,2.281915
Hefei,2.281915
Pingxiang,2.281915
Shenyang,2.281915
Wuxi,2.281915
Ningbo,2.203391
Shijiazhuang,2.203391
Changzhou,2.101471
Cangzhou,2.101471
Hengshui,2.101471
Jingdezhen,2.101471
Kunming,2.101471
Longyan,2.101471
Quzhou,2.101471
Shaoguan,2.101471
Shaoxing,2.101471
Taiyuan,2.101471
Wenzhou,2.101471
Wuhu,2.101471
Zhongshan,2.101471
Zhuzhou,2.101471
Fangchenggang,1.947473
Fuzhou,1.947473
Guiyang,1.947473
Haikou,1.947473
Harbin,1.947473
Changde,1.947473
Chaozhou,1.947473
Baoding,1.947473
Heze,1.947473
Huanggang,1.947473
Huangshi,1.947473
Jingzhou,1.947473
Lishui,1.947473
Loudi,1.947473
Ma'anshan,1.947473
Meizhou,1.947473
Nanning,1.947473
Nanyang,1.947473
Pingdingshan,1.947473
Puyang,1.947473
Qiandongnan,1.947473
Qingyuan,1.947473
Sanya,1.947473
Shangqiu,1.947473
Shantou,1.947473
Anqing,1.947473
Suizhou,1.947473
Taizhou,1.947473
Taizhou,1.947473
Urumqi,1.947473
Weifang,1.947473
Baotou,1.947473
Xiangtan,1.947473
Xinxiang,1.947473
Yancheng,1.947473
Bozhou,1.947473
Yueyang,1.947473
Yuncheng,1.947473
Zhangjiajie,1.947473
Zhangzhou,1.947473
Zhengzhou,1.947473
Zhuhai,1.947473
Zhoushan,1.919081
Nantong,1.899610
Huzhou,1.850996
Qingdao,1.834373
Yangzhou,1.790441
Taipei,1.782060
Zhenjiang,1.731891
Dalian,1.722732
Ili(Yili),1.718330
Langfang,1.706597
Macau,1.668583
Jinan,1.664914
