city,distance
Guangzhou,6.082495
Zhongshan,3.795481
Zhuhai,3.759110
Shenzhen,3.610471
Foshan,3.602116
Shanghai,3.384895
Hong Kong,3.258655
Yangjiang,3.240831
Dongguan,2.902726
Macau,2.790916
Zhaoqing,2.768239
Beijing,2.720093
Zhanjiang,2.639173
Maoming,2.525673
Huizhou,2.400756
Hangzhou,2.375971
Shaoguan,2.349601
Changsha,2.257887
Shamen,2.257887
Guilin,2.180980
Guiyang,2.180980
Wuzhou,2.180980
Liuzhou,2.134895
Chengdou,2.081075
Nanjing,2.081075
Chongqing,2.015568
Mudanjiang,2.015568
Qingyuan,2.015568
Shantou,2.015568
Suzhou,2.015568
Wuhan,2.015568
Xining,2.015568
Yunfu,2.015568
Chenzhou,1.929945
Haikou,1.929945
Jieyang,1.929945
Kunming,1.929945
Longyan,1.929945
Nanchang,1.929945
Nanning,1.929945
Pingxiang,1.929945
Shenyang,1.929945
Taipei,1.929945
Tianjin,1.929945
Wenzhou,1.929945
Xiangxi,1.929945
Ganzhou,1.799279
Harbin,1.799279
Heyuan,1.799279
Hezhou,1.799279
Jingzhou,1.799279
Jiujiang,1.799279
Lianyungang,1.799279
Lijiang,1.799279
Luoyang,1.799279
Meizhou,1.799279
Nantong,1.799279
Ngawa,1.799279
Ningbo,1.799279
Pingdingshan,1.799279
Qingdao,1.799279
Qinzhou,1.799279
Qionghai,1.799279
Quanzhou,1.799279
Quzhou,1.799279
Shanwei,1.799279
Changchun,1.799279
Tai'an,1.799279
Taoyuan,1.799279
Weifang,1.799279
Wuxi,1.799279
Beihai,1.799279
Xi'an,1.799279
Xiangtan,1.799279
Xiangyang,1.799279
Zhuzhou,1.799279
Zibo,1.799279
Sanya,1.751305
Jiaxing,1.717599
Fuzhou,1.701176
Zhengzhou,1.662658
Yangzhou,1.651139
Changzhou,1.640551
Jinan,1.621752
Dalian,1.613768
Hefei,1.606250
Hengyang,1.582432
Zhoushan,1.566673
Chaozhou,1.547364
Taiyuan,1.544892
Shijiazhuang,1.531904
Sansha,1.526170
Huzhou,1.521001
Urumqi,1.511631
Shaoxing,1.498418
Xiaogan,1.492219
Jinhua,1.491736
Lanzhou,1.488138
Ngawa,1.476105
Shangrao,1.470720
Yingtan,1.450814
Hohhot,1.448412
Huai'an,1.440655
Zhenjiang,1.439644
Yueyang,1.438352
Zhangjiajie,1.434331
Langfang,1.430420
Huangshan,1.430275
Dali,1.430108
New Taipei,1.427276
Yichang,1.424602
Taizhou,1.415598
Lhasa,1.412452
Yantai,1.412452
Anshun,1.409951
Yinchuan,1.405916
Zhumadian,1.404900
Zhangzhou,1.402518
Baoding,1.402125
Taizhou,1.399259
Qinhuangdao,1.397900
Diqing,1.387919
Yichun,1.383984
Anqing,1.379917
Xianning,1.379917
Liangshanzhou,1.377339
Qiandongnan,1.374739
Xuzhou,1.371352
Wanning,1.362127
Zhangjiakou,1.362127
Yancheng,1.358690
Kaohsiung,1.357230
Zunyi,1.357159
Deyang,1.354736
Huaihua,1.352120
Chongzuo,1.352120
Guigang,1.346775
Jingdezhen,1.346775
Jian,1.346775
Tangshan,1.345646
Wuhu,1.335276
Yiyang,1.335276
Yongzhou,1.335276
Haixi,1.335263
Leshan,1.332733
Yanbian,1.331181
Weihai,1.329059
Baotou,1.322476
Changde,1.322476
Qiannan,1.319018
Chengde,1.316389
Baise,1.315477
Huangshi,1.315477
Huanggang,1.315477
Haibei,1.309472
Jining,1.308000
Nyingchi,1.308000
Taichung,1.308000
Ulanqab,1.303833
Laibin,1.301639
Nanping,1.299968
Nanyang,1.299968
Sanming,1.299968
Jinzhong,1.299968
Xuancheng,1.293950
Meishan,1.293167
Linyi,1.291283
Mianyang,1.291283
Pingdong,1.291283
Putian,1.291283
Handan,1.291283
Fangchenggang,1.291283
Xinyang,1.291283
Datong,1.281816
Xianyang,1.281816
Xinyu,1.281816
Xishuangbanna,1.281816
Jilin,1.278785
Luzhou,1.271396
Hulunbuir,1.271396
Kaifeng,1.271396
Keramay,1.263588
Chizhou,1.262762
Cangzhou,1.260415
Linfen,1.259785
Tainan,1.259785
Baoji,1.259785
Liaocheng,1.259785
Loudi,1.259785
Anyang,1.259785
Honghe,1.259785
Hechi,1.250172
Nanchong,1.246642
Nantou,1.246642
Ningde,1.246642
Panjin,1.246642
Benxi,1.246642
Luohe,1.246642
Garze,1.246642
Fuyang,1.246642
Xingtai,1.246642
Xinzhou,1.246642
Changzhi,1.246642
Shiyan,1.244516
Lishui,1.241494
Bangbu,1.240185
Wenchang,1.235241
Keelung,1.233393
Jixi,1.233270
Suining,1.233161
Qiqihar,1.231448
Anshan,1.231448
Ma'anshan,1.231448
Jingmen,1.231448
Chifeng,1.231448
Fuzhou,1.231448
Hsinchu,1.231448
Liaoyang,1.231448
Xuchang,1.231448
Yibin,1.231448
Chuzhou,1.231279
Weicu,1.231053
Ankang,1.229394
Fushun,1.224809
Rizhao,1.224150
Qianxinan,1.223345
Huludao,1.219819
Qujing,1.213348
Dezhou,1.213348
Dongying,1.213348
Shaoyang,1.213348
Suizhou,1.213348
Hualien,1.213348
Xinxiang,1.213348
Yilan,1.213348
Dandong,1.213348
Jiuquan,1.213348
Jiaozuo,1.196730
Ya'an,1.194340
Zaozhuang,1.193726
Liupanshui,1.190896
Bozhou,1.190783
Shizuishan,1.190783
Daqing,1.190783
Tieling,1.190783
Tongliao,1.190783
Lu'an,1.190783
Jinzhou,1.190783
Guang'an,1.190783
Changhua,1.190783
Chaoyang,1.190783
Baoshan,1.190783
Heze,1.190783
Yuncheng,1.190783
Kashgar,1.190783
Danzhou,1.190783
Zhangye,1.190783
Ziyang,1.190783
Weinan,1.189290
Tongren,1.188636
Bijie,1.183933
Nagqu,1.182153
Yuxi,1.180358
Laiwu,1.179346
Xiuqian,1.175036
Yunlin,1.175036
Zhongwei,1.175036
Haidong,1.175036
Ordos,1.174436
Gannan,1.173024
Ili(Yili),1.173004
Huangnan,1.171310
Suihua,1.167255
Hengshui,1.166887
Huainan,1.161890
Yulin,1.161890
Yingkou,1.161672
Tonghua,1.160369
Turpan,1.160369
Kinmen,1.160369
Dongfang,1.160369
Wuwei,1.160369
Dingan,1.160369
Panzhihua,1.160369
Hanzhong,1.160369
Tianshui,1.160369
Heihe,1.160369
Guangyuan,1.160369
Jiamusi,1.155042
Tongling,1.154669
Sanmenxia,1.154290
Binzhou,1.152930
Xilingol,1.152576
Neijiang,1.149298
Zigong,1.146477
Yan'an,1.133801
Ezhou,1.133321
Siping,1.132235
Wuzhishan,1.130178
Baoting,1.130178
Yangquan,1.130178
Huaibei,1.130178
Dazhou,1.125218
Baishan,1.117282
Xiuzhou,1.117265
Chengmai,1.115324
Hinggan,1.113220
Hebi,1.111823
Pu'er,1.111823
Tacheng,1.111823
Puyang,1.111823
Shannan,1.111823
Miaoli,1.111823
Aksu,1.111823
Yichun,1.111823
Bazhong,1.111823
Bayingolin,1.111823
Jiayuguan,1.111823
Dehong,1.111823
Shangluo,1.111823
Songyuan,1.111823
Enshi,1.111823
Alty,1.111823
Changjiang,1.111823
Nujiang,1.111823
Lingshui,1.105183
Chiayi,1.099118
Qitaihe,1.094936
Shangqiu,1.094150
