city,distance
Zhengzhou,5.396328
Beijing,4.306758
Luoyang,4.279833
Shanghai,3.719275
Xinxiang,3.699531
Kaifeng,3.380439
Pingdingshan,3.026345
Xi'an,2.807090
Jincheng,2.768707
Jiyuan,2.768707
Tianjin,2.748551
Anyang,2.727675
Nanjing,2.523451
Jinan,2.490928
Shijiazhuang,2.490928
Wuhan,2.490928
Baoding,2.455937
Changzhi,2.376315
Suzhou,2.376315
Jinzhong,2.329982
Qingdao,2.329982
Taiyuan,2.329982
Xuchang,2.329982
Hangzhou,2.277461
Chengdou,2.216315
Chongqing,2.216315
Handan,2.216315
Hebi,2.216315
Linfen,2.216315
Yancheng,2.216315
Changsha,2.142169
Nanyang,2.142169
Puyang,2.142169
Ulanqab,2.142169
Changzhou,2.045709
Guangzhou,2.045709
Hohhot,2.045709
Huzhou,2.045709
Kunming,2.045709
Ningbo,2.045709
Sanmenxia,2.045709
Shamen,2.045709
Shangluo,2.045709
Shangqiu,2.045709
Shaoxing,2.045709
Shenzhen,2.045709
Xingtai,2.045709
Xinyang,2.045709
Xuzhou,2.045709
Yangzhou,2.045709
Yantai,2.045709
Yuncheng,2.045709
Dehong,1.899491
Dezhou,1.899491
Dongguan,1.899491
Dongying,1.899491
Fuyang,1.899491
Fuzhou,1.899491
Guiyang,1.899491
Haikou,1.899491
Bozhou,1.899491
Hengshui,1.899491
Heze,1.899491
Hong Kong,1.899491
Hulunbuir,1.899491
Lanzhou,1.899491
Lianyungang,1.899491
Mianyang,1.899491
Nanchang,1.899491
Nanning,1.899491
Ngawa,1.899491
Chengde,1.899491
Qinhuangdao,1.899491
Quanzhou,1.899491
Chiayi,1.899491
Shiyan,1.899491
Taidong,1.899491
Tongchuan,1.899491
Urumqi,1.899491
Weifang,1.899491
Weinan,1.899491
Wenzhou,1.899491
Wuhu,1.899491
Wuxi,1.899491
Xiangxi,1.899491
Xiangyang,1.899491
Xining,1.899491
Xinzhou,1.899491
Yan'an,1.899491
Changchun,1.899491
Dalian,1.899491
Zhangjiakou,1.899491
Zhongwei,1.899491
Zhoukou,1.899491
Zhuhai,1.899491
Jiaxing,1.799702
Langfang,1.774138
Luohe,1.741336
Shenyang,1.701917
Zhumadian,1.689089
Yinchuan,1.680573
Tangshan,1.645560
Harbin,1.640162
Zhoushan,1.634696
Hefei,1.626203
Nantong,1.620547
Xianyang,1.603704
Sanya,1.600434
Taipei,1.581858
Baoji,1.555980
Cangzhou,1.519877
Jinhua,1.518963
Bangbu,1.507493
Ordos,1.507493
Chuzhou,1.507493
Zhenjiang,1.502474
Guilin,1.497815
Tai'an,1.495756
Datong,1.486110
Jinzhou,1.484257
Lijiang,1.483714
Huangshan,1.483557
Taoyuan,1.476105
Jining,1.468027
Lhasa,1.461370
