city,distance
Shanghai,6.745864
Hangzhou,4.501271
Ningbo,3.359179
Suzhou,3.073606
Shaoxing,2.771889
Zhoushan,2.771889
Huzhou,2.710280
Beijing,2.695027
Jinhua,2.605795
Wuxi,2.527588
Nanjing,2.493542
Huangshan,2.316884
Taizhou,2.301644
Changzhou,2.256275
Hong Kong,2.245190
Wenzhou,2.217734
Shamen,2.212419
Nantong,2.172585
Guangzhou,2.072386
Wuhan,2.068313
Shangrao,2.063107
Lishui,2.044131
Quzhou,2.020811
Yangzhou,2.020811
Chengdou,2.017570
Shenzhen,1.995403
Tianjin,1.971074
Sanya,1.953840
Qingdao,1.941120
Xi'an,1.931953
Xuancheng,1.931953
Nanchang,1.918964
Zhenjiang,1.890777
Taipei,1.882638
Fuzhou,1.880615
Chongqing,1.875045
Hefei,1.858902
Kunming,1.816688
Dalian,1.816549
Changsha,1.808241
Yingtan,1.801024
Jinan,1.793561
Wuhu,1.793561
Harbin,1.785831
Shaoguan,1.785831
Changchun,1.785831
Jiujiang,1.777814
Taizhou,1.777814
Zhengzhou,1.777814
Ningde,1.769481
Shenyang,1.766096
Macau,1.756445
Chizhou,1.751752
Xuzhou,1.751752
Yancheng,1.742282
Guilin,1.740147
Guiyang,1.721897
Jian,1.710864
Nanping,1.710864
Shijiazhuang,1.686715
Lijiang,1.677561
Huai'an,1.673382
Lianyungang,1.673382
Yichun,1.673382
Taoyuan,1.661213
Pingxiang,1.659018
Zhuhai,1.657884
Yantai,1.647836
Urumqi,1.643754
Jingdezhen,1.643424
Xinyu,1.643424
Zhuzhou,1.643424
Haikou,1.637962
Taiyuan,1.634950
Lanzhou,1.634428
Nanning,1.630645
Zhangjiajie,1.627685
Quanzhou,1.626334
Bangbu,1.607384
Huangshi,1.586050
Linyi,1.586050
Chengde,1.586050
Dongguan,1.586050
Huizhou,1.561537
Foshan,1.561537
Langfang,1.561537
Ngawa,1.561537
Dezhou,1.561537
Yichang,1.561537
Chuzhou,1.561537
Hohhot,1.554885
Lhasa,1.554604
Huaihua,1.532547
Diqing,1.532547
Baotou,1.532547
Dongying,1.532547
Cangzhou,1.532547
Qinhuangdao,1.532547
Anqing,1.532547
Xiangxi,1.532547
Xining,1.532547
Xiuzhou,1.532547
Yinchuan,1.532547
Zhangzhou,1.532547
Luoyang,1.525665
Weihai,1.521545
Tai'an,1.519264
Beihai,1.512578
Kaohsiung,1.500650
Jinzhong,1.496724
Fuzhou,1.496724
Longyan,1.496724
Loudi,1.496724
Ma'anshan,1.496724
Nyingchi,1.496724
Sanming,1.496724
Taichung,1.496724
Weifang,1.496724
Ganzhou,1.496724
Zibo,1.496724
Jining,1.488535
Dali,1.466668
Liuzhou,1.458007
Baotou,1.453656
Huludao,1.448987
Jiuquan,1.448987
Huaibei,1.448987
Putian,1.448987
Huanggang,1.448987
Tongling,1.448987
Xiangyang,1.448987
Hengyang,1.448987
Xiuqian,1.448987
Changde,1.448987
Yanbian,1.448987
Ezhou,1.448987
Yongzhou,1.448987
Zaozhuang,1.448987
Zhaoqing,1.448987
Enshi,1.448987
Mianyang,1.446716
New Taipei,1.437266
Jieyang,1.430127
Datong,1.408009
Lu'an,1.402758
Shantou,1.402758
Tangshan,1.402344
Zhongshan,1.398564
Baoding,1.395435
Kaifeng,1.394666
Baoji,1.394666
Hulunbuir,1.388810
Ordos,1.385538
Jinzhou,1.384109
Leshan,1.377207
Garze,1.377207
Jilin,1.374644
Chiayi,1.374068
Lingshui,1.374068
Linxia,1.374068
Guangyuan,1.374068
Anshun,1.374068
Hanzhong,1.374068
Luohe,1.374068
Pingdong,1.374068
Qiandongnan,1.374068
Laiwu,1.374068
Qujing,1.374068
Bozhou,1.374068
Shannan,1.374068
Chifeng,1.374068
Suizhou,1.374068
Taidong,1.374068
Tainan,1.374068
Tongren,1.374068
Fangchenggang,1.374068
Wanning,1.374068
Weinan,1.374068
Chenzhou,1.374068
Xianyang,1.374068
Xingtai,1.374068
Xinzhou,1.374068
Daqing,1.374068
Yangjiang,1.374068
Yangquan,1.374068
Jingzhou,1.374068
Yuncheng,1.374068
Zhangjiakou,1.374068
Zhanjiang,1.374068
Kashgar,1.374068
Zhoukou,1.374068
Hsinchu,1.374068
Nantou,1.366610
Hezhou,1.356796
Panjin,1.353127
Suihua,1.352504
Haixi,1.351878
Baoshan,1.351248
Xishuangbanna,1.349338
Fuyang,1.349338
Huainan,1.341367
Hualien,1.337164
Handan,1.335727
Qionghai,1.329027
Shiyan,1.326701
Jiangmen,1.325915
Jiaozuo,1.321079
Liaocheng,1.321079
Anshan,1.321079
Mudanjiang,1.314283
Yunlin,1.311622
Dandong,1.310720
Shangqiu,1.304189
Qingyuan,1.303223
Xinxiang,1.298257
Deyang,1.296204
Changzhi,1.294110
Yibin,1.294110
Xiangtan,1.293048
Qiqihar,1.284138
Alty,1.281786
Weicu,1.279380
Xinyang,1.278155
Nanyang,1.275662
Jiayuguan,1.274392
Yilan,1.271804
Ulanqab,1.271408
Yueyang,1.267794
Baishan,1.266422
Anyang,1.263619
Chongzuo,1.262188
Luzhou,1.256249
Sansha,1.254707
Penghu,1.254707
Yingkou,1.254707
Ya'an,1.253141
Tianshui,1.251549
Ili(Yili),1.249932
Keelung,1.249932
Shuozhou,1.248287
Yan'an,1.248287
Zunyi,1.248287
Chaozhou,1.246614
Fushun,1.246614
Meizhou,1.246524
Sanmenxia,1.244912
Xianning,1.239017
Turpan,1.235922
Binzhou,1.234019
Nagqu,1.232077
Kinmen,1.230094
Linfen,1.228069
Benxi,1.228069
Liangshanzhou,1.226000
Yichun,1.226000
Tongliao,1.223884
Nanchong,1.223884
Bayingolin,1.221719
Keramay,1.221719
Qiannan,1.219503
Shaoyang,1.217233
Jiamusi,1.217233
Zhongwei,1.214906
