city,distance
Shanghai,4.937625
Nanjing,4.264997
Hefei,3.936850
Xuzhou,3.856762
Beijing,3.634721
Chuzhou,3.452268
Huainan,3.144201
Xiuzhou,3.131164
Suzhou,3.018262
Jinan,2.962944
Wuxi,2.856442
Xi'an,2.806366
Wuhu,2.665736
Zhenjiang,2.652268
Jining,2.624266
Zaozhuang,2.624266
Zhengzhou,2.609684
Fuyang,2.594678
Changzhou,2.529712
Tianjin,2.529712
Qingdao,2.512017
Chuzhou,2.501050
Huaibei,2.474485
Tai'an,2.433568
Bozhou,2.388415
Kaifeng,2.388415
Luoyang,2.388415
Lanzhou,2.363882
Shenzhen,2.337778
Shangqiu,2.309839
Cangzhou,2.279720
Harbin,2.246967
Ningbo,2.246967
Shamen,2.246967
Wuhan,2.246967
Xining,2.246967
Dezhou,2.210954
Huangshan,2.210954
Jiaxing,2.210954
Tangshan,2.210954
Datong,2.170790
Lhasa,2.170790
Lu'an,2.170790
Yangzhou,2.170790
Baoji,2.170790
Dalian,2.125130
Haixi,2.125130
Anqing,2.125130
Ma'anshan,2.125130
Huai'an,2.071795
Langfang,2.071795
Qinhuangdao,2.071795
Chengdou,2.071795
Tongling,2.071795
Weinan,2.071795
Wenzhou,2.071795
Fuzhou,2.006862
Guangzhou,2.006862
Hebi,2.006862
Hohhot,2.006862
Nanchang,2.006862
Sanmenxia,2.006862
Shenyang,2.006862
Changchun,2.006862
Taiyuan,2.006862
Taizhou,2.006862
Taizhou,2.006862
Yantai,2.006862
Zhoukou,2.006862
Hong Kong,2.001264
Huzhou,1.921961
Lianyungang,1.921961
Linyi,1.921961
Lishui,1.921961
Luohe,1.921961
Changsha,1.921961
Shangrao,1.921961
Shijiazhuang,1.921961
Weihai,1.921961
Changzhi,1.921961
Xiuqian,1.921961
Yanbian,1.921961
Zhoushan,1.921961
Zibo,1.921961
Nantong,1.815763
Alxa,1.792338
Heze,1.792338
Huludao,1.792338
Jilin,1.792338
Jinzhou,1.792338
Kunming,1.792338
Linfen,1.792338
Liuzhou,1.792338
Mudanjiang,1.792338
Nagqu,1.792338
Ngawa,1.792338
Pingdingshan,1.792338
Quanzhou,1.792338
Rizhao,1.792338
Shaoxing,1.792338
Shaoyang,1.792338
Shuozhou,1.792338
Suihua,1.792338
Tianshui,1.792338
Tonghua,1.792338
Wenshan,1.792338
Xinxiang,1.792338
Anyang,1.792338
Xuancheng,1.792338
Xuchang,1.792338
Ankang,1.792338
Yan'an,1.792338
Yancheng,1.792338
Yinchuan,1.792338
Yuncheng,1.792338
Chizhou,1.792338
Guilin,1.792338
Sanya,1.766471
Taipei,1.708067
Chongqing,1.701814
Jinhua,1.689187
Baoding,1.611103
Macau,1.603542
Xianyang,1.603468
Lijiang,1.537537
Weifang,1.531463
Taoyuan,1.523793
Zhuhai,1.520991
Guiyang,1.514958
Zhangjiakou,1.512477
Urumqi,1.509089
Haikou,1.504206
Chengde,1.498928
Nanning,1.498034
Zhangjiajie,1.495535
Nyingchi,1.456610
Jiaozuo,1.439208
Nanping,1.431202
Huanggang,1.429830
Dongguan,1.424590
Liaocheng,1.423977
Quzhou,1.410547
Jiujiang,1.409975
Jiuquan,1.406111
Beihai,1.397799
Haibei,1.395092
Shannan,1.392727
Yichang,1.390486
Yingtan,1.389139
Kaohsiung,1.387607
Hanzhong,1.385990
Xinyang,1.383095
Binzhou,1.382626
Dongying,1.380700
Xinzhou,1.370130
Daqing,1.368388
Baotou,1.368266
Ulanqab,1.365664
Jingdezhen,1.365493
Jinzhong,1.364123
Jian,1.363209
Hulunbuir,1.360209
Foshan,1.359588
Dali,1.358502
Xiangxi,1.350368
Diqing,1.350133
Zhangzhou,1.345609
Ningde,1.342625
Mianyang,1.341367
Laiwu,1.336576
Yulin,1.334184
New Taipei,1.333239
Chifeng,1.333000
Hengshui,1.330578
Baishan,1.329563
Leshan,1.328921
Shangluo,1.327189
Jieyang,1.327094
Gannan,1.324276
Handan,1.323751
Ordos,1.317588
Jiayuguan,1.311849
Huizhou,1.309461
Anshan,1.309250
Taichung,1.307341
Shantou,1.303494
Xianning,1.300983
Zhongshan,1.299872
Wuwei,1.299307
Zhuzhou,1.299132
Dandong,1.296017
Xiangyang,1.294585
Xingtai,1.292945
Nanyang,1.292226
Honghe,1.291189
Ganzhou,1.291042
Xilingol,1.290137
Dingxi,1.288419
Tongchuan,1.287367
Zhumadian,1.286041
Linxia,1.285932
Longyan,1.282278
Garze,1.281403
Qiqihar,1.281230
Zhangye,1.280773
Shiyan,1.279261
Jincheng,1.276029
