city,distance
Jiuquan,5.882742
Lanzhou,4.281539
Zhangye,4.135616
Xi'an,3.906922
Shanghai,3.666485
Beijing,3.108465
Xining,2.964548
Alxa,2.719614
Urumqi,2.648327
Kumul(Hami),2.467138
Turpan,2.408329
Chengdou,2.340060
Haibei,2.340060
Haixi,2.340060
Wuhan,2.340060
Wuwei,2.340060
Zhongwei,2.340060
Chongqing,2.257557
Hangzhou,2.257557
Tianjin,2.257557
Changchun,2.150685
Changsha,2.150685
Dingxi,2.150685
Hanzhong,2.150685
Hohhot,2.150685
Huangshan,2.150685
Sanmenxia,2.150685
Shijiazhuang,2.150685
Xianyang,2.150685
Suzhou,2.013607
Changji,1.989666
Baotou,1.989666
Datong,1.989666
Dongguan,1.989666
Gannan,1.989666
Guangzhou,1.989666
Haikou,1.989666
Hong Kong,1.989666
Hotan,1.989666
Ili(Yili),1.989666
Jinan,1.989666
Jingmen,1.989666
Jinhua,1.989666
Kunming,1.989666
Lhasa,1.989666
Linxia,1.989666
Luoyang,1.989666
Luzhou,1.989666
Mianyang,1.989666
Nanjing,1.989666
Ngawa,1.989666
Pingliang,1.989666
Qingdao,1.989666
Quanzhou,1.989666
Taiyuan,1.989666
Wenzhou,1.989666
Wuhai,1.989666
Baoji,1.989666
Wuxi,1.989666
Yinchuan,1.989666
Weinan,1.848377
Tianshui,1.817217
Jinchang,1.806112
Jiaxing,1.787250
Shamen,1.734618
Yan'an,1.717720
Changzhou,1.703978
Ningbo,1.703060
Baiyin,1.668316
Zhengzhou,1.656276
Zhoushan,1.624416
Hefei,1.618652
Shenzhen,1.612616
Nantong,1.610444
Ankang,1.578906
Huzhou,1.575368
Sanya,1.571550
Shaoxing,1.551154
Nagqu,1.543588
Yulin,1.540487
Yangzhou,1.531289
Shangluo,1.531170
Langfang,1.531011
Taipei,1.525154
Alty,1.524606
Baoding,1.498642
Qinhuangdao,1.493816
Hezhou,1.492865
Keramay,1.492865
Nanping,1.492865
Shenyang,1.492865
Bayingolin,1.492865
Xuzhou,1.492865
Zhuhai,1.492865
Zhenjiang,1.488258
Dalian,1.481490
Tongchuan,1.478410
Longnan,1.466270
Huanggang,1.448987
Jilin,1.446797
Shizuishan,1.446483
Taizhou,1.445140
Macau,1.441268
Haidong,1.440926
Huangnan,1.439002
Leshan,1.434398
Tangshan,1.434298
Fuzhou,1.433234
Harbin,1.433168
Nanchang,1.431816
Qingyang,1.431474
Guilin,1.430276
Bayannur,1.428267
Guiyang,1.426886
Jinzhong,1.425624
Zigong,1.423277
Kashgar,1.420798
Taizhou,1.420146
Bangbu,1.414529
Diqing,1.413464
Lvliang,1.413464
Heze,1.413464
Chuzhou,1.413464
Guyuan,1.413464
Nyingchi,1.413464
Pu'er,1.413464
Ganzhou,1.413464
Tai'an,1.413464
Taoyuan,1.413464
Guang'an,1.413464
Zhongshan,1.413464
Zhumadian,1.413464
Zibo,1.413464
Zhangjiakou,1.412938
Yuncheng,1.410864
Deyang,1.403856
Yangquan,1.403856
Zhangzhou,1.403856
Yancheng,1.401908
Chengde,1.401107
Lijiang,1.387722
Ordos,1.373580
Yichang,1.372531
Shangrao,1.367430
Yantai,1.367319
Garze,1.367024
Zhuzhou,1.365085
Guangyuan,1.364978
Shiyan,1.360776
Xiangyang,1.358309
Lianyungang,1.356563
Nanning,1.355462
Zhangjiajie,1.353416
Linfen,1.344755
Aksu,1.344269
Wuhu,1.340109
Cangzhou,1.337870
Foshan,1.337546
Xuancheng,1.333088
Xianning,1.331656
Nanyang,1.328988
Kaifeng,1.328988
Weifang,1.325424
Xilingol,1.325424
Dali,1.319443
Yushuzhou,1.318486
Xiangtan,1.316211
Ulanqab,1.316154
Shannan,1.315874
Shuozhou,1.314097
Qionghai,1.313707
Wuzhong,1.304479
Tacheng,1.302396
Xiangxi,1.300747
Huai'an,1.300613
Shangqiu,1.300145
Chizhou,1.300009
Jingzhou,1.296938
Xinzhou,1.295684
Jiaozuo,1.292539
Huludao,1.292221
Huanggang,1.290828
Yibin,1.290512
Bortala,1.284531
Yueyang,1.284240
Xiaogan,1.283978
Quzhou,1.283435
Jiujiang,1.282962
Huangshi,1.282331
Hulunbuir,1.279166
Dazhou,1.278435
Xinyang,1.278435
Zunyi,1.278435
Lishui,1.277479
Xingtai,1.275820
Neijiang,1.275584
Dezhou,1.275411
Ya'an,1.275345
Hengyang,1.274549
Beihai,1.272872
Yanbian,1.268135
Jining,1.266136
Yingtan,1.265687
Kaohsiung,1.264415
Siping,1.261991
Xinxiang,1.260442
Changde,1.258334
Weicu,1.255083
Chifeng,1.255074
Anyang,1.254901
Handan,1.246872
Nanchong,1.246165
Jingdezhen,1.246028
Ma'anshan,1.245168
Jian,1.244125
Qiqihar,1.243444
Shaoguan,1.243444
Linyi,1.243444
Dongying,1.243444
Yunfu,1.243444
Zhanjiang,1.243444
Fushun,1.243444
Jinzhou,1.240666
Meishan,1.239792
Anqing,1.236495
Liuzhou,1.234005
Hengshui,1.232971
Ezhou,1.229160
Ningde,1.226958
Zaozhuang,1.226958
Wanning,1.226214
Huizhou,1.225010
Baishan,1.223736
Golog,1.222366
Dandong,1.222236
Pingdingshan,1.221169
Jincheng,1.221169
New Taipei,1.219115
Liangshanzhou,1.218790
Putian,1.218352
Loudi,1.217156
Rizhao,1.217046
Jieyang,1.213975
Qiannan,1.213879
Songyuan,1.213208
Tonghua,1.213208
Wenchang,1.213134
Luohe,1.212699
Yiyang,1.211390
Suining,1.209926
Xishuangbanna,1.208574
Jiyuan,1.203368
Enshi,1.203129
Baoshan,1.202775
Yuxi,1.202432
Ziyang,1.202051
Qamdo,1.199720
Taichung,1.197425
Daqing,1.196513
Anshan,1.195717
Shantou,1.194196
Lu'an,1.194196
Mudanjiang,1.192962
Panjin,1.192871
Ngari,1.190338
Heyuan,1.187865
Fuxin,1.187865
Tongliao,1.187865
Qianxinan,1.187865
Qujing,1.187865
Xiuqian,1.187865
Xuchang,1.187865
Puyang,1.187865
Hualien,1.187865
Qiandongnan,1.187865
Zhaotong,1.187865
Nantou,1.187865
Tongling,1.185733
Yingkou,1.183280
Jiangmen,1.181695
Tieling,1.181170
Sansha,1.181170
Binzhou,1.181170
Longyan,1.176365
Honghe,1.174155
Chenzhou,1.169612
Yichun,1.169501
Suizhou,1.169471
Huaihua,1.168545
Bazhong,1.167521
Pingdong,1.166675
Liaocheng,1.164290
Danzhou,1.164095
Hinggan,1.161218
Suihua,1.157580
Qingyuan,1.157124
Fuyang,1.155260
Huaibei,1.152388
Xiuzhou,1.151239
Hsinchu,1.151239
Huainan,1.149412
Shaoyang,1.146559
Zhaoqing,1.146259
Xinyu,1.145268
Sanming,1.144735
Changzhi,1.142755
Wuzhou,1.142472
Chaoyang,1.142005
Tainan,1.138048
Chengmai,1.135013
Benxi,1.134924
Pingxiang,1.132639
Jiamusi,1.131563
Anshun,1.130906
Yunlin,1.127502
Kezilsu,1.127344
Meizhou,1.126239
Lingshui,1.124512
Panzhihua,1.124223
Dingan,1.123254
Liaoyuan,1.122824
Chiayi,1.118361
Fuzhou,1.116854
Tongren,1.114133
Liupanshui,1.112952
Yongzhou,1.111008
Dehong,1.105902
Bozhou,1.104494
Daxinganling,1.103438
Hebi,1.103438
Fangchenggang,1.103438
Shuangyashan,1.099911
Yilan,1.097952
Baicheng,1.097438
Laiwu,1.094960
Ledong,1.094318
Laibin,1.092473
Chongzuo,1.090778
Yangjiang,1.090300
Liaoyang,1.087681
Zhoukou,1.087291
Penghu,1.085187
Keelung,1.081613
Chaozhou,1.079127
Wenshan,1.074710
Taidong,1.071106
Kinmen,1.066726
Yichun,1.063646
Maoming,1.059806
Heihe,1.059449
Yulin,1.059449
Shanwei,1.059449
Baoting,1.055993
Dongfang,1.045692
Changjiang,1.045692
Jixi,1.044914
Qinzhou,1.041531
Wuzhishan,1.037825
Lincang,1.032938
Baise,1.032173
Miaoli,1.021240
Bijie,1.012765
Hechi,1.011602
Guigang,0.996996
Nujiang,0.995725
Changhua,0.991206
Hegang,0.990680
Qiongzhong,0.980922
Qitaihe,0.975586
