city,distance
Shanghai,5.141347
Shantou,4.814010
Guangzhou,4.249539
Chaozhou,3.774626
Beijing,3.520698
Shenzhen,3.386310
Shanwei,3.040324
Meizhou,2.984499
Shamen,2.880364
Hong Kong,2.808981
Huizhou,2.598705
Dongguan,2.519394
Wuhan,2.474207
Foshan,2.424018
Hangzhou,2.424018
Heyuan,2.424018
Zhongshan,2.424018
Zhuhai,2.424018
Suzhou,2.390160
Changsha,2.367223
Chengdou,2.367223
Ningbo,2.367223
Wuzhou,2.301233
Haikou,2.221398
Jinhua,2.221398
Nanning,2.221398
Qingdao,2.221398
Qingyuan,2.221398
Wuxi,2.221398
Zhangzhou,2.221398
Chongqing,2.117844
Fuzhou,2.117844
Guilin,2.117844
Harbin,2.117844
Jiangmen,2.117844
Kaifeng,2.117844
Kunming,2.117844
Maoming,2.117844
Shenyang,2.117844
Xining,2.117844
Changchun,2.117844
Zhenjiang,2.117844
Jiaxing,2.077795
Nanjing,2.040139
Changzhou,1.966094
Baoding,1.961526
Guiyang,1.961526
Huai'an,1.961526
Huainan,1.961526
Huangshan,1.961526
Jinzhong,1.961526
Longyan,1.961526
Luoyang,1.961526
Macau,1.961526
Nanping,1.961526
Quanzhou,1.961526
Sanming,1.961526
Shaoxing,1.961526
Taipei,1.961526
Taizhou,1.961526
Urumqi,1.961526
Wuhu,1.961526
Xinyu,1.961526
Yangjiang,1.961526
Yangzhou,1.961526
Yantai,1.961526
Zhangjiajie,1.961526
Zhengzhou,1.961526
Zhoushan,1.961526
Tianjin,1.893350
Nantong,1.842613
Huzhou,1.796838
Sanya,1.791873
Xi'an,1.750507
Hualien,1.722046
Dalian,1.675724
Hefei,1.665329
Wenzhou,1.659612
Zhaoqing,1.652548
Anshan,1.642488
Taizhou,1.629367
Shaoguan,1.626605
Langfang,1.624708
Jinan,1.618489
Hezhou,1.613849
Nanchang,1.594649
Taidong,1.589251
Shijiazhuang,1.584302
Qinhuangdao,1.582882
Yancheng,1.574619
Lijiang,1.556745
Dali,1.555341
Taoyuan,1.542657
Xuzhou,1.536524
Kaohsiung,1.535536
Taiyuan,1.531663
Shangrao,1.531254
Lanzhou,1.519532
Lianyungang,1.517639
Tangshan,1.516214
Zhanjiang,1.516020
Zhangjiakou,1.492365
Xuancheng,1.488319
Chengde,1.479172
New Taipei,1.451658
Pingdong,1.451658
Hohhot,1.450543
Lhasa,1.450298
Chizhou,1.447207
Leshan,1.444559
Ngawa,1.441716
Zhuzhou,1.441309
Jilin,1.431860
Tai'an,1.428010
Yinchuan,1.427860
Chenzhou,1.427467
Quzhou,1.426697
Jiujiang,1.426112
Xiangxi,1.425708
Hengyang,1.422774
Weihai,1.421485
Lishui,1.419341
Bangbu,1.417630
Putian,1.416227
Beihai,1.413656
Guang'an,1.413464
Qionghai,1.410886
Ganzhou,1.410746
Cangzhou,1.408869
Yichang,1.406177
Yingtan,1.404800
Xiangtan,1.394264
Jining,1.392633
Jingdezhen,1.380622
Yulin,1.380062
Datong,1.379807
Yunfu,1.379570
Ma'anshan,1.379566
Haixi,1.379394
Jian,1.378287
Xianning,1.374051
Anqing,1.368928
Liuzhou,1.365877
Diqing,1.364922
Linyi,1.364682
Chongzuo,1.358837
Yueyang,1.358440
Huludao,1.358338
Ningde,1.357249
Zaozhuang,1.357249
Mianyang,1.355963
Baotou,1.351786
Deyang,1.346763
Weifang,1.345697
Rizhao,1.345131
Shangqiu,1.344574
Changde,1.344574
Yichun,1.344574
Fangchenggang,1.344574
Haibei,1.344208
Hulunbuir,1.343920
Dezhou,1.339776
Jingzhou,1.337118
Anshun,1.335992
Tainan,1.335992
Yilan,1.335992
Huaihua,1.335992
Jiuquan,1.333486
Huanggang,1.330624
Zibo,1.330620
Yanbian,1.330297
Xiangyang,1.328250
Xinzhou,1.323727
Xiaogan,1.323346
Huangshi,1.321597
Taichung,1.321203
Daqing,1.319399
Chifeng,1.317353
Lu'an,1.317273
Qinzhou,1.316853
Wanning,1.310464
Baoji,1.310135
Handan,1.308319
Tongling,1.306983
Xiuqian,1.306583
Weicu,1.304902
Baise,1.303432
Ordos,1.302299
Jinzhou,1.301488
Fushun,1.297887
Mudanjiang,1.295877
Turpan,1.295783
Wenchang,1.295536
Garze,1.294717
Hengshui,1.293023
Shiyan,1.291560
Dongying,1.287769
Nantou,1.285347
Changji,1.285154
Qiandongnan,1.284178
Loudi,1.283606
Ya'an,1.283371
Dandong,1.281222
Xingtai,1.278219
Guigang,1.277603
Yiyang,1.277195
Xilingol,1.275474
Panjin,1.273412
Ulanqab,1.273392
Suihua,1.272861
Baoshan,1.271748
Fuyang,1.270056
Xishuangbanna,1.270056
Alty,1.268846
Zunyi,1.268825
Kinmen,1.268060
Qiqihar,1.266768
Huaibei,1.266586
Jiaozuo,1.266488
Ezhou,1.265191
Xinxiang,1.264857
Anyang,1.263692
Xianyang,1.260523
Pingxiang,1.260295
Xiuzhou,1.259265
Jingmen,1.258274
Nanchong,1.253827
Siping,1.250611
Yuxi,1.248082
Meishan,1.247375
Sansha,1.247267
Liaoyang,1.245676
Ili(Yili),1.245457
Liaocheng,1.244990
Benxi,1.241218
Danzhou,1.239763
Yuncheng,1.238952
Yingkou,1.238481
Enshi,1.237629
Yunlin,1.236587
Qiannan,1.235426
Yan'an,1.232763
Neijiang,1.231510
Hechi,1.231235
Xinyang,1.231228
Bazhong,1.229768
Tieling,1.229446
Liangshanzhou,1.226118
Chiayi,1.225601
Fuzhou,1.223791
Binzhou,1.223188
Changzhi,1.221010
Yibin,1.221010
Yangquan,1.220785
Yongzhou,1.219777
Sanmenxia,1.218974
Honghe,1.217644
Qujing,1.217389
Weinan,1.217167
Suining,1.217148
Nagqu,1.216613
Laibin,1.213783
Baishan,1.213033
Keelung,1.211141
Bayingolin,1.211026
Ziyang,1.209178
Bozhou,1.208967
Chengmai,1.206829
Haidong,1.206481
Nyingchi,1.205692
Shaoyang,1.205338
Huangnan,1.205131
Nanyang,1.204573
Keramay,1.203877
Jiayuguan,1.203441
Tonghua,1.202688
Songyuan,1.202688
Suizhou,1.202042
Linfen,1.201706
Zigong,1.201055
Hsinchu,1.198630
Zhangye,1.198065
Kashgar,1.196115
Lingshui,1.194965
Jiamusi,1.193870
Dingan,1.193544
Chaoyang,1.193338
Tongliao,1.189986
Shuozhou,1.187386
Luzhou,1.187249
Heihe,1.187027
Penghu,1.185872
Guangyuan,1.184784
Heze,1.183794
Tianshui,1.183051
Yichun,1.180887
Daxinganling,1.180887
Puyang,1.176134
Guang'an,1.173644
Yulin,1.173076
Bayannur,1.169905
Lvliang,1.168822
Hinggan,1.166612
Zhumadian,1.166248
Zhongwei,1.165485
Ledong,1.160926
Dazhou,1.160521
Xuchang,1.159612
Luohe,1.159612
Pingdingshan,1.152589
Qianxinan,1.151108
