city,distance
Changchun,6.144185
Beijing,4.100615
Yanbian,3.811578
Shanghai,3.668714
Shenyang,3.315639
Baishan,3.074316
Harbin,2.971839
Songyuan,2.861205
Tonghua,2.771809
Dalian,2.738822
Liaoyuan,2.738822
Mudanjiang,2.738822
Qinhuangdao,2.597971
Tianjin,2.597971
Baicheng,2.423380
Siping,2.401582
Yingkou,2.378600
Tieling,2.354267
Ngawa,2.300658
Xi'an,2.300658
Nanjing,2.270777
Hong Kong,2.238278
Huludao,2.238278
Jinan,2.202541
Chengdou,2.162680
Fushun,2.162680
Qingdao,2.162680
Shenzhen,2.162680
Hinggan,2.117357
Dandong,2.064406
Jinzhou,2.064406
Anshan,2.064406
Wuhan,2.064406
Suzhou,2.014279
Chongqing,1.999928
Guangzhou,1.999928
Hohhot,1.999928
Luoyang,1.999928
Shamen,1.999928
Taiyuan,1.999928
Xiuzhou,1.999928
Zhengzhou,1.999928
Zhuhai,1.999928
Hangzhou,1.937487
Changsha,1.915601
Handan,1.915601
Hefei,1.915601
Kunming,1.915601
Ningbo,1.915601
Shijiazhuang,1.915601
Shuangyashan,1.915601
Taichung,1.915601
Tangshan,1.915601
Yichang,1.915601
Zibo,1.915601
Jiaxing,1.787780
Dongguan,1.786805
Fuzhou,1.786805
Haikou,1.786805
Heze,1.786805
Hulunbuir,1.786805
Daxinganling,1.786805
Jixi,1.786805
Liangshanzhou,1.786805
Lishui,1.786805
Chaoyang,1.786805
Ordos,1.786805
Bangbu,1.786805
Qiqihar,1.786805
Sanya,1.786805
Anqing,1.786805
Baise,1.786805
Chengde,1.786805
Baoding,1.786805
Tongliao,1.786805
Urumqi,1.786805
Weinan,1.786805
Wenzhou,1.786805
Wuhu,1.786805
Wuxi,1.786805
Xuancheng,1.786805
Yantai,1.786805
Daqing,1.786805
Yuncheng,1.786805
Zhoushan,1.786805
Langfang,1.738143
Changzhou,1.704460
Nantong,1.610874
Zhangjiakou,1.587532
Liaoyang,1.581779
Huzhou,1.575779
Benxi,1.574598
Panjin,1.556163
Taipei,1.553179
Shaoxing,1.551553
Yangzhou,1.531678
Suihua,1.515466
Jinhua,1.510462
Nanchang,1.502673
Cangzhou,1.493383
Zhenjiang,1.488625
Jiamusi,1.485915
Nyingchi,1.485915
Guiyang,1.483845
Lanzhou,1.483325
Huangshan,1.475446
Guilin,1.472078
Tai'an,1.470089
Linyi,1.470081
Datong,1.460770
Lijiang,1.458455
Lhasa,1.452215
Chifeng,1.452215
Xuzhou,1.452215
