city,distance
Beijing,4.811802
Shanghai,4.559205
Tai'an,3.673063
Qingdao,3.597425
Nanjing,3.270936
Zibo,3.266028
Tianjin,3.261917
Weifang,3.169891
Jining,3.146647
Dezhou,3.126599
Yantai,2.861398
Linyi,2.840081
Hangzhou,2.792034
Liaocheng,2.741555
Xuzhou,2.726048
Zaozhuang,2.708310
Cangzhou,2.691856
Guangzhou,2.635209
Binzhou,2.592289
Dongying,2.585530
Chengdou,2.574059
Weihai,2.547851
Suzhou,2.537962
Shenzhen,2.490735
Xi'an,2.485180
Rizhao,2.479558
Wuhan,2.462262
Zhengzhou,2.456346
Chongqing,2.441202
Heze,2.434996
Laiwu,2.434996
Shijiazhuang,2.434996
Dalian,2.409247
Shenyang,2.392330
Langfang,2.374701
Shamen,2.367435
Changchun,2.299697
Hong Kong,2.295322
Wuxi,2.286418
Changsha,2.277299
Fuzhou,2.272655
Harbin,2.267952
Bangbu,2.263189
Hefei,2.217254
Changzhou,2.194757
Kunming,2.194757
Hohhot,2.188896
Taiyuan,2.182932
Qinhuangdao,2.116542
Zhenjiang,2.116542
Baoding,2.093615
Wenzhou,2.060109
Chuzhou,2.051112
Sanya,2.051112
Yangzhou,2.041831
Jiaxing,2.032244
Ningbo,2.032244
Nanchang,2.022326
Guiyang,2.001384
Huangshan,1.990292
Lanzhou,1.990292
Urumqi,1.990292
Hengshui,1.978733
Nantong,1.978733
Tangshan,1.978733
Kaifeng,1.966658
Lianyungang,1.954011
Xiuzhou,1.926719
Guilin,1.896147
Handan,1.896147
Huai'an,1.896147
Xining,1.896147
Lijiang,1.879315
Luoyang,1.879315
Nanping,1.879315
Jiaozuo,1.861217
Xingtai,1.861217
Huzhou,1.841612
Jinhua,1.841612
Puyang,1.841612
Taipei,1.841612
Zhuhai,1.841612
Yancheng,1.820178
Huaibei,1.796475
Jilin,1.796475
Macau,1.796475
Shangqiu,1.796475
Taizhou,1.796475
Xishuangbanna,1.796475
Datong,1.796475
Zhoushan,1.778722
Jinzhou,1.769868
Fuyang,1.769868
Maoming,1.769868
Quanzhou,1.769868
Shaoxing,1.769868
