city,distance
Lanzhou,5.136930
Wuwei,4.390374
Jiuquan,4.020789
Zhangye,3.968277
Shanghai,3.603428
Beijing,3.530660
Alxa,3.452714
Urumqi,3.276061
Bayannur,3.173170
Xi'an,3.055712
Wuhan,2.916529
Changsha,2.740591
Nanjing,2.740591
Tianshui,2.740591
Yinchuan,2.740591
Chengdou,2.484389
Chongqing,2.484389
Kumul(Hami),2.484389
Nanchong,2.484389
Shijiazhuang,2.484389
Shizuishan,2.484389
Tianjin,2.484389
Xining,2.484389
Zhongwei,2.484389
Jiayuguan,2.204624
Suzhou,1.994440
Hangzhou,1.919125
Hohhot,1.916778
Gannan,1.898379
Haibei,1.894001
Baotou,1.860183
Dingxi,1.825548
Lhasa,1.820559
Linxia,1.820559
Baiyin,1.784074
Baoji,1.782079
Jiaxing,1.772134
Wuxi,1.771176
Haixi,1.770401
Turpan,1.763134
Ngawa,1.756541
Changji,1.743513
Langfang,1.740661
Hong Kong,1.740125
Guangzhou,1.737584
Wuhai,1.735375
Hefei,1.727397
Shamen,1.720376
Alty,1.713635
Zhengzhou,1.705305
Taiyuan,1.704716
Ordos,1.693516
Changzhou,1.690232
Ningbo,1.689329
Xianyang,1.681883
Ili(Yili),1.671246
Xinyu,1.659358
Weinan,1.633146
Nagqu,1.617300
Zhoushan,1.611919
Bayingolin,1.609830
Qiannan,1.601956
Shangqiu,1.601956
Nantong,1.598160
Pingliang,1.597232
Keramay,1.597222
Qingdao,1.590891
Baoding,1.590326
Jinan,1.588905
Shenzhen,1.586223
Qinhuangdao,1.584893
Kashgar,1.583587
Kunming,1.580431
Shenyang,1.565895
Huzhou,1.563611
Sanya,1.559850
Longnan,1.554943
Shaoxing,1.539755
Dalian,1.534128
Yan'an,1.530299
Xuzhou,1.524522
Yangzhou,1.520179
Zhuzhou,1.518955
Tangshan,1.518059
Xiangtan,1.515902
Qingyang,1.515867
Yulin,1.515827
Taipei,1.514133
Harbin,1.513464
Hanzhong,1.510881
Dazhou,1.510881
Lvliang,1.510881
Sanmenxia,1.510881
Fuzhou,1.510881
Wuzhong,1.510881
Guangyuan,1.510881
Yichang,1.506808
Haidong,1.506678
Zigong,1.506678
Xianning,1.500423
Jinhua,1.499278
Bangbu,1.496878
Xiangxi,1.495427
Zhangjiakou,1.494152
Aksu,1.489100
Zhenjiang,1.488980
Leshan,1.487363
Chengde,1.480927
Changchun,1.474430
Yueyang,1.473650
Ulanqab,1.466884
Huangshan,1.464774
Mianyang,1.462685
Guiyang,1.462685
Hengyang,1.460903
Wenzhou,1.458656
Jingzhou,1.456493
Luoyang,1.449132
Huanggang,1.448791
Xiangyang,1.445978
Zhangjiajie,1.445595
Suining,1.445548
Huizhou,1.442011
Xiaogan,1.440167
Changde,1.439640
Huangshi,1.438096
Tacheng,1.437891
Taizhou,1.435241
Guilin,1.434067
Macau,1.431421
Hotan,1.427470
Ankang,1.419145
Nanchang,1.418745
Bortala,1.416146
Taizhou,1.410585
Cangzhou,1.410461
Shiyan,1.402601
Qujing,1.397649
Nanning,1.397461
Weifang,1.397461
Xilingol,1.397461
Zhongshan,1.397461
Yancheng,1.392590
Guang'an,1.391956
Linfen,1.390151
Pu'er,1.390151
Wuhu,1.390151
Tai'an,1.389665
Xingtai,1.386280
Loudi,1.385993
Deyang,1.384044
Yangquan,1.384044
Zhangzhou,1.384044
Zibo,1.384044
Datong,1.381334
Shangluo,1.380462
Lijiang,1.379264
Yiyang,1.378522
Guyuan,1.374198
Haikou,1.374198
Taoyuan,1.372686
Ezhou,1.371558
Zhuhai,1.365275
Jingmen,1.363432
Huludao,1.359819
Shangrao,1.358564
Jiujiang,1.358275
Jinzhong,1.349198
Lianyungang,1.347836
Huai'an,1.347418
Handan,1.346776
Hulunbuir,1.345369
Nyingchi,1.345325
Dongguan,1.345325
Huangnan,1.345325
Xinyang,1.345325
Yushuzhou,1.345325
Zunyi,1.345325
Dezhou,1.341216
Enshi,1.339226
Tongchuan,1.337431
Nanping,1.335878
Hezhou,1.335878
Weihai,1.333667
Ma'anshan,1.332163
Jining,1.330964
Garze,1.325704
Xinzhou,1.325133
Chenzhou,1.324678
Xuancheng,1.324660
Huaihua,1.323308
Chuzhou,1.319071
Chifeng,1.318745
Ya'an,1.317045
Quanzhou,1.310016
Bazhong,1.309225
Kaifeng,1.306633
Fushun,1.306633
Qiqihar,1.306633
Shaoguan,1.306633
Shuozhou,1.306633
Linyi,1.306633
Yingtan,1.306633
Yunfu,1.306633
Zhanjiang,1.306633
Dongying,1.306633
Jinzhou,1.302847
Jilin,1.302028
Suizhou,1.297654
Shaoyang,1.295183
Hengshui,1.294364
Chizhou,1.291993
Dandong,1.282539
Yuncheng,1.281911
Meishan,1.279164
Zaozhuang,1.275729
Quzhou,1.275621
Lu'an,1.274033
Diqing,1.271941
Heze,1.271941
Ganzhou,1.271941
Zhumadian,1.271941
Lishui,1.269737
Jiaozuo,1.266526
Xinxiang,1.266140
Beihai,1.265186
Anyang,1.264973
Pingxiang,1.264222
Neijiang,1.262485
Foshan,1.260982
Dali,1.260164
Kaohsiung,1.256830
Liangshanzhou,1.256819
Daqing,1.254244
Anshan,1.253369
Panjin,1.250243
Yongzhou,1.249999
Yichun,1.247178
Yanbian,1.246544
Anqing,1.245400
Puyang,1.245400
Rizhao,1.245400
Fuxin,1.245400
Heyuan,1.245400
Tongliao,1.245400
Wanning,1.245400
Qamdo,1.245400
Luzhou,1.245400
Qiandongnan,1.245400
Xishuangbanna,1.245400
Xiuqian,1.245400
Xuchang,1.245400
Yibin,1.245400
Qianxinan,1.245400
Hualien,1.245400
Zhaotong,1.245400
Nantou,1.245400
Ningde,1.245400
Shannan,1.239717
Yingkou,1.239711
Ziyang,1.239026
Jingdezhen,1.238662
Jian,1.236781
Liuzhou,1.226780
Binzhou,1.224388
Liaocheng,1.218883
Mudanjiang,1.215023
Nanyang,1.213957
New Taipei,1.212062
Jieyang,1.206982
Changzhi,1.195301
Chaoyang,1.194481
Fangchenggang,1.193373
Kezilsu,1.192280
Taichung,1.190621
Shantou,1.187428
Benxi,1.186736
Jiamusi,1.183062
Tongling,1.179061
Meizhou,1.177243
Siping,1.172075
Xiuzhou,1.169906
Longyan,1.169797
Luohe,1.167914
Hinggan,1.167703
Tieling,1.167703
Tongren,1.166704
Baishan,1.166574
Baoshan,1.163094
Xinyu,1.162064
Pingdong,1.160215
