city,distance
Taiyuan,4.358870
Changzhi,4.216105
Beijing,4.033476
Zhengzhou,3.918893
Xinxiang,3.727643
Jiaozuo,3.692879
Shanghai,3.692879
Luoyang,3.501967
Xi'an,3.214723
Jinzhong,3.094226
Linfen,3.094226
Suzhou,2.951594
Chengdou,2.867814
Wuhan,2.771532
Yuncheng,2.771532
Shijiazhuang,2.656546
Hangzhou,2.509788
Jiyuan,2.509788
Luohe,2.509788
Qingdao,2.509788
Tianjin,2.509788
Baoding,2.509788
Xianyang,2.509788
Yan'an,2.509788
Dalian,2.293216
Datong,2.293216
Haikou,2.293216
Handan,2.293216
Hebi,2.293216
Hohhot,2.293216
Jinan,2.293216
Kaifeng,2.293216
Nanjing,2.293216
Nyingchi,2.293216
Ordos,2.293216
Shiyan,2.293216
Tai'an,2.293216
Urumqi,2.293216
Xiangyang,2.293216
Xining,2.293216
Yangquan,2.293216
Baoji,2.293216
Zhangzhou,2.293216
Ankang,2.293216
Xinzhou,1.942180
Anyang,1.856767
Jiaxing,1.793499
Wuxi,1.764491
Hong Kong,1.760721
Guangzhou,1.751616
Shamen,1.740504
Lvliang,1.730653
Langfang,1.725965
Changzhou,1.709657
Ningbo,1.708733
Nanyang,1.704849
Lhasa,1.687272
Qinhuangdao,1.678840
Sanmenxia,1.677546
Weinan,1.677492
Shenzhen,1.667994
Pingdingshan,1.663276
Chongqing,1.660635
Shenyang,1.657538
Zhoushan,1.629576
Xuchang,1.624952
Leshan,1.616776
Nantong,1.615515
Ngawa,1.613216
Shangqiu,1.612046
Tangshan,1.604035
Xingtai,1.602074
Harbin,1.598906
Shuozhou,1.597728
Huzhou,1.580220
Zhangjiakou,1.577367
Sanya,1.576379
Changsha,1.568319
Xuzhou,1.566069
Chengde,1.562636
Xinyang,1.559415
Shaoxing,1.555859
Changchun,1.555403
Kunming,1.553523
Taipei,1.543448
Yangzhou,1.535874
Zhumadian,1.525044
Lanzhou,1.522185
Jinhua,1.514542
Hefei,1.511141
Baotou,1.510986
Guiyang,1.510986
Bangbu,1.510986
Zhoukou,1.505379
Yinchuan,1.503990
Puyang,1.499743
Deyang,1.495253
Nanchang,1.493562
Yantai,1.492999
Zhenjiang,1.492588
Cangzhou,1.484385
Linyi,1.483406
Huangshan,1.479340
Hanzhong,1.478760
Wenzhou,1.473101
Mianyang,1.470815
Fuzhou,1.467994
Yichang,1.467152
Qamdo,1.465300
Guilin,1.463334
Xianning,1.461098
Jining,1.457460
Haixi,1.451702
Lijiang,1.449872
Taizhou,1.449223
Macau,1.445328
Taoyuan,1.442605
Yulin,1.441392
Longyan,1.440957
Nanning,1.439816
Qionghai,1.439519
Weifang,1.436936
Zhuhai,1.435910
Zhangjiajie,1.433787
Turpan,1.432673
Keramay,1.429698
Liaocheng,1.429698
Ma'anshan,1.429698
Chuzhou,1.429698
Daqing,1.429698
Hulunbuir,1.429698
Anqing,1.429698
Zibo,1.429698
Huludao,1.428400
Taizhou,1.424088
Dazhou,1.421447
Changji,1.419691
Jingzhou,1.419409
