city,distance
Shanghai,5.295223
Shangrao,4.487311
Nanchang,3.975296
Jiujiang,3.714809
Beijing,3.550237
Huangshan,3.428284
Shenzhen,3.238385
Hangzhou,3.227778
Nanjing,2.950506
Yingtan,2.935091
Wuhan,2.834317
Guangzhou,2.714175
Shamen,2.561164
Hefei,2.530550
Jiaxing,2.462661
Hong Kong,2.424484
Quzhou,2.424484
Suzhou,2.422892
Ezhou,2.382610
Jinhua,2.382610
Chengdou,2.336033
Changsha,2.283241
Fuzhou,2.283241
Ganzhou,2.283241
Huanggang,2.283241
Kunming,2.283241
Ningbo,2.283241
Wuxi,2.283241
Zhenjiang,2.283241
Anqing,2.221790
Fuzhou,2.221790
Huangshi,2.221790
Nanning,2.221790
Xuancheng,2.221790
Chizhou,2.147282
Nantong,2.147282
Qingdao,2.147282
Yichun,2.147282
Guilin,2.050372
Jian,2.050372
Jining,2.050372
Ma'anshan,2.050372
Nanping,2.050372
Shenyang,2.050372
Taizhou,2.050372
Wuhu,2.050372
Xuzhou,2.050372
Yichang,2.050372
Changzhou,1.988188
Dalian,1.903511
Datong,1.903511
Changchun,1.903511
Guiyang,1.903511
Haikou,1.903511
Hengyang,1.903511
Hezhou,1.903511
Huzhou,1.903511
Jingzhou,1.903511
Lhasa,1.903511
Lishui,1.903511
Longyan,1.903511
Lu'an,1.903511
Macau,1.903511
Ngawa,1.903511
Ningde,1.903511
Sanming,1.903511
Shangqiu,1.903511
Baotou,1.903511
Tai'an,1.903511
Taipei,1.903511
Taiyuan,1.903511
Tianjin,1.903511
Urumqi,1.903511
Wenzhou,1.903511
Xi'an,1.903511
Xinyu,1.903511
Yangzhou,1.903511
Zhangjiakou,1.903511
Zhanjiang,1.903511
Zhengzhou,1.903511
Zhoushan,1.903511
Zhuhai,1.903511
Zhuzhou,1.903511
Sanya,1.810206
Shaoxing,1.783199
Chongqing,1.742370
Dongguan,1.675388
Taizhou,1.644512
Jinan,1.633432
Langfang,1.630970
Foshan,1.630053
Harbin,1.629027
Baoding,1.594286
Shijiazhuang,1.590256
Pingxiang,1.589913
Qinhuangdao,1.588826
Yancheng,1.588759
Lijiang,1.570564
Taoyuan,1.556226
Huizhou,1.551079
Yantai,1.544480
Lanzhou,1.532696
Lianyungang,1.530770
Zhangjiajie,1.526764
Tangshan,1.521667
Chengde,1.484361
Quanzhou,1.482173
Xianning,1.478363
Hohhot,1.462533
Huai'an,1.459903
Zhangzhou,1.452304
Dali,1.442434
Zhongshan,1.440432
Yinchuan,1.439477
Hengshui,1.437280
Luoyang,1.436653
Weihai,1.432999
Leshan,1.432884
Bangbu,1.429081
Tongling,1.428808
Xiangyang,1.425478
Xining,1.425207
Beihai,1.425043
Taizhou,1.424088
Xiaogan,1.419831
Chuzhou,1.417268
Kaohsiung,1.414451
Cangzhou,1.413575
New Taipei,1.412767
Jiangmen,1.404334
Fuyang,1.397192
Shiyan,1.383305
Weicu,1.379137
Liuzhou,1.376504
Xiangxi,1.375777
Linyi,1.375290
Shaoguan,1.372505
Qingyuan,1.369767
Wuzhou,1.368388
Zaozhuang,1.367741
Mianyang,1.366435
Xiangtan,1.364699
Huludao,1.362713
Ili(Yili),1.361085
Chongzuo,1.358984
Weifang,1.356011
Liaocheng,1.355505
Xinyang,1.355505
Rizhao,1.355436
