city,distance
Wuhan,6.011639
Yichang,4.425089
Shanghai,3.581274
Xiangyang,3.509389
Jingzhou,3.405363
Xiaogan,3.349041
Beijing,3.039766
Guangzhou,2.656049
Changde,2.573255
Changsha,2.573255
Enshi,2.573255
Nanyang,2.573255
Shenzhen,2.573255
Suizhou,2.573255
Xiangxi,2.573255
Chongqing,2.473838
Hangzhou,2.473838
Nanjing,2.473838
Shamen,2.473838
Chengdou,2.346087
Huangshi,2.346087
Shiyan,2.346087
Baoding,2.346087
Suzhou,2.346087
Wuxi,2.346087
Chaoyang,2.155775
Dalian,2.155775
Daqing,2.155775
Ezhou,2.155775
Guang'an,2.155775
Hong Kong,2.155775
Huaihua,2.155775
Huanggang,2.155775
Jiayuguan,2.155775
Jining,2.155775
Lu'an,2.155775
Luzhou,2.155775
Qingdao,2.155775
Shenyang,2.155775
Taipei,2.155775
Wenzhou,2.155775
Xi'an,2.155775
Xianning,2.155775
Xinxiang,2.155775
Yingtan,2.155775
Yueyang,2.155775
Zhangjiajie,2.155775
Zhengzhou,2.155775
Zhuzhou,2.155775
Hefei,1.962415
Nanchang,1.840362
Jiujiang,1.786677
Jiaxing,1.766759
Kunming,1.753861
Tianjin,1.752971
Xinyang,1.741033
Ningbo,1.720123
Sanya,1.715878
Zhuhai,1.695544
Changzhou,1.685342
Nanning,1.676775
Jinan,1.671436
Fuzhou,1.661705
Zhongshan,1.646221
Guilin,1.643710
Shijiazhuang,1.640527
Dongguan,1.633986
Jinhua,1.614626
Haikou,1.612754
Guiyang,1.608946
Foshan,1.608906
Zhoushan,1.607471
Lanzhou,1.603070
Nantong,1.593787
Hengyang,1.588505
Jiuquan,1.577638
Harbin,1.576460
Luoyang,1.570118
Huzhou,1.559425
Urumqi,1.557465
Zhenjiang,1.557465
Lijiang,1.549360
New Taipei,1.547135
Zhumadian,1.540812
Shaoxing,1.535696
Huangshan,1.534839
Yangzhou,1.534839
Shangrao,1.531764
Taiyuan,1.525420
Shaoguan,1.518799
Xuzhou,1.515376
Langfang,1.514157
Ankang,1.511946
Fangchenggang,1.511872
Changchun,1.511872
Pingdingshan,1.510991
Hohhot,1.504606
Quanzhou,1.504606
Macau,1.500833
Kaifeng,1.496961
Xining,1.496961
Liuzhou,1.484681
Qinhuangdao,1.477766
Anqing,1.474526
Luohe,1.471242
Jingdezhen,1.466461
Ngawa,1.466461
Xiangtan,1.463269
Yinchuan,1.456553
Chenzhou,1.456373
Wuhu,1.451036
Taizhou,1.445481
Taoyuan,1.445481
Weifang,1.445481
Yantai,1.445481
Jinzhou,1.439152
Tai'an,1.437274
Dazhou,1.436936
Leshan,1.436660
Yulin,1.435853
Anyang,1.433628
Taizhou,1.431713
Xuchang,1.427279
Yiyang,1.426734
Zhangzhou,1.423804
Handan,1.420605
Tangshan,1.419496
Zhangye,1.417088
Dali,1.413570
