city,distance
Shanghai,5.855678
Hangzhou,4.906863
Shaoxing,3.478217
Jiaxing,3.293816
Ningbo,3.116478
Quzhou,3.046751
Lishui,2.958885
Beijing,2.863840
Wenzhou,2.830121
Taizhou,2.767393
Shangrao,2.732250
Suzhou,2.659879
Nanjing,2.585246
Yingtan,2.486747
Nanchang,2.468128
Huzhou,2.424221
Wuhan,2.424221
Shamen,2.411440
Wuxi,2.398265
Guangzhou,2.389248
Zhangjiajie,2.340951
Changsha,2.314435
Hong Kong,2.285975
Shenzhen,2.261555
Changzhou,2.235397
Nanping,2.235397
Dehong,2.214447
Zhoushan,2.207177
Fuzhou,2.159990
Chengdou,2.104914
Chongqing,2.094726
Huangshan,2.094726
Nanning,2.094726
Zhuzhou,2.084191
Kunming,2.025115
Xi'an,2.025115
Yangzhou,2.025115
Chongzuo,2.011707
Hefei,1.997627
Xiangxi,1.997627
Nantong,1.982792
Tianjin,1.982792
Guilin,1.950429
Qingdao,1.950429
Jian,1.932624
Taipei,1.932624
Lanzhou,1.913490
Zhenjiang,1.913490
Dalian,1.892774
Guiyang,1.892774
Jinan,1.892774
Ningde,1.892774
Pingxiang,1.892774
Yichun,1.892774
Sanya,1.871439
Ganzhou,1.870141
Jiujiang,1.870141
Wuhu,1.870141
Dongguan,1.845127
Chenzhou,1.845127
Hengyang,1.845127
Jingdezhen,1.845127
Zhengzhou,1.845127
Harbin,1.817070
Huaihua,1.817070
Baoshan,1.817070
Lijiang,1.817070
Quanzhou,1.817070
Taizhou,1.817070
Xinyu,1.817070
Huai'an,1.784968
Huangshi,1.784968
Loudi,1.784968
Sanming,1.784968
Shaoguan,1.784968
Shijiazhuang,1.784968
Shiyan,1.784968
Foshan,1.784968
Haikou,1.747189
Jining,1.747189
Liuzhou,1.747189
Anqing,1.747189
Shantou,1.747189
Fuzhou,1.747189
Baise,1.747189
Yancheng,1.747189
Zibo,1.747189
Jieyang,1.700781
Changde,1.700781
Longyan,1.700781
Luoyang,1.700781
Changchun,1.700781
Ezhou,1.700781
Shenyang,1.700781
Chizhou,1.700781
Taiyuan,1.700781
Xuzhou,1.700781
Daqing,1.700781
Zaozhuang,1.700781
Zhangjiakou,1.700781
Macau,1.689568
Hezhou,1.639407
Hohhot,1.639407
Huainan,1.639407
Huizhou,1.639407
Beihai,1.639407
Linyi,1.639407
Baoji,1.639407
Dezhou,1.639407
Tai'an,1.639407
Bayannur,1.639407
Xiangyang,1.639407
Zhongshan,1.639407
Bozhou,1.639407
Taoyuan,1.601268
Zhuhai,1.598174
Yantai,1.588835
Urumqi,1.585039
Lianyungang,1.574330
Hulunbuir,1.544150
Jiayuguan,1.544150
Kaifeng,1.544150
Kaohsiung,1.544150
Langfang,1.544150
Leshan,1.544150
Anshun,1.544150
Fuyang,1.544150
Nanchong,1.544150
New Taipei,1.544150
Ngawa,1.544150
Dandong,1.544150
Pu'er,1.544150
Chiayi,1.544150
Qinhuangdao,1.544150
Anshan,1.544150
Hotan,1.544150
Suihua,1.544150
Tongling,1.544150
Xiangtan,1.544150
Chengde,1.544150
Xiaogan,1.544150
Xilingol,1.544150
Xinyang,1.544150
Xuancheng,1.544150
Chaozhou,1.544150
Yangquan,1.544150
Yinchuan,1.544150
Yuncheng,1.544150
Diqing,1.544150
Deyang,1.544150
Zhoukou,1.544150
Zigong,1.544150
Lhasa,1.501984
Weihai,1.471102
Bangbu,1.466974
Xining,1.462892
Yichang,1.454713
Chuzhou,1.454529
Baoding,1.439366
Ma'anshan,1.426252
Baoji,1.424366
Dali,1.419743
Zhangzhou,1.402911
Ulanqab,1.401996
Mianyang,1.401039
Weifang,1.390082
Rizhao,1.389478
Baotou,1.386411
Tangshan,1.379911
Jiuquan,1.377055
Yanbian,1.373655
Datong,1.364706
Taichung,1.363961
Lu'an,1.359773
Xianning,1.358495
Xiuqian,1.348385
Ordos,1.343586
Jinzhou,1.342242
Yueyang,1.340890
Garze,1.335751
Jilin,1.333340
Dongying,1.328357
Nantou,1.325780
Pingdong,1.324204
