city,distance
Jinan,4.486314
Shanghai,4.451525
Tai'an,4.312369
Beijing,4.257222
Zaozhuang,3.645172
Xuzhou,3.373024
Qingdao,3.213035
Nanjing,3.166763
Linyi,2.983134
Heze,2.955774
Tianjin,2.772134
Hangzhou,2.733835
Rizhao,2.659931
Suzhou,2.612710
Dezhou,2.587391
Zibo,2.587391
Dongying,2.574241
Bangbu,2.560735
Wuhan,2.546849
Wuxi,2.532555
Cangzhou,2.470626
Liaocheng,2.436199
Zhengzhou,2.436199
Weifang,2.398832
Zhenjiang,2.357832
Xiuzhou,2.335676
Guangzhou,2.312209
Xi'an,2.312209
Shenzhen,2.287228
Lianyungang,2.260477
Langfang,2.231624
Chuzhou,2.200228
Huai'an,2.200228
Hong Kong,2.165687
Kunming,2.165687
Xinxiang,2.165687
Yantai,2.165687
Chongqing,2.127136
Handan,2.127136
Kaifeng,2.127136
Hengshui,2.083276
Laiwu,2.083276
Ningbo,2.083276
Shamen,2.083276
Wenzhou,2.083276
Wuhu,2.083276
Binzhou,2.083276
Dalian,2.031996
Jinhua,2.031996
Shijiazhuang,2.031996
Weihai,2.031996
Changzhou,2.031996
Hefei,1.969495
Chengdou,1.969495
Hohhot,1.969495
Ningde,1.969495
Shangqiu,1.969495
Shenyang,1.969495
Yancheng,1.969495
Yangzhou,1.969495
Jiaxing,1.955340
Fuyang,1.887662
Guilin,1.887662
Daqing,1.887662
Huaibei,1.887662
Huizhou,1.887662
Jingdezhen,1.887662
Jiujiang,1.887662
Changsha,1.887662
Lijiang,1.887662
Luoyang,1.887662
Nanchang,1.887662
Nantong,1.887662
Puyang,1.887662
Qinhuangdao,1.887662
Shaoxing,1.887662
Baoding,1.887662
Taizhou,1.887662
Tangshan,1.887662
Tieling,1.887662
Bozhou,1.887662
Xinyu,1.887662
Xiuqian,1.887662
Diqing,1.762473
Guiyang,1.762473
Datong,1.762473
Dongguan,1.762473
Jingmen,1.762473
Lanzhou,1.762473
Changchun,1.762473
Foshan,1.762473
Ngawa,1.762473
Pingliang,1.762473
Qiannan,1.762473
Baotou,1.762473
Sanya,1.762473
Shangrao,1.762473
Dali,1.762473
Ganzhou,1.762473
Taipei,1.762473
Taizhou,1.762473
Tongliao,1.762473
Urumqi,1.762473
