city,distance
Shenyang,4.796238
Beijing,4.540150
Shanghai,4.090405
Huludao,4.000000
Dalian,3.535330
Panjin,3.503155
Qinhuangdao,3.476704
Chaoyang,3.243882
Xuchang,3.243882
Tianjin,3.053251
Anshan,2.856231
Tangshan,2.780401
Harbin,2.747210
Yingkou,2.612836
Fuxin,2.590559
Changchun,2.567258
Dandong,2.489827
Fushun,2.489827
Tieling,2.360463
Benxi,2.320752
Siping,2.320752
Jinan,2.276540
Chengde,2.226374
Xi'an,2.226374
Hohhot,2.167906
Jilin,2.167906
Luoyang,2.167906
Nanchang,2.167906
Suzhou,2.135133
Chengdou,2.096911
Chongqing,2.096911
Guangzhou,2.096911
Guilin,2.096911
Liaoyang,2.096911
Nanjing,2.096911
Qingdao,2.096911
Tongliao,2.096911
Baoding,2.096911
Hangzhou,2.049046
Zhengzhou,2.046973
Chifeng,2.004397
Daqing,2.004397
Dezhou,2.004397
Binzhou,2.004397
Changsha,2.004397
Nanyang,2.004397
Shangqiu,2.004397
Shijiazhuang,2.004397
Cangzhou,2.004397
Urumqi,2.004397
Wuhan,2.004397
Wuxi,2.004397
Xining,2.004397
Jiaxing,1.882344
Datong,1.863822
Dongguan,1.863822
Fuzhou,1.863822
Guiyang,1.863822
Bangbu,1.863822
Hong Kong,1.863822
Huai'an,1.863822
Huangshi,1.863822
Hulunbuir,1.863822
Jiamusi,1.863822
Kunming,1.863822
Langfang,1.863822
Mianyang,1.863822
Ningbo,1.863822
Baishan,1.863822
Sanya,1.863822
Shamen,1.863822
Shuangyashan,1.863822
Songyuan,1.863822
Suihua,1.863822
Chuzhou,1.863822
Changzhou,1.863822
Weifang,1.863822
Wenzhou,1.863822
Xiangyang,1.863822
Xinxiang,1.863822
Xinyang,1.863822
Xinzhou,1.863822
Yangquan,1.863822
Yantai,1.863822
Anyang,1.863822
Zhangjiakou,1.863822
Zhenjiang,1.863822
Zibo,1.863822
Shenzhen,1.748697
Luohe,1.704902
Zhoushan,1.702593
Taiyuan,1.697483
Nantong,1.687249
Pingdingshan,1.660685
Huzhou,1.648788
Shaoxing,1.622284
Taipei,1.612300
Yangzhou,1.600568
Jinhua,1.577415
Hefei,1.577079
Zhumadian,1.567851
Ma'anshan,1.560590
Yanbian,1.559790
Kaifeng,1.558024
Huangshan,1.539266
Lanzhou,1.537155
Tai'an,1.522946
Lijiang,1.510464
Mudanjiang,1.507147
Taizhou,1.506686
Taoyuan,1.502579
Macau,1.502477
Yinchuan,1.500629
Nanning,1.499554
Tonghua,1.497705
Haikou,1.487956
Zhuhai,1.486192
Taizhou,1.479538
Baotou,1.479324
Lhasa,1.475122
Jinzhong,1.474481
Xuzhou,1.471231
Jiaozuo,1.462388
Yancheng,1.459753
Weihai,1.455951
Jining,1.452730
Hebi,1.441524
Ngawa,1.441224
Quanzhou,1.438963
Handan,1.427425
Yichang,1.423422
Shangrao,1.422409
Ordos,1.420262
Xiaogan,1.416783
Qiqihar,1.413314
Lianyungang,1.410654
Hengshui,1.409237
Zhangjiajie,1.407252
Jiujiang,1.404618
Xianyang,1.395720
Wuhu,1.392870
Xingtai,1.391670
Dongying,1.389239
Xilingol,1.388418
Zaozhuang,1.387175
Puyang,1.386114
Fuyang,1.386114
Xuancheng,1.385288
Foshan,1.385170
Linyi,1.377208
Weinan,1.370076
Dali,1.368792
Heihe,1.361900
Baoji,1.361296
Daxinganling,1.353824
Yichun,1.353824
Nanping,1.350145
Chizhou,1.349602
Diqing,1.346466
Lu'an,1.345075
Xianning,1.345075
Zhoukou,1.345075
Hinggan,1.343525
Liangshanzhou,1.343525
Ulanqab,1.343499
Changde,1.340697
Leshan,1.339210
Shantou,1.338575
Yan'an,1.337956
Quzhou,1.331748
Haixi,1.330352
Liuzhou,1.329302
Liaoyuan,1.329302
Yiyang,1.329302
Lishui,1.325336
Kaohsiung,1.325281
Beihai,1.320379
Liaocheng,1.320224
Sanming,1.316615
Garze,1.316615
Baicheng,1.316615
Turpan,1.314353
Yingtan,1.312649
Jian,1.312571
Jiuquan,1.309354
Xiangtan,1.307075
Changji,1.303419
Jingmen,1.302905
Jingzhou,1.302905
Qingyuan,1.302266
Xiangxi,1.300865
Rizhao,1.299978
New Taipei,1.299083
Zhongshan,1.298181
Haibei,1.297593
Sanmenxia,1.295623
Jixi,1.294801
Changzhi,1.292602
Jingdezhen,1.291516
Yuncheng,1.289698
Alty,1.286648
Heze,1.285695
Shuozhou,1.284672
Anqing,1.281277
Ezhou,1.280276
Shiyan,1.280276
Yueyang,1.280276
Yulin,1.278872
Ganzhou,1.276088
Yichun,1.274335
Meizhou,1.271511
Ningde,1.271040
Anshun,1.270217
Hualien,1.265977
Taichung,1.264234
Bayannur,1.264234
Lvliang,1.262969
Ili(Yili),1.262603
Deyang,1.262574
Hegang,1.262331
Zhuzhou,1.262043
Huizhou,1.261687
Laiwu,1.259183
Baoshan,1.259183
Zhongwei,1.259074
Linfen,1.257741
Jieyang,1.257741
Zhangzhou,1.253632
Qitaihe,1.253393
Xishuangbanna,1.249344
Yibin,1.247872
Zhanjiang,1.244860
Qiandongnan,1.244860
Pingdong,1.241433
Zunyi,1.236893
Gannan,1.235217
Hezhou,1.233809
Huanggang,1.233512
Nanchong,1.233512
Fuzhou,1.228986
Hanzhong,1.227997
Bayingolin,1.227231
Tongling,1.226853
Xiuqian,1.226500
Keramay,1.226366
Bozhou,1.226086
Dehong,1.224492
Xiuzhou,1.222580
Ya'an,1.222580
Hengyang,1.221708
Nantou,1.220628
Wuhai,1.220628
Qionghai,1.220628
