city,distance
Nanchang,5.157841
Shanghai,4.849444
Beijing,3.892609
Wuhan,3.689129
Shangrao,3.360864
Jingdezhen,3.229387
Huanggang,2.983549
Hangzhou,2.895361
Nanjing,2.837988
Fuzhou,2.820604
Guangzhou,2.745664
Huangshi,2.745664
Hefei,2.647851
Shenzhen,2.635822
Huangshan,2.610906
Suzhou,2.512527
Jiaxing,2.496685
Anqing,2.496685
Yingtan,2.496685
Jian,2.463270
Ezhou,2.445589
Chengdou,2.387791
Hengshui,2.344305
Tianjin,2.344305
Ganzhou,2.320665
Changsha,2.295502
Shamen,2.268558
Fuyang,2.239500
Pingxiang,2.239500
Xinyu,2.239500
Jinhua,2.207884
Shaoxing,2.207884
Wuhu,2.207884
Xi'an,2.207884
Zhenjiang,2.173104
Chizhou,2.134291
Liaocheng,2.134291
Quzhou,2.134291
Wuxi,2.134291
Xinyang,2.134291
Yangzhou,2.134291
Handan,2.090138
Hong Kong,2.090138
Nanping,2.090138
Shangqiu,2.090138
Zhengzhou,2.090138
Fuzhou,2.038524
Changzhou,2.038524
Macau,2.038524
Sanming,2.038524
Xuzhou,2.038524
Yichun,2.038524
Dongguan,1.975627
Chongqing,1.975627
Jinan,1.975627
Longyan,1.975627
Luoyang,1.975627
Nantong,1.975627
Ningbo,1.975627
Qingdao,1.975627
Shenyang,1.975627
Baoding,1.975627
Shiyan,1.975627
Xiangyang,1.975627
Xuancheng,1.975627
Yichang,1.975627
Zhoushan,1.975627
Zhuhai,1.975627
Zhuzhou,1.975627
Foshan,1.893295
Bozhou,1.893295
Haikou,1.893295
Heze,1.893295
Huizhou,1.893295
Huzhou,1.893295
Jingzhou,1.893295
Jining,1.893295
Kunming,1.893295
Loudi,1.893295
Lu'an,1.893295
Luohe,1.893295
Ngawa,1.893295
Cangzhou,1.893295
Putian,1.893295
Qinhuangdao,1.893295
Sanya,1.893295
Shijiazhuang,1.893295
Wenzhou,1.893295
Xianning,1.893295
Xingtai,1.893295
Xinxiang,1.893295
Yongzhou,1.893295
Zhangzhou,1.893295
Hohhot,1.767382
Baoji,1.767382
Huludao,1.767382
Jiangmen,1.767382
Datong,1.767382
Changde,1.767382
Jinzhong,1.767382
Kaifeng,1.767382
Langfang,1.767382
Lingshui,1.767382
Linyi,1.767382
Chuzhou,1.767382
Mianyang,1.767382
Nanning,1.767382
Nanyang,1.767382
Guilin,1.767382
Quanzhou,1.767382
Shaoguan,1.767382
Tai'an,1.767382
Tainan,1.767382
Taipei,1.767382
Taiyuan,1.767382
Taizhou,1.767382
Taizhou,1.767382
Tangshan,1.767382
Tongling,1.767382
Urumqi,1.767382
Weinan,1.767382
Xiangxi,1.767382
Haixi,1.767382
Xiuzhou,1.767382
Dalian,1.767382
Yueyang,1.767382
Zhangjiajie,1.767382
Zhangjiakou,1.767382
Binzhou,1.767382
Zhongshan,1.767382
Fangchenggang,1.767382
Zibo,1.767382
Xiaogan,1.606278
Harbin,1.584225
Guiyang,1.569766
Ningde,1.562916
Yancheng,1.546116
Chengde,1.541030
Changchun,1.533996
Lijiang,1.528880
Taoyuan,1.515290
Jingmen,1.511404
Weicu,1.498313
Lanzhou,1.492972
Lianyungang,1.491145
Enshi,1.481716
Hengyang,1.454000
Leshan,1.452192
Heyuan,1.443143
Suizhou,1.430994
Lhasa,1.426084
Huai'an,1.423819
Yinchuan,1.422420
Xiangtan,1.403913
Baotou,1.403263
Weihai,1.398216
Lishui,1.396141
Hulunbuir,1.394789
Xining,1.394789
Bangbu,1.394486
Xingtai,1.391670
Beihai,1.390640
Dezhou,1.390326
Xianyang,1.388430
Huainan,1.387896
Kaohsiung,1.380552
Qingyuan,1.377742
Ili(Yili),1.374297
Weifang,1.373999
Xinzhou,1.373051
Dongying,1.368811
Chifeng,1.366194
Zhaoqing,1.362366
Ma'anshan,1.357638
Deyang,1.353395
Dali,1.351739
Ordos,1.350010
Jinzhou,1.349139
Jilin,1.348261
Chiayi,1.346485
Qiandongnan,1.346485
Shantou,1.346485
Liuzhou,1.344379
Diqing,1.343454
New Taipei,1.336373
Zaozhuang,1.336019
Zhumadian,1.331411
Dandong,1.327373
Rizhao,1.324276
Anyang,1.322156
Xilingol,1.321206
Jieyang,1.320640
Nanchong,1.318753
Chenzhou,1.318753
Anshan,1.318753
Daqing,1.318753
Baoting,1.318753
Jiuquan,1.312987
Qiqihar,1.311866
Jiaozuo,1.310229
Yanbian,1.309895
Taichung,1.301077
Fushun,1.300303
Garze,1.297690
Panjin,1.292811
Huaihua,1.291118
Ya'an,1.289393
Xiuqian,1.286897
Yangjiang,1.284039
Yan'an,1.283477
Yingkou,1.281553
Shaoyang,1.281553
Baise,1.281553
Wanning,1.281553
Meizhou,1.281553
Ulanqab,1.280467
Puyang,1.276562
Qionghai,1.270991
Zhanjiang,1.268210
Ankang,1.267512
Nantou,1.266291
Pingdong,1.264854
Yangquan,1.262615
Yulin,1.259155
Hezhou,1.257860
Yiyang,1.256022
Mudanjiang,1.255187
Suihua,1.254171
Baoshan,1.253091
Meishan,1.253063
Xuchang,1.251932
Xishuangbanna,1.251448
Zunyi,1.249953
Huaibei,1.248079
Pingdingshan,1.247088
Hualien,1.240969
Neijiang,1.237054
Changzhi,1.234152
Nagqu,1.233898
Chaoyang,1.233277
Liangshanzhou,1.231613
Yuncheng,1.231504
Tongliao,1.229697
Shuozhou,1.226920
Qinzhou,1.226300
Dazhou,1.225645
Benxi,1.225023
Sanmenxia,1.224405
Anshun,1.222595
Tonghua,1.222595
Qiannan,1.222595
Linfen,1.222595
Daxinganling,1.222595
Yibin,1.222595
Panzhihua,1.222595
Guangyuan,1.222595
Suining,1.222562
Hanzhong,1.222351
Jiamusi,1.221108
Yunlin,1.218940
Shanwei,1.216968
Ziyang,1.214522
Liupanshui,1.213202
Gannan,1.212269
Siping,1.209407
Bayannur,1.208266
Turpan,1.208115
Lvliang,1.207110
Zigong,1.206327
Maoming,1.206190
Tieling,1.204753
Hinggan,1.204753
Baishan,1.203551
Zhongwei,1.203551
Changji,1.198870
Liaoyang,1.195076
Alty,1.193130
Nyingchi,1.188909
Wuzhou,1.188155
Jiayuguan,1.186721
Fuxin,1.186256
Luzhou,1.184998
Yilan,1.184476
Chaozhou,1.181943
Zhoukou,1.179518
Hsinchu,1.177374
Wenchang,1.176617
Shangluo,1.176385
Chongzuo,1.176131
Keramay,1.173630
Dehong,1.171914
Yunfu,1.171297
Penghu,1.169633
Sansha,1.169633
Wuhai,1.168373
Tianshui,1.166889
Kashgar,1.166889
Yuxi,1.166547
Hebi,1.166546
Keelung,1.165482
Kinmen,1.159081
Taidong,1.153293
Jincheng,1.150291
Yulin,1.147063
Laiwu,1.145674
Tongchuan,1.144992
Yichun,1.144648
Bayingolin,1.140916
Alxa,1.140779
Honghe,1.139914
Qujing,1.139690
Shannan,1.134971
Jiyuan,1.133832
Tongren,1.131343
Haibei,1.130748
Zhangye,1.130748
Danzhou,1.130430
Guang'an,1.128621
