city,distance
Jiayuguan,4.880794
Lanzhou,4.600764
Shanghai,4.413052
Xi'an,3.719678
Beijing,3.566591
Zhangye,3.529641
Xining,3.172348
Haixi,3.163192
Urumqi,3.085976
Kumul(Hami),2.876219
Wuxi,2.819339
Turpan,2.772993
Wuwei,2.739978
Jinchang,2.606293
Alxa,2.606293
Chengdou,2.510986
Suzhou,2.424284
Lhasa,2.355121
Nanjing,2.355121
Haibei,2.315589
Zhengzhou,2.271571
Hangzhou,2.221622
Shenzhen,2.221622
Taiyuan,2.221622
Yinchuan,2.221622
Chongqing,2.163400
Guangzhou,2.163400
Baoji,2.163400
Tianshui,2.163400
Baiyin,2.163400
Wuhan,2.163400
Zhongwei,2.163400
Changsha,2.092695
Gannan,2.092695
Hohhot,2.092695
Hong Kong,2.092695
Nagqu,2.092695
Ngawa,2.092695
Qingdao,2.092695
Dingxi,2.000544
Bayingolin,2.000544
Haikou,2.000544
Hezhou,2.000544
Jiaxing,2.000544
Keramay,2.000544
Alty,2.000544
Baotou,2.000544
Luoyang,2.000544
Nanping,2.000544
Shamen,2.000544
Shenyang,2.000544
Tianjin,2.000544
Xianyang,2.000544
Xuzhou,2.000544
Yulin,2.000544
Zhuhai,2.000544
Diqing,1.860490
Fuzhou,1.860490
Ganzhou,1.860490
Guang'an,1.860490
Guyuan,1.860490
Heze,1.860490
Changji,1.860490
Huangnan,1.860490
Ili(Yili),1.860490
Jinan,1.860490
Jinzhong,1.860490
Kashgar,1.860490
Linxia,1.860490
Longnan,1.860490
Lvliang,1.860490
Nanchang,1.860490
Chuzhou,1.860490
Nyingchi,1.860490
Pingliang,1.860490
Pu'er,1.860490
Qingyang,1.860490
Sanya,1.860490
Shangluo,1.860490
Tai'an,1.860490
Taoyuan,1.860490
Weihai,1.860490
Wenzhou,1.860490
Yangzhou,1.860490
Datong,1.860490
Zhongshan,1.860490
Zhumadian,1.860490
Zibo,1.860490
Changzhou,1.849380
Ningbo,1.848298
Weinan,1.805381
Zhoushan,1.756032
Nantong,1.739715
Huzhou,1.698854
Yan'an,1.680527
Shaoxing,1.670729
Hefei,1.662256
Taipei,1.640605
Langfang,1.634413
Jinhua,1.623180
Zhenjiang,1.597989
Baoding,1.597576
Shijiazhuang,1.593529
Qinhuangdao,1.592093
Kunming,1.590296
Dalian,1.590189
Huangshan,1.582813
Hanzhong,1.577253
Taizhou,1.548385
Ankang,1.547426
Macau,1.543940
Harbin,1.534649
Guilin,1.531333
Tangshan,1.524663
Nanning,1.520584
Taizhou,1.519727
Garze,1.515025
Zhangjiakou,1.500549
Yancheng,1.498861
Weicu,1.498313
Leshan,1.496856
Sanmenxia,1.492865
Changchun,1.492865
Haidong,1.488311
Chengde,1.487212
Lijiang,1.482657
Shizuishan,1.481205
Shannan,1.466360
Wuhai,1.463633
Guiyang,1.461650
Shangrao,1.459516
Yantai,1.459389
Zigong,1.456880
Tongchuan,1.450775
Aksu,1.448544
Bangbu,1.447715
Lianyungang,1.447142
Zhangjiajie,1.443562
Bayannur,1.430965
Wuhu,1.428433
Xuancheng,1.420459
Wuzhou,1.417825
Cangzhou,1.416161
Foshan,1.413874
Jingmen,1.413464
Luzhou,1.413464
Quanzhou,1.413464
Hotan,1.413464
Dongguan,1.413464
Zhuzhou,1.407540
Kaifeng,1.404299
Tacheng,1.400041
Deyang,1.392107
Xiangyang,1.388881
Yuncheng,1.385675
Huai'an,1.383646
Chizhou,1.382963
Bortala,1.379417
Xishuangbanna,1.379292
Guangyuan,1.372924
Huludao,1.365115
Quzhou,1.364222
Jiujiang,1.363687
Xinzhou,1.359454
Yushuzhou,1.358050
Lishui,1.357494
Ordos,1.354518
Weifang,1.354518
Xilingol,1.354518
Beihai,1.352293
Hulunbuir,1.350554
Chifeng,1.348925
Dezhou,1.346369
Yichang,1.345447
Yingtan,1.344187
Kaohsiung,1.342752
Shiyan,1.337328
Xinxiang,1.336809
Jining,1.336038
Wuzhong,1.332652
Jiaozuo,1.330030
Yangquan,1.326547
Zhangzhou,1.326547
Ya'an,1.324483
Qamdo,1.323561
Jingdezhen,1.322034
Linfen,1.321852
Ma'anshan,1.321066
Jian,1.319892
Qionghai,1.318441
Dali,1.315480
Handan,1.314605
Qiannan,1.313314
Shangqiu,1.313314
Anqing,1.311308
Liuzhou,1.308508
Xiangxi,1.307851
Jinzhou,1.307709
Linyi,1.307411
Jilin,1.306884
Nanyang,1.306614
Dazhou,1.305481
Xinyang,1.305481
Zunyi,1.305481
Ningde,1.300587
Zaozhuang,1.300587
Hengshui,1.299163
Xiangtan,1.294262
Nanchong,1.293038
Ulanqab,1.292948
New Taipei,1.291778
Rizhao,1.289456
Dandong,1.287249
Meishan,1.286178
Jieyang,1.286008
Xingtai,1.284218
Kezilsu,1.284022
Yiyang,1.283763
Dongying,1.282148
Luohe,1.280660
Yanbian,1.275818
Qiqihar,1.272661
Xianning,1.272523
Huizhou,1.272203
Anyang,1.269556
Neijiang,1.269317
Shaoguan,1.269016
Shuozhou,1.269016
Yunfu,1.269016
Fushun,1.269016
Zhanjiang,1.269016
Ngari,1.268205
Taichung,1.267451
Xiuzhou,1.265456
Shantou,1.263834
Lu'an,1.263834
Liangshanzhou,1.263590
Yueyang,1.263336
Daqing,1.258749
Anshan,1.257868
Golog,1.256297
Panjin,1.254719
Tongling,1.254359
Suining,1.254065
Xiuqian,1.253991
Hengyang,1.253956
Pingdingshan,1.253088
Xuchang,1.249293
Ziyang,1.245606
Sanming,1.245014
Yingkou,1.244112
Longyan,1.243879
Jiangmen,1.240879
Jingzhou,1.240783
Changde,1.238258
Yichun,1.236208
Huanggang,1.235189
Nantou,1.234417
Pingdong,1.233051
Wanning,1.230337
Xiaogan,1.228915
Binzhou,1.228680
Huangshi,1.227407
Liaocheng,1.223137
Suihua,1.222896
Baoshan,1.221869
Yibin,1.221269
Fuyang,1.220308
Yuxi,1.219353
Mudanjiang,1.219250
Wenchang,1.217170
Huaibei,1.217103
Qingyuan,1.213813
Huainan,1.213784
Heyuan,1.211180
Tongliao,1.211180
Qianxinan,1.211180
Qujing,1.211180
Qiandongnan,1.211180
Hualien,1.211180
Fuxin,1.211180
Zhaotong,1.211180
Puyang,1.211180
Xinyu,1.209164
Pingxiang,1.207937
Zhaoqing,1.206942
Putian,1.206153
Liaoyang,1.204148
Jincheng,1.202253
Tainan,1.201118
Benxi,1.199982
Changzhi,1.199392
Chaoyang,1.198566
Loudi,1.198362
Yunlin,1.189377
Tieling,1.188976
Jiamusi,1.187069
Jiyuan,1.184995
Hsinchu,1.183675
Meizhou,1.181211
Chiayi,1.179210
Ezhou,1.178606
Fuzhou,1.177535
Zhoukou,1.177392
Siping,1.176008
Hinggan,1.171607
Baishan,1.170471
Danzhou,1.167811
Liupanshui,1.165297
Bozhou,1.163803
Sansha,1.163463
Weicu,1.162804
Panzhihua,1.162232
Anshun,1.160768
Yongzhou,1.157354
Yilan,1.156542
Enshi,1.154652
Chenzhou,1.152248
Honghe,1.151708
Yulin,1.151563
Huaihua,1.151212
Bazhong,1.150218
Chongzuo,1.148585
Penghu,1.142387
Dehong,1.140527
Yangjiang,1.140488
Chengmai,1.138544
Keelung,1.138427
Chaozhou,1.135674
Tonghua,1.135443
Hebi,1.135443
Daxinganling,1.131864
Shaoyang,1.129867
Lingshui,1.127978
Taidong,1.126794
Dingan,1.126712
Suizhou,1.123616
Laiwu,1.122491
Kinmen,1.121947
Laibin,1.119496
Yichun,1.118540
Shanwei,1.103303
Ledong,1.097600
Songyuan,1.095088
Fangchenggang,1.094110
Qinzhou,1.094110
Jixi,1.092068
Tongren,1.090706
Baicheng,1.088918
Baise,1.083788
Maoming,1.078654
Nujiang,1.075958
Miaoli,1.075184
Heihe,1.074741
Lincang,1.068052
Hechi,1.061131
Guigang,1.059723
Baoting,1.059049
Bijie,1.057000
Liaoyuan,1.051749
Shuangyashan,1.051749
Changjiang,1.048688
Dongfang,1.048688
Wuzhishan,1.040776
Changhua,1.038711
Hegang,1.032967
Qitaihe,1.016568
Wenshan,1.004382
Qiongzhong,0.983559
