city,distance
Harbin,5.375310
Mudanjiang,4.504626
Qitaihe,4.293913
Beijing,4.056287
Shanghai,3.668845
Jiamusi,3.179252
Qingdao,3.082262
Changchun,2.971320
Chongqing,2.672514
Nanjing,2.672514
Shenyang,2.672514
Shuangyashan,2.672514
Yanbian,2.672514
Changsha,2.428314
Dalian,2.428314
Dandong,2.428314
Hangzhou,2.428314
Hohhot,2.428314
Jilin,2.428314
Ningbo,2.428314
Suihua,2.428314
Taiyuan,2.428314
Tangshan,2.428314
Tianjin,2.428314
Wuxi,2.428314
Yangzhou,2.428314
Yichun,2.428314
Daqing,2.119640
Suzhou,2.014319
Qiqihar,1.888264
Hulunbuir,1.825650
Heihe,1.797596
Jiaxing,1.787811
Daxinganling,1.783552
Guangzhou,1.755905
Hong Kong,1.755239
Hegang,1.753793
Shamen,1.735146
Langfang,1.730129
Chengdou,1.728776
Xi'an,1.717517
Qinhuangdao,1.713472
Changzhou,1.704488
Shenzhen,1.694151
Wuhan,1.691231
Baoding,1.688905
Jinan,1.687303
Shijiazhuang,1.684384
Baishan,1.650152
Zhenjiang,1.645040
Zhoushan,1.624879
Siping,1.620178
Sanya,1.616752
Nantong,1.610899
Weifang,1.607918
Zhengzhou,1.606041
Songyuan,1.602315
Yantai,1.601339
Anshan,1.594607
Taipei,1.590616
Zhangjiakou,1.580843
Huzhou,1.575803
Chengde,1.566048
Tieling,1.564389
Kunming,1.556895
Taizhou,1.554604
Shaoxing,1.551577
Weihai,1.546817
Jinzhong,1.545131
Huludao,1.544173
Jinzhou,1.544173
Urumqi,1.535473
Hefei,1.514514
Jinhua,1.510484
Jiangmen,1.499514
Nanchang,1.496679
Baotou,1.492248
Cangzhou,1.487463
Fushun,1.487024
Rizhao,1.485751
Ordos,1.481778
Guiyang,1.478000
Lanzhou,1.477484
Huangshan,1.475468
Fuzhou,1.471005
Wenzhou,1.469261
Guilin,1.466326
Tai'an,1.464352
Datong,1.455105
Lijiang,1.452808
Linfen,1.451602
Meizhou,1.451602
Xishuangbanna,1.451602
Taoyuan,1.445512
Taizhou,1.445507
Yinchuan,1.443707
Nanning,1.442713
Macau,1.441632
Hinggan,1.438596
Yingkou,1.438596
Tonghua,1.437105
Xinzhou,1.434152
Linyi,1.433060
Haikou,1.431974
Zibo,1.430442
Zhuhai,1.430340
Benxi,1.428583
Xuzhou,1.426855
Lhasa,1.420084
Liaoyang,1.418887
Zhuzhou,1.417895
Xining,1.415252
Xiangtan,1.415235
Bangbu,1.413955
Foshan,1.413874
Luoyang,1.413808
Ulanqab,1.413663
Dezhou,1.410657
Dongying,1.404685
Yancheng,1.402253
Panjin,1.399610
Tongliao,1.399610
Chifeng,1.399610
Diqing,1.399610
Jining,1.399320
Xiangxi,1.397372
Ngawa,1.388641
Yueyang,1.378339
Kaohsiung,1.376419
Liaoyuan,1.376419
Foshan,1.376419
Chaoyang,1.376419
Wuhai,1.376419
Handan,1.375826
Shangrao,1.367758
Hengyang,1.367182
Dongguan,1.364720
Hengshui,1.358922
Lianyungang,1.356885
Jiujiang,1.354626
Zhangjiajie,1.353765
Changde,1.348542
Xingtai,1.342580
Kaifeng,1.342526
Ganzhou,1.342526
Yichang,1.341830
Xilingol,1.341811
Wuhu,1.340424
Zaozhuang,1.338396
Xuancheng,1.333400
Huai'an,1.330752
Jiaozuo,1.328270
Xinxiang,1.327846
Anyang,1.326562
Guang'an,1.326175
Dali,1.321274
Quanzhou,1.318564
Ma'anshan,1.315870
Lvliang,1.315430
Heze,1.314956
Nanping,1.314956
Fuxin,1.314956
Baicheng,1.314956
Xiangyang,1.314956
Baoji,1.314288
Bortala,1.313554
Zunyi,1.310250
Yangquan,1.304962
Dazhou,1.304192
Chuzhou,1.303094
Bayannur,1.302029
Loudi,1.301359
Chizhou,1.300306
Yiyang,1.294770
Yan'an,1.292520
Suining,1.285000
Quzhou,1.283724
Binzhou,1.281998
Ningde,1.277966
Jieyang,1.277966
Sanming,1.277966
Changzhi,1.277966
Hsinchu,1.277966
Lishui,1.277765
Liaocheng,1.275964
Beihai,1.273157
Luzhou,1.271991
Nanchong,1.271218
Mianyang,1.271013
Liuzhou,1.270285
Jian,1.268815
Yingtan,1.265968
Jiuquan,1.265808
Neijiang,1.262297
Xinyang,1.257872
New Taipei,1.256207
Laiwu,1.253664
Yuncheng,1.247429
Chenzhou,1.247156
Jingdezhen,1.246300
Huaihua,1.245942
Leshan,1.245723
Xianyang,1.245575
Zigong,1.244714
Shuozhou,1.242726
Enshi,1.239511
Anqing,1.236763
Yibin,1.235135
Puyang,1.230406
Yulin,1.227060
Taichung,1.223591
Ili(Yili),1.221205
Huizhou,1.221205
Shaoyang,1.220979
Jingzhou,1.219989
Pu'er,1.219331
Guangyuan,1.219331
Qiandongnan,1.219331
Qionghai,1.219331
Sanmenxia,1.219331
Chiayi,1.219331
Bayingolin,1.219331
Tongling,1.219331
Liangshanzhou,1.219331
Weinan,1.219331
Hanzhong,1.219331
Luohe,1.219331
Yulin,1.219331
Hotan,1.219331
Zhongwei,1.218757
Baoshan,1.214958
Shangqiu,1.213657
Zhangzhou,1.213657
Alxa,1.212567
Xuchang,1.212336
Tongren,1.206591
Jincheng,1.206169
Garze,1.205433
Nanyang,1.205433
Fuyang,1.205433
Zhanjiang,1.205433
Yichun,1.203988
Deyang,1.201025
Pingdong,1.197962
Gannan,1.196390
Huanggang,1.194790
Shantou,1.194446
Lu'an,1.194446
Pingxiang,1.193426
Xiuqian,1.192041
Pingdingshan,1.191501
Xianning,1.190145
Keramay,1.188085
Hezhou,1.186326
Dehong,1.186326
Xiuzhou,1.184531
Ya'an,1.184531
Bozhou,1.184531
Nantou,1.182698
Shiyan,1.182698
Nyingchi,1.180943
Hebi,1.180826
Hualien,1.180826
Yongzhou,1.180744
Anshun,1.178912
Xiaogan,1.176956
Longyan,1.176607
Shaoguan,1.174306
Wanning,1.168651
Zhaoqing,1.166442
Ankang,1.162139
Huainan,1.161842
Tainan,1.159444
Haixi,1.157356
Huangshi,1.154431
Jiayuguan,1.154431
Huaibei,1.152621
Taidong,1.151806
Turpan,1.146290
Weicu,1.146290
Zhumadian,1.146290
Xinyu,1.145499
Ziyang,1.145389
Keelung,1.143385
Putian,1.142796
Alty,1.140372
Tianshui,1.140372
Kumul(Hami),1.137243
Honghe,1.137243
Ngari,1.127964
Yunlin,1.127725
Zhoukou,1.127042
Qingyuan,1.121510
Changji,1.119424
Shizuishan,1.119424
Qinzhou,1.119424
Fuzhou,1.117073
Meishan,1.115315
Yilan,1.115315
Chaozhou,1.115315
Haibei,1.115315
Qujing,1.110974
Wuzhong,1.110974
Qianxinan,1.101468
Chongzuo,1.101468
Zhangye,1.101468
Wenchang,1.101468
Baiyin,1.096221
Bijie,1.096221
Shannan,1.096221
Jingmen,1.096221
Jiyuan,1.096221
Kashgar,1.096221
Panzhihua,1.090574
Qamdo,1.090574
Penghu,1.085393
Sansha,1.085393
Wuzhou,1.084553
Yuxi,1.084455
Heyuan,1.084455
Jinchang,1.077770
Qiannan,1.077770
Guigang,1.077770
Yangjiang,1.070393
Baise,1.070393
Ezhou,1.070393
Shangluo,1.070393
Huangnan,1.070393
Nagqu,1.068417
Kinmen,1.066926
Yunfu,1.064260
Fangchenggang,1.062152
Miaoli,1.062152
Changhua,1.062152
Maoming,1.062152
Pingliang,1.052794
Bazhong,1.052794
Suizhou,1.052794
Zhaotong,1.046123
Wenshan,1.046123
Longnan,1.041937
Hechi,1.041937
Qingyang,1.041937
Shanwei,1.041937
Baoting,1.041937
Linxia,1.041937
Wuwei,1.041937
Tongchuan,1.028950
Aksu,1.028950
Guyuan,1.028950
Lingshui,1.021423
Dingxi,1.012676
Lincang,1.012676
Dongfang,1.012676
Golog,1.012676
Yushuzhou,1.012676
Chengmai,1.012676
Haidong,1.012676
Danzhou,0.994379
Dingan,0.990596
Nujiang,0.990596
Tacheng,0.960169
Liupanshui,0.958514
Laibin,0.954998
Wuzhishan,0.935911
Ledong,0.923402
Changjiang,0.878063
Kezilsu,0.866900
Qiongzhong,0.822918
