city,distance
Zhengzhou,5.082491
Luoyang,5.023502
Jiaozuo,4.138531
Shanghai,3.735997
Beijing,3.676316
Xi'an,3.401097
Anyang,3.015213
Suzhou,2.879613
Xinxiang,2.879613
Chifeng,2.707970
Jincheng,2.707970
Kaifeng,2.707970
Sanmenxia,2.707970
Tianjin,2.707970
Yuncheng,2.707970
Changchun,2.457552
Changsha,2.457552
Changzhi,2.457552
Changzhou,2.457552
Hong Kong,2.457552
Puyang,2.457552
Qingdao,2.457552
Sanya,2.457552
Taiyuan,2.457552
Wuhan,2.457552
Hangzhou,1.956092
Guangzhou,1.813035
Jiaxing,1.803608
Pingdingshan,1.803235
Xuchang,1.795388
Xianyang,1.781457
Shangqiu,1.779646
Nanjing,1.778785
Wuxi,1.774276
Chengdou,1.768165
Shamen,1.750023
Shijiazhuang,1.748176
Weinan,1.739551
Shenzhen,1.728239
Xuzhou,1.723778
Baoji,1.722760
Ningbo,1.717907
Xinyang,1.715720
Luohe,1.707317
Nanyang,1.702347
Chengde,1.686917
Jinan,1.682470
Chongqing,1.681068
Handan,1.665458
Dalian,1.660240
Langfang,1.657077
Zhumadian,1.657062
Zhoukou,1.650534
Yinchuan,1.648865
Zhoushan,1.637918
Nantong,1.623713
Shenyang,1.619770
Baoding,1.619223
Qinhuangdao,1.613591
Yan'an,1.612295
Linfen,1.611017
Xilingol,1.601398
Hefei,1.596496
Kunming,1.594212
Huzhou,1.588063
Lanzhou,1.579806
Jilin,1.579472
Urumqi,1.572100
Shaoxing,1.563461
Fuzhou,1.558377
Jinzhong,1.556917
Bangbu,1.554091
Tangshan,1.544368
Guiyang,1.543352
Yangzhou,1.543282
Hebi,1.540166
Harbin,1.539613
Taipei,1.537050
Xingtai,1.522389
Jinhua,1.521745
Zhangjiakou,1.519631
Hanzhong,1.516999
Haikou,1.503990
Nanchang,1.503990
Xining,1.500041
Hohhot,1.499839
Xiangyang,1.499839
Zhenjiang,1.499583
Shiyan,1.492940
Zunyi,1.492940
Ankang,1.489388
Huangshan,1.486211
Ordos,1.481930
Chuzhou,1.481930
Wenzhou,1.479914
Liaocheng,1.468022
Lhasa,1.464885
Guilin,1.461431
Taizhou,1.455816
Yulin,1.455155
Macau,1.451887
Shangluo,1.446839
Xinzhou,1.444300
Jining,1.443774
Heze,1.443774
Yancheng,1.443354
Yantai,1.441173
Zhangjiajie,1.437335
Cangzhou,1.433145
Lianyungang,1.430568
Xiuzhou,1.430568
Taizhou,1.430455
Tongliao,1.429160
Wanning,1.428666
Zhuzhou,1.427813
Xiangtan,1.425116
Nanning,1.423433
Taoyuan,1.423433
Weifang,1.419659
Tianshui,1.417574
Baotou,1.415885
Fuyang,1.415885
Yueyang,1.415885
Zhuhai,1.415885
Jinzhou,1.413531
Tai'an,1.411679
Ulanqab,1.411536
Linyi,1.407865
Xiangxi,1.407005
Datong,1.403083
Jiuquan,1.401931
Lijiang,1.400948
Tongchuan,1.399640
Rizhao,1.399305
Hulunbuir,1.385573
Jiujiang,1.383001
Nanchong,1.383001
Ngawa,1.383001
Weihai,1.383001
Yichang,1.383001
Qionghai,1.382118
Huludao,1.380890
Shangrao,1.376985
Hengyang,1.376401
Quanzhou,1.369379
Dongguan,1.369379
Yanbian,1.368924
Xianning,1.368898
Siping,1.361768
Dezhou,1.361711
Jiayuguan,1.359965
Changde,1.357511
Dazhou,1.357495
Wuhu,1.357493
Bozhou,1.357493
Kaohsiung,1.357493
Hengshui,1.357493
Xiaogan,1.344265
Dandong,1.344265
Ganzhou,1.342526
Xuancheng,1.342168
Baise,1.342143
Deyang,1.342143
Suining,1.342143
Suizhou,1.342143
Taichung,1.342143
Leshan,1.342143
Guangyuan,1.342143
Zibo,1.342143
Haixi,1.342143
Jingzhou,1.332239
Liuzhou,1.329311
Loudi,1.329311
Huizhou,1.329311
Foshan,1.329311
Huai'an,1.329311
Lvliang,1.323962
Baishan,1.317331
Hezhou,1.316912
Huangshi,1.316830
Yangquan,1.313359
Zhongwei,1.313154
Dingxi,1.312049
Zaozhuang,1.312049
Zhangzhou,1.312049
Nanping,1.309153
Chizhou,1.308642
Songyuan,1.305139
Tonghua,1.305139
Yiyang,1.303035
Taidong,1.301933
Dehong,1.301933
Mianyang,1.301933
Chiayi,1.301933
Dongying,1.301933
Garze,1.299405
Quzhou,1.291849
Benxi,1.291521
Longyan,1.291521
Dali,1.291521
Hinggan,1.290374
Qingyang,1.289819
Qiqihar,1.286361
Lishui,1.285815
Beihai,1.281148
Lingshui,1.279890
Nyingchi,1.277619
Pu'er,1.277619
Qiandongnan,1.277619
Meizhou,1.277619
Binzhou,1.277619
Nagqu,1.277619
Turpan,1.277619
Jiangmen,1.277619
Chaoyang,1.277619
Xiuqian,1.277619
Ma'anshan,1.277619
Jieyang,1.277619
Zhongshan,1.277619
Ili(Yili),1.277619
Fushun,1.275240
Yingtan,1.273869
Daqing,1.272150
Anshan,1.271249
Panjin,1.268033
Shaoguan,1.265986
Kumul(Hami),1.265986
Guang'an,1.265986
Baoshan,1.265986
Ezhou,1.260822
Diqing,1.258749
Yingkou,1.257201
Pingliang,1.257017
Chenzhou,1.254823
Jingdezhen,1.253957
Jingmen,1.253952
Huaihua,1.253595
Jian,1.252030
Tieling,1.249735
Shuozhou,1.244740
Anqing,1.244302
Ningde,1.234645
Enshi,1.233448
Mudanjiang,1.231818
Shantou,1.231664
Jiamusi,1.231664
New Taipei,1.231664
Tainan,1.231664
Huaibei,1.231664
Tongling,1.231664
Wuhai,1.231664
Wuwei,1.231664
Kashgar,1.231664
Nantou,1.231664
Xishuangbanna,1.231664
Keramay,1.231664
Ganzhou,1.231664
Shaoyang,1.228326
Zhangye,1.202734
Lu'an,1.201477
Liaoyuan,1.201125
Baoting,1.200539
Pingxiang,1.200445
Guyuan,1.192338
Alty,1.190955
Yichun,1.190955
Yongzhou,1.190955
Bayannur,1.186596
Miaoli,1.182532
Qingyuan,1.177110
Panzhihua,1.177110
Liupanshui,1.177110
Sansha,1.177110
Huainan,1.177110
Gannan,1.177110
Wuzhong,1.177110
Laibin,1.177110
Chaozhou,1.177110
Changji,1.177110
Ya'an,1.177110
Yangjiang,1.177110
Yibin,1.177110
Hechi,1.177110
Honghe,1.177110
Putian,1.177110
Zhaoqing,1.177110
Aksu,1.177110
Haidong,1.177110
Hualien,1.177110
Shuangyashan,1.174943
Pingdong,1.173623
Zhanjiang,1.173207
Baicheng,1.172121
Wuzhishan,1.167048
Bayingolin,1.166924
Fuxin,1.165362
Suihua,1.164420
Baiyin,1.160554
Xinyu,1.151963
Sanming,1.151424
Shizuishan,1.150658
Liaoyang,1.149826
Ledong,1.147662
Anshun,1.144532
Weicu,1.144524
Daxinganling,1.142687
Wenchang,1.141474
Neijiang,1.141140
Haibei,1.141140
Laiwu,1.136191
Yunlin,1.133990
Liangshanzhou,1.130634
Luzhou,1.130634
Fuzhou,1.123220
Alxa,1.121443
Bazhong,1.117839
Dongfang,1.113497
Dingan,1.113497
Keelung,1.111017
Fangchenggang,1.108651
Yilan,1.104104
Hsinchu,1.102905
Jinchang,1.102905
Jixi,1.102140
Chongzuo,1.096849
Yichun,1.092068
Penghu,1.091196
Qinzhou,1.088380
Meishan,1.084495
Heihe,1.084495
Yuxi,1.084230
Longnan,1.084230
Qujing,1.080390
Zigong,1.076036
Danzhou,1.074140
Kinmen,1.072532
Qianxinan,1.071398
Qiannan,1.069499
Bijie,1.066433
Shannan,1.066433
Qamdo,1.061088
Yushuzhou,1.058957
Heyuan,1.058957
Guigang,1.048963
Wuzhou,1.048963
Hegang,1.047375
Huangnan,1.041974
Ziyang,1.041974
Hotan,1.034163
Maoming,1.034163
Changhua,1.034163
Chengmai,1.032412
Tongren,1.025290
Qitaihe,1.025290
Shanwei,1.018378
Bortala,1.018378
Kezilsu,1.018378
Yunfu,1.018378
Yulin,1.018378
Ngari,1.018378
Tacheng,1.018378
Linxia,1.014990
Zhaotong,1.002662
Lincang,1.000927
Golog,0.987203
Wenshan,0.987203
Nujiang,0.966208
Qiongzhong,0.938197
Changjiang,0.938197
