city,distance
Pingdong,4.629631
Taipei,4.426428
Tainan,4.212700
Shanghai,3.962464
Chiayi,3.702293
Taichung,3.560669
Taidong,3.517912
Taoyuan,3.300242
Nantou,3.254781
Hong Kong,3.190288
New Taipei,3.114358
Beijing,2.991838
Hualien,2.980957
Yunlin,2.762631
Hsinchu,2.604267
Tianjin,2.604267
Changhua,2.489721
Hangzhou,2.414792
Miaoli,2.360368
Shamen,2.360368
Guangzhou,2.283597
Shenzhen,2.283597
Yilan,2.269167
Macau,2.238497
Suzhou,2.204960
Ningbo,2.147597
Nanjing,2.077904
Penghu,2.077904
Zhengzhou,2.050659
Dongguan,2.020622
Fuzhou,2.020622
Kinmen,2.020622
Wuhan,2.020622
Chaozhou,1.987022
Chengdou,1.948698
Hefei,1.903758
Keelung,1.903758
Jiaxing,1.854784
Changzhou,1.848790
Kunming,1.848790
Wuxi,1.823778
Mianyang,1.776496
Nanning,1.776496
Xi'an,1.776496
Zhoushan,1.680014
Chongqing,1.665183
Dali,1.665183
Guilin,1.665183
Harbin,1.665183
Huzhou,1.665183
Jinan,1.665183
Jinhua,1.665183
Langfang,1.665183
Lijiang,1.665183
Liuzhou,1.665183
Mudanjiang,1.665183
Nanchang,1.665183
Ordos,1.665183
Putian,1.665183
Qingdao,1.665183
Qinhuangdao,1.665183
Quanzhou,1.665183
Sanya,1.665183
Shantou,1.665183
Shijiazhuang,1.665183
Tai'an,1.665183
Taiyuan,1.665183
Taizhou,1.665183
Taizhou,1.665183
Urumqi,1.665183
Changsha,1.665183
Xiangxi,1.665183
Yangzhou,1.665183
Zhuhai,1.665183
Nantong,1.665073
Shaoxing,1.601772
Zhenjiang,1.534792
Dalian,1.527595
Huangshan,1.520787
Wenzhou,1.514195
Shenyang,1.491758
Baoding,1.470996
Foshan,1.464243
Yancheng,1.443124
Changchun,1.430022
Xuzhou,1.411061
Tangshan,1.408956
Guiyang,1.408598
Shangrao,1.406616
Yantai,1.406498
Huai'an,1.403694
Haikou,1.399298
