city,distance
Urumqi,5.918684
Shanghai,4.238529
Kezilsu,4.144043
Aksu,3.585013
Hotan,3.394936
Beijing,3.158881
Turpan,3.010370
Ili(Yili),2.953519
Bayingolin,2.891610
Ngari,2.823292
Shenzhen,2.658105
Guangzhou,2.552158
Hangzhou,2.552158
Lanzhou,2.552158
Lhasa,2.552158
Suzhou,2.552158
Guiyang,2.416412
Keramay,2.416412
Tacheng,2.416412
Xi'an,2.416412
Zhengzhou,2.416412
Changji,2.286935
Alty,2.235802
Chengdou,2.215009
Fuzhou,2.215009
Hohhot,2.215009
Hong Kong,2.215009
Jiaxing,2.215009
Jiuquan,2.215009
Sanya,2.215009
Shamen,2.215009
Tianjin,2.215009
Wuhai,2.215009
Wuhan,2.215009
Xining,2.215009
Yinchuan,1.896964
Kumul(Hami),1.891091
Nanjing,1.881141
Wuxi,1.880141
Shijiazhuang,1.872573
Chongqing,1.830526
Changzhou,1.818010
Ningbo,1.816964
Bortala,1.754836
Taiyuan,1.731779
Zhoushan,1.727725
Nantong,1.711927
Changsha,1.696196
Nagqu,1.695570
Huzhou,1.672345
Qingdao,1.658764
Shaoxing,1.645085
Haixi,1.639625
Kunming,1.639625
Shenyang,1.632864
Yangzhou,1.622758
Nyingchi,1.618937
Jinan,1.618505
Taipei,1.615870
Ganzhou,1.613177
Jinhua,1.598964
Dalian,1.576212
Zhenjiang,1.574514
Foshan,1.570188
Shannan,1.563685
Huangshan,1.559778
Hefei,1.557847
Harbin,1.555692
Wenzhou,1.552844
Haikou,1.544344
Luoyang,1.544344
Langfang,1.543142
Jiayuguan,1.532101
Taizhou,1.526334
Macau,1.522015
Baoding,1.510263
Guilin,1.509762
Dongguan,1.505370
Qinhuangdao,1.505362
Anshun,1.504729
Changchun,1.504184
Taizhou,1.498480
Nanchang,1.495827
Gannan,1.487960
Yancheng,1.478189
Mianyang,1.472755
Jinchang,1.469660
Nanning,1.469660
Xianyang,1.468101
Qiandongnan,1.464690
Lijiang,1.462426
Kaifeng,1.458339
Taoyuan,1.449987
Baotou,1.448589
Baoji,1.448589
Shangqiu,1.448589
Xishuangbanna,1.448589
Zhangye,1.448589
Zhuhai,1.448589
Xuzhou,1.445990
Diqing,1.445990
Zibo,1.445990
Tangshan,1.444939
Zunyi,1.444751
Shangrao,1.439908
Yantai,1.439784
Bayannur,1.434009
Weinan,1.430828
Lianyungang,1.427863
Zhangjiajie,1.424377
Cangzhou,1.423607
Mudanjiang,1.423607
Tai'an,1.423607
Wuzhong,1.423607
Zhongwei,1.423607
Zhangjiakou,1.423263
Tianshui,1.411320
Chengde,1.411259
Ordos,1.410556
Wuhu,1.409645
Huizhou,1.404249
Xuancheng,1.401879
Qiannan,1.401607
Haibei,1.392645
Linyi,1.392645
Hulunbuir,1.392645
Yichang,1.392645
Zhongshan,1.392645
Leshan,1.386419
Xinxiang,1.385689
Quanzhou,1.385489
Ngawa,1.383800
Qamdo,1.383593
Jiaozuo,1.378407
Huai'an,1.366011
Nanping,1.365901
Chizhou,1.365345
Jiangmen,1.359674
Ningde,1.357292
Wuwei,1.354218
Yan'an,1.351264
Jinzhou,1.351224
Luzhou,1.351224
Nanyang,1.351224
Dongying,1.351224
Yanbian,1.351224
Yibin,1.351224
Yueyang,1.351224
Zhaoqing,1.351224
Quzhou,1.347075
Jiujiang,1.346554
Alxa,1.344008
Shizuishan,1.344008
Wanning,1.343166
Weihai,1.342428
Dingxi,1.342395
Lishui,1.340515
Linxia,1.339696
Bangbu,1.338989
Ulanqab,1.338618
Beihai,1.335444
Zhangzhou,1.334082
Chuzhou,1.328614
Yingtan,1.327537
Qingyuan,1.327245
Kaohsiung,1.326137
Datong,1.320529
Baiyin,1.319834
Jining,1.316667
Putian,1.313084
Anyang,1.307261
Jingdezhen,1.305926
Ma'anshan,1.304981
Jian,1.303836
Qionghai,1.301942
Huludao,1.300852
Dali,1.299529
Shaoguan,1.296541
Deyang,1.296091
Pingdingshan,1.295939
Anqing,1.295458
Qianxinan,1.294066
Liuzhou,1.292725
Xiangxi,1.292084
Xuchang,1.291880
Jinzhong,1.291130
Xianning,1.290205
Meizhou,1.285845
Haidong,1.285845
Jiamusi,1.285845
Benxi,1.285845
Jincheng,1.285845
Jilin,1.285845
Panjin,1.285845
Jieyang,1.285845
Rizhao,1.285845
Sanmenxia,1.285845
Hinggan,1.285845
Dandong,1.285845
Suining,1.285845
Taichung,1.285845
Chifeng,1.285845
Hanzhong,1.285845
Ankang,1.285845
Xiuqian,1.285845
Jingzhou,1.285845
Yulin,1.285845
Yunfu,1.285845
Yushuzhou,1.285845
Keelung,1.285845
Zhoukou,1.285845
Zhumadian,1.285845
Zhuzhou,1.285845
Zigong,1.285845
Zaozhuang,1.284994
Dezhou,1.283818
New Taipei,1.276393
Weifang,1.274635
Xilingol,1.274017
Garze,1.271421
Xinzhou,1.269075
Longyan,1.264276
Liangshanzhou,1.261814
Hengyang,1.261814
Shantou,1.259449
Liupanshui,1.257813
Tongren,1.255291
Handan,1.254905
Huanggang,1.251842
Xinyang,1.250112
Bijie,1.250047
Xiangyang,1.249741
Lu'an,1.249104
Sanming,1.249025
Rizhao,1.247989
Luohe,1.245645
Xiaogan,1.245399
Huangshi,1.243849
Hengshui,1.240826
Yangjiang,1.240068
Tongling,1.239849
Ya'an,1.237276
Qingyang,1.236987
Huangnan,1.235984
Shangluo,1.233082
Xingtai,1.227187
Zhanjiang,1.225299
Heyuan,1.224796
Yichun,1.222112
Nantou,1.220361
Pingdong,1.219026
Shiyan,1.217207
Qiqihar,1.216629
Pingliang,1.214713
Hezhou,1.212529
Puyang,1.211470
Lingshui,1.210839
Nanchong,1.209793
Suihua,1.209100
Xiangtan,1.208109
Baoshan,1.208096
Fushun,1.206677
Fuyang,1.206570
Daqing,1.203909
Meishan,1.203785
Huaibei,1.203437
Anshan,1.203103
Shanwei,1.201265
Changde,1.200192
Huainan,1.200192
Tongchuan,1.198634
Xiuzhou,1.196826
Hualien,1.196826
Xinyu,1.195675
Ezhou,1.193759
Yingkou,1.190513
Longnan,1.190098
Neijiang,1.189003
Tainan,1.187807
Jingmen,1.187599
Liaocheng,1.183924
Huaihua,1.182080
Pingxiang,1.181916
Binzhou,1.176375
Yunlin,1.176323
Yangquan,1.174153
Enshi,1.169191
Ziyang,1.168173
Jiyuan,1.167589
Maoming,1.167308
Chenzhou,1.166797
Chiayi,1.166377
Fuzhou,1.164738
Dazhou,1.164152
