city,distance
Taipei,6.493051
New Taipei,4.837199
Taoyuan,3.461846
Hong Kong,3.176476
Shanghai,3.082968
Hsinchu,2.778220
Yilan,2.762496
Hualien,2.746342
Beijing,2.729729
Taichung,2.551985
Chiayi,2.502375
Miaoli,2.383319
Taidong,2.214879
Kaohsiung,2.157005
Nantou,2.157005
Pingdong,2.157005
Tainan,2.157005
Changhua,1.995074
Guangzhou,1.995074
Suzhou,1.995074
Changsha,1.855759
Chengdou,1.855759
Hangzhou,1.855759
Hengyang,1.855759
Jinan,1.855759
Penghu,1.855759
Qingdao,1.855759
Shenzhen,1.855759
Suizhou,1.855759
Urumqi,1.855759
Xi'an,1.855759
Yantai,1.855759
Yunlin,1.855759
Nanjing,1.674659
Tianjin,1.660922
Jiaxing,1.636284
Macau,1.631896
Shamen,1.617568
Wuxi,1.612105
Changzhou,1.566210
Ningbo,1.565434
Shijiazhuang,1.556778
Hefei,1.554124
Huai'an,1.551425
Kinmen,1.548679
Fuzhou,1.524761
Wuhan,1.521489
Dalian,1.514725
Chongqing,1.511224
Harbin,1.507639
Ningde,1.503964
Zhoushan,1.498739
Nantong,1.486837
Kunming,1.479721
Nanning,1.465851
Dongguan,1.460904
Chaozhou,1.460904
Huzhou,1.456888
Sanya,1.453622
Shaoxing,1.436156
Langfang,1.433080
Shenyang,1.433045
Yangzhou,1.433045
Wenzhou,1.420033
Wuhu,1.420033
Xiuqian,1.420033
Zhuhai,1.417221
Zhengzhou,1.413003
Baoding,1.404681
Jinhua,1.400880
Qinhuangdao,1.400441
Zhenjiang,1.382077
Lanzhou,1.380168
Huangshan,1.370710
Nanchang,1.370382
Quanzhou,1.370382
Taiyuan,1.360198
Kaifeng,1.359724
Changchun,1.359724
Zhaoqing,1.351224
Hezhou,1.348004
Huizhou,1.348004
Tangshan,1.348000
Taizhou,1.344816
Foshan,1.339988
Datong,1.334959
Guilin,1.334959
Dongying,1.334959
Yan'an,1.334959
Zhangjiakou,1.329116
Taizhou,1.323145
Haikou,1.320211
Chengde,1.318642
Zhongshan,1.315870
Xiangyang,1.310575
Yancheng,1.307300
Shantou,1.303182
Sansha,1.301815
Lijiang,1.294956
Hohhot,1.294225
Dezhou,1.288078
Weihai,1.285226
Guiyang,1.282929
Laiwu,1.282929
Baotou,1.282929
Zibo,1.282929
Xuzhou,1.280933
Shangrao,1.277268
Lianyungang,1.267782
Zhangjiajie,1.265033
Cangzhou,1.262480
Jiangmen,1.259673
Chizhou,1.257729
Daqing,1.257729
Mianyang,1.257729
Neijiang,1.257729
Qinzhou,1.257729
Deyang,1.257729
Chuzhou,1.257729
Xining,1.257729
Yichang,1.257729
Zhangzhou,1.257729
Turpan,1.248766
Xuancheng,1.247256
Tai'an,1.245793
Xianyang,1.240420
Changji,1.238892
Leshan,1.236583
Ngawa,1.234499
Zhuzhou,1.231814
Yinchuan,1.230819
Shiyan,1.226803
Chifeng,1.223848
Ordos,1.223848
Panjin,1.223848
Pingdingshan,1.223848
Bortala,1.223848
Shanwei,1.223848
Ulanqab,1.223848
Yichun,1.223848
Dali,1.223848
Alty,1.223730
Huludao,1.221753
Lhasa,1.220443
Nanping,1.218695
Chenzhou,1.218365
Xiaogan,1.217254
Weinan,1.213707
Jinzhong,1.213173
Hulunbuir,1.210077
Luoyang,1.209021
Quzhou,1.203687
Jiujiang,1.203270
Ili(Yili),1.201960
Xiangtan,1.199542
Lishui,1.198446
Jining,1.198410
Bangbu,1.197227
Weifang,1.195674
Beihai,1.194391
Xinzhou,1.193681
Yingtan,1.188063
Xiangxi,1.186685
Handan,1.181137
Jinzhou,1.175567
Jilin,1.174900
Yueyang,1.172930
Jingdezhen,1.170724
Shaoguan,1.170442
Huanggang,1.169969
Jingmen,1.169969
Qiqihar,1.169969
Sanming,1.169969
Anqing,1.169969
Baishan,1.169969
Tongling,1.169969
Wuhai,1.169969
Daxinganling,1.169969
Wuzhou,1.169969
Xiuzhou,1.169969
Ankang,1.169969
Yanbian,1.169969
Yichun,1.169969
Anshun,1.169969
Jieyang,1.169969
Yulin,1.169969
Ma'anshan,1.169965
Bayingolin,1.169861
Jian,1.169044
Liuzhou,1.168715
Hengshui,1.168656
Zhaoqing,1.165338
Xinyang,1.163941
Keramay,1.163189
Diqing,1.159415
Linyi,1.159242
Dandong,1.159007
Qingyuan,1.158951
Yiyang,1.157780
Xingtai,1.156550
Kashgar,1.155941
Xilingol,1.154302
Zaozhuang,1.153874
Changde,1.151283
Jiaozuo,1.145915
Xinxiang,1.145599
Rizhao,1.145104
Anyang,1.144644
Fushun,1.138315
Jiuquan,1.136654
Anshan,1.135134
Lu'an,1.124853
Yingkou,1.123920
Garze,1.122755
Yongzhou,1.121068
Heyuan,1.120768
Loudi,1.116716
Ya'an,1.116539
Yangjiang,1.116385
Ganzhou,1.115568
Kumul(Hami),1.112716
Huangshi,1.111736
Binzhou,1.111311
Yangquan,1.109328
Longyan,1.109018
Liaocheng,1.106774
Hanzhong,1.106150
Aksu,1.104771
Mudanjiang,1.103590
Zhanjiang,1.100036
Yuncheng,1.095349
Wanning,1.094317
Nanchong,1.094109
Pu'er,1.093327
Suihua,1.092307
Haixi,1.091899
Baoshan,1.091488
Fuyang,1.090242
Xishuangbanna,1.090242
Qiandongnan,1.089610
Meishan,1.089193
Huaibei,1.087683
Changzhi,1.087296
Chaoyang,1.086617
Huainan,1.085032
Tongliao,1.083837
Shuozhou,1.081679
Xinyu,1.081339
Benxi,1.080204
Putian,1.078930
Heze,1.078698
Jiamusi,1.077159
Qionghai,1.076943
Tacheng,1.076332
Huaihua,1.075662
Zigong,1.074232
Liangshanzhou,1.072951
Yulin,1.072901
Meizhou,1.072333
Puyang,1.072333
Hotan,1.070482
Xianning,1.070197
Nanyang,1.070197
Jingzhou,1.070197
Pingxiang,1.070073
Shangluo,1.068373
Siping,1.068044
Bayannur,1.067154
Lvliang,1.066252
Shaoyang,1.066094
Suining,1.066075
Tieling,1.064412
Hinggan,1.064412
Zhongwei,1.063474
Linfen,1.062523
Shangqiu,1.060576
Ziyang,1.059956
Sanmenxia,1.059667
Luohe,1.058582
Xuchang,1.058582
Maoming,1.057651
Fuzhou,1.055973
Yibin,1.055471
Tianshui,1.052331
Fuxin,1.049948
Zunyi,1.047606
Gannan,1.046404
Bozhou,1.044917
Weicu,1.044111
Nyingchi,1.042470
Tongchuan,1.042416
Guangyuan,1.041165
Jiayuguan,1.040787
Dehong,1.038697
Luzhou,1.037399
Liaoyang,1.037320
Hebi,1.034478
Tonghua,1.034478
Chongzuo,1.033107
Guang'an,1.028768
Dazhou,1.022381
Jincheng,1.021675
Fangchenggang,1.017170
Danzhou,1.017170
Alxa,1.014164
Nagqu,1.012390
Yunfu,1.009308
Zhumadian,1.007876
Qiannan,1.003885
Ezhou,1.002346
Honghe,1.000875
Songyuan,1.000875
Enshi,1.000875
Shannan,1.000768
Baise,1.000765
Panzhihua,0.998974
Jixi,0.998352
Zhangye,0.997482
Haibei,0.997482
Baicheng,0.995719
Yuxi,0.995169
Wenchang,0.994895
Wuwei,0.994895
Zhoukou,0.992966
Shizuishan,0.987048
Heihe,0.983852
Qujing,0.980472
Wuzhong,0.980472
Qingyang,0.980255
Qianxinan,0.973060
Guigang,0.972602
Bazhong,0.971700
Lingshui,0.970098
Jiyuan,0.968963
Bijie,0.968963
Baiyin,0.968963
Shuangyashan,0.964549
Qamdo,0.964549
Liaoyuan,0.964549
Hechi,0.961397
Pingliang,0.961193
Linxia,0.958994
Chengmai,0.958994
Ledong,0.958994
Baoting,0.958170
Jinchang,0.954519
Huangnan,0.948729
Hegang,0.948729
Lincang,0.947176
Laibin,0.947059
Tongren,0.945820
Haidong,0.942957
Dingxi,0.942048
Qitaihe,0.934877
Kezilsu,0.932533
Longnan,0.926306
Guyuan,0.922911
Zhaotong,0.916027
Wenshan,0.914579
Golog,0.914579
Liupanshui,0.906375
Yushuzhou,0.903107
Dongfang,0.903107
Ngari,0.896531
Dingan,0.885505
Nujiang,0.885505
Wuzhishan,0.878820
Changjiang,0.839865
Qiongzhong,0.784740
