city,distance
Urumqi,5.649178
Alty,4.629348
Ili(Yili),4.166687
Beijing,3.853790
Shanghai,3.718976
Tianjin,3.145594
Tacheng,2.987372
Changji,2.941900
Turpan,2.783351
Bortala,2.648690
Chengdou,2.566347
Zhongshan,2.467453
Jiuquan,2.340344
Kashgar,2.340344
Qingdao,2.340344
Shamen,2.340344
Taiyuan,2.340344
Wuhan,2.340344
Xi'an,2.340344
Zhengzhou,2.340344
Changzhi,2.150924
Dongying,2.150924
Hangzhou,2.150924
Hulunbuir,2.150924
Jinan,2.150924
Lanzhou,2.150924
Nanjing,2.150924
Wuhu,2.150924
Bayingolin,2.150924
Zhoushan,2.150924
Suzhou,2.029338
Ganzhou,1.918227
Yinchuan,1.868395
Kumul(Hami),1.862698
Shijiazhuang,1.844729
Aksu,1.840540
Guangzhou,1.825242
Chongqing,1.803909
Jiaxing,1.799632
Wuxi,1.770427
Hong Kong,1.766632
Hotan,1.747297
Changzhou,1.715230
Ningbo,1.714299
Langfang,1.692203
Changsha,1.673318
Baoding,1.652746
Sanya,1.647885
Qinhuangdao,1.646879
Shenzhen,1.636617
Hohhot,1.630703
Shenyang,1.626375
Nantong,1.620490
Zhuhai,1.620374
Haixi,1.618238
Kunming,1.618238
Xining,1.618238
Dalian,1.592134
Huzhou,1.584980
Jiayuguan,1.581847
Tangshan,1.574834
Harbin,1.569890
Shaoxing,1.560472
Zhangjiakou,1.549120
Yangzhou,1.540369
Chengde,1.534910
Taipei,1.534162
Changchun,1.527931
Haikou,1.525356
Luoyang,1.525356
Jinhua,1.518913
Leshan,1.516355
Guiyang,1.513411
Ngawa,1.513223
Jinzhong,1.509038
Zhenjiang,1.496833
Kezilsu,1.495667
Lhasa,1.486165
Hefei,1.485197
Huangshan,1.483510
Wenzhou,1.477236
Guilin,1.470325
Gannan,1.470325
Nanchang,1.468213
Yantai,1.467669
Cangzhou,1.459344
Taizhou,1.453225
Jinchang,1.452454
Nanning,1.452454
Taizhou,1.452454
Macau,1.449309
Tai'an,1.446068
Fuzhou,1.443498
Xianyang,1.439671
Foshan,1.436784
Baoji,1.431870
Shangqiu,1.431870
Baotou,1.431870
Xishuangbanna,1.431870
Dongguan,1.431870
Zhangye,1.431870
Kaifeng,1.430283
Datong,1.428185
Jiangmen,1.427479
Lijiang,1.425972
Anyang,1.420932
Zhangzhou,1.420932
Zigong,1.420932
Taoyuan,1.418942
Yancheng,1.409515
Deyang,1.408958
Mudanjiang,1.407457
Wuzhong,1.407457
Zhongwei,1.407457
Huludao,1.405197
Weinan,1.403810
Xinzhou,1.403005
Liangshanzhou,1.401708
Hengyang,1.401708
Xuzhou,1.390954
Mianyang,1.387238
Dezhou,1.385342
Weifang,1.379743
Quanzhou,1.377948
Weihai,1.377289
Linyi,1.377185
Ordos,1.377185
Haibei,1.377185
Yichang,1.377185
Shangrao,1.374666
Jining,1.374406
Jincheng,1.373068
Tianshui,1.371442
Xiangtan,1.371442
Yanbian,1.371442
Hinggan,1.364330
Lianyungang,1.363684
Chifeng,1.361381
Zhangjiajie,1.360504
Xinxiang,1.360334
Jiaozuo,1.353315
Handan,1.351735
Zibo,1.350093
Garze,1.348687
Jinzhou,1.344445
Jilin,1.343573
Xuancheng,1.339964
Ya'an,1.339727
Luzhou,1.336666
Nanyang,1.336666
Yibin,1.336666
Yueyang,1.336666
Yuncheng,1.336666
Zhaoqing,1.336666
Hengshui,1.335414
Xianning,1.331748
Jiujiang,1.331265
Yan'an,1.327142
Dandong,1.322830
Xingtai,1.319629
Xilingol,1.316704
Binzhou,1.316459
Zaozhuang,1.315587
Nanchong,1.307563
