city,distance
Shamen,6.188073
Taipei,4.383966
Shanghai,4.245956
Fuzhou,3.257943
Taichung,3.084231
Kaohsiung,3.016783
New Taipei,3.016783
Beijing,2.763510
Hualien,2.649175
Penghu,2.649175
Guangzhou,2.503208
Hsinchu,2.503208
Nantou,2.503208
Tainan,2.503208
Taoyuan,2.503208
Zhangzhou,2.503208
Changhua,2.287721
Changzhou,2.287721
Hong Kong,2.287721
Nanping,2.287721
Ningbo,2.287721
Pingdong,2.287721
Qingyuan,2.287721
Shenzhen,2.287721
Taidong,2.287721
Tianjin,2.287721
Wuhan,2.287721
Suzhou,2.176759
Quanzhou,2.173770
Hangzhou,2.087353
Longyan,1.995599
Nanjing,1.921029
Jiaxing,1.914622
Wuxi,1.881601
Keelung,1.838355
Yilan,1.764013
Chengdou,1.748035
Zhoushan,1.728958
Nantong,1.713138
Putian,1.706518
Wenzhou,1.692290
Ningde,1.688511
Chongqing,1.681082
Changsha,1.681082
Sanming,1.677753
Xi'an,1.675217
Huzhou,1.673500
Sanya,1.669193
Chiayi,1.662284
Qingdao,1.659901
Shaoxing,1.646203
Zhengzhou,1.628969
Nanchang,1.626756
Yangzhou,1.623846
Hefei,1.621097
Shantou,1.612849
Jinhua,1.600019
Kunming,1.590978
Taizhou,1.578124
Zhenjiang,1.575537
Miaoli,1.574306
Yunlin,1.568072
Dalian,1.567954
Jinan,1.565780
Huangshan,1.560783
Shenyang,1.557554
Foshan,1.551522
Zhuhai,1.545268
Shijiazhuang,1.541573
Guilin,1.539692
Nanning,1.537788
Taizhou,1.527296
Macau,1.522971
Harbin,1.513930
Dongguan,1.512862
Haikou,1.503538
Ganzhou,1.501112
Chaozhou,1.493581
Guiyang,1.490981
Yancheng,1.479091
Tangshan,1.468275
Changchun,1.465331
Lijiang,1.463309
Xuzhou,1.445428
Langfang,1.442336
Shangrao,1.440764
Yantai,1.440640
Urumqi,1.437519
Huizhou,1.437310
Taiyuan,1.430781
Lanzhou,1.430382
Lianyungang,1.428705
Zhangjiajie,1.425215
Baoding,1.413573
Wuhu,1.410466
Qinhuangdao,1.409279
Xuancheng,1.402691
Shaoguan,1.399509
Jieyang,1.396813
Huai'an,1.391475
Wuzhou,1.391401
Hohhot,1.369087
Lhasa,1.368869
Zhongshan,1.368433
Chizhou,1.366115
Jiujiang,1.362286
