city,distance
Urumqi,5.483121
Turpan,4.612956
Jiuquan,4.141354
Beijing,3.795379
Taiyuan,3.321078
Shanghai,3.140754
Lanzhou,3.070839
Changji,2.993902
Jiayuguan,2.993902
Xi'an,2.993902
Changsha,2.690769
Wuwei,2.690769
Zhengzhou,2.690769
Chengdou,2.540312
Chifeng,2.540312
Hangzhou,2.540312
Lhasa,2.540312
Suzhou,2.540312
Bayingolin,2.318673
Baoji,2.318673
Hezhou,2.318673
Jinchang,2.318673
Qingdao,2.318673
Shenzhen,2.318673
Shijiazhuang,2.318673
Aksu,2.318673
Xuzhou,2.318673
Yinchuan,2.318673
Yiyang,2.318673
Zhangye,2.318673
Zhongwei,2.318673
Zibo,2.318673
Alty,2.170665
Ili(Yili),2.103097
Keramay,1.987201
Tianjin,1.970024
Kashgar,1.966140
Jinzhong,1.863957
Guangzhou,1.807555
Xining,1.796329
Haixi,1.793390
Chongqing,1.786631
Tacheng,1.746431
Hotan,1.731082
Wuhan,1.727866
Bortala,1.714457
Xinzhou,1.704811
Hong Kong,1.691813
Nanjing,1.684503
Langfang,1.680844
Wuxi,1.677402
Xianyang,1.662987
Jiaxing,1.652420
Baoding,1.641909
Jinan,1.640395
Qinhuangdao,1.636119
Sanya,1.633455
Datong,1.624530
Shamen,1.622383
Chengde,1.620301
Hohhot,1.616571
Shenyang,1.615880
Weinan,1.615322
Nyingchi,1.614162
Kunming,1.604320
Alxa,1.599607
Luoyang,1.594120
Dalian,1.582075
Changzhou,1.580988
Ningbo,1.580197
Wuzhou,1.570542
Tangshan,1.564992
Harbin,1.560109
Tianshui,1.556723
Kaifeng,1.553963
Nagqu,1.550435
Xilingol,1.541244
Lvliang,1.539631
Zhangjiakou,1.539596
Shannan,1.536083
Yangquan,1.525310
Gannan,1.520357
Changchun,1.518664
Linfen,1.517144
Guilin,1.514664
Yan'an,1.514639
Haikou,1.512984
Zhoushan,1.512265
Taipei,1.507265
Leshan,1.507228
Ngawa,1.504134
Zhuzhou,1.503525
Guiyang,1.501231
Xiangtan,1.500534
Nantong,1.500148
Haibei,1.485172
Weifang,1.484277
Xiangxi,1.480469
Hefei,1.476440
Dingxi,1.473284
Xinxiang,1.471742
Linxia,1.470033
Huzhou,1.469666
Nanning,1.466166
Jiaozuo,1.463530
Nanchang,1.459655
Yueyang,1.459123
Yantai,1.459117
Cangzhou,1.450888
Changzhi,1.449444
Shaoxing,1.448571
Hengyang,1.446625
Baiyin,1.446153
Yuncheng,1.444865
Taizhou,1.441232
Wenzhou,1.441232
Fuzhou,1.435225
Shuozhou,1.433531
Changde,1.431818
Zhangjiajie,1.431612
Yangzhou,1.431232
Hanzhong,1.430235
Shizuishan,1.429465
Tai'an,1.428892
Dongguan,1.420962
Shangqiu,1.420962
Baotou,1.420962
Xishuangbanna,1.420962
Zhuhai,1.420962
Lijiang,1.417898
Jinhua,1.412691
Taoyuan,1.410947
Nanyang,1.406827
Ankang,1.405667
Deyang,1.401075
Huludao,1.397356
Kezilsu,1.396917
Mudanjiang,1.396917
Wuzhong,1.396917
Zhenjiang,1.393571
Jincheng,1.392041
Anyang,1.383580
Hulunbuir,1.382102
Huangshan,1.382016
Tongliao,1.381055
Qamdo,1.380104
Mianyang,1.379596
Dezhou,1.377720
Yulin,1.375134
Loudi,1.373135
Pingdingshan,1.370904
Weihai,1.369755
Shangluo,1.367706
Foshan,1.367092
Ordos,1.367092
Yichang,1.367092
Zhongshan,1.367092
Jining,1.366904
Xuchang,1.366363
Taizhou,1.355696
Bangbu,1.355400
Macau,1.354020
Sanmenxia,1.353471
Nanping,1.348925
Binzhou,1.346151
Handan,1.344478
Garze,1.341462
Bayannur,1.339722
Jinzhou,1.337265
Jilin,1.336403
Xingtai,1.333115
Ya'an,1.332597
Zaozhuang,1.328469
Hengshui,1.328330
Luzhou,1.327156
Dongying,1.327156
Diqing,1.327156
Ganzhou,1.327156
Yanbian,1.327156
Yibin,1.327156
Zhaoqing,1.327156
Tongchuan,1.325454
Jiujiang,1.324225
Pingliang,1.320903
Ngari,1.320024
Xinyang,1.319726
Yancheng,1.317579
Lianyungang,1.317089
Dandong,1.315878
Luohe,1.314749
Chenzhou,1.312927
Huaihua,1.311582
Xiuzhou,1.306929
Huizhou,1.303445
Qiannan,1.301902
Nanchong,1.300771
Qiqihar,1.300637
Liuzhou,1.299676
Meishan,1.293829
Dali,1.292336
Longnan,1.291847
Fushun,1.289270
Shangrao,1.287079
Quanzhou,1.286568
Daqing,1.286111
Anshan,1.285191
Zhumadian,1.284744
Shaoyang,1.283948
Pu'er,1.283763
Chuzhou,1.283763
Qingyang,1.283763
Guang'an,1.283763
Heze,1.283763
Huangnan,1.283763
Guyuan,1.283763
Rizhao,1.282208
Panjin,1.281904
Zhoukou,1.280817
Xiuqian,1.278352
Neijiang,1.276768
Puyang,1.276735
Huai'an,1.276015
Rizhao,1.274797
Liangshanzhou,1.270973
Yingkou,1.270835
Ulanqab,1.269766
Meizhou,1.264031
Jian,1.264031
Beihai,1.264031
Benxi,1.264031
Suining,1.264031
Jingzhou,1.264031
Taichung,1.264031
Jiamusi,1.264031
Wuhu,1.264031
Jieyang,1.264031
Keelung,1.264031
Kaohsiung,1.264031
Hinggan,1.264031
Jingdezhen,1.264031
Yunfu,1.264031
Yushuzhou,1.264031
Haidong,1.264031
Zigong,1.264031
Xiangyang,1.259606
Yongzhou,1.257139
Xuancheng,1.256610
Pingxiang,1.253516
Ziyang,1.252780
Yulin,1.250309
Xianning,1.249896
Liaocheng,1.248956
Guangyuan,1.241102
Dazhou,1.241102
Yichun,1.236757
Huaibei,1.236106
Chaoyang,1.235729
Shaoguan,1.232439
Shiyan,1.230116
New Taipei,1.230020
Jiyuan,1.228094
Chizhou,1.227175
Wuhai,1.226202
Laiwu,1.213734
Hebi,1.213345
Quzhou,1.212396
Liupanshui,1.208904
Lishui,1.207080
Anqing,1.199857
Siping,1.199857
Yingtan,1.196546
Jingmen,1.195301
Tieling,1.195276
Baishan,1.194093
Baoshan,1.190447
Zhangzhou,1.189197
Fuyang,1.181301
Qiandongnan,1.181301
Zhanjiang,1.181301
Qingyuan,1.180180
Ma'anshan,1.178191
Fuxin,1.177067
Pingdong,1.174124
Zunyi,1.174124
Huanggang,1.171077
Panzhihua,1.168476
Dehong,1.162944
Ningde,1.161875
Bozhou,1.161219
Liaoyang,1.161219
Shantou,1.160158
Qionghai,1.159458
Nantou,1.159458
Jiangmen,1.158882
Hualien,1.157659
Tonghua,1.157659
Anshun,1.155820
Xiaogan,1.153939
Daxinganling,1.153939
Xinyu,1.153011
Heyuan,1.147399
Wanning,1.145954
Guigang,1.142779
Longyan,1.141649
Suihua,1.141649
Chiayi,1.139407
Huainan,1.139407
Tainan,1.137100
Lu'an,1.132455
Huangshi,1.132278
Bazhong,1.131332
Taidong,1.129753
Shanwei,1.126724
Tongling,1.124842
Putian,1.124526
Weicu,1.124445
Sanming,1.124445
Qujing,1.116214
Enshi,1.116214
Honghe,1.115739
Songyuan,1.115739
Nujiang,1.113028
Jixi,1.112604
Baicheng,1.109335
Yichun,1.102340
Hsinchu,1.102340
Qinzhou,1.098583
Chaozhou,1.094625
Yilan,1.094625
Heihe,1.094625
Sansha,1.081462
Wenchang,1.081283
Chongzuo,1.081283
Qianxinan,1.081283
Baise,1.081056
Yangjiang,1.080897
Bijie,1.076227
Yunlin,1.072305
Shuangyashan,1.070783
Liaoyuan,1.070783
Zhaotong,1.070744
Fangchenggang,1.069862
Hechi,1.069862
Yuxi,1.064883
Fuzhou,1.062670
Ezhou,1.051322
Hegang,1.051322
Miaoli,1.043370
Maoming,1.043370
Changhua,1.043370
Suizhou,1.034339
Qitaihe,1.034339
Tongren,1.034339
Penghu,1.033961
Baoting,1.023857
Kinmen,1.017188
Lingshui,1.013575
Lincang,0.995590
Golog,0.995590
Dongfang,0.995590
Wenshan,0.995590
Chengmai,0.995590
Danzhou,0.982912
Laibin,0.976157
Dingan,0.974240
Wuzhishan,0.941484
Ledong,0.932696
Changjiang,0.897140
Qiongzhong,0.849042
