city,distance
Shanghai,5.064610
Lijiang,4.216028
Dali,3.916978
Beijing,3.895267
Weicu,3.399478
Chengdou,3.118185
Xishuangbanna,3.078586
Baoshan,3.041236
Yuxi,3.039044
Guangzhou,2.949266
Diqing,2.918779
Chongqing,2.912252
Honghe,2.864678
Qujing,2.863266
Hangzhou,2.729821
Guiyang,2.684052
Shenzhen,2.658672
Wuhan,2.650617
Changsha,2.588222
Nanjing,2.571951
Tianjin,2.564813
Xi'an,2.559996
Dehong,2.489775
Pu'er,2.472633
Shamen,2.429896
Suzhou,2.373442
Wenzhou,2.371604
Qingdao,2.364180
Hong Kong,2.360416
Nanning,2.356618
Wenshan,2.337069
Changde,2.303631
Hefei,2.285759
Zhengzhou,2.276497
Lhasa,2.220910
Meizhou,2.220910
Zhaotong,2.220910
Jinan,2.198340
Panzhihua,2.186477
Haikou,2.180387
Guilin,2.174186
Ningbo,2.167867
Sanya,2.167867
Wuxi,2.161427
Lincang,2.148158
Fuzhou,2.134327
Liangshanzhou,2.134327
Huaihua,2.119874
Changzhou,2.119874
Liupanshui,2.112394
Taipei,2.072024
Jiaxing,2.065149
Harbin,2.063265
Nanchang,2.044932
Lanzhou,2.035315
Qianxinan,2.035315
Taiyuan,2.035315
Dalian,2.025368
Urumqi,2.025368
Baise,2.015061
Yibin,2.015061
Shenyang,2.004363
Nujiang,1.993238
Anshun,1.993238
Zhuhai,1.993238
Jinhua,1.969534
Shijiazhuang,1.943525
Leshan,1.914618
Liuzhou,1.881941
Macau,1.881941
Qiandongnan,1.881941
Hohhot,1.863793
Foshan,1.863793
Xining,1.863793
Zunyi,1.863793
Zhoushan,1.850777
Quanzhou,1.844134
Shaoxing,1.844134
Nantong,1.832661
Huzhou,1.822642
Beihai,1.822642
Xuzhou,1.822642
Yangzhou,1.822642
Yantai,1.822642
Yichang,1.822642
Dongguan,1.822642
Jining,1.798875
Loudi,1.798875
Luoyang,1.798875
Zhongshan,1.798875
Huangshan,1.772197
Changchun,1.772197
Ordos,1.772197
Anyang,1.772197
Hengyang,1.741647
Huizhou,1.741647
Jingdezhen,1.741647
Qinhuangdao,1.741647
Baoding,1.741647
Shantou,1.741647
Taizhou,1.741647
Taoyuan,1.741647
Yinchuan,1.741647
Yulin,1.741647
Zhuzhou,1.741647
Linyi,1.705661
Luzhou,1.705661
Nanchong,1.705661
Neijiang,1.705661
Hanzhong,1.705661
Xiangyang,1.705661
Xianyang,1.705661
Yancheng,1.705661
Yingtan,1.705661
Yulin,1.705661
Zhanjiang,1.705661
Zhenjiang,1.705661
Langfang,1.700152
Ngawa,1.689527
Hulunbuir,1.661405
Kaohsiung,1.661405
Chifeng,1.661405
Longyan,1.661405
Chengde,1.661405
Nyingchi,1.661405
Qiannan,1.661405
Ganzhou,1.661405
Taichung,1.661405
Tongren,1.661405
Deyang,1.661405
Weifang,1.661405
Weihai,1.661405
Xiangxi,1.661405
Ya'an,1.661405
Chongzuo,1.661405
Yichun,1.661405
Zigong,1.661405
Jingzhou,1.602791
Dongying,1.602791
Jiujiang,1.602791
Liaocheng,1.602791
Liaoyang,1.602791
Fangchenggang,1.602791
Fuyang,1.602791
Maoming,1.602791
Meishan,1.602791
Mianyang,1.602791
Mudanjiang,1.602791
Pingdingshan,1.602791
Jian,1.602791
Qingyuan,1.602791
Qionghai,1.602791
Jiangmen,1.602791
Quzhou,1.602791
Shangrao,1.602791
Garze,1.602791
Jiaozuo,1.602791
Tangshan,1.602791
Heyuan,1.602791
Jieyang,1.602791
Jilin,1.602791
Wuzhou,1.602791
Xiangtan,1.602791
Huai'an,1.602791
Xiuqian,1.602791
Xuancheng,1.602791
Yan'an,1.602791
Yilan,1.602791
Yueyang,1.602791
Zhangjiajie,1.602791
Taizhou,1.590177
Zhangjiakou,1.555779
Lishui,1.511624
Lu'an,1.511624
Ma'anshan,1.511624
Kaifeng,1.511624
Daqing,1.511624
Bangbu,1.511624
