city,distance
Liuzhou,5.814121
Nanning,5.766224
Guilin,3.465891
Shanghai,3.007077
Fangchenggang,2.701406
Guangzhou,2.701406
Wuhan,2.701406
Yulin,2.701406
Beijing,2.452144
Chongzuo,2.452144
Guigang,2.452144
Hengyang,2.452144
Kunming,2.452144
Suzhou,2.452144
Tianjin,2.452144
Xining,2.452144
Yongzhou,2.452144
Zhengzhou,2.452144
Beihai,2.210176
Qinzhou,2.071925
Baise,2.038892
Hechi,1.986184
Shenzhen,1.976305
Changsha,1.891285
Hezhou,1.890855
Wuzhou,1.877558
Chongqing,1.843712
Chengdou,1.834869
Hangzhou,1.832514
Shamen,1.807499
Guiyang,1.782273
Nanjing,1.757041
Haikou,1.750226
Hong Kong,1.728299
Xi'an,1.728299
Qiandongnan,1.699578
Xiangxi,1.699578
Fuzhou,1.685300
Huaihua,1.681307
Shenyang,1.681307
Zunyi,1.681307
Nanchang,1.680419
Zhuhai,1.680419
Sanya,1.661062
Taipei,1.642081
Zhongshan,1.638290
Haixi,1.635874
Jinhua,1.635874
Foshan,1.625438
Jiaxing,1.614656
Jiangmen,1.612148
Shangrao,1.602791
Wuxi,1.591108
Zhanjiang,1.584799
Lishui,1.581267
Qiannan,1.581267
Taoyuan,1.581267
Zhangjiajie,1.581267
Zhuzhou,1.581267
Lanzhou,1.577136
Huizhou,1.576048
Dongguan,1.556985
Lijiang,1.550396
Taiyuan,1.546522
Changzhou,1.546384
Ningbo,1.545627
Harbin,1.523206
Zhaoqing,1.523206
Hefei,1.510050
Qingdao,1.510050
Dali,1.508056
Luoyang,1.507225
Macau,1.495610
Quanzhou,1.495610
Shijiazhuang,1.492464
Anshun,1.492464
Yingtan,1.492464
Zhoushan,1.480574
Haibei,1.471539
Kaifeng,1.471278
Nantong,1.468957
Nanping,1.461473
Urumqi,1.461473
Chenzhou,1.449873
Yichang,1.447264
Lhasa,1.446969
Xianning,1.441373
Honghe,1.440634
Maoming,1.440634
Huzhou,1.439718
Weicu,1.424564
Shaoxing,1.419468
Jinan,1.415924
Jingdezhen,1.415924
Changchun,1.415924
Shizuishan,1.415924
Zhenjiang,1.415924
Bijie,1.413105
Huai'an,1.413105
Huangshi,1.413105
Dalian,1.413105
Kaohsiung,1.413105
Bangbu,1.413105
Dezhou,1.413105
Leshan,1.413105
Liaocheng,1.413105
Loudi,1.413105
Luohe,1.413105
Pu'er,1.413105
Qianxinan,1.413105
Qinhuangdao,1.413105
Qujing,1.413105
Shangrao,1.413105
Dongfang,1.413105
Tangshan,1.413105
Wanning,1.413105
Wenzhou,1.413105
Xiangtan,1.413105
Xianyang,1.413105
Xinyang,1.413105
Xinyu,1.413105
Yancheng,1.413105
Deyang,1.413105
Yangzhou,1.402815
Jingzhou,1.400786
Xinxiang,1.397366
Huanggang,1.393660
Xiangyang,1.391057
Jiaozuo,1.389960
Xiaogan,1.385679
Jieyang,1.385292
Hohhot,1.385292
Mianyang,1.385292
Ningde,1.385292
Pingxiang,1.385292
Taizhou,1.385292
Yantai,1.385292
Yichun,1.385292
Ganzhou,1.385292
Shaoguan,1.382512
Qingyuan,1.366507
Xishuangbanna,1.364944
Baoshan,1.357552
Yuxi,1.357115
Huangshan,1.355501
Langfang,1.352691
Shiyan,1.350867
Meishan,1.344301
Nanchong,1.344301
Shantou,1.344301
Enshi,1.344301
Ulanqab,1.344301
Xuzhou,1.344301
Yangjiang,1.344301
Yilan,1.344301
Shaoyang,1.342945
Diqing,1.332595
Baoding,1.327360
Ezhou,1.322048
Nagqu,1.319989
Anyang,1.317648
Jingmen,1.314497
Yueyang,1.313712
Jiujiang,1.309703
Jiuquan,1.309633
Taizhou,1.308967
Haidong,1.308070
Huangnan,1.306484
Pingdingshan,1.306146
Xuchang,1.302024
Yibin,1.298685
Zhangye,1.298183
Yinchuan,1.296443
Shangqiu,1.293725
Guangyuan,1.279574
Neijiang,1.279574
New Taipei,1.279574
Ordos,1.279574
Putian,1.279574
Chuzhou,1.279574
Jinzhong,1.279574
Quzhou,1.279574
Laiwu,1.279574
Fuzhou,1.279574
Suining,1.279574
Suizhou,1.279574
Tai'an,1.279574
Taichung,1.279574
Baoji,1.279574
Tongren,1.279574
Handan,1.279574
Weinan,1.279574
Wuhu,1.279574
Binzhou,1.279574
Hengshui,1.279574
Xingtai,1.279574
Jian,1.279574
Huludao,1.279574
Ya'an,1.279574
Yan'an,1.279574
Hulunbuir,1.279574
Yiyang,1.279574
Lianyungang,1.279574
Dandong,1.279574
Zhangjiakou,1.279574
Zhangzhou,1.279574
Anqing,1.279574
Zhoukou,1.279574
Garze,1.279574
Zibo,1.279574
Cangzhou,1.276133
Sanmenxia,1.260239
Nanyang,1.252384
Chengde,1.250272
Tianshui,1.248125
Dehong,1.235408
Xuancheng,1.234650
Lu'an,1.231203
Gannan,1.229536
Weihai,1.229263
Yunfu,1.229263
Heyuan,1.228662
Zhumadian,1.227701
Ngawa,1.225220
Puyang,1.220385
Jiayuguan,1.218674
Changde,1.218635
Shanwei,1.208194
Danzhou,1.206502
Yushuzhou,1.206371
Chizhou,1.206224
Qionghai,1.204874
Wenshan,1.196612
Jinzhou,1.194772
Meizhou,1.189717
Heze,1.187788
Datong,1.178535
Jiyuan,1.175868
Chaozhou,1.173665
Jining,1.168072
Zhaotong,1.165403
Guang'an,1.164157
Fuyang,1.164157
Tainan,1.164157
Tongliao,1.164157
Xinzhou,1.164157
Dongying,1.164157
Hsinchu,1.164157
Zigong,1.164157
Hebi,1.162340
Ma'anshan,1.158866
Baotou,1.158032
Panzhihua,1.155851
Nyingchi,1.153986
Linyi,1.148345
Zhongwei,1.145534
Lincang,1.145054
Zaozhuang,1.143077
Liangshanzhou,1.141112
Weifang,1.138030
Jincheng,1.136756
Dingxi,1.136100
Liupanshui,1.134812
Rizhao,1.134469
Chifeng,1.132670
Ankang,1.126053
Golog,1.125400
Yanbian,1.123899
Jilin,1.120316
Longyan,1.120132
Wenchang,1.119735
Fushun,1.119721
Changzhi,1.116928
Huainan,1.115300
Changhua,1.115300
Xilingol,1.115300
Anshan,1.115300
Ili(Yili),1.115300
Bayannur,1.115300
Tongling,1.107214
Xiuqian,1.106926
Nujiang,1.099502
Xiuzhou,1.098810
Baiyin,1.098196
Ngari,1.098196
Qiqihar,1.095072
Yuncheng,1.094596
Dazhou,1.092887
Nantou,1.091646
Pingdong,1.090578
Daqing,1.084756
Luzhou,1.083600
Panjin,1.083026
Suihua,1.082627
Keelung,1.081263
Liaoyang,1.080644
