city,distance
Jinan,4.859891
Tai'an,4.440418
Linyi,4.026440
Qingdao,3.909723
Shanghai,3.760307
Beijing,3.666624
Dezhou,3.510691
Zibo,3.392799
Weifang,2.957790
Tianjin,2.843063
Binzhou,2.776993
Hangzhou,2.702707
Jining,2.702707
Rizhao,2.617026
Taipei,2.617026
Xuzhou,2.617026
Yantai,2.617026
Cangzhou,2.514266
Weihai,2.514266
Wuxi,2.514266
Yangzhou,2.514266
Nanjing,2.382417
Zaozhuang,2.382417
Changzhou,2.186411
Chengdou,2.186411
Dalian,2.186411
Guangzhou,2.186411
Guiyang,2.186411
Heze,2.186411
Hong Kong,2.186411
Huai'an,2.186411
Jiaxing,2.186411
Kunming,2.186411
Liaocheng,2.186411
Maoming,2.186411
Nanning,2.186411
Panjin,2.186411
Qinhuangdao,2.186411
Shaoxing,2.186411
Taiyuan,2.186411
Taizhou,2.186411
Xi'an,2.186411
Zhenjiang,2.186411
Zhoushan,2.186411
Suzhou,2.041582
New Taipei,1.771169
Shamen,1.755339
Ningbo,1.723029
Dongying,1.687667
Lianyungang,1.671470
Langfang,1.655105
Shenzhen,1.646758
Wuhan,1.634263
Taoyuan,1.632801
Zhengzhou,1.631655
Nantong,1.628288
Chongqing,1.624959
Shijiazhuang,1.622207
Baoding,1.617340
Shenyang,1.603159
Huzhou,1.592439
Sanya,1.588538
Changchun,1.561022
Changsha,1.550670
Fuzhou,1.548515
Harbin,1.546330
Bangbu,1.544114
Tangshan,1.542655
Hengshui,1.540718
Jinhua,1.525763
Hefei,1.522593
Chuzhou,1.522192
Zhangjiakou,1.517973
Hohhot,1.509167
Yancheng,1.509116
Xiuzhou,1.506609
Chengde,1.504325
Linfen,1.497423
Huangshan,1.490043
Wenzhou,1.483713
Macau,1.455543
Zhanjiang,1.455402
Taichung,1.453264
Guilin,1.444334
Jinzhong,1.443508
Nanchang,1.440205
Lijiang,1.439759
Urumqi,1.434867
Taizhou,1.434004
Meizhou,1.432937
Keelung,1.432719
Foshan,1.423666
Lanzhou,1.422423
Hsinchu,1.415245
Anshun,1.412219
Kaohsiung,1.412016
Daqing,1.409962
Dali,1.403175
Datong,1.401669
Handan,1.401572
Kaifeng,1.400084
Jinzhou,1.398593
Lu'an,1.393619
Xiuqian,1.393619
Shangqiu,1.391237
Yinchuan,1.391090
Quanzhou,1.390895
