city,distance
Beijing,7.045193
Tianjin,3.950130
Shanghai,3.006743
Tangshan,2.933407
Shijiazhuang,2.923673
Qinhuangdao,2.794011
Baoding,2.781897
Jinan,2.703476
Cangzhou,2.698788
Dezhou,2.345043
Hengshui,2.314005
Nanjing,2.243188
Qingdao,2.186913
Chengdou,2.154893
Guangzhou,2.150922
Hangzhou,2.137640
Shenyang,2.137640
Wuhan,2.137640
Hong Kong,2.129724
Chengde,2.119413
Dalian,2.100073
Huludao,2.079445
Zibo,2.079445
Shenzhen,2.057310
Zhangjiakou,2.057310
Xi'an,2.052391
Jining,2.033383
Lanzhou,2.033383
Suzhou,2.033383
Yantai,2.033383
Tai'an,2.007285
Zhengzhou,2.007285
Shamen,2.006713
Handan,1.978496
Harbin,1.978496
Xuzhou,1.978496
Taiyuan,1.957747
Chongqing,1.946272
Fuzhou,1.946272
Hefei,1.946272
Wuxi,1.946272
Xingtai,1.946272
Xining,1.946272
Changchun,1.946272
Zaozhuang,1.946272
Fuyang,1.909489
Jiaxing,1.909489
Wuwei,1.909489
Changsha,1.880968
Sanya,1.870635
Liaocheng,1.866319
Nanchang,1.866319
Bangbu,1.866319
Kunming,1.859725
Taipei,1.845306
Hohhot,1.823927
Ningbo,1.813462
Panjin,1.813462
Datong,1.813462
Urumqi,1.813462
Xinxiang,1.813462
Yinchuan,1.813462
Yingkou,1.813462
Guiyang,1.748252
Dongguan,1.743853
Dongying,1.743853
Chaozhou,1.743853
Baoji,1.743853
Chuzhou,1.743853
Baishan,1.743853
Huanggang,1.743853
Hulunbuir,1.743853
Anyang,1.743853
Jinzhong,1.743853
Bozhou,1.743853
Lhasa,1.743853
Lianyungang,1.743853
Shangqiu,1.743853
Changzhou,1.743853
Weihai,1.743853
Binzhou,1.743853
Xuchang,1.743853
Yangzhou,1.743853
Guilin,1.731942
Lijiang,1.713115
Taoyuan,1.702979
Nanning,1.699095
Haikou,1.684220
Zhuhai,1.681960
Baotou,1.673169
Luoyang,1.659146
Heze,1.636470
Fushun,1.636470
Huangshan,1.636470
Huangshi,1.636470
Chaoyang,1.636470
Jinhua,1.636470
Jinzhou,1.636470
Jiujiang,1.636470
Kaifeng,1.636470
Kaohsiung,1.636470
Daqing,1.636470
Liaoyang,1.636470
Linyi,1.636470
Dandong,1.636470
Nanping,1.636470
Nanyang,1.636470
Ordos,1.636470
Pingdingshan,1.636470
Qiqihar,1.636470
Qitaihe,1.636470
Shaoxing,1.636470
Benxi,1.636470
Siping,1.636470
Tianshui,1.636470
Tonghua,1.636470
Tongling,1.636470
Weifang,1.636470
Wenchang,1.636470
Xilingol,1.636470
Xinzhou,1.636470
Xiuzhou,1.636470
Changzhi,1.636470
Yanbian,1.636470
Yichang,1.636470
Dingxi,1.636470
Yueyang,1.636470
Chifeng,1.636470
Zhenjiang,1.636470
Ngawa,1.624593
Macau,1.620735
Wenzhou,1.606698
Jilin,1.595558
Nantong,1.586254
Zhangjiajie,1.556243
Jiaozuo,1.542570
Foshan,1.534353
Dali,1.533143
Quanzhou,1.525032
Anshan,1.523097
Huai'an,1.510226
Diqing,1.505188
Ulanqab,1.501481
Yan'an,1.494562
Taizhou,1.488942
Xiangyang,1.487295
Zhoushan,1.485629
Shangrao,1.476994
Yangquan,1.476994
Mudanjiang,1.466841
Mianyang,1.465880
Liuzhou,1.464912
Wuhu,1.463938
Jian,1.462957
Yancheng,1.461969
Beihai,1.458961
Jiuquan,1.458961
Xiangxi,1.448429
Xinyang,1.448429
Rizhao,1.447329
New Taipei,1.446221
Zhongshan,1.445103
Taizhou,1.438193
Yuncheng,1.434599
Tongliao,1.432148
Xianyang,1.432148
Jingdezhen,1.430905
Shuozhou,1.428383
Leshan,1.424507
Jiamusi,1.420512
Ganzhou,1.417778
Meizhou,1.412131
Puyang,1.412131
Changde,1.412131
Yulin,1.407725
Anqing,1.404701
Bayannur,1.403162
Taichung,1.403162
Lvliang,1.401603
Huizhou,1.400025
Ili(Yili),1.400025
Hinggan,1.398427
Jingzhou,1.398427
Tieling,1.398427
Zhongwei,1.396808
Linfen,1.395167
Jieyang,1.395167
Weinan,1.393505
Baoshan,1.391821
Zhangzhou,1.390113
Luohe,1.388381
Xishuangbanna,1.384842
Zhuzhou,1.384842
Yibin,1.383034
Qiandongnan,1.379335
Garze,1.379335
Zhanjiang,1.379335
Yichun,1.377442
Deyang,1.373566
Fuxin,1.373566
Pingdong,1.369561
Zunyi,1.369561
Gannan,1.367507
Nanchong,1.365417
Quzhou,1.363289
Sanmenxia,1.358916
Xiangtan,1.358916
Ma'anshan,1.356667
Keramay,1.356667
Dehong,1.354373
Hezhou,1.354373
Ningde,1.352034
Ya'an,1.352034
Qionghai,1.349647
Shantou,1.349647
Shiyan,1.349647
Nantou,1.349647
Wuhai,1.349647
Hualien,1.347210
Hebi,1.347210
Pingxiang,1.344720
Anshun,1.344720
Loudi,1.342175
Xiaogan,1.342175
Daxinganling,1.342175
Xuancheng,1.339572
Nyingchi,1.331385
Wanning,1.331385
Yongzhou,1.331385
Zhaoqing,1.328519
Suihua,1.325577
Hanzhong,1.325577
Guangyuan,1.325577
Longyan,1.325577
Jiangmen,1.325577
Jincheng,1.325577
Liangshanzhou,1.325577
Luzhou,1.325577
Huainan,1.322555
Chiayi,1.322555
Hengyang,1.319449
Tainan,1.319449
Chizhou,1.319449
Laiwu,1.319449
Lishui,1.316253
Xianning,1.316253
Alxa,1.312960
Jiayuguan,1.312960
Yingtan,1.312960
Yanbian,1.310972
Taidong,1.309566
Huaihua,1.306062
Haixi,1.304495
Turpan,1.302440
Weicu,1.302440
Bayingolin,1.302440
Yiyang,1.302440
Dazhou,1.302440
Zhumadian,1.302440
Sanming,1.302440
Keelung,1.298691
Xiuqian,1.298691
Alty,1.294806
Lu'an,1.294806
Enshi,1.290773
Honghe,1.290773
Kumul(Hami),1.290773
Shaoguan,1.290773
Songyuan,1.290773
Jixi,1.286579
Baicheng,1.282210
Zhoukou,1.277648
Jinchang,1.277054
Haibei,1.272982
Hsinchu,1.272875
Huaibei,1.272875
Yichun,1.272875
Zhangye,1.269714
Qinzhou,1.267867
Shizuishan,1.267867
Changji,1.267867
Heihe,1.262599
Putian,1.262599
Yilan,1.262599
Meishan,1.262599
Wuzhong,1.257038
Qujing,1.257038
Qingyuan,1.257038
Ankang,1.257038
Zigong,1.251147
Chongzuo,1.244881
Xinyu,1.244881
Qianxinan,1.244881
Jiyuan,1.238184
Shannan,1.238184
Baiyin,1.238184
Kashgar,1.238184
Bijie,1.238184
Jingmen,1.238184
Guang'an,1.238184
Liaoyuan,1.230984
Qamdo,1.230984
Shuangyashan,1.230984
Panzhihua,1.230984
Chenzhou,1.223193
Heyuan,1.223193
Yuxi,1.223193
Fuzhou,1.214695
Wuzhou,1.214695
Guigang,1.214695
Shaoyang,1.214695
Neijiang,1.214695
Qiannan,1.214695
Nagqu,1.212458
Ezhou,1.205333
Shangluo,1.205333
Yangjiang,1.205333
Hegang,1.205333
Baise,1.205333
Huangnan,1.205333
Ziyang,1.205333
Hotan,1.194893
Fangchenggang,1.194893
Maoming,1.194893
Miaoli,1.194893
Changhua,1.194893
Bazhong,1.183063
Tongren,1.183063
Suizhou,1.183063
Pu'er,1.183063
Pingliang,1.183063
Linxia,1.181469
Longnan,1.169370
Qingyang,1.169370
Hechi,1.169370
Baoting,1.169370
Shanwei,1.169370
Suining,1.158457
Tongchuan,1.153037
Yulin,1.153037
Kinmen,1.153037
Guyuan,1.153037
Bortala,1.153037
Zhaotong,1.153037
Penghu,1.153037
Aksu,1.153037
Haidong,1.148790
Lincang,1.132641
Dongfang,1.132641
Wenshan,1.132641
Golog,1.132641
Yushuzhou,1.132641
Sansha,1.132641
Chengmai,1.132641
Yunfu,1.125750
Nujiang,1.105090
Dingan,1.105090
Danzhou,1.105090
Lingshui,1.100127
Tacheng,1.073596
Ngari,1.066835
Laibin,1.060972
Liupanshui,1.060972
Yunlin,1.060972
Ledong,1.037825
Wuzhishan,1.015712
Changjiang,0.954695
Kezilsu,0.953339
Qiongzhong,0.900415
