city,distance
Kunming,5.737524
Dehong,4.563745
Shanghai,4.300514
Dali,3.890781
Beijing,3.533958
Chengdou,3.084344
Lijiang,2.969105
Chongqing,2.856256
Nujiang,2.749127
Weicu,2.537224
Shenzhen,2.491401
Jinhua,2.440519
Tianjin,2.440519
Handan,2.410540
Guangzhou,2.235248
Xishuangbanna,2.235248
Zhengzhou,2.235248
Suzhou,2.191009
Deyang,2.130429
Diqing,2.130429
Haikou,2.130429
Hangzhou,2.130429
Lincang,2.130429
Wuhan,2.130429
Yuxi,1.986721
Changsha,1.972317
Changzhou,1.972317
Datong,1.972317
Foshan,1.972317
Guilin,1.972317
Hohhot,1.972317
Honghe,1.972317
Lhasa,1.972317
Lianyungang,1.972317
Nanjing,1.972317
Ningbo,1.972317
Panjin,1.972317
Pu'er,1.972317
Qamdo,1.972317
Qujing,1.972317
Shamen,1.972317
Weifang,1.972317
Weihai,1.972317
Wuhu,1.972317
Wuxi,1.972317
Xi'an,1.972317
Yichang,1.972317
Zhangzhou,1.972317
Zhongshan,1.972317
Jiaxing,1.925638
Guiyang,1.828614
Zhoushan,1.737936
Nantong,1.721952
Qingdao,1.685338
Leshan,1.683402
Huzhou,1.681910
Ngawa,1.679543
Wenzhou,1.678002
Sanya,1.677559
Nanning,1.670486
Wenshan,1.660640
Shaoxing,1.654340
Changde,1.643686
Hefei,1.634568
Yangzhou,1.631763
Langfang,1.627526
Taipei,1.624799
Meizhou,1.601135
Zhaotong,1.601135
Liangshanzhou,1.600938
Baoding,1.590995
Jinan,1.589573
Shijiazhuang,1.586982
Qinhuangdao,1.585557
Panzhihua,1.583160
Zhenjiang,1.582989
Dalian,1.575335
Huangshan,1.568096
Shenyang,1.566543
Fuzhou,1.555638
Yantai,1.554979
Huaihua,1.547946
Liupanshui,1.543954
Taizhou,1.534298
Taiyuan,1.534168
Macau,1.529933
Mianyang,1.525749
Harbin,1.520810
Tangshan,1.518668
Nanchang,1.507602
Taizhou,1.506155
Lanzhou,1.502369
Qianxinan,1.502369
Urumqi,1.496942
Zhangjiakou,1.494742
Baise,1.491304
Yibin,1.491304
Yancheng,1.485656
Chengde,1.481507
Anshun,1.479318
Zhuhai,1.479318
Garze,1.479244
