city,distance
Sanya,5.826163
Haikou,5.774710
Shanghai,3.049953
Dongfang,3.043690
Baoting,2.730917
Changjiang,2.730917
Dingan,2.730917
Hong Kong,2.730917
Nanjing,2.730917
Qionghai,2.730917
Sansha,2.730917
Tianjin,2.730917
Wuxi,2.730917
Wuzhishan,2.730917
Beijing,2.366020
Guangzhou,2.196810
Wanning,2.152000
Wenchang,2.020680
Shenzhen,1.948752
Hangzhou,1.891312
Danzhou,1.888189
Zhuhai,1.885630
Zhanjiang,1.873648
Wuhan,1.841589
Lingshui,1.831342
Chengdou,1.815614
Chengmai,1.812844
Suzhou,1.812401
Chongqing,1.789330
Changsha,1.783031
Shamen,1.773221
Nanning,1.762932
Kunming,1.740687
Weinan,1.732699
Nanchang,1.697078
Zhengzhou,1.687047
Xi'an,1.681825
Guilin,1.653260
Qianxinan,1.643964
Fuzhou,1.633681
Jiaxing,1.626937
Beihai,1.603629
Harbin,1.589807
Ningbo,1.586426
Guiyang,1.579449
Foshan,1.576974
Changzhou,1.560571
Wenzhou,1.552349
Qingdao,1.545075
Urumqi,1.545075
Shenyang,1.534484
Yilan,1.528802
Jinan,1.524709
Shijiazhuang,1.514258
Zhoushan,1.514258
Macau,1.505690
Hefei,1.504878
Hohhot,1.504878
Changchun,1.497059
Dongguan,1.488639
Baotou,1.488639
Zhenjiang,1.486120
Liuzhou,1.483730
Shaoguan,1.483730
Nantong,1.479115
Taiyuan,1.477543
Taipei,1.470393
Dalian,1.462857
Dali,1.454886
Huzhou,1.449474
Meishan,1.449232
Qiongzhong,1.449232
Zhaoqing,1.449232
Tongliao,1.446420
Lanzhou,1.437386
Yangzhou,1.437031
Shaoxing,1.428951
Jinhua,1.424229
Luoyang,1.424229
Siping,1.424229
Taoyuan,1.424229
Huangshan,1.417223
Lijiang,1.417223
Jieyang,1.393239
Leshan,1.393239
Ordos,1.393239
Chuzhou,1.393239
Weihai,1.393239
Baoding,1.393239
Zhangzhou,1.393239
Zhuzhou,1.393239
Langfang,1.391479
Tangshan,1.391046
Yantai,1.379371
Qinhuangdao,1.378907
Taizhou,1.371245
Xuzhou,1.356889
Hengyang,1.351784
Baoshan,1.351784
Huizhou,1.351784
Hulunbuir,1.351784
Jiangmen,1.351784
Jiujiang,1.351784
Jiuquan,1.351784
Chaozhou,1.351784
Lianyungang,1.351784
Luzhou,1.351784
Maoming,1.351784
Mianyang,1.351784
Pingdingshan,1.351784
Qianxinan,1.351784
Qingyuan,1.351784
Quzhou,1.351784
Shantou,1.351784
Shanwei,1.351784
Taizhou,1.351784
Weicu,1.351784
Wuhai,1.351784
Xianyang,1.351784
Xinxiang,1.351784
Ya'an,1.351784
Yinchuan,1.351784
Yunfu,1.351784
Zigong,1.351784
Cangzhou,1.347730
Huai'an,1.345471
Zhongshan,1.345471
Xinyang,1.342552
Wuhu,1.337933
Ma'anshan,1.329873
Diqing,1.323894
Longyan,1.323894
Quanzhou,1.323894
Yichang,1.323894
Yancheng,1.301326
Anyang,1.297076
Qiandongnan,1.297076
Rizhao,1.297076
Changde,1.297076
Shangrao,1.297076
Tai'an,1.297076
Dongying,1.297076
Xuancheng,1.297076
Chizhou,1.297076
Zhangjiajie,1.297076
Changzhi,1.297076
Hezhou,1.293013
Linfen,1.286352
Linxia,1.286352
Jilin,1.286352
Jingdezhen,1.286352
Jiayuguan,1.286352
Honghe,1.286352
Hotan,1.286352
Mudanjiang,1.286352
Nanchong,1.286352
Baicheng,1.286352
Ngawa,1.286352
Ningde,1.286352
Pu'er,1.286352
Puyang,1.286352
Jian,1.286352
Haibei,1.286352
Hebi,1.286352
Qujing,1.286352
Shannan,1.286352
Ganzhou,1.286352
Suining,1.286352
Guangyuan,1.286352
Turpan,1.286352
Xiangtan,1.286352
Xiangxi,1.286352
Xiangyang,1.286352
Xiaogan,1.286352
Xining,1.286352
Jiaozuo,1.286352
Xinzhou,1.286352
Jincheng,1.286352
Yangjiang,1.286352
Chenzhou,1.286352
Yibin,1.286352
Hegang,1.286352
Yiyang,1.286352
Yueyang,1.286352
Heyuan,1.286352
Ziyang,1.286352
Zunyi,1.286352
Bangbu,1.281201
Dezhou,1.270521
Deyang,1.261071
Nanping,1.261071
Nanyang,1.261071
Chifeng,1.261071
Putian,1.261071
Huaibei,1.261071
Qinzhou,1.261071
Qiqihar,1.261071
Huaihua,1.261071
Huainan,1.261071
Jinzhong,1.261071
Weifang,1.261071
Huangshi,1.261071
Xuchang,1.261071
Luohe,1.261071
Yichun,1.261071
Dandong,1.261071
Yingtan,1.261071
Zaozhuang,1.261071
Datong,1.261071
Kaohsiung,1.239096
Zhangjiakou,1.236562
Chengde,1.227491
New Taipei,1.216914
Lhasa,1.215236
Qiannan,1.203941
Dehong,1.203941
Changji,1.203941
Baishan,1.203941
Aksu,1.203941
Shangluo,1.203941
Jining,1.203941
Guigang,1.203941
Daqing,1.203941
Shiyan,1.203941
Shizuishan,1.203941
Suihua,1.203941
Jinzhou,1.203941
Huanggang,1.203941
Anqing,1.203941
Anshan,1.203941
Chongzuo,1.203941
Benxi,1.203941
Meizhou,1.203941
Wuzhou,1.203941
Jiamusi,1.203941
Kashgar,1.203941
Linyi,1.203941
Liupanshui,1.203941
Xilingol,1.203941
Xingtai,1.203941
Chaoyang,1.203941
Huludao,1.203941
Yanbian,1.203941
Bayingolin,1.203941
Chiayi,1.203941
Lvliang,1.203941
Yulin,1.203941
Yuncheng,1.203941
Kaifeng,1.203941
Yuxi,1.203941
Zhaotong,1.203941
Jiyuan,1.203941
Daxinganling,1.203941
Zhoukou,1.203941
Hinggan,1.203941
Handan,1.203941
Ili(Yili),1.203941
Xiuqian,1.203521
Lishui,1.193424
Zibo,1.170540
Hengshui,1.165431
Xiuzhou,1.164812
Binzhou,1.164104
Xianning,1.153916
Lu'an,1.149956
Keelung,1.149327
Taichung,1.144565
Baoji,1.135031
Tongling,1.134156
Anshun,1.131392
Baise,1.130869
Jingzhou,1.127756
Fangchenggang,1.125474
Sanmenxia,1.121903
Hualien,1.119445
Haixi,1.114535
Xishuangbanna,1.111963
Garze,1.107934
Fuyang,1.099573
Panjin,1.097336
Nantou,1.097246
Pingdong,1.096167
Bozhou,1.091897
Loudi,1.089963
Yulin,1.089076
Yan'an,1.086008
Alty,1.080464
Yingkou,1.079843
Hsinchu,1.079540
Xinyu,1.077249
Sanming,1.076777
Ezhou,1.076155
Hechi,1.076122
Keramay,1.075773
Jingmen,1.071147
Tainan,1.070858
Fushun,1.069741
Shangqiu,1.068172
Liaocheng,1.067701
Heze,1.066858
Pingxiang,1.066068
Guang'an,1.065261
Neijiang,1.063430
Laibin,1.062767
Fuzhou,1.061963
Yunlin,1.061515
Liangshanzhou,1.059407
Ulanqab,1.056280
Enshi,1.056149
Changhua,1.051683
Dazhou,1.051030
Tieling,1.044610
Yangquan,1.044102
Hanzhong,1.041921
Nyingchi,1.038668
Liaoyang,1.037679
Shaoyang,1.033005
Suizhou,1.030124
Laiwu,1.029932
Ankang,1.028821
Penghu,1.023925
Tianshui,1.021822
Shuozhou,1.019646
Bayannur,1.014565
Taidong,1.011648
Tonghua,1.010914
Nagqu,1.008804
Wuwei,1.007749
Kinmen,1.007474
Yichun,1.004726
Yongzhou,1.004058
Pingliang,1.003993
Zhongwei,1.003383
Gannan,1.001775
Heihe,1.000731
Zhumadian,1.000525
Tongchuan,0.998684
Fuxin,0.998684
Wenshan,0.997634
Zhangye,0.994001
Kumul(Hami),0.992993
Panzhihua,0.987224
Tongren,0.986709
Songyuan,0.983347
Miaoli,0.981484
Bijie,0.981099
Alxa,0.968672
Jixi,0.964022
Tacheng,0.963915
Liaoyuan,0.962514
Haidong,0.962514
Lincang,0.961538
Bazhong,0.960579
Wuzhong,0.957482
Bortala,0.954094
Dingxi,0.953453
Baiyin,0.942016
Qitaihe,0.940879
Jinchang,0.937776
Qingyang,0.937776
Kezilsu,0.932909
Nujiang,0.929211
Shuangyashan,0.928872
Qamdo,0.914856
Golog,0.911652
Huangnan,0.900612
Ngari,0.893718
Longnan,0.880382
Yushuzhou,0.864640
