city,distance
Shanghai,4.527435
Nyingchi,4.427443
Beijing,4.012354
Nagqu,3.978863
Shannan,3.885696
Chengdou,3.740833
Chongqing,3.424729
Xi'an,3.414572
Xining,3.362168
Haixi,3.126985
Qamdo,3.021780
Lanzhou,2.954245
Ngari,2.747935
Kunming,2.625399
Garze,2.533595
Diqing,2.505258
Guangzhou,2.495420
Hangzhou,2.453814
Nanjing,2.356456
Tianjin,2.313076
Hong Kong,2.297478
Zhengzhou,2.281215
Suzhou,2.248424
Dazhou,2.140553
Shenzhen,2.140553
Wuhan,2.140553
Wuxi,2.140553
Changzhou,2.114663
Jiuquan,2.086451
Lijiang,2.086451
Urumqi,2.086451
Xianyang,2.086451
Shamen,2.055365
Tianshui,2.055365
Baoji,2.020610
Haibei,2.020610
Changchun,2.020610
Luoyang,2.020610
Bangbu,2.020610
Jinan,1.980992
Nujiang,1.980992
Qingdao,1.980992
Shenyang,1.980992
Yangzhou,1.980992
Jiaxing,1.969847
Fuzhou,1.934567
Ningbo,1.934567
Dalian,1.877833
Harbin,1.877833
Hohhot,1.877833
Kashgar,1.877833
Leshan,1.877833
Macau,1.877833
Nanning,1.877833
Taiyuan,1.877833
Xuzhou,1.877833
Ngawa,1.857002
Foshan,1.803296
Gannan,1.803296
Changsha,1.803296
Guilin,1.803296
Haidong,1.803296
Hezhou,1.803296
Jingzhou,1.803296
Chongzuo,1.803296
Kumul(Hami),1.803296
Langfang,1.803296
Mianyang,1.803296
Nantong,1.803296
Sanmenxia,1.803296
Shijiazhuang,1.803296
Weinan,1.803296
Wenzhou,1.803296
Wuhu,1.803296
Ya'an,1.803296
Zhongwei,1.803296
Zhoushan,1.773866
Huzhou,1.715539
Sanya,1.711012
Deyang,1.702401
Baotou,1.688707
Chuzhou,1.688707
Hengyang,1.688707
Baoshan,1.688707
Dali,1.688707
Huangnan,1.688707
Huangshan,1.688707
Jiayuguan,1.688707
Chengde,1.688707
Jingdezhen,1.688707
Jinzhong,1.688707
Kaifeng,1.688707
Dongying,1.688707
Baiyin,1.688707
Dandong,1.688707
Liangshanzhou,1.688707
Liaocheng,1.688707
Ma'anshan,1.688707
Anshan,1.688707
Qinhuangdao,1.688707
Qujing,1.688707
Rizhao,1.688707
Shangqiu,1.688707
Shangrao,1.688707
Shaoxing,1.688707
Datong,1.688707
Taizhou,1.688707
Tangshan,1.688707
Wuwei,1.688707
Xiangxi,1.688707
Xinzhou,1.688707
Yantai,1.688707
Yinchuan,1.688707
Yushuzhou,1.688707
Zhangjiajie,1.688707
Zhongshan,1.688707
Zigong,1.688707
Ziyang,1.688707
Zunyi,1.688707
Baoding,1.681240
Taipei,1.656161
Jinhua,1.638405
Yan'an,1.615317
Zhenjiang,1.612743
Hefei,1.595262
Zhangjiakou,1.574126
Taizhou,1.562233
Nanchong,1.556560
Meishan,1.546629
Nanchang,1.530289
Guiyang,1.524887
Neijiang,1.522312
Hanzhong,1.519674
Zhangye,1.515317
Yancheng,1.511834
Suining,1.500426
Ankang,1.491967
Guang'an,1.488399
Yichang,1.486637
Taoyuan,1.482346
Cangzhou,1.481515
Weicu,1.481356
Zhuhai,1.479695
Haikou,1.463804
Lianyungang,1.459232
Tai'an,1.458587
Yulin,1.457616
Yibin,1.453719
Guangyuan,1.451548
Shangluo,1.449272
Dingxi,1.445906
Luzhou,1.444239
Zhuzhou,1.443704
Linxia,1.442775
Xuancheng,1.432105
Huludao,1.425742
Dongguan,1.421164
Xishuangbanna,1.416995
Quanzhou,1.415005
Hulunbuir,1.409866
Yuxi,1.408559
Tongchuan,1.401917
Weihai,1.397020
Huai'an,1.394694
Nanping,1.394579
Jining,1.394054
Chizhou,1.394000
Weifang,1.388627
Jilin,1.386744
Chifeng,1.380656
Enshi,1.380101
Quzhou,1.374960
Jiujiang,1.374417
Panzhihua,1.370833
Handan,1.370736
Honghe,1.369912
Zibo,1.369047
Lishui,1.368127
Ordos,1.364129
Jinzhou,1.363239
Beihai,1.362844
Yingtan,1.354611
Hengshui,1.353955
Jinchang,1.353295
Kaohsiung,1.353154
Turpan,1.349145
Huizhou,1.348414
Jiangmen,1.343401
Yuncheng,1.341036
Xinxiang,1.340144
Tongren,1.339413
Xingtai,1.337731
Changji,1.337627
Anshun,1.335519
Xinyang,1.335519
Jincheng,1.335519
Xilingol,1.334726
Zaozhuang,1.333578
Jiaozuo,1.333331
Jian,1.329942
Loudi,1.327105
Qiqihar,1.325195
Linyi,1.324363
Bayingolin,1.322295
Anyang,1.321829
Anqing,1.321226
Bazhong,1.319990
Alty,1.319970
Liuzhou,1.318384
Wuzhou,1.315821
Fushun,1.313396
Qingyuan,1.311735
Ningde,1.310344
Daqing,1.310118
Panjin,1.305753
Yanbian,1.301719
New Taipei,1.301402
Pingliang,1.298853
Zhaoqing,1.297790
Shiyan,1.295703
Jieyang,1.295546
Ili(Yili),1.294676
Yingkou,1.294270
Ulanqab,1.293162
Kezilsu,1.292258
Qingyang,1.291752
Xiangyang,1.290862
Golog,1.285028
Shaoguan,1.281736
Linfen,1.281170
Dehong,1.277895
Binzhou,1.277577
Taichung,1.276715
Yangquan,1.274957
Zhangzhou,1.274461
Pu'er,1.273364
Shantou,1.273045
Lu'an,1.273045
Longnan,1.270749
Huaihua,1.268118
Mudanjiang,1.267384
Nanyang,1.266851
Xianning,1.264583
Tongling,1.263432
Xiuqian,1.263058
Ganzhou,1.261166
Xiuzhou,1.259621
Pingdingshan,1.256017
Shizuishan,1.255860
Longyan,1.252801
Xuchang,1.252205
Keramay,1.249805
Changzhi,1.245941
Chaoyang,1.245050
Yichun,1.245019
Nantou,1.243202
Pingdong,1.241817
Tongliao,1.241401
Zhanjiang,1.241351
Qiandongnan,1.238712
Xiangtan,1.238712
Shuozhou,1.238571
Benxi,1.236637
Baise,1.236475
Wenshan,1.236429
Heze,1.234664
Wanning,1.234072
Jiamusi,1.232649
Aksu,1.232335
Suihua,1.231518
Huainan,1.230094
Fuyang,1.228893
Yueyang,1.228373
Huanggang,1.227708
Changde,1.227006
Yangjiang,1.226518
Meizhou,1.226333
Puyang,1.226333
Huaibei,1.225643
Xiaogan,1.221509
Siping,1.220726
Huangshi,1.220019
Bayannur,1.219563
Hualien,1.218786
Lvliang,1.218386
Xinyu,1.217593
Sanming,1.216990
Tieling,1.215985
Hinggan,1.215985
Baishan,1.214760
Putian,1.214540
Qionghai,1.212023
Tainan,1.209435
Hotan,1.209065
Luohe,1.208717
Pingxiang,1.203328
Zhaotong,1.203137
Alxa,1.199191
Yunlin,1.197531
Fuxin,1.197144
Liaoyang,1.197037
Guyuan,1.193990
Qinzhou,1.188004
Chiayi,1.187225
Fuzhou,1.185527
Heyuan,1.184203
Zhumadian,1.183310
Lincang,1.181461
Bozhou,1.180755
Zhoukou,1.179978
Loudi,1.178953
Wuhai,1.178934
Hebi,1.177074
Tonghua,1.177074
Daxinganling,1.173228
Ezhou,1.171792
Fangchenggang,1.171225
Songyuan,1.170696
Liupanshui,1.170561
Jingmen,1.165856
Shanwei,1.165178
Yongzhou,1.164976
Yilan,1.164251
Bijie,1.163254
Hsinchu,1.157388
Laiwu,1.155827
Maoming,1.155294
Chenzhou,1.154793
Jiyuan,1.152196
Tacheng,1.150085
Penghu,1.149907
Sansha,1.149907
Taidong,1.148236
Wuzhong,1.147415
Qianxinan,1.146501
Keelung,1.145895
Yiyang,1.144525
Qiannan,1.144525
Chaozhou,1.143106
Laibin,1.142254
Guigang,1.138302
Bortala,1.136131
Yulin,1.134212
Jixi,1.130525
Kinmen,1.129200
Baicheng,1.127150
Yichun,1.125749
Yunfu,1.123245
