city,distance
Lijiang,5.975923
Chengdou,5.009045
Panzhihua,3.683652
Shanghai,3.132561
Kunming,3.075956
Beijing,3.030607
Chongqing,2.948198
Diqing,2.930497
Leshan,2.694697
Ya'an,2.609515
Hangzhou,2.577741
Zhongshan,2.543813
Dali,2.508511
Garze,2.507332
Zigong,2.424399
Deyang,2.376190
Yibin,2.321589
Mianyang,2.258085
Neijiang,2.258085
Ngawa,2.258085
Wuhan,2.258085
Xishuangbanna,2.258085
Dazhou,2.181165
Meishan,2.181165
Nanjing,2.181165
Zhaotong,2.181165
Guiyang,2.081244
Huludao,2.081244
Jinan,2.081244
Shenzhen,2.081244
Changsha,1.930090
Dalian,1.930090
Enshi,1.930090
Guang'an,1.930090
Guilin,1.930090
Harbin,1.930090
Hefei,1.930090
Hulunbuir,1.930090
Jilin,1.930090
Lanzhou,1.930090
Lhasa,1.930090
Nantong,1.930090
Nantou,1.930090
Shamen,1.930090
Shenyang,1.930090
Tacheng,1.930090
Taiyuan,1.930090
Tianjin,1.930090
Wanning,1.930090
Weicu,1.930090
Xiangtan,1.930090
Xuancheng,1.930090
Yingkou,1.930090
Yiyang,1.930090
Zhangzhou,1.930090
Zhuhai,1.930090
Guangzhou,1.844482
Xi'an,1.842828
Suzhou,1.841254
Nanchong,1.739853
Hong Kong,1.686514
Suining,1.670018
Ziyang,1.655051
Jiaxing,1.650150
Ulanqab,1.627319
Wuxi,1.625562
Guangyuan,1.609688
Urumqi,1.602821
Luzhou,1.600705
Zhengzhou,1.594193
Ningbo,1.593454
Changzhou,1.578909
Baoshan,1.573003
Qingdao,1.568713
Sanya,1.549502
Shijiazhuang,1.534181
Qiandongnan,1.533421
Yuxi,1.528694
Langfang,1.511881
Zhoushan,1.510363
Nyingchi,1.490931
Nanchang,1.486555
Fuzhou,1.486555
Taipei,1.485066
Honghe,1.483280
Qujing,1.482901
Nanning,1.482041
Xining,1.482041
Baoding,1.480307
Qinhuangdao,1.475598
Changchun,1.468717
Jinzhong,1.468553
Pu'er,1.468553
Huzhou,1.467870
Foshan,1.462344
Haikou,1.460616
Anyang,1.456320
Baoji,1.453297
Jiangmen,1.452707
Bazhong,1.449485
Yinchuan,1.447538
Shaoxing,1.446826
Yichang,1.445562
Qamdo,1.444947
Huangshan,1.437355
Dongguan,1.436535
Hohhot,1.433054
Yangzhou,1.429529
Dongying,1.426327
Tangshan,1.417495
Jinhua,1.411087
Xiangxi,1.411087
Xiangyang,1.407880
Zhongwei,1.407880
Zhuzhou,1.407880
Zunyi,1.407880
Wenzhou,1.403758
Tongchuan,1.401917
Hanzhong,1.398149
Zhangjiakou,1.396629
Zhenjiang,1.391956
Ankang,1.386168
Chengde,1.385068
Taichung,1.385028
Jinzhou,1.377621
Baotou,1.376241
Shiyan,1.376241
Taoyuan,1.376241
Dehong,1.375999
Luoyang,1.372765
Macau,1.372765
Xianyang,1.372765
Xuzhou,1.369184
Anshun,1.367583
Qionghai,1.356932
Taizhou,1.354167
Chuzhou,1.353674
Gannan,1.352132
Liuzhou,1.339939
Changde,1.339939
Zaozhuang,1.339939
Taizhou,1.332197
Beihai,1.330827
Yantai,1.330079
Tai'an,1.328490
Wenshan,1.328041
Cangzhou,1.323239
Ordos,1.320218
Yancheng,1.316135
Ili(Yili),1.312532
Tianshui,1.308480
Jiujiang,1.308480
Haixi,1.306436
Xianning,1.304702
Keramay,1.304445
Huaihua,1.302099
Liupanshui,1.301896
Lincang,1.301551
Linyi,1.301551
Huai'an,1.301551
Maoming,1.301551
Fushun,1.301551
Nujiang,1.301551
Qianxinan,1.301551
Quzhou,1.301551
Jining,1.301551
Xiaogan,1.301551
Zhanjiang,1.301551
Hebi,1.301551
Nagqu,1.299649
Datong,1.297570
Chiayi,1.296793
Jiuquan,1.295313
Zhangjiajie,1.295313
Meizhou,1.289710
Shannan,1.289549
Longyan,1.288618
Ganzhou,1.288064
Qingyang,1.288064
Quanzhou,1.288064
Kaohsiung,1.286760
Shangrao,1.285701
Qiannan,1.281867
Yanbian,1.281281
Lianyungang,1.280274
Jingzhou,1.280274
Zibo,1.280274
Hinggan,1.272014
New Taipei,1.271849
Wuhu,1.269047
Huizhou,1.267735
Huanggang,1.265486
Alty,1.263989
Bijie,1.262664
Nanyang,1.262664
Sanmenxia,1.262664
Weifang,1.262664
Weihai,1.262664
Anshan,1.262146
Dezhou,1.262107
Tongren,1.259776
Huangshi,1.257318
Handan,1.252551
Weinan,1.252551
Dandong,1.252551
Yueyang,1.252551
Xinzhou,1.247855
Daqing,1.244008
Chifeng,1.242189
Yulin,1.241281
Putian,1.240783
Puyang,1.240783
Loudi,1.240783
Qinzhou,1.240783
Shanwei,1.240783
Suihua,1.240783
Suizhou,1.240783
Chizhou,1.240783
Tongchuan,1.240783
Wenchang,1.240783
Huaibei,1.240783
Yan'an,1.240783
Lingshui,1.240783
Qingyuan,1.228519
Jian,1.228519
Jingdezhen,1.228519
Yulin,1.228519
Yuncheng,1.228519
Nanping,1.226370
Tainan,1.224340
Mudanjiang,1.223077
Changhua,1.221247
Hengshui,1.220534
Baise,1.217485
Bortala,1.217247
Zhaoqing,1.213934
Jincheng,1.213761
Bayingolin,1.213761
Xinxiang,1.213761
Jieyang,1.213761
Panjin,1.209549
Xingtai,1.207335
Ezhou,1.206160
Lishui,1.205867
Qiqihar,1.205123
Xilingol,1.204886
Bangbu,1.204633
Yangjiang,1.204584
Jingmen,1.199871
Anqing,1.198283
Jiayuguan,1.196173
Jiaozuo,1.196173
Shantou,1.196173
Hezhou,1.196173
Pingdingshan,1.196173
Changji,1.196173
Golog,1.196173
Yingtan,1.195355
Turpan,1.194538
Hengyang,1.193697
Zhumadian,1.188447
Kaifeng,1.187853
Lu'an,1.187391
Baishan,1.185696
Ma'anshan,1.184491
Liaocheng,1.183098
Liaoyang,1.178260
Xinyang,1.175253
Benxi,1.174271
Chongzuo,1.174237
Shangluo,1.174237
Fuzhou,1.174237
Chenzhou,1.174237
Heze,1.174237
Pingdong,1.174237
Zhoukou,1.174237
Guigang,1.172383
Tongliao,1.165625
Kashgar,1.163934
Tieling,1.163729
Hsinchu,1.162406
Huainan,1.161493
Shaoguan,1.160905
Wuzhou,1.160905
Yunlin,1.159293
Binzhou,1.158120
Daxinganling,1.157326
Wuwei,1.156445
Yangquan,1.155966
Lvliang,1.154055
Songyuan,1.152587
Rizhao,1.151877
Miaoli,1.150958
Dingxi,1.147812
Linxia,1.145838
Kumul(Hami),1.144652
Aksu,1.144652
Heyuan,1.144652
Xiuqian,1.144652
Alxa,1.144652
Tonghua,1.144652
Yilan,1.144652
Yushuzhou,1.144652
Fangchenggang,1.144652
Linfen,1.144652
Tongling,1.144652
Pingxiang,1.144652
Hualien,1.144652
Zhangye,1.141740
Ngari,1.133761
Chaoyang,1.133469
Fuyang,1.133432
Liaoyuan,1.132206
Changzhi,1.132063
Jiamusi,1.131805
Baiyin,1.131277
Yichun,1.129127
Shuozhou,1.125976
Heihe,1.125653
Laiwu,1.122133
Yichun,1.120130
Haibei,1.119438
Shangqiu,1.114313
Yongzhou,1.114313
Fuxin,1.111686
Siping,1.111208
Bayannur,1.110245
Shaoyang,1.108388
Taidong,1.107865
Sansha,1.102141
Xuchang,1.100970
Luohe,1.100970
Chaozhou,1.099923
Baoting,1.097385
Shizuishan,1.097385
Keelung,1.097385
Haidong,1.097385
Xinyu,1.097385
Jinchang,1.097385
Longnan,1.097385
Guyuan,1.097385
Pingliang,1.097385
Xiuzhou,1.089298
Sanming,1.086896
Jixi,1.079419
Bozhou,1.077990
Wuhai,1.076472
Baicheng,1.074394
Yunfu,1.060391
Hotan,1.054127
Hegang,1.054127
Qitaihe,1.050487
Kinmen,1.042168
Penghu,1.033071
Danzhou,1.030223
Hechi,1.024917
Wuzhong,1.016728
Laibin,1.013538
Dingan,1.013216
Jiyuan,1.004358
Shuangyashan,1.001612
Huangnan,0.982635
Changjiang,0.955478
Chengmai,0.955478
Dongfang,0.933778
Wuzhishan,0.912973
Ledong,0.912528
Kezilsu,0.908707
Qiongzhong,0.844156
