city,distance
Shanghai,5.762192
Yancheng,3.868145
Rizhao,3.829728
Suzhou,3.775064
Nanjing,3.586548
Xuzhou,3.352913
Beijing,3.326663
Qingdao,3.169211
Nantong,3.088050
Huai'an,2.919552
Wuxi,2.786412
Yangzhou,2.729098
Changzhou,2.655686
Linyi,2.625390
Hangzhou,2.521984
Yantai,2.453200
Zhenjiang,2.438095
Xiuqian,2.422452
Jinan,2.353392
Taizhou,2.353392
Zhengzhou,2.353392
Wuhan,2.334146
Chengdou,2.245881
Jiaxing,2.245881
Dalian,2.220083
Jining,2.220083
Weihai,2.220083
Guangzhou,2.192245
Hefei,2.192245
Shenyang,2.161941
Xi'an,2.161941
Ningbo,2.128582
Hong Kong,2.124483
Shamen,2.095118
Cangzhou,2.091329
Tianjin,2.091329
Fuzhou,2.048918
Huainan,2.048918
Chongqing,1.999296
Fuyang,1.999296
Huangshan,1.999296
Shenzhen,1.999296
Tai'an,1.999296
Taiyuan,1.999296
Zaozhuang,1.999296
Changsha,1.938760
Zhoushan,1.936446
Huzhou,1.867146
Sanya,1.861785
Dezhou,1.859410
Bangbu,1.859410
Haikou,1.859410
Huaibei,1.859410
Langfang,1.859410
Baoding,1.859410
Luoyang,1.859410
Chuzhou,1.859410
Shaoxing,1.859410
Shijiazhuang,1.859410
Taichung,1.859410
Weifang,1.859410
Wuhu,1.859410
Zhuzhou,1.859410
Zibo,1.859410
Taipei,1.797024
Jinhua,1.776138
Guilin,1.737820
Harbin,1.737820
Chizhou,1.737820
Hengyang,1.737820
Huanggang,1.737820
Huludao,1.737820
Jiangmen,1.737820
Jiaozuo,1.737820
Kaifeng,1.737820
Kunming,1.737820
Lanzhou,1.737820
Lijiang,1.737820
Loudi,1.737820
Lu'an,1.737820
Nanning,1.737820
Nanyang,1.737820
Quanzhou,1.737820
Shangrao,1.737820
Urumqi,1.737820
Wanning,1.737820
Wenzhou,1.737820
Xiangtan,1.737820
Xianyang,1.737820
Xinzhou,1.737820
Xiuzhou,1.737820
Anshan,1.737820
Baoshan,1.737820
Zhanjiang,1.737820
Zhuhai,1.737820
Zhumadian,1.737820
Macau,1.681696
Taizhou,1.653009
Nanchang,1.649782
Changchun,1.611690
Taoyuan,1.594195
Guiyang,1.584528
Zhangjiajie,1.563293
Shangqiu,1.550678
Qinhuangdao,1.542435
Xuancheng,1.536234
Ma'anshan,1.504679
Hohhot,1.496019
Lhasa,1.495759
Nanping,1.493135
Ngawa,1.486357
Dongguan,1.485940
Tangshan,1.479062
Yinchuan,1.471903
Quzhou,1.470668
Jiujiang,1.470046
Lishui,1.462852
Xining,1.456986
Beihai,1.456815
Zhangjiakou,1.456358
Yichang,1.448873
Yingtan,1.447411
Kaohsiung,1.445747
Chengde,1.443791
Dongying,1.443403
Foshan,1.426138
Jingdezhen,1.421758
Jian,1.419281
Dali,1.414180
Anqing,1.409360
Liaocheng,1.406325
Heze,1.406325
Liuzhou,1.406126
Xiangxi,1.405368
Diqing,1.405114
Leshan,1.398451
Ningde,1.396984
Laiwu,1.395987
Mianyang,1.395621
New Taipei,1.386825
Baotou,1.381105
Jieyang,1.380177
Jiuquan,1.371821
Yanbian,1.368447
Xinxiang,1.364732
Datong,1.359566
Jinzhong,1.359504
Shantou,1.354669
Zhongshan,1.350758
Baoji,1.347121
Xiangyang,1.345050
Tongling,1.343790
Hulunbuir,1.341657
Ganzhou,1.341226
Ordos,1.338603
Weinan,1.337602
Jinzhou,1.337269
Longyan,1.331769
Garze,1.330826
Xianning,1.329738
Jilin,1.328432
Yichun,1.322979
Nantou,1.320928
Shaoguan,1.319364
Zhangzhou,1.314534
Binzhou,1.314379
Xingtai,1.314379
Fushun,1.314316
Hezhou,1.311756
Bozhou,1.308798
Panjin,1.308327
Suihua,1.307744
Haixi,1.307159
Deyang,1.306600
Yingkou,1.305335
Xishuangbanna,1.304785
Huizhou,1.302969
Nujiang,1.301551
Daqing,1.300386
Changde,1.297330
Jingzhou,1.295120
Hualien,1.293397
Sanmenxia,1.293279
Xinyu,1.292053
Handan,1.292053
Sanming,1.291375
Chifeng,1.289217
Putian,1.288616
Anyang,1.288593
Qionghai,1.285783
Shiyan,1.283606
Tainan,1.282870
Xiaogan,1.282195
Huangshi,1.280553
Mudanjiang,1.277932
Pingdingshan,1.277590
Pingxiang,1.276002
Xuchang,1.273646
Yuncheng,1.271978
Yunlin,1.269485
Dandong,1.268640
Yan'an,1.267815
Hengshui,1.265906
Qiandongnan,1.264307
Changhua,1.263852
Qingyuan,1.261615
Liaoyang,1.260802
Dehong,1.258571
Chiayi,1.257909
Benxi,1.256236
Fuzhou,1.256003
Changzhi,1.253073
Yibin,1.253073
