city,distance
Shenyang,6.399943
Anshan,4.056700
Dalian,3.611600
Beijing,3.578957
Shanghai,3.296015
Yingkou,3.251243
Benxi,3.073064
Tianjin,2.706866
Panjin,2.654774
Harbin,2.597077
Changchun,2.531992
Fushun,2.531992
Guangzhou,2.531992
Shenzhen,2.531992
Hangzhou,2.456642
Huludao,2.456642
Chaoyang,2.365873
Jinzhou,2.365873
Chongqing,2.248766
Dandong,2.248766
Kunming,2.248766
Nanchong,2.248766
Nanjing,2.248766
Qingdao,2.248766
Tieling,2.248766
Zhongshan,2.248766
Chuzhou,2.073325
Hong Kong,2.073325
Jiamusi,2.073325
Langfang,2.073325
Ningbo,2.073325
Qinhuangdao,2.073325
Qiqihar,2.073325
Baoding,2.073325
Tangshan,2.073325
Wuhan,2.073325
Xinxiang,2.073325
Yantai,2.073325
Suzhou,1.896536
Ma'anshan,1.861583
Chengdou,1.823963
Jilin,1.802262
Xi'an,1.797653
Fuxin,1.781544
Siping,1.776465
Jinan,1.758596
Shijiazhuang,1.758596
Shamen,1.734895
Zhengzhou,1.721914
Yanbian,1.698177
Jiaxing,1.694414
Tongliao,1.685115
Hohhot,1.676822
Wuxi,1.668500
Taiyuan,1.665156
Tonghua,1.624847
Changzhou,1.619387
Changsha,1.604875
Daqing,1.604875
Baishan,1.587010
Sanya,1.577299
Zhuhai,1.572218
Foshan,1.562532
Hulunbuir,1.561550
Quanzhou,1.555937
Chifeng,1.555937
Shantou,1.554106
Zhoushan,1.547361
Urumqi,1.544072
Xuzhou,1.537783
Yichang,1.537783
Nantong,1.534677
Hefei,1.531226
Lanzhou,1.524375
Taipei,1.524375
Weifang,1.524375
Dongguan,1.517199
Mudanjiang,1.509660
Huzhou,1.502791
Zhangjiakou,1.502734
Tai'an,1.501717
Nanchang,1.493318
Chengde,1.489358
Wenzhou,1.484400
Shaoxing,1.480742
Lijiang,1.466537
Yinchuan,1.464683
Yangzhou,1.462629
Taoyuan,1.453667
Jinhua,1.443270
Fuzhou,1.441680
Luoyang,1.441680
Changde,1.441680
Ordos,1.441680
Songyuan,1.441680
Dali,1.428597
Baotou,1.428511
Dezhou,1.428511
Lianyungang,1.428511
Liaoyuan,1.428511
Liuzhou,1.428511
Guiyang,1.428511
Yiyang,1.428511
Weihai,1.424019
Zhenjiang,1.423320
Cangzhou,1.418106
Datong,1.414073
Garze,1.413870
Baicheng,1.413870
Sanming,1.413870
Haikou,1.413870
Hinggan,1.413870
Suihua,1.411593
Huangshan,1.411268
Guilin,1.398881
Nanning,1.397338
Qingyuan,1.397338
Taizhou,1.383833
Macau,1.380282
Jinzhong,1.378275
Lhasa,1.378275
Baoji,1.378275
Heze,1.378275
Zibo,1.378275
Dazhou,1.370437
Huizhou,1.368246
Xuchang,1.368083
Suining,1.362483
Taizhou,1.360898
Jian,1.355642
Hengshui,1.355642
Lishui,1.355642
Mianyang,1.355642
Nanping,1.355642
New Taipei,1.355642
Hualien,1.355642
Xingtai,1.355642
Xining,1.355642
Hegang,1.355068
Jiangmen,1.353929
Weicu,1.353452
Weinan,1.350027
Wuhu,1.350027
Shuangyashan,1.344911
Yancheng,1.344141
Yanbian,1.342029
Jining,1.337769
Xinzhou,1.331879
Jiaozuo,1.328689
Anyang,1.328689
Ngawa,1.328006
Liaocheng,1.327536
Linyi,1.327536
Bangbu,1.327536
Pingdong,1.327536
Shangrao,1.327536
Dongying,1.327536
Daxinganling,1.327536
Jiujiang,1.327536
Kaifeng,1.327536
Zhangjiajie,1.327536
Zhuzhou,1.327536
Heihe,1.323958
Xiangtan,1.317361
Yichun,1.316324
Guang'an,1.314772
Zhaoqing,1.307613
Nanyang,1.302225
Xishuangbanna,1.299523
Shuozhou,1.293980
Baoshan,1.292821
Yuxi,1.292425
Shaoguan,1.291316
Chizhou,1.289845
Changhua,1.289845
Qionghai,1.289845
Ganzhou,1.289845
Shangqiu,1.289845
Bayannur,1.289845
Jiuquan,1.289845
Jingdezhen,1.289845
Xiangxi,1.289845
Xianyang,1.289845
Jixi,1.289845
Yingtan,1.289845
Yongzhou,1.289845
Yulin,1.289845
Leshan,1.289845
Jieyang,1.289845
Zhangzhou,1.289845
Xilingol,1.283041
Zaozhuang,1.281980
Xuancheng,1.280748
Diqing,1.270168
Rizhao,1.260538
Honghe,1.259814
Qujing,1.259541
Huai'an,1.250744
Ulanqab,1.244587
Xianning,1.240814
Bazhong,1.240717
Yan'an,1.239830
Yangjiang,1.235288
Quzhou,1.234850
Xiangyang,1.234825
Guangyuan,1.234064
Nantou,1.233900
Binzhou,1.230145
Pingliang,1.230140
Puyang,1.230140
Qiannan,1.230140
Chongzuo,1.230140
Anqing,1.230140
Loudi,1.230140
Shiyan,1.230140
Taichung,1.230140
Taidong,1.230140
Bozhou,1.230140
Haixi,1.230140
Wuhai,1.230140
Changzhi,1.230140
Chenzhou,1.230140
Liangshanzhou,1.230140
Xiaogan,1.230140
Jingmen,1.230140
Xiuzhou,1.230140
Yangquan,1.230140
Haidong,1.230140
Meishan,1.230140
Yulin,1.230140
Yuncheng,1.230140
Zhangye,1.230140
Zhanjiang,1.230140
Zhongwei,1.230140
Zunyi,1.230140
Kaohsiung,1.228938
Beihai,1.225069
Qitaihe,1.221184
Deyang,1.210730
Jingzhou,1.210618
Xinyang,1.207914
Huanggang,1.205292
Huangshi,1.197881
Heyuan,1.197317
Hebi,1.192523
Jincheng,1.189101
Meizhou,1.182564
Ningde,1.182481
Dehong,1.181571
Yueyang,1.181546
Ankang,1.179301
Pu'er,1.177696
Lvliang,1.175172
Shanwei,1.174821
Ili(Yili),1.174063
Linfen,1.170645
Luzhou,1.167300
Luohe,1.165863
Zigong,1.165695
Maoming,1.163072
Yibin,1.162090
Hezhou,1.161021
