city,distance
Changchun,5.117605
Jilin,5.041872
Shanghai,3.876282
Beijing,3.806583
Tonghua,3.655017
Shenyang,3.571548
Baishan,3.000870
Siping,3.000870
Dalian,2.814934
Harbin,2.814934
Tangshan,2.814934
Tianjin,2.814934
Tieling,2.814934
Yanbian,2.814934
Dandong,2.545327
Fushun,2.545327
Fuzhou,2.545327
Huludao,2.545327
Mudanjiang,2.545327
Qinhuangdao,2.545327
Yichun,2.545327
Suzhou,2.075293
Hangzhou,1.993873
Jiaxing,1.835680
Songyuan,1.825343
Nanjing,1.806227
Wuxi,1.805304
Hong Kong,1.801357
Shamen,1.780202
Guangzhou,1.760625
Changzhou,1.747945
Ningbo,1.746979
Nanchang,1.731187
Anshan,1.711949
Shenzhen,1.701018
Jinan,1.691826
Langfang,1.683038
Chengdou,1.681758
Zhengzhou,1.669349
Zhoushan,1.664325
Qingdao,1.652690
Nantong,1.649661
Wuhan,1.646207
Xi'an,1.644740
Baoding,1.644003
Jinzhou,1.643063
Shijiazhuang,1.639718
Liaoyang,1.637763
Baicheng,1.636699
Benxi,1.630066
Yingkou,1.616150
Huzhou,1.612875
Sanya,1.608873
Shaoxing,1.587504
Taiyuan,1.583398
Daqing,1.582028
Ngawa,1.579786
Yingtan,1.570067
Panjin,1.569539
Hohhot,1.568318
Yangzhou,1.566703
Shuangyashan,1.563477
Chongqing,1.561232
Taipei,1.560282
Jinhua,1.544513
Zhangjiakou,1.541436
Changsha,1.532795
Chengde,1.527366
Zhenjiang,1.521688
Kunming,1.518659
Qiqihar,1.511461
Huangshan,1.507920
Hefei,1.506115
Wenzhou,1.501438
Hinggan,1.491144
Taizhou,1.476641
Suihua,1.473580
Macau,1.472598
Hulunbuir,1.472152
Fuzhou,1.464212
Guilin,1.461125
Yantai,1.460770
Fuxin,1.459747
Urumqi,1.455814
Tongliao,1.452757
Cangzhou,1.452523
Taizhou,1.450555
Guiyang,1.443497
Lanzhou,1.443005
Chaoyang,1.441765
Luoyang,1.431932
Xiuzhou,1.431932
Zhuhai,1.431932
Yancheng,1.431533
Tai'an,1.430477
Datong,1.421651
Lijiang,1.419459
Jiamusi,1.417165
Nyingchi,1.417165
Jixi,1.413245
Taoyuan,1.412493
Heihe,1.411822
Yinchuan,1.410769
Nanning,1.409820
Linyi,1.402754
Xuzhou,1.399977
Haikou,1.399563
Hegang,1.397520
Shangrao,1.395601
Bangbu,1.392205
Baotou,1.391923
Lhasa,1.388203
Handan,1.388178
Taichung,1.388178
Yichang,1.388178
Zibo,1.388178
Jinzhong,1.387635
Chifeng,1.386479
Lianyungang,1.384283
Xining,1.383585
Zhangjiajie,1.381006
Dezhou,1.379194
Weihai,1.371211
Daxinganling,1.370067
Nanping,1.369851
Sanming,1.369851
Jining,1.368354
Baoji,1.367710
Wuhu,1.367154
Weifang,1.363126
Xinzhou,1.362192
Xuancheng,1.359848
Foshan,1.345419
Ordos,1.345419
Quzhou,1.344720
Quanzhou,1.344421
Longyan,1.329756
Yichun,1.329756
Hengshui,1.329700
Huai'an,1.326072
Jiujiang,1.325587
Chizhou,1.325445
Dongguan,1.320291
Liangshanzhou,1.319266
Lishui,1.319266
Anqing,1.319266
Weinan,1.319266
Baise,1.319266
Heze,1.319266
Yuncheng,1.319266
Guang'an,1.314772
Xingtai,1.314049
Xinyu,1.312482
Dongying,1.311881
Xilingol,1.311148
Zaozhuang,1.310041
Jiaozuo,1.300338
Xinxiang,1.299931
Anyang,1.298701
Beihai,1.297247
Dali,1.293633
Jingdezhen,1.291941
Jian,1.291941
Ganzhou,1.291941
Kaifeng,1.291005
Chuzhou,1.290801
Qamdo,1.280587
Qitaihe,1.280587
Rizhao,1.280587
Jiayuguan,1.280587
Wuzhou,1.280587
Xianyang,1.280587
Jieyang,1.280587
Ankang,1.280587
Zhongwei,1.280587
Zhoukou,1.280587
Diqing,1.273673
Ulanqab,1.271018
Ma'anshan,1.268483
Yan'an,1.266056
Xiangyang,1.260838
Liuzhou,1.256900
Xiangxi,1.256294
Binzhou,1.255959
Yangquan,1.253427
Liaocheng,1.250167
Ningde,1.249590
Mianyang,1.248500
New Taipei,1.241456
Jiuquan,1.240416
Sanmenxia,1.233533
Xinyang,1.232795
Zhongshan,1.230384
Jingzhou,1.228575
Changzhi,1.225372
Changde,1.223429
Puyang,1.221717
Qiannan,1.221717
Qionghai,1.221717
Ili(Yili),1.221717
Shuozhou,1.221717
Suining,1.221717
Jiyuan,1.221717
Loudi,1.221717
Guangyuan,1.221717
Wanning,1.221717
Leshan,1.221717
Chiayi,1.221717
Lvliang,1.221717
Xianning,1.221717
Huizhou,1.221717
Xishuangbanna,1.221717
Xuchang,1.221717
Garze,1.221717
Hualien,1.221717
Jiangmen,1.221717
Zhangzhou,1.221717
Shantou,1.215625
Lu'an,1.215625
Yiyang,1.213933
Zhuzhou,1.211832
Tongling,1.206857
Xiuqian,1.206516
Meizhou,1.206401
Yueyang,1.205341
Yulin,1.203184
Bayannur,1.199849
Xiangtan,1.194092
Linfen,1.193999
Baoshan,1.191547
Qingyuan,1.191347
Shangqiu,1.190295
Luohe,1.189025
Nantou,1.188385
Shaoguan,1.187119
Pingdong,1.187119
Zhanjiang,1.186693
Yibin,1.185101
Nanyang,1.182384
Fuyang,1.182384
Qiandongnan,1.182384
Hezhou,1.180957
Deyang,1.178142
Tongren,1.177459
Heyuan,1.177459
Xiaogan,1.177459
Yongzhou,1.177459
Pingxiang,1.177459
Huanggang,1.177459
Haixi,1.177229
Zunyi,1.175194
Gannan,1.173682
Huaibei,1.172331
Nanchong,1.172142
Huainan,1.169251
Pingdingshan,1.168976
Keramay,1.165688
Dehong,1.163994
Bozhou,1.162266
Ya'an,1.162266
Putian,1.162168
Shiyan,1.160502
Wuhai,1.160502
Hebi,1.158699
Tainan,1.157493
Anshun,1.156857
Yunlin,1.146585
Zhaoqing,1.144846
Luzhou,1.142660
Hanzhong,1.142660
Jincheng,1.142660
Hengyang,1.138104
Laiwu,1.138104
Shizuishan,1.134640
Alxa,1.133273
Huangshi,1.133273
Taidong,1.130743
Huaihua,1.128130
Turpan,1.125427
Dazhou,1.125427
Weicu,1.125427
Bayingolin,1.125427
Zhumadian,1.125427
Alty,1.123720
Keelung,1.122627
Tianshui,1.119723
Honghe,1.116705
Enshi,1.116705
Kumul(Hami),1.116705
Yilan,1.116040
Changhua,1.112315
Hsinchu,1.109733
Chongzuo,1.108629
Yuxi,1.103777
Penghu,1.102853
Sansha,1.102853
Kashgar,1.100413
Qinzhou,1.099519
Changji,1.099519
Chaozhou,1.096596
Meishan,1.095555
Haibei,1.095555
Wuzhong,1.091366
Qujing,1.091366
Zigong,1.086923
Nagqu,1.085331
Kinmen,1.083792
Wenchang,1.082191
Qianxinan,1.082191
Zhangye,1.082191
Chenzhou,1.077285
Shannan,1.077126
Bijie,1.077126
Jingmen,1.077126
Baiyin,1.077126
Guang'an,1.077126
Ezhou,1.073796
Shaoyang,1.073796
Panzhihua,1.071673
Haidong,1.067629
Pingliang,1.067629
Yulin,1.067629
Guigang,1.059306
Neijiang,1.059306
Jinchang,1.059306
Lincang,1.058917
Fangchenggang,1.057794
Shangluo,1.052180
Huangnan,1.052180
Yangjiang,1.052180
Ziyang,1.052180
Hotan,1.044215
Maoming,1.044215
Miaoli,1.044215
Pu'er,1.039873
Bazhong,1.039008
Lingshui,1.036871
Suizhou,1.035169
Tacheng,1.034749
Hechi,1.026937
Qingyang,1.024671
Shanwei,1.024671
Linxia,1.024671
Baoting,1.024671
Longnan,1.024671
Wuwei,1.024671
Zhaotong,1.012108
Aksu,1.012108
Bortala,1.012108
Tongchuan,1.012108
Guyuan,1.012108
Yunfu,1.009705
Danzhou,0.999915
Chengmai,0.996359
Yushuzhou,0.996359
Golog,0.996359
Dongfang,0.996359
Dingxi,0.996359
Wenshan,0.996359
Dingan,0.974977
Nujiang,0.974977
Liupanshui,0.964401
Ngari,0.953265
Laibin,0.953265
Ledong,0.938398
Wuzhishan,0.933266
Changjiang,0.889455
Kezilsu,0.869520
Qiongzhong,0.812110
