city,distance
Kunming,5.993011
Shanghai,4.386184
Dali,4.104990
Xishuangbanna,3.629566
Beijing,3.297652
Baoshan,3.074487
Lijiang,3.074487
Pu'er,3.074487
Chengdou,2.755684
Dehong,2.755684
Qujing,2.755684
Tangshan,2.755684
Tianjin,2.755684
Weicu,2.755684
Wuhan,2.755684
Yuxi,2.755684
Suzhou,2.213031
Hangzhou,2.120684
Guangzhou,1.976564
Diqing,1.962824
Chongqing,1.959870
Jiaxing,1.942628
Honghe,1.938208
Nanjing,1.909673
Wuxi,1.908642
Hong Kong,1.904231
Shamen,1.880606
Guiyang,1.853801
Changzhou,1.844645
Ningbo,1.843569
Shenzhen,1.841659
Changsha,1.807577
Xi'an,1.793765
Zhoushan,1.751763
Nantong,1.735525
Wenzhou,1.699187
Qingdao,1.695373
Huzhou,1.694857
Nanning,1.691481
Sanya,1.690439
Wenshan,1.681386
Qinhuangdao,1.671302
Shaoxing,1.666864
Changde,1.664009
Hefei,1.654664
Zhengzhou,1.649804
Yangzhou,1.643946
Taipei,1.636878
Liangshanzhou,1.631083
Lhasa,1.620412
Meizhou,1.620412
Zhaotong,1.620412
Jinhua,1.619531
Jinan,1.608364
Panzhihua,1.602005
Haikou,1.598733
Guilin,1.595397
Zhenjiang,1.594453
Dalian,1.586687
Leshan,1.580519
Huangshan,1.579343
Ngawa,1.577117
Langfang,1.575530
Fuzhou,1.573829
Huaihua,1.565957
Liupanshui,1.561871
Shenyang,1.548059
Taizhou,1.545064
Baoding,1.541272
Macau,1.540639
Shijiazhuang,1.537506
Harbin,1.534849
Nanchang,1.524681
Lanzhou,1.519329
Qianxinan,1.519329
Taiyuan,1.519329
Taizhou,1.516528
Urumqi,1.513779
Yibin,1.508014
Baise,1.508014
Nujiang,1.499641
Anshun,1.495758
Zhuhai,1.495758
Yancheng,1.495749
Changchun,1.481679
Taoyuan,1.466880
Deyang,1.464189
Yichang,1.462699
Xuzhou,1.461333
Xianning,1.456682
Shangrao,1.456565
Yantai,1.456439
Zhangjiakou,1.450770
Lianyungang,1.444241
Mianyang,1.440748
Zhangjiajie,1.440675
Chengde,1.438300
Xuancheng,1.433566
Liuzhou,1.432198
Qiandongnan,1.432198
Weihai,1.429609
Wuhu,1.425606
Hohhot,1.421663
Foshan,1.421663
Xining,1.421663
Zunyi,1.421663
Xuancheng,1.417664
Jingzhou,1.415241
Quanzhou,1.410196
Huanggang,1.407968
Xiangyang,1.405310
Xiaogan,1.399822
Garze,1.399210
Huangshi,1.397865
Beihai,1.397595
Dongguan,1.397595
Ya'an,1.389568
Jining,1.383577
Loudi,1.383577
Luoyang,1.383577
Zhongshan,1.383577
Huai'an,1.380994
Nanping,1.380881
Chizhou,1.380313
Cangzhou,1.371741
Ordos,1.367741
Anyang,1.367741
Huludao,1.366922
Shiyan,1.364305
Yinchuan,1.362702
Quzhou,1.361643
Jiujiang,1.361110
Tai'an,1.355082
Nanchong,1.354998
Lishui,1.354941
Bangbu,1.353382
Yangjiang,1.351766
Huizhou,1.349473
Shantou,1.349473
Jingdezhen,1.349473
Hengyang,1.349473
Yulin,1.349473
Zhuzhou,1.349473
Meishan,1.347466
Datong,1.344175
Chuzhou,1.342783
Mudanjiang,1.342283
Yingtan,1.341683
Kaohsiung,1.340254
Ezhou,1.334916
Neijiang,1.328972
Linyi,1.327768
Luzhou,1.327768
Xianyang,1.327768
Yulin,1.327768
Hanzhong,1.327768
Zhanjiang,1.327768
Jingmen,1.327217
Yueyang,1.326418
Ma'anshan,1.318648
Baotou,1.317569
Jian,1.317479
Jinzhong,1.313726
Jiuquan,1.312891
Alxa,1.312891
Qiqihar,1.312891
Hualien,1.312891
Suining,1.312261
Anqing,1.308925
Dezhou,1.306157
Xiangxi,1.305481
Enshi,1.304269
Ziyang,1.303002
Longyan,1.300794
Nyingchi,1.300794
Qiannan,1.300794
Chifeng,1.300794
Taichung,1.300794
Chongzuo,1.300794
Ganzhou,1.300794
Tongren,1.300794
Weifang,1.300794
Yichun,1.300794
Zigong,1.300794
Ningde,1.298243
Zaozhuang,1.298243
Xinyang,1.297162
Ulanqab,1.294621
Xinzhou,1.290899
Jinzhou,1.290111
New Taipei,1.289466
Rizhao,1.287152
Qamdo,1.286336
Jieyang,1.283717
Hezhou,1.277746
Tainan,1.277746
Tongling,1.277746
Haibei,1.277746
Xilingol,1.277746
Yingkou,1.277746
Handan,1.276241
Zibo,1.274777
Guangyuan,1.274720
Bayannur,1.274324
Yanbian,1.273562
Jilin,1.268963
Suizhou,1.264807
Liaocheng,1.264586
Pingdingshan,1.264586
Jiangmen,1.264586
Fuyang,1.264586
Qingyuan,1.264586
Qionghai,1.264586
Liaoyang,1.264586
Dongying,1.264586
Fangchenggang,1.264586
Heyuan,1.264586
Bijie,1.264586
Wuzhou,1.264586
Xiangtan,1.264586
Xiuqian,1.264586
Yan'an,1.264586
Yilan,1.264586
Maoming,1.264586
Jiaozuo,1.264586
Hengshui,1.261682
Lu'an,1.261621
Baoji,1.255072
Kaifeng,1.255072
Dandong,1.250443
Xingtai,1.247583
Dazhou,1.246677
Xinxiang,1.234850
Nantou,1.232305
Shaoguan,1.230944
Pingdong,1.230944
Zhangzhou,1.226739
Fushun,1.226391
Daqing,1.223532
