city,distance
Taiyuan,4.760686
Jinzhong,4.164402
Yan'an,4.102138
Beijing,3.997292
Yuncheng,3.983678
Shanghai,3.627336
Xi'an,3.627336
Datong,2.849475
Linyi,2.849475
Changzhi,2.803778
Luoyang,2.803778
Jincheng,2.754399
Sanmenxia,2.754399
Shijiazhuang,2.754399
Guangzhou,2.700479
Lvliang,2.700479
Nanjing,2.700479
Zhengzhou,2.573535
Jiaozuo,2.495730
Tianjin,2.495730
Weinan,2.495730
Hangzhou,2.402104
Wuhan,2.402104
Chengdou,2.281474
Chongqing,2.281474
Dalian,2.281474
Jinan,2.281474
Mudanjiang,2.281474
Sanya,2.281474
Shamen,2.281474
Baoding,2.281474
Shuozhou,2.281474
Suzhou,2.281474
Xinzhou,2.281474
Yulin,2.281474
Baoji,2.101097
Haikou,2.101097
Harbin,2.101097
Heze,2.101097
Lanzhou,2.101097
Nanchang,2.101097
Ordos,2.101097
Qingdao,2.101097
Bangbu,2.101097
Shenzhen,2.101097
Taizhou,2.101097
Tangshan,2.101097
Tongchuan,2.101097
Ulanqab,2.101097
Weifang,2.101097
Ankang,2.101097
Xianyang,2.101097
Xining,2.101097
Alxa,2.101097
Yangjiang,2.101097
Yangquan,2.101097
Zhenjiang,2.101097
Jiaxing,1.777897
Wuxi,1.749388
Hong Kong,1.745682
Langfang,1.719306
Changzhou,1.695474
Ningbo,1.694565
Qinhuangdao,1.672538
Shenyang,1.651395
Foshan,1.625103
Zhoushan,1.616686
Nantong,1.602846
Xinxiang,1.583979
Urumqi,1.578007
Rizhao,1.572441
Tai'an,1.572441
Zhangjiakou,1.571802
Yinchuan,1.571393
Changsha,1.571104
Huzhou,1.568096
Hohhot,1.567538
Hanzhong,1.560409
Chengde,1.557175
Changchun,1.549992
Kunming,1.548125
Shaoxing,1.544104
Taipei,1.538120
Yangzhou,1.524418
Kaifeng,1.514129
Jining,1.507771
Hefei,1.506034
Lhasa,1.505323
Jinhua,1.503401
Xiangyang,1.497573
Xingtai,1.495460
Yantai,1.488013
Shangluo,1.486274
Xuzhou,1.485601
Dongguan,1.485400
Lijiang,1.485256
Cangzhou,1.479456
Zhuhai,1.476976
Zibo,1.473084
Handan,1.470238
Guiyang,1.470094
Huangshan,1.468709
Fuzhou,1.463173
Wenzhou,1.462559
Guilin,1.458544
Laiwu,1.456908
Tianshui,1.455409
Jiyuan,1.449783
Yanbian,1.442195
Taizhou,1.439019
Jiuquan,1.438925
Taoyuan,1.437949
Nanning,1.435179
Macau,1.435179
Zaozhuang,1.432820
Lianyungang,1.426820
Zhongshan,1.425355
Qingyang,1.425033
Zhangjiajie,1.425033
Huludao,1.423835
Kumul(Hami),1.420870
Shiyan,1.417090
Baotou,1.416637
Nanyang,1.416355
Huai'an,1.413920
Leshan,1.412170
Ngawa,1.409453
Hulunbuir,1.408002
Dezhou,1.403454
Jiangmen,1.400659
Yancheng,1.396147
Weihai,1.395189
Jiayuguan,1.394749
Hengshui,1.386805
New Taipei,1.381694
Chifeng,1.378868
Guangyuan,1.374783
Jian,1.374783
Miaoli,1.374783
Nyingchi,1.374783
Chenzhou,1.374783
Hebi,1.374783
Jilin,1.374783
Xinyang,1.374783
Yueyang,1.374783
Zhumadian,1.374783
Jiujiang,1.373503
Haixi,1.372270
