city,distance
Sanya,6.503836
Haikou,4.529646
Shanghai,3.591065
Wanning,3.553609
Qionghai,3.343696
Wenchang,2.849475
Baoting,2.640801
Dingan,2.640801
Qiongzhong,2.640801
Wuzhishan,2.640801
Beijing,2.470560
Changjiang,2.281474
Changsha,2.281474
Dongfang,2.281474
Jiaxing,2.281474
Jiujiang,2.281474
Lijiang,2.281474
Nanjing,2.281474
Tongliao,2.281474
Baise,2.281474
Guangzhou,2.064834
Suzhou,1.990647
Hangzhou,1.957524
Shenzhen,1.860304
Wuhan,1.848180
Chengdou,1.828712
Tianjin,1.820433
Chongqing,1.817604
Hong Kong,1.799830
Shamen,1.743696
Wuxi,1.740907
Danzhou,1.732481
Xi'an,1.724716
Zhanjiang,1.720232
Changzhou,1.687507
Ningbo,1.686607
Chengmai,1.668841
Nanning,1.654868
Harbin,1.636332
Kunming,1.632750
Zhengzhou,1.632750
Guiyang,1.625360
Ledong,1.617643
Zhoushan,1.609441
Weinan,1.600683
Wenzhou,1.596677
Nantong,1.595723
Fuzhou,1.587500
Nanchang,1.587500
Zhuhai,1.587500
Guilin,1.577783
Shenyang,1.577783
Urumqi,1.577783
Jinan,1.567451
Huzhou,1.561279
Shijiazhuang,1.556408
Qingdao,1.549435
Changchun,1.538243
Diqing,1.537759
Shaoxing,1.537493
Yangzhou,1.517974
Taiyuan,1.517646
Taipei,1.511945
Dalian,1.502156
Hefei,1.502156
Jinhua,1.497133
Dali,1.493752
Beihai,1.489903
Chongzuo,1.489699
Zhenjiang,1.475678
Lanzhou,1.475310
Foshan,1.475310
Huangshan,1.462726
Hohhot,1.454078
Dongguan,1.442084
Taizhou,1.433276
Macau,1.429466
Hechi,1.423859
Liuzhou,1.414259
Yantai,1.414259
Taizhou,1.408687
Hulunbuir,1.406535
Yancheng,1.390740
Chifeng,1.390172
Baotou,1.390137
Huai'an,1.378645
Huizhou,1.378645
Baoding,1.378645
Zhongshan,1.378645
Liangshanzhou,1.377135
Zhuzhou,1.366539
Taoyuan,1.365748
Xiangtan,1.364068
Xuzhou,1.360938
Shangrao,1.358962
Langfang,1.358276
Longyan,1.355999
Ordos,1.355999
Qinhuangdao,1.355999
Quanzhou,1.355999
Tangshan,1.355999
Yichang,1.355999
Yinchuan,1.355999
Meishan,1.355712
Zhaoqing,1.355712
Hinggan,1.348896
Xiangxi,1.347466
Lianyungang,1.346103
Zhangjiajie,1.343004
Jingdezhen,1.336953
Luoyang,1.333808
Siping,1.333808
Shaoguan,1.333756
Wuhu,1.329900
Yueyang,1.329760
Dongying,1.327879
Mianyang,1.327879
Changzhi,1.327879
Qiandongnan,1.327879
Qingyuan,1.327879
Rizhao,1.327879
Tai'an,1.327879
Weihai,1.327879
Chizhou,1.327879
Changde,1.327879
Xuancheng,1.327879
Anyang,1.327879
Xinyang,1.320401
Hengyang,1.319372
Nanyang,1.312874
Jieyang,1.306591
Leshan,1.306591
Chuzhou,1.306591
Shaoguan,1.306591
Zhangzhou,1.306591
Anqing,1.297879
Lhasa,1.292857
Huanggang,1.292851
Nanping,1.290896
Jinzhong,1.290169
Honghe,1.290169
Linfen,1.290169
Huaihua,1.290169
Luohe,1.290169
Ganzhou,1.290169
Maoming,1.290169
Ningde,1.290169
Putian,1.290169
Huangshi,1.290169
Qinzhou,1.290169
Qiqihar,1.290169
Shantou,1.290169
Dandong,1.290169
Huaibei,1.290169
Deyang,1.290169
Weifang,1.290169
Datong,1.290169
Huainan,1.290169
Xuchang,1.290169
Yibin,1.290169
Yichun,1.290169
Yingtan,1.290169
Zaozhuang,1.290169
Ngawa,1.285827
Quzhou,1.274069
Baoshan,1.270064
Jiuquan,1.270064
Luzhou,1.270064
Pingdingshan,1.270064
Qianxinan,1.270064
Weicu,1.270064
Wuhai,1.270064
Xianyang,1.270064
Xinxiang,1.270064
Chaozhou,1.270064
Ya'an,1.270064
Jiangmen,1.270064
Yunfu,1.270064
Zigong,1.270064
Lishui,1.268199
Bangbu,1.266833
Zhangjiakou,1.264527
Xining,1.263788
Loudi,1.257968
Kaohsiung,1.255323
Chengde,1.255042
Yiyang,1.251811
Jining,1.246834
Ma'anshan,1.236349
Jian,1.235321
Sansha,1.234736
Yan'an,1.234736
Daqing,1.230434
Chaoyang,1.230434
Meizhou,1.230434
Kaifeng,1.230434
Kashgar,1.230434
Qiannan,1.230434
Jinzhou,1.230434
Huludao,1.230434
Aksu,1.230434
Dehong,1.230434
Shangluo,1.230434
Benxi,1.230434
Daxinganling,1.230434
Shiyan,1.230434
Shizuishan,1.230434
Suihua,1.230434
Jiyuan,1.230434
Guangyuan,1.230434
Baishan,1.230434
Anshan,1.230434
Ili(Yili),1.230434
Linyi,1.230434
Jiamusi,1.230434
Bayingolin,1.230434
Wuzhou,1.230434
Changji,1.230434
Cangzhou,1.230434
Xiangyang,1.230434
Xilingol,1.230434
Xingtai,1.230434
Lvliang,1.230434
Liupanshui,1.230434
Xinzhou,1.230434
Yanbian,1.230434
Guigang,1.230434
Jilin,1.230434
Yulin,1.230434
Yuncheng,1.230434
Yuxi,1.230434
Hotan,1.230434
Zhaotong,1.230434
Zhoukou,1.230434
Chiayi,1.230434
Handan,1.230434
Fuxin,1.224583
Wenshan,1.219411
Fangchenggang,1.219411
Hebi,1.212135
Shannan,1.212135
Guyuan,1.212135
Nanchong,1.212135
Suining,1.212135
Hegang,1.212135
Turpan,1.212135
Linxia,1.212135
Pu'er,1.212135
Puyang,1.212135
Xiaogan,1.212135
Jiaozuo,1.212135
Haibei,1.212135
Yangjiang,1.212135
Chenzhou,1.212135
Heyuan,1.212135
Baicheng,1.212135
Jincheng,1.212135
Mudanjiang,1.212135
Qujing,1.212135
Jiayuguan,1.212135
Ziyang,1.212135
Zunyi,1.212135
New Taipei,1.210660
Jingzhou,1.204633
Haixi,1.204633
Xishuangbanna,1.199246
Zibo,1.196892
Taichung,1.189268
Lu'an,1.186083
Shaoyang,1.182704
Ezhou,1.180341
Baoji,1.180293
Tongling,1.177734
Xiuqian,1.177409
Songyuan,1.170641
Garze,1.167765
Yulin,1.165913
Nantou,1.160136
Pingdong,1.158930
Dezhou,1.158930
Pingxiang,1.156834
Xianning,1.156500
Hengshui,1.156231
Anshun,1.154757
Hezhou,1.153056
Panjin,1.150405
Fuyang,1.147666
Yongzhou,1.144913
Xiuzhou,1.138846
Hualien,1.138846
Xinyu,1.137804
Sanming,1.137278
Tainan,1.130677
Ulanqab,1.129328
Liaocheng,1.127158
Hanzhong,1.121250
Tieling,1.121250
Yunlin,1.120266
Shangqiu,1.114840
Fuzhou,1.109754
Alty,1.098429
Bozhou,1.097550
Nyingchi,1.094850
Yilan,1.091090
Fushun,1.090606
Hsinchu,1.085060
Yingkou,1.078483
Penghu,1.078483
Tianshui,1.076149
Guang'an,1.075218
Keelung,1.074953
Shuozhou,1.073736
Jingmen,1.073373
Sanmenxia,1.071238
Neijiang,1.067910
Binzhou,1.065793
Taidong,1.064575
Yangquan,1.063969
Nagqu,1.061720
Dazhou,1.060722
Kinmen,1.060247
Enshi,1.058314
Yichun,1.057204
Panzhihua,1.056252
Keramay,1.054020
Laiwu,1.048945
Zhongwei,1.048945
Zhangye,1.045336
Ankang,1.044714
Heze,1.039529
Liaoyang,1.036915
Gannan,1.035354
Suizhou,1.032183
Zhumadian,1.026106
Bayannur,1.025113
